prov_code,prov_name,kab_code,kab_name,kec_code,kec_name
010000,D.K.I. Jakarta,010100,Kab. Kepulauan Seribu,010101,Kepulauan Seribu Selatan
010000,D.K.I. Jakarta,010100,Kab. Kepulauan Seribu,010102,Kepulauan Seribu Utara
010000,D.K.I. Jakarta,016000,Kota Jakarta Pusat,016001,Tanah Abang
010000,D.K.I. Jakarta,016000,Kota Jakarta Pusat,016002,Menteng
010000,D.K.I. Jakarta,016000,Kota Jakarta Pusat,016003,Senen
010000,D.K.I. Jakarta,016000,Kota Jakarta Pusat,016004,Johar Baru
010000,D.K.I. Jakarta,016000,Kota Jakarta Pusat,016005,Cempaka Putih
010000,D.K.I. Jakarta,016000,Kota Jakarta Pusat,016006,Kemayoran
010000,D.K.I. Jakarta,016000,Kota Jakarta Pusat,016007,Sawah Besar
010000,D.K.I. Jakarta,016000,Kota Jakarta Pusat,016008,Gambir
010000,D.K.I. Jakarta,016100,Kota Jakarta Utara,016101,Penjaringan
010000,D.K.I. Jakarta,016100,Kota Jakarta Utara,016102,Pademangan
010000,D.K.I. Jakarta,016100,Kota Jakarta Utara,016103,Tanjung Priok
010000,D.K.I. Jakarta,016100,Kota Jakarta Utara,016104,Koja
010000,D.K.I. Jakarta,016100,Kota Jakarta Utara,016105,Kelapa Gading
010000,D.K.I. Jakarta,016100,Kota Jakarta Utara,016106,Cilincing
010000,D.K.I. Jakarta,016200,Kota Jakarta Barat,016201,Kembangan
010000,D.K.I. Jakarta,016200,Kota Jakarta Barat,016202,Kebon Jeruk
010000,D.K.I. Jakarta,016200,Kota Jakarta Barat,016203,Palmerah
010000,D.K.I. Jakarta,016200,Kota Jakarta Barat,016204,Grogol Petamburan
010000,D.K.I. Jakarta,016200,Kota Jakarta Barat,016205,Tambora
010000,D.K.I. Jakarta,016200,Kota Jakarta Barat,016206,Taman Sari
010000,D.K.I. Jakarta,016200,Kota Jakarta Barat,016207,Cengkareng
010000,D.K.I. Jakarta,016200,Kota Jakarta Barat,016208,Kali Deres
010000,D.K.I. Jakarta,016300,Kota Jakarta Selatan,016301,Jagakarsa
010000,D.K.I. Jakarta,016300,Kota Jakarta Selatan,016302,Pasar Minggu
010000,D.K.I. Jakarta,016300,Kota Jakarta Selatan,016303,Cilandak
010000,D.K.I. Jakarta,016300,Kota Jakarta Selatan,016304,Pesanggrahan
010000,D.K.I. Jakarta,016300,Kota Jakarta Selatan,016305,Kebayoran Lama
