prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,kurikulum,akses_internet_sekolah_kita
Jawa Timur,Kab. Bondowoso,Pakem,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/128EFC94-96F5-4029-8CF3-52423180E8C8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60716121,MIS AL GHAZALI,60716121,JL. TANCAK KEMBAR,ARDISAENG,KEC. PAKEM,KAB. BONDOWOSO,PROV. JAWA TIMUR,SWASTA,MI,Kementerian Agama,,,Kd.13.11/4/PP.03.2/1465/2010,09-07-2010,Kd.13.11/4/PP.03.2/1465/2010,09-07-2010,Lihat SK Operasional,2017-08-24 10,B,0,,2.,,,,,,-7.897700000000,113.725200000000,0,52,43,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Timur,Kab. Bondowoso,Pakem,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1DB88518-BE6F-4FA8-B602-2CF0566C9109,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20581750,MTsS Nurul Falah Gadingsari,20581750,JL. RAYA PAKEM,GADINGSARI,KEC. PAKEM,KAB. BONDOWOSO,PROV. JAWA TIMUR,SWASTA,MTs,Kementerian Agama,,,Kd.13.11/4/PP.00.5/0245/2011,08-12-2011,Kd.13.11/4/PP.00.5/0245/2011,08-12-2011,Lihat SK Operasional,2020-08-24 20,C,0,,2.,,,,,,-7.893114000000,113.737397000000,0,14,11,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Timur,Kab. Bondowoso,Pakem,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/74C940F5-AF67-4BBF-A975-ECF3237F10D9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69895149,MTsS Nurul Ihsan,69895149,Jl.Tancak Kembar Ds. Gadingsari,GADINGSARI,KEC. PAKEM,KAB. BONDOWOSO,PROV. JAWA TIMUR,SWASTA,MTs,Kementerian Agama,Lainnya,,829 Tahun 2013,31-12-2014,829 Tahun 2013,31-12-2014,Silakan Upload SK,,,0,,2.,,,,,,-7.051330000000,113.921330000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Timur,Kab. Bondowoso,Pakem,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/78ED23FC-EB20-43F1-9B54-7BDCFC69C24E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20581749,MTSS NURUL ISLAM PETUNG,20581749,JL. SUMBER BLIMBING RT/RW 03/01,PETUNG,KEC. PAKEM,KAB. BONDOWOSO,PROV. JAWA TIMUR,SWASTA,MTs,Kementerian Agama,,,MTsS/11.0096/2017,02-05-2017,MTsS/11.0096/2017,02-05-2017,Lihat SK Operasional,2020-08-24 20,C,0,,2.,,,,,,-8.010530000000,113.975420000000,0,33,46,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Timur,Kab. Bondowoso,Pakem,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8D5D5D20-1DE3-4FA3-9935-928BED392953,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69788363,MTsS NURUL MUTTAQIN,69788363,Jl. Raya Besuki Indah Batu 10,PATEMON,KEC. PAKEM,KAB. BONDOWOSO,PROV. JAWA TIMUR,SWASTA,MTs,Kementerian Agama,Lainnya,,Kd.13/11/4/PP.00.5/1961/2012,28-12-2012,Kd.13/11/4/PP.00.5/1961/2012,28-12-2012,Lihat SK Operasional,2016-01-22 16,C,0,,2.,,,,,,-7.973572000000,113.991550000000,0,16,21,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Timur,Kab. Bondowoso,Pakem,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F854BA66-A896-4B49-BB0F-7C7C2C5DB5A6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70037678,SD AS-SHODIQIN,70037678,Jl.Raya Pakem,PAKEM,KEC. PAKEM,KAB. BONDOWOSO,PROV. JAWA TIMUR,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN MAHAD ASSHODIQIN ALISLAMY,AX8248,503.421/PENDIK/430.9.13/2023,30-01-2023,503.421/PENDIK/430.9.13/2023,30-01-2023,Lihat SK Operasional,2023-02-23 11,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Timur,Kab. Bondowoso,Pakem,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/34B0B048-827E-4060-8F2B-0EE4D4D2EE99,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70037677,SMP AS-SHODIQIN,70037677,Jl.Raya Pakem,PAKEM,KEC. PAKEM,KAB. BONDOWOSO,PROV. JAWA TIMUR,SWASTA,SMP,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN MAHAD ASSHODIQIN ALISLAMY,AX8248,503.421/413/PENDIK/430.9.13/2023,30-01-2023,503.421/413/PENDIK/430.9.13/2023,30-01-2023,Lihat SK Operasional,2023-02-23 11,,0,,2.,,,,,,.000000000000,.000000000000,1,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,,,,,,,,,,,
Jawa Timur,Kab. Bondowoso,Pakem,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/105795B7-8C18-E111-9A2B-A56DDA884E7C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20522358,UPTD SPF SD Negeri Andungsari 1 Kec. Pakem,20522358,Jl Tancak Kembar No 55,ANDUNGSARI,KEC. PAKEM,KAB. BONDOWOSO,PROV. JAWA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,SK/98/I/1978,03-03-1978,Perbup No. 34 Tahun 2018,16-04-2018,Lihat SK Operasional,2019-02-04 10,B,732,1. Indosat IM3,2. Lainnya,PLN,,,sdnandungsarisatu@gmail.com,,-7.910500000000,113.713800000000,9,67,56,6,Pagi/6 hari,,2022/2023-2,450,4,0,0,0,5,1,0,3,4,0,2,3,5,4,1,6,2,2,1,1,0,0,2,3,7,2,1,1,1,1,1,1,,,,SD 2013,Indosat IM3
Jawa Timur,Kab. Bondowoso,Pakem,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E06696B7-8C18-E111-8409-4D71F94558EB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20522357,UPTD SPF SD Negeri Andungsari 2 Kec. Pakem,20522357,Jln. Tancak Kembar Dusun Pakualas,ANDUNGSARI,KEC. PAKEM,KAB. BONDOWOSO,PROV. JAWA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,0,07-01-1980,Perbup No. 34 Tahun 2018,16-04-2018,Lihat SK Operasional,2019-01-28 08,B,576,1. -,2. Telkomsel Flash,PLN,0,0,sdnandungsaridua@gmail.com,,-7.839700000000,113.956500000000,7,25,27,6,Pagi/6 hari,,2022/2023-2,900,3,0,0,0,2,2,0,3,6,0,1,0,2,5,0,6,1,0,4,1,1,0,0,1,6,1,1,1,1,1,1,1,,,,SD 2013,Tidak Ada
Jawa Timur,Kab. Bondowoso,Pakem,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E01F95B7-8C18-E111-BF1B-1FE98CB8C4D7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20522356,UPTD SPF SD Negeri Ardisaeng 1 Kec. Pakem,20522356,Jalan Tancak Kembar,ARDISAENG,KEC. PAKEM,KAB. BONDOWOSO,PROV. JAWA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,12-01-1975,Perbup No. 34 Tahun 2018,16-04-2018,Lihat SK Operasional,2019-01-31 23,B,"1,950",1. Telkomsel Flash,2. Lainnya (Kabel),PLN,,,saengsatu@gmail.com,http,-7.887400000000,113.732600000000,9,97,86,7,Pagi/6 hari,,2022/2023-2,450,6,0,1,2,2,4,0,3,7,2,0,0,1,8,1,5,3,2,3,1,1,1,0,1,4,5,1,1,1,1,2,1,,,,SD 2013,Telkomsel Flash
