prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6
Sumatera Utara,Kab. Batubara,Talawi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F2BF5C02-49B8-4531-B470-81B82E63D5F7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70034307,MI AL WASHLIYAH DAHARI INDAH,70034307,DUSUN VII BUNGA CEMPAKA DESA DAHARI INDAH KEC.TALAWI,DAHARI INDAH,KEC. TALAWI,KAB. BATUBARA,PROV. SUMATERA UTARA,SWASTA,MI,Kementerian Agama,Lainnya,,,,383 TAHUN 2022,14-04-2022,Silakan Upload SK (link file tidak valid) => [239373-91885-https,2022-10-11 10,,0,,2.,,,,,,.000000000000,.000000000000,0,13,8,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sumatera Utara,Kab. Batubara,Talawi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BAFAD4F4-4222-4A9D-8F00-30653BF48204,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60704022,MIN 2 BATU BARA,60704022,Jl. Pesisir No. 13,MESJID LAMA,KEC. TALAWI,KAB. BATUBARA,PROV. SUMATERA UTARA,NEGERI,MI,Kementerian Agama,Pemerintah Daerah,,,,,,Silakan Upload SK,,A,0,,2.,,,,,,3.217700000000,99.574200000000,0,146,155,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sumatera Utara,Kab. Batubara,Talawi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/01056FBE-8D16-4B2C-9CD1-2038271594D8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60727251,MIS AL WASHLIYAH SKB PAHANG,60727251,DUSUN IV DESA PAHANNG,PAHANG,KEC. TALAWI,KAB. BATUBARA,PROV. SUMATERA UTARA,SWASTA,MI,Kementerian Agama,,,,01-09-2016,,01-09-2016,Silakan Upload SK,,B,0,,2.,,,,,,2.729000000000,99.491500000000,0,108,106,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sumatera Utara,Kab. Batubara,Talawi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/553F3389-2238-4B07-9B1C-2AAB9E5CA25F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69894577,MIS JABAL HINDI,69894577,"Jl. Manunggal, Jl. Hidayah Dusun IV",MESJID LAMA,KEC. TALAWI,KAB. BATUBARA,PROV. SUMATERA UTARA,SWASTA,MI,Kementerian Agama,Lainnya,,Nomor,17-04-2012,Nomor 131 Tahun 2013,12-07-2013,Lihat SK Operasional,2015-05-22 07,B,0,,2.,,,,,,3.223300000000,99.558100000000,0,77,50,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sumatera Utara,Kab. Batubara,Talawi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0FD697BB-4771-4AB3-8FD1-4C71A0E6E442,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69994196,MTs BAITUSSALAM,69994196,JL. IMAM BONJOL LINGKUNGAN V,PANJANG,KEC. TALAWI,KAB. BATUBARA,PROV. SUMATERA UTARA,SWASTA,MTs,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,3.210400000000,99.569200000000,0,49,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sumatera Utara,Kab. Batubara,Talawi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D5A86CE0-B969-417F-81AB-2DBE8706488B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10264079,MTSS AL WASHLIYAH LABUHAN RUKU,10264079,JLN. HAJI MAULANA,LABUHAN RUKU,KEC. TALAWI,KAB. BATUBARA,PROV. SUMATERA UTARA,SWASTA,MTs,Kementerian Agama,,,,01-09-2016,,01-09-2016,Silakan Upload SK,,B,0,,2.,,,,,,2.841455000000,99.950184000000,0,47,22,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sumatera Utara,Kab. Batubara,Talawi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/62B52168-AA02-4375-9E66-F65F2A139CE4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10264080,MTSS AL WASHLIYAH PETATAL,10264080,JL.KISARAN - MEDAN KM.131 PETATAL,PETATAL,KEC. TALAWI,KAB. BATUBARA,PROV. SUMATERA UTARA,SWASTA,MTs,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,3.161800000000,99.505800000000,0,144,121,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sumatera Utara,Kab. Batubara,Talawi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/24831985-E2D6-4DBF-93DE-EF1528BEC414,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10264078,MTSS AL WASHLIYAH TANJUNG TIRAM,10264078,JL. PERINTIS KEMERDEKAAN NO. 25,INDRA YAMAN,KEC. TALAWI,KAB. BATUBARA,PROV. SUMATERA UTARA,SWASTA,MTs,Kementerian Agama,,,C-20.HT.01.06.Th.2006,09-05-2006,1106 Tahun 2017,02-11-2017,Lihat SK Operasional,2020-02-29 10,B,0,,2.,,,,,,3.150700000000,99.550400000000,0,170,159,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sumatera Utara,Kab. Batubara,Talawi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/17324B35-2111-45FD-9FDB-03F8ED6F7DC3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69895066,MTsS JABAL HINDI,69895066,Jl. Manunggal Dusun IV Desa Mesjid Lama,MESJID LAMA,KEC. TALAWI,KAB. BATUBARA,PROV. SUMATERA UTARA,SWASTA,MTs,Kementerian Agama,Lainnya,,Nomor,17-04-2012,Nomor,13-01-2015,Lihat SK Operasional,2015-05-21 10,B,0,,2.,,,,,,3.223400000000,99.558000000000,0,79,59,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sumatera Utara,Kab. Batubara,Talawi,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2C22CDFB-2B9E-42DD-9EC4-E60642D2A520,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10264521,MTSS NURHASANAH,10264521,JALAN IMAM BONJOL,MESJID LAMA,KEC. TALAWI,KAB. BATUBARA,PROV. SUMATERA UTARA,SWASTA,MTs,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,3.201200000000,99.562800000000,0,45,24,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
