prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6
Riau,Kota Pekanbaru,Binawidya,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F03513C9-2FF5-E011-9A0D-2B39EF8A096F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10494599,SD AL KAUTSAR,10494599,Jl. Rajawali Sakti No. 34,TOBEKGODANG,KEC. BINAWIDYA,KOTA PEKANBARU,PROV. RIAU,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Al Kautsar,AB9545,420/PP.4/III/2008/2622,29-07-2007,420/PP.4/III/2008/2622,05-03-2008,Lihat SK Operasional,2023-03-13 23,B,"15,000",1. Telkom Speedy,2. Telkomsel Flash,PLN,,,sdalkautsarp@yahoo.com,,.469000000000,101.396300000000,11,78,67,8,SD 2013,Sehari Penuh/5 hari,,2022/2023-2,Telkom Speedy,"1,200",9,0,2,2,0,0,11,2,11,0,0,0,0,11,0,4,7,3,5,1,1,0,0,1,2,9,2,2,1,1,1,1
Riau,Kota Pekanbaru,Binawidya,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A04C7922-8B18-E111-9E4D-03D89879ED98,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10495149,SD AL ULUM ISLAMIC SCHOOL,10495149,Jl. Tuanku Tambusai No.696,DELIMA,KEC. BINAWIDYA,KOTA PEKANBARU,PROV. RIAU,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Islam Al-Ulum Pekanbaru,AB9475,420/PP.4/V/2007/2893m,07-04-2007,420/PP.4/V/2007/2893,07-04-2007,Lihat SK Operasional,2020-08-26 18,A,"4,408",1. -,2. Telkom Speedy,PLN,0,,sdalulum2017@gmail.com,http,.464000000000,101.397800000000,29,227,208,18,SD 2013,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"6,000",21,2,1,2,0,0,30,6,29,0,0,0,2,27,0,23,6,7,11,7,1,2,1,0,5,24,2,2,3,3,4,4
Riau,Kota Pekanbaru,Binawidya,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/70ED08C8-2FF5-E011-BC2D-45B0FCD83522,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10494594,SD BABUSSALAM,10494594,Jl. H.R Soebrantas No. 62,SUNGAISIBAM,KEC. BINAWIDYA,KOTA PEKANBARU,PROV. RIAU,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Syekh Abdul Wahab Rokan,AF1257,55/06.05/DPMPTSP/VIII/2020,24-08-2020,55/06.05/DPMPTSP/VIII/2020,24-08-2020,Lihat SK Operasional,2023-03-13 23,Sertifikat Kedaluwarsa,"5,250,000",1. Telkomsel Flash,2. Telkom Speedy,PLN,,,sdbabussalam94@gmail.com,http,.490600000000,101.380500000000,31,194,160,15,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"2,200",24,2,1,4,0,0,32,1,31,0,0,0,22,9,0,26,5,0,1,4,6,6,11,3,5,26,2,2,2,3,3,3
Riau,Kota Pekanbaru,Binawidya,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/00112036-6386-46CE-A05A-DA5D4A087729,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69971159,SD EL SHADDAI MULIA,69971159,JL. BERINGIN AIR HITAM,SUNGAISIBAM,KEC. BINAWIDYA,KOTA PEKANBARU,PROV. RIAU,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN SHEMA DAUD YEIL,AN3717,420/Bid.SD.1/XI/2017/8069,15-11-2017,420/Bid.SD.1/XI/2017/8069,15-11-2017,Lihat SK Operasional,2023-03-13 23,B,"3,300",1. -,2. Telkom Speedy,PLN,,,sd.elshaddaimulia15@gmail.com,,.501600000000,101.361600000000,27,274,237,19,SD 2013,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"15,500",19,0,1,4,0,0,18,10,26,0,1,0,3,24,0,16,11,17,7,1,2,0,0,0,3,24,4,4,3,3,3,2
Riau,Kota Pekanbaru,Binawidya,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A3D58892-8733-411D-BB37-2E790626DE54,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69980303,SD GUANG MING 1,69980303,JL. RAJAWALI SAKTI UJUNG PERUMAHAN WISDOM PARK NO. 31-40,DELIMA,KEC. BINAWIDYA,KOTA PEKANBARU,PROV. RIAU,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Guang Ming Indonesia,AM1376,420/Bid.SD.1/V/2017/3927,09-05-2017,420/Bid.SD.1/V/2017/3927,09-05-2017,Lihat SK Operasional,2023-03-13 23,B,"88,355",1. -,2. Smartfren,PLN,,,guangmingsemarpku@gmail.com,http,.482964000000,101.413766000000,13,36,31,6,SD 2013,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"7,700",6,0,1,2,0,0,3,12,13,0,0,0,1,12,0,10,3,10,1,2,0,0,0,0,2,11,1,1,1,1,1,1
Riau,Kota Pekanbaru,Binawidya,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/181D5D10-826E-4B7C-AA93-939CF999BD47,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69883608,SD HEAVEN KIDS PEKANBARU,69883608,Jl. Nuansa (Air Hitam),BINAWIDYA,KEC. BINAWIDYA,KOTA PEKANBARU,PROV. RIAU,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pancaran Cinta Kasih Riau,AB9485,420/Bid.Dikdas.02/XII/2014/10205,30-12-2014,420/Bid.Dikdas.02/XII/2014/10205,01-01-1900,Lihat SK Operasional,2023-03-13 23,A,"1,200",1. -,2. Telkom Speedy,PLN,,,heavenkids2011@gmail.com,http,.442955000000,101.411668000000,21,197,177,16,SD 2013,Double Shift/6 hari,,2022/2023-2,Tidak Ada,"1,300",16,0,1,2,0,0,17,6,21,0,0,0,0,21,0,13,8,8,9,1,2,1,0,0,1,20,3,2,2,2,3,4
Riau,Kota Pekanbaru,Binawidya,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/800C19B3-A8FC-E111-9305-E912A2029BB1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10495040,SD IT BINTANG CENDEKIA,10495040,Jl. Lobak No.101,BINAWIDYA,KEC. BINAWIDYA,KOTA PEKANBARU,PROV. RIAU,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN BINTANG CENDEKIA PEKANBARU,AF1253,420/PP.4/V/2006/4244,20-06-2005,420/PP.4/V/2006/4244,22-04-2006,Lihat SK Operasional,2023-03-13 23,A,"11,312",1. Telkomsel Flash,2. Telkom Speedy,PLN & Diesel,,07618419603,sdit.bc@gmail.com,http,.479991000000,101.411674000000,57,275,229,22,SD 2013,Sehari Penuh/5 hari,,2022/2023-2,Telkomsel Flash,"66,000",27,1,1,2,0,0,54,8,57,0,0,0,0,57,1,51,5,20,19,11,6,1,0,0,21,36,4,3,3,3,5,4
Riau,Kota Pekanbaru,Binawidya,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/14B65486-0305-46E4-A0A3-E48F676626FA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70000094,SD IT HUMAIROH 2 PEKANBARU,70000094,JL. KAMBOJA NO. 107,SIMPAAGBARU,KEC. BINAWIDYA,KOTA PEKANBARU,PROV. RIAU,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN HUMAIROH RIAU,AF0602,1/06.02/DPMPTSP/I/2020,07-01-2020,1/06.05/DPMPTSP/I/2020,07-01-2020,Lihat SK Operasional,2023-03-13 23,,"4,609,609",1. -,2. -,PLN,,,,,.480091700000,101.372793900000,11,103,94,8,SD 2013,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,0,8,0,0,0,0,0,3,9,11,0,0,0,1,10,0,6,5,8,1,2,0,0,0,0,3,8,2,2,2,1,1,0
Riau,Kota Pekanbaru,Binawidya,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8A9EC98E-A9AD-476A-858E-65A3278D2B3F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69932094,SD IT TIARA ISLAMIC SCHOOL,69932094,Jl. Suka Bakti / Uka,SIMPAAGBARU,KEC. BINAWIDYA,KOTA PEKANBARU,PROV. RIAU,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan tiara kids islamic,AF1214,422/UPTD.Pnddkn.Tpn/2016/,25-01-2016,420/Bid.Dikdas.02/I/2016/,11-01-2016,Lihat SK Operasional,2023-03-13 23,B,600,1. Telkom Speedy,2. Telkom Speedy,PLN,,,sdtiarapekanbaru2014@gmail.com,,.446129300000,101.402636000000,10,55,52,6,SD 2013,Sehari Penuh/5 hari,,2022/2023-2,Telkom Speedy,"2,198",6,0,0,0,0,0,6,4,10,0,0,0,0,10,0,7,3,7,2,0,0,1,0,0,3,7,1,1,1,1,1,1
Riau,Kota Pekanbaru,Binawidya,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20AB08C8-2FF5-E011-8EBC-ADF1BB809D92,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10404429,SD MUHAMMADIYAH IV,10404429,Jl. Sekuntum Raya No 17,DELIMA,KEC. BINAWIDYA,KOTA PEKANBARU,PROV. RIAU,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pimpinan Daerah Muhammadiyah (PDM) Kota Pekanbaru,AI2331,1111/I09.F5/A8-1996,15-01-1995,43/06.05/DPMPTSP/VII/2020,02-07-2020,Lihat SK Operasional,2023-03-13 23,A,"1,500",1. Linknet,2. Telkom Speedy,PLN,,627616700586,,http,.489484000000,101.403538000000,12,111,130,11,SD 2013,Sehari Penuh/5 hari,,2022/2023-2,Linknet,0,11,1,1,5,0,0,10,4,12,0,0,0,6,6,0,12,0,4,2,0,2,0,3,1,2,10,2,2,2,2,2,1
