prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6
Kalimantan Selatan,Kab. Hulu Sungai Utara,Sungai Tabukan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DF3B7707-A697-413F-8830-B538098051DB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60723078,MIN 19 HULU SUNGAI UTARA,60723078,JL. SIMPANG TIGA GALAGAH RT. II NO. 56,GALAGAH,KEC. SUNGAI TABUKAN,KAB. HULU SUNGAI UTARA,PROV. KALIMANTAN SELATAN,NEGERI,MI,Kementerian Agama,Pemerintah Daerah,,551 TAHUN 2016,29-08-2016,551 TAHUN 2016,29-08-2016,Lihat SK Operasional,2019-11-27 01,A,"1,193",,2.,,,,,,-2.443733000000,115.194300000000,0,44,61,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Kalimantan Selatan,Kab. Hulu Sungai Utara,Sungai Tabukan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5559F17C-B9B9-4A3D-8DB4-BB70E1EE8332,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60723080,MIS AL HIDAYAH 1,60723080,JALAN POLDER UTARA RT. 03 NO. 052 SUNGAI TABUKAN,SUNGAI TABUKAN,KEC. SUNGAI TABUKAN,KAB. HULU SUNGAI UTARA,PROV. KALIMANTAN SELATAN,SWASTA,MI,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-2.455616000000,115.201030000000,0,46,45,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Kalimantan Selatan,Kab. Hulu Sungai Utara,Sungai Tabukan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D2CBB97C-477E-4419-B33F-24195F6F1463,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60723081,MIS AL HIDAYAH 2,60723081,JALAN POLDER UTARA NO. 54 RT. IV,SUNGAI TABUKAN,KEC. SUNGAI TABUKAN,KAB. HULU SUNGAI UTARA,PROV. KALIMANTAN SELATAN,SWASTA,MI,Kementerian Agama,,,,,,,Silakan Upload SK,,A,0,,2.,,,,,,-2.455986000000,115.201240000000,0,58,55,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Kalimantan Selatan,Kab. Hulu Sungai Utara,Sungai Tabukan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E0D1C7BD-BCA5-412E-84C5-3B71D6E3162E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60723086,MIS DARUL FALAH,60723086,Jl.PEMATANG BENTENG HILIR KEC.SUNGAI TABUKAN KAB. HSU,PEMATANG BENTENG HILIR,KEC. SUNGAI TABUKAN,KAB. HULU SUNGAI UTARA,PROV. KALIMANTAN SELATAN,SWASTA,MI,Kementerian Agama,,,545 Tahun 2016,29-08-2016,545 Tahun 2016,29-08-2016,Lihat SK Operasional,2020-12-14 09,B,782,,2.,,,,,,-2.435460000000,115.191840000000,0,31,26,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Kalimantan Selatan,Kab. Hulu Sungai Utara,Sungai Tabukan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5F1E5AE8-76A5-4A69-8C17-28BBB6618F1B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60723083,MIS HAYATUT TAQWA,60723083,JL. NELAYAN DESA RANTAU BUJUR DARAT RT 1 NO 17,RANTAU BUJUR DARAT,KEC. SUNGAI TABUKAN,KAB. HULU SUNGAI UTARA,PROV. KALIMANTAN SELATAN,SWASTA,MI,Kementerian Agama,,,746 Tahun 2016,06-09-2016,746 Tahun 2016,06-09-2016,Lihat SK Operasional,2019-11-27 10,C,694,,2.,,,,,,-2.443228000000,115.160435000000,0,33,39,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Kalimantan Selatan,Kab. Hulu Sungai Utara,Sungai Tabukan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D0F672C0-EE46-49ED-8C54-3B39F3768D6E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60723079,MIS MATHLAUL ANWAR,60723079,JALAN RANTAU BUJUR RT.01,RANTAU BUJUR HILIR,KEC. SUNGAI TABUKAN,KAB. HULU SUNGAI UTARA,PROV. KALIMANTAN SELATAN,SWASTA,MI,Kementerian Agama,,,855 TAHUN 2016,20-09-2016,855 TAHUN 2016,20-09-2016,Lihat SK Operasional,2017-03-31 09,A,"2,768",,2.,,,,,,-2.419866000000,115.102040000000,0,99,74,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Kalimantan Selatan,Kab. Hulu Sungai Utara,Sungai Tabukan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/827A884E-1EE4-49C1-90A5-5F842B9197EA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60723085,MIS RAUDHATUL JINAN,60723085,JL. KENANGAN RT. I NO. 56,RANTAU BUJUR HULU,KEC. SUNGAI TABUKAN,KAB. HULU SUNGAI UTARA,PROV. KALIMANTAN SELATAN,SWASTA,MI,Kementerian Agama,,,748 TAHUN 2016,06-09-2016,748 TAHUN 2016,06-09-2016,Lihat SK Operasional,2017-04-03 08,B,"1,495",,2.,,,,,,-2.442290000000,115.175756000000,0,48,40,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Kalimantan Selatan,Kab. Hulu Sungai Utara,Sungai Tabukan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F4C55810-828A-4F52-B5EC-A20A3C7D2534,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60723084,MIS SYIARUL ISLAM,60723084,JL. TIGA DESEMBER RT. 2 BANUA HANYAR KEC. SUNGAI TABUKAN KAB. HSU KODE POS 7145,BANUA HANYAR,KEC. SUNGAI TABUKAN,KAB. HULU SUNGAI UTARA,PROV. KALIMANTAN SELATAN,SWASTA,MI,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-2.434991000000,115.183340000000,0,44,44,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Kalimantan Selatan,Kab. Hulu Sungai Utara,Sungai Tabukan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0BC4AFB5-D6F2-411A-A37F-BAD63E1A6DA0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60723082,MIS ZADUL MAAD,60723082,JL. SIMPANG TIGA,GALAGAH,KEC. SUNGAI TABUKAN,KAB. HULU SUNGAI UTARA,PROV. KALIMANTAN SELATAN,SWASTA,MI,Kementerian Agama,,,,,,,Silakan Upload SK,,A,0,,2.,,,,,,-2.444205000000,115.194011000000,0,54,50,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Kalimantan Selatan,Kab. Hulu Sungai Utara,Sungai Tabukan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3AD6E8EC-C7A4-45DD-9E4A-CDB1F85C8034,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30315417,MTSS AL HIDAYAH,30315417,JL. POLDER UTARA NO.054 RT.04,SUNGAI TABUKAN,KEC. SUNGAI TABUKAN,KAB. HULU SUNGAI UTARA,PROV. KALIMANTAN SELATAN,SWASTA,MTs,Kementerian Agama,,,525 TAHUN 2016,29-08-2016,525 TAHUN 2016,29-08-2016,Lihat SK Operasional,2017-03-31 07,B,"3,294",,2.,,,,,,-2.455878000000,115.200976000000,0,48,70,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
