prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Sulawesi Utara,Kab. Bolaang Mongondow,Passi Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2C80DFAA-90FE-481D-86F6-6A70AE416057,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70036651,SD MADISON,70036651,DESA MOBUYA KECAMATAN PASSI TIMUR,MOBUYA,KEC. PASSI TIMUR,KAB. BOLAANG MONGONDOW,PROV. SULAWESI UTARA,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,002/YPM-SK/VII/2020,22-09-2018,420/D.12/DPMPTSP-BM/IOSD/01/XI/2022,22-11-2022,Lihat SK Operasional,2023-01-11 14,,0,,2.,,,,,,.000000000000,.000000000000,1,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,,,,,,,,,,,
Sulawesi Utara,Kab. Bolaang Mongondow,Passi Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/60057AAC-30F5-E011-956F-19743803F6B2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40100463,SD NEGERI 1 INSIL,40100463,Desa Insil Baru,INSIL BARU,KEC. PASSI TIMUR,KAB. BOLAANG MONGONDOW,PROV. SULAWESI UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,1600/D.01/DIK/2015,25-08-2015,1600/D.01/DIK/2015,25-08-2015,Lihat SK Operasional,2018-02-15 12,C,"2,543",1. Telkomsel Flash,2. Lainnya,PLN,,,sdnegeri1insil@gmail.com,,.795600000000,124.169900000000,12,56,29,6,Pagi/6 hari,,2022/2023-2,900,7,0,1,0,9,0,0,3,5,1,1,5,6,6,0,8,4,4,0,0,0,0,4,4,6,6,1,1,1,1,1,1,SD 2013,Telkomsel Flash,,,
Sulawesi Utara,Kab. Bolaang Mongondow,Passi Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20AA61AC-30F5-E011-AC4D-51EBF4181708,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40100470,SD NEGERI 1 PANGIAN,40100470,Pangian Tengah,PANGIAN TENGAH,KEC. PASSI TIMUR,KAB. BOLAANG MONGONDOW,PROV. SULAWESI UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,1399/D.01/DIK/2015,31-07-2015,1399/D.01/DIK/2015,31-07-2015,Lihat SK Operasional,2016-02-05 14,B,"2,160",1. Telkomsel Flash,2. Telkom Speedy,PLN,,,sdn_1_pangian@yahoo.co.id,,.774000000000,124.336400000000,13,55,67,7,Pagi/6 hari,,2022/2023-2,900,6,0,0,0,7,0,0,6,7,0,3,3,5,8,0,9,4,5,1,0,0,1,2,4,5,8,1,1,1,2,1,1,SD 2013,Telkomsel Flash,,,
Sulawesi Utara,Kab. Bolaang Mongondow,Passi Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0C561AC-30F5-E011-8443-83FC159CDC37,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40100477,SD NEGERI 1 POOPO,40100477,Desa Poopo Barat,POOPO BARAT,KEC. PASSI TIMUR,KAB. BOLAANG MONGONDOW,PROV. SULAWESI UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,1896/D.01/DIK/2015,08-10-2015,1896/D.01/DIK/2015,08-10-2015,Lihat SK Operasional,2016-02-15 12,B,"1,352",1. Telkom Speedy,2. Telkomsel Flash,PLN,,,sdn1poopo@gmail.com,http,.775900000000,124.347200000000,12,43,47,6,Pagi/6 hari,,2022/2023-2,450,6,0,1,2,8,0,0,4,5,2,4,1,7,5,0,9,3,5,0,0,0,2,3,2,3,9,1,1,1,1,1,1,SD 2013,Telkom Speedy,,,
Sulawesi Utara,Kab. Bolaang Mongondow,Passi Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/702862AC-30F5-E011-86E6-4B772C8F7585,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40100483,SD NEGERI 1 SINSINGON,40100483,Desa Sinsingon,SINSINGON,KEC. PASSI TIMUR,KAB. BOLAANG MONGONDOW,PROV. SULAWESI UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,01-03-1948,,01-01-1910,Silakan Upload SK,,B,"2,312",1. -,2. -,PLN,,,sdn1sinsingon@gmail.com,,.757900000000,124.204500000000,8,29,19,6,Sehari Penuh/5 hari,,2022/2023-2,0,6,0,0,0,5,1,0,2,4,2,2,0,2,6,0,5,3,0,0,2,0,0,5,1,3,5,1,1,1,1,1,1,SD 2013,Tidak Ada,,,
Sulawesi Utara,Kab. Bolaang Mongondow,Passi Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D03562AC-30F5-E011-BC29-B1AB83EC4893,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40100735,SD NEGERI 2 INSIL,40100735,INSIL,INSIL,KEC. PASSI TIMUR,KAB. BOLAANG MONGONDOW,PROV. SULAWESI UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,01-01-1978,,01-01-1910,Silakan Upload SK,,C,"2,500",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdnduainsil@gmail.com,,.800500000000,124.418200000000,11,27,25,6,Siang/6 hari,,2022/2023-2,450,3,0,1,0,6,0,1,4,5,3,0,3,4,7,0,6,5,1,3,1,0,0,5,1,5,6,1,1,1,1,1,1,SD 2013,Telkomsel Flash,,,
Sulawesi Utara,Kab. Bolaang Mongondow,Passi Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/90E679AC-30F5-E011-AE94-13E4ABC51A0F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40100592,SD NEGERI 2 PANGIAN,40100592,Desa Pangian,PANGIAN,KEC. PASSI TIMUR,KAB. BOLAANG MONGONDOW,PROV. SULAWESI UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,01-03-1975,,01-01-1975,Silakan Upload SK,,C,"1,000",1. Telkomsel Flash,2. -,PLN,,,sdnegeriduapangian@gmail.com,,.777700000000,124.343700000000,10,32,24,6,Pagi/6 hari,,2022/2023-2,"1,300",3,0,1,0,7,0,0,3,4,2,2,2,6,4,0,7,3,4,0,0,0,2,2,2,3,7,1,1,1,1,1,1,SD 2013,Telkomsel Flash,,,
Sulawesi Utara,Kab. Bolaang Mongondow,Passi Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A06962AC-30F5-E011-B151-BDE08BC16E38,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40100602,SD NEGERI 2 POOPO,40100602,Desa Poopo Barat,POOPO BARAT,KEC. PASSI TIMUR,KAB. BOLAANG MONGONDOW,PROV. SULAWESI UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,01-01-1978,,01-01-1910,Silakan Upload SK,,B,"1,886",1. Indosat IM3,2. Telkom Speedy,PLN,,,sdnegeri2poopo@gmail.com,http,.775300000000,124.347200000000,9,64,49,6,Pagi/6 hari,,2022/2023-2,900,6,0,1,2,8,0,0,1,1,3,2,3,7,2,0,7,2,1,0,0,0,1,3,4,2,7,1,1,1,1,1,1,SD 2013,Indosat IM3,,,
Sulawesi Utara,Kab. Bolaang Mongondow,Passi Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E08362AC-30F5-E011-A440-83C1798DA73B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40100653,SD NEGERI 2 SINSINGON,40100653,Desa Sinsingon,SINSINGON,KEC. PASSI TIMUR,KAB. BOLAANG MONGONDOW,PROV. SULAWESI UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,1655/D.01/DIK/2015,02-09-2015,1655/D.01/DIK/2015,02-09-2015,Lihat SK Operasional,2016-03-02 10,B,"1,974",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdn2sinsingon@yahoo.com,,.804800000000,124.415200000000,11,18,16,6,Sehari Penuh/5 hari,,2022/2023-2,450,3,0,1,0,8,0,0,3,3,1,3,4,6,5,2,6,3,3,0,1,0,1,2,4,2,9,1,1,1,1,1,1,SD 2013,Telkomsel Flash,,,
Sulawesi Utara,Kab. Bolaang Mongondow,Passi Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/907662AC-30F5-E011-9957-01325D8391E3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40100199,SD NEGERI 3 PANGIAN,40100199,Desa Pangian,PANGIAN,KEC. PASSI TIMUR,KAB. BOLAANG MONGONDOW,PROV. SULAWESI UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,01-01-1981,,01-01-1910,Silakan Upload SK,,B,"1,440",1. Telkomsel Flash,2. Telkom Speedy,PLN,,,sdn3pangian@gmal.com,,.768200000000,124.328400000000,13,38,30,6,Pagi/6 hari,,2022/2023-2,900,8,0,0,0,8,0,0,5,5,2,4,2,8,5,1,8,4,3,2,1,0,3,3,1,4,9,1,1,1,1,1,1,SD 2013,Telkomsel Flash,,,
