prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6
Sulawesi Selatan,Kab. Jeneponto,Turatea,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3D24B955-3375-421B-8DBB-6030231103EE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60727123,MIS AL-HIKAM,60727123,PITAPE,BUNGUNGLOE,KEC. TURATEA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,SWASTA,MI,Kementerian Agama,,,kd.21-13/PP.00.1/160/2005,10-10-2005,160 TAHUN 2010,09-07-2010,Lihat SK Operasional,2020-01-08 14,B,0,,2.,,,,,,-5.600100000000,119.793200000000,0,51,37,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Turatea,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E24FE284-E977-405B-9BCF-7E048757268A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60729553,MIS AL-IKHLAS PAITANA,60729553,PAITANA,BONTOMATENE,KEC. TURATEA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,SWASTA,MI,Kementerian Agama,,,268 Tahun 2011,10-10-2011,268 Tahun 2011,10-10-2011,Lihat SK Operasional,2019-08-29 16,C,537,,2.,,,,,,-5.618647000000,119.764365000000,0,19,12,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Turatea,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7C786188-588E-4498-9EE5-6A38E649C5F0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60729552,MIS BUQ`ATUN MUBARAKAH,60729552,LASSANGTENE,BUNGUNGLOE,KEC. TURATEA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,SWASTA,MI,Kementerian Agama,,,197 TAHUN 2011,02-08-2011,197 TAHUN 2011,02-08-2011,Lihat SK Operasional,2019-10-02 19,B,"5,325",,2.,,,,,,-5.628421000000,119.743595000000,0,34,43,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Turatea,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/956CDC40-7ED7-43A5-A2ED-E7FA0EE091F4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60729546,MIS MANGEPONG,60729546,LANTAKA,MANGEPONG,KEC. TURATEA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,SWASTA,MI,Kementerian Agama,,,02/YA/LTK/09/1981,13-07-1981,160 TAHUN 2010,09-07-2010,Lihat SK Operasional,2022-04-05 04,B,0,,2.,,,,,,-5.579900000000,119.767200000000,0,63,63,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Turatea,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B798F470-B9FA-4F4C-99CA-85771ECB7BCF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40319923,MTSS AL-HIKAM PITAPE,40319923,PITAPE,BUNGUNGLOE,KEC. TURATEA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,SWASTA,MTs,Kementerian Agama,,,Kd.21.13/pp.00.1/124/2008,06-12-2008,161 Tahun 2010,09-07-2010,Lihat SK Operasional,2019-08-27 22,B,"14,028",,2.,,,,,,-5.600100000000,119.793200000000,0,78,47,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Turatea,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5019D03F-1572-4D83-B382-DC17B0548EBE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60729725,MTSS AL-IKHLAS,60729725,GANTINGA,BONTOMATENE,KEC. TURATEA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,SWASTA,MTs,Kementerian Agama,,,124 Tahun 2008,06-12-2008,124 Tahun 2008,06-12-2008,Lihat SK Operasional,2019-08-29 16,B,537,,2.,,,,,,-5.606276000000,119.741609000000,0,13,10,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Turatea,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3EC42BCB-B11F-4209-A93D-0059D3FF9EFE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60729732,MTSS BABURRAHMAN JOMBE,60729732,JLN.PABETA DG NOMPO,JOMBE,KEC. TURATEA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,SWASTA,MTs,Kementerian Agama,,,No,31-07-2012,No,31-07-2012,Silakan Upload SK (link file tidak valid) => [444121-99084--],2021-05-07 10,B,"2,525",,2.,,,,,,-5.626600000000,119.738700000000,0,38,28,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Turatea,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/17EFF434-573D-4A8C-9351-BB5CC542FBA5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69983181,MTSS BUQ`ATUN MUBARAKAH,69983181,LASSANGTE`NE,BUNGUNGLOE,KEC. TURATEA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,SWASTA,MTs,Kementerian Agama,,,746 TAHUN 2018,29-06-2018,746 TAHUN 2018,29-06-2018,Lihat SK Operasional,2019-10-02 19,C,"5,235",,2.,,,,,,-5.611800000000,119.794700000000,0,41,58,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Turatea,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B08E0EDD-4023-4CB7-ADCE-E53A51D32DA6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60727679,MTSS DARUL IHSAN MUNTE,60727679,Munte,MANGEPONG,KEC. TURATEA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,SWASTA,MTs,Kementerian Agama,,,D/Kd.21-13/5MTs/012/2006,27-11-2006,D/Kd.21-13/5MTs/012/2006,27-11-2006,Lihat SK Operasional,2021-11-01 11,A,0,,2.,,,,,,-5.603900000000,119.756100000000,0,91,61,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Turatea,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4812DCD8-5504-4E4C-A563-0F2884FEA328,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60727680,MTSS GANRANG BATU,60727680,JL. SUNGAI KELARA,KAYULOE TIMUR,KEC. TURATEA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,SWASTA,MTs,Kementerian Agama,,,G/XXI-Tsn/79,01-11-1979,,01-11-1979,Lihat SK Operasional,2022-09-27 16,B,1,,2.,,,,,,-5.636700000000,119.763800000000,0,50,50,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
