prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6
Sulawesi Selatan,Kab. Jeneponto,Arungkeke,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A5C41039-BC91-4C69-9B0F-6A4A9FC35813,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69993416,MI DARUL AKRAM,69993416,ALLA-ALLA,BORONG LAMU,KEC. ARUNGKEKE,KAB. JENEPONTO,PROV. SULAWESI SELATAN,SWASTA,MI,Kementerian Agama,Lainnya,,528 TAHUN 2019,21-05-2019,528 TAHUN 2019,21-05-2019,Lihat SK Operasional,2022-08-31 08,,0,,2.,,,,,,-5.649800000000,119.829800000000,0,27,17,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Arungkeke,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/221A7B95-0BAC-4F80-8178-7FFB8BF8C979,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60727105,MIS DDI BARUGAYA,60727105,BARUGAYA,KAMPALA,KEC. ARUNGKEKE,KAB. JENEPONTO,PROV. SULAWESI SELATAN,SWASTA,MI,Kementerian Agama,,,188c.Tahun 2009,24-09-2009,188c Tahun 2009,24-09-2009,Lihat SK Operasional,2020-01-14 08,C,600,,2.,,,,,,-5.662900000000,119.792200000000,0,39,31,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Arungkeke,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4EAEA80F-AFAF-4BD6-8333-1EF5CD7479E8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70014151,MTs NURUL MUTTAQIN,70014151,Ta'baka Parambu,KEC. ARUNGKEKE,KAB. JENEPONTO,PROV. SULAWESI SELATAN,INDONESIA,SWASTA,MTs,Kementerian Agama,,,,,668 TAHUN 2021,30-06-2021,Silakan Upload SK (link file tidak valid) => [176961-853859-https,2021-10-26 13,,0,,2.,,,,,,.000000000000,.000000000000,0,16,6,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Arungkeke,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/415D54E7-C118-4077-8324-D319C395307F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60727666,MTSS AL-FALAH,60727666,JL. PENDIDIKAN NO. 1 TAMANROYA ARUNGKEKE,ARUNGKEKE,KEC. ARUNGKEKE,KAB. JENEPONTO,PROV. SULAWESI SELATAN,SWASTA,MTs,Kementerian Agama,,,4/XXI/TSN/79,01-11-1979,161 Tahun 2010,09-07-2010,Silakan Upload SK,,A,"12,206",,2.,,,,,,-5.664600000000,119.830100000000,0,134,105,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Arungkeke,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BD150462-2D95-44F9-897E-348C5F75506B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40319913,MTSS MANNILINGI,40319913,JL. M. DG. JALLING,BULO-BULO,KEC. ARUNGKEKE,KAB. JENEPONTO,PROV. SULAWESI SELATAN,SWASTA,MTs,Kementerian Agama,,,451.44/Kesra/VI/94,15-06-1994,451.44/Kesra/VI/94,15-06-1994,Lihat SK Operasional,2019-08-27 13,A,"15,853",,2.,,,,,,-5.690500000000,119.795900000000,0,214,199,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Arungkeke,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A5BAD7B3-2940-4EA7-9F65-034DA4577FA3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70024643,SMP IT KARSUT JENEPONTO,70024643,Dusun Monroloe,KAMPALA,KEC. ARUNGKEKE,KAB. JENEPONTO,PROV. SULAWESI SELATAN,SWASTA,SMP,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,01/YPKS/I/2021,02-01-2021,420/1327/DISDIKBUD-JP,22-09-2021,Lihat SK Operasional,2022-01-20 15,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Arungkeke,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/906C1DC4-0D26-E111-8B6E-EF539868490C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40302015,UPT SD NEGERI 1 ARUNGKEKE,40302015,Tamanroya,ARUNGKEKE,KEC. ARUNGKEKE,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,20.04.09.02.4.0006,31-12-1917,25 TAHUN 2021,03-06-2021,Lihat SK Operasional,2021-08-24 18,B,"2,064",1. -,2. Telkomsel Flash,PLN,,,sdn07lassanglassang@gmail.com,,-5.664300000000,119.829100000000,12,112,100,7,Pagi/6 hari,,2022/2023-2,900,7,0,1,0,6,0,0,6,8,2,2,0,3,9,0,7,5,2,1,2,2,1,4,0,2,10,,,,SD 2013,Tidak Ada,1,1,1,1,1,2
Sulawesi Selatan,Kab. Jeneponto,Arungkeke,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/10DD1DC4-0D26-E111-BB36-B71D38373511,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40301836,UPT SD NEGERI 10 ARUNGKEKE,40301836,Petang,ARUNGKEKE,KEC. ARUNGKEKE,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,0,01-01-1910,25 Tahun 2021,03-06-2021,Lihat SK Operasional,2021-08-19 16,B,"2,925",1. Telkomsel Flash,2. Indosat IM3,PLN,,,sd166petang@gmail.com,,-5.663400000000,119.845800000000,10,49,46,6,Pagi/6 hari,,2022/2023-2,0,3,0,1,1,3,0,0,7,7,2,0,1,4,6,1,7,2,1,2,0,1,4,1,1,1,9,,,,SD 2013,Telkomsel Flash,1,1,1,1,1,1
Sulawesi Selatan,Kab. Jeneponto,Arungkeke,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/00CF1EC4-0D26-E111-B80E-3BA1AAECCB6F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40302039,UPT SD NEGERI 11 ARUNGKEKE,40302039,Bontoloe,PALAJAU,KEC. ARUNGKEKE,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,3 JUNI 2021,29-07-1981,25 TAHUN 2021,01-01-1910,Lihat SK Operasional,2021-08-22 11,B,"2,578",1. -,2. Telkomsel Flash,PLN,082346458044,,,,-5.670300000000,119.806100000000,10,53,63,6,Pagi/6 hari,,2022/2023-2,900,3,0,0,0,7,0,0,3,3,0,5,2,8,2,0,9,1,0,1,2,4,1,2,0,2,8,,,,SD 2013,Tidak Ada,1,1,1,1,1,1
Sulawesi Selatan,Kab. Jeneponto,Arungkeke,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/303B3FBC-0D26-E111-9544-47DF65E3AEA4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40302038,UPT SD NEGERI 12 ARUNGKEKE,40302038,Buntulu,KAMPALA,KEC. ARUNGKEKE,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,31-12-1981,25 TAHUN 2021,03-06-2021,Lihat SK Operasional,2021-08-20 03,B,"1,215",1. XL (GSM),2. XL (GSM),PLN,,,sdi197sepeka@yahoo.com,,-5.694000000000,119.785600000000,10,106,79,6,Pagi/6 hari,,2022/2023-2,900,6,0,1,1,5,0,0,5,5,2,0,3,5,5,1,7,2,1,1,4,1,0,0,3,1,9,,,,SD 2013,XL (GSM),1,1,1,1,1,1
