prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Nusa Tenggara Timur,Kab. Lembata,Lebatukan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E00C6C39-033C-E111-852B-55A338A77069,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50304510,SD INPERS LODOTODOKOWA,50304510,Lodotodokowa-lebatukan,LODOTODOKOWA,KEC. LEBATUKAN,KAB. LEMBATA,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,,14-07-1990,,01-01-1910,Silakan Upload SK,,C,"4,200",1. -,2. Telkomsel Flash,PLN,,,,,-8.335300000000,123.639000000000,7,12,21,5,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,0,0,0,0,4,0,0,3,4,2,1,0,2,5,1,2,4,1,0,2,0,1,2,1,2,5,0,1,1,1,1,1,,,
Nusa Tenggara Timur,Kab. Lembata,Lebatukan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/204C6C39-033C-E111-85F6-79A96943351C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50304437,SD INPRES ILOWUTUNG,50304437,Ilowutung,LAMALELA,KEC. LEBATUKAN,KAB. LEMBATA,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,19-07-1995,,01-01-1910,Silakan Upload SK,,,900,1. -,2. Telkomsel Flash,PLN,,,sdiilowutung2021@gmail.com,,-8.383400000000,123.595500000000,7,16,16,5,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,300",5,0,1,2,5,0,0,2,3,1,3,0,3,4,0,6,1,0,3,0,0,1,1,2,4,3,1,1,0,1,1,1,,,
Nusa Tenggara Timur,Kab. Lembata,Lebatukan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0E56B39-033C-E111-877A-2B8576543076,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50304431,SD INPRES LAMADALE,50304431,Lamadale,LAMADALE,KEC. LEBATUKAN,KAB. LEMBATA,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,16 SEPTEMBER 2004,07-07-1982,119 TAHUN 2004,01-01-1910,Lihat SK Operasional,2021-08-05 08,B,"7,800",1. -,2. -,PLN,,,lamadalesdi@gmail.com,http,-8.320500000000,123.639100000000,8,20,26,6,SD 2013,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,900,6,0,1,2,2,0,0,6,6,0,2,0,3,5,0,7,1,3,1,0,1,1,2,0,2,6,1,1,1,1,1,1,,,
Nusa Tenggara Timur,Kab. Lembata,Lebatukan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20246C39-033C-E111-8BDA-1F3C44C37276,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50304512,SD INPRES LERAHINGA,50304512,Lerahinga,LERAHINGA,KEC. LEBATUKAN,KAB. LEMBATA,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,Tahun 1992,17-07-1991,120 Tahun 2006,20-09-2006,Lihat SK Operasional,2023-03-28 10,B,"2,500",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,,,-8.369300000000,123.560000000000,8,25,23,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,900,6,0,1,2,6,0,0,2,2,3,3,0,2,6,0,4,4,1,0,3,1,0,2,1,4,4,1,1,1,1,1,1,,,
Nusa Tenggara Timur,Kab. Lembata,Lebatukan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0F96B39-033C-E111-B1B5-0D59C2344C33,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50304524,SD INPRES MERDEKA,50304524,Merdeka,MERDEKA,KEC. LEBATUKAN,KAB. LEMBATA,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,119 Tahun 1984,01-01-1910,,01-01-1910,Silakan Upload SK,,C,"20,000",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,,,-8.366300000000,123.526100000000,7,44,43,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,900,3,0,1,0,6,0,0,1,1,1,5,0,4,3,0,5,2,0,0,3,1,1,1,1,0,7,1,1,1,1,1,1,,,
Nusa Tenggara Timur,Kab. Lembata,Lebatukan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80D16B39-033C-E111-A2E8-2320D0655755,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50304482,SD INPRES TANAHTEREKET,50304482,Lamatuka,LAMATUKA,KEC. LEBATUKAN,KAB. LEMBATA,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,,01-07-1992,,01-01-1910,Silakan Upload SK,,B,"13,470",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,yakobusboleng79@gmail.com,,-8.366400000000,123.496300000000,10,36,29,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,900,2,0,1,2,7,0,0,3,4,3,2,1,4,6,2,6,2,1,1,5,1,0,1,1,3,7,1,1,1,1,1,1,,,
Nusa Tenggara Timur,Kab. Lembata,Lebatukan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20386C39-033C-E111-9E57-D93F08937926,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50304481,SD INPRES TAPOBARAN,50304481,Tapobaran,TAPOBARAN,KEC. LEBATUKAN,KAB. LEMBATA,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,120 TAHUN 2006,27-07-1994,120 TAHUN 2006,27-07-1994,Lihat SK Operasional,2023-03-13 09,C,"5,000",1. -,2. -,PLN,,,,,-8.326800000000,123.600600000000,10,27,25,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,6,0,0,2,6,1,0,3,5,1,4,0,5,5,1,8,1,2,0,1,1,3,2,1,4,6,1,1,1,1,1,1,,,
Nusa Tenggara Timur,Kab. Lembata,Lebatukan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C0CC243A-033C-E111-AD6A-93C009A036A9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50304490,SD KATOLIK BALUREBONG,50304490,Balurebong,BALUREBONG,KEC. LEBATUKAN,KAB. LEMBATA,PROV. NUSA TENGGARA TIMUR,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN UMAT KATOLIK LEMBATA,AC8425,5910510811970,05-08-1970,A.10/652/2004,01-08-1954,Lihat SK Operasional,2023-03-14 10,,"3,024",1. -,2. -,PLN,,,sdkbalurebong@yahoo.com,http,-8.350200000000,123.663400000000,6,26,20,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,6,0,0,2,1,0,1,4,5,0,1,0,2,4,0,4,2,3,1,0,0,2,0,0,3,3,1,1,1,1,1,1,,,
Nusa Tenggara Timur,Kab. Lembata,Lebatukan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E07F243A-033C-E111-A12D-0D0A2D7389D6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50304366,SD KATOLIK HADAKEWA,50304366,Jl. Trans Lembata-RT/RW,HADAKEWA,KEC. LEBATUKAN,KAB. LEMBATA,PROV. NUSA TENGGARA TIMUR,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN UMAT KATOLIK LEMBATA,AC8425,15/K/FT/September/1993,15-09-1993,15/K/FT/September/1993,15-09-1993,Lihat SK Operasional,2023-01-27 08,C,"8,756",1. Lainnya (Wavelan),2. Lainnya (Wavelan),PLN,,,ruingoktovianus79@gmail.com,http,-8.370200000000,123.546400000000,10,63,59,7,SD 2013,Pagi/6 hari,,2022/2023-2,Lainnya (Wavelan),"1,300",7,0,1,2,6,0,4,0,4,2,4,0,4,6,0,8,2,1,0,2,4,0,2,1,5,5,1,1,1,2,1,1,,,
Nusa Tenggara Timur,Kab. Lembata,Lebatukan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E0A5243A-033C-E111-A21A-AB6FF7009308,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50304351,SD KATOLIK LAMATUKA,50304351,Hidalabi-Desa Banitobo-Kec. Lebatukan-Kab. Lembata-86281,BANITOBO,KEC. LEBATUKAN,KAB. LEMBATA,PROV. NUSA TENGGARA TIMUR,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN UMAT KATOLIK LEMBATA,AC8425,A.10/625/2004,01-08-1927,A.10/625/2004,12-10-2004,Silakan Upload SK (link file tidak valid) => [366103-333929--],2020-09-01 07,C,"10,000",1. Telkomsel Flash,2. Telkomsel Flash,Tidak Ada,,,sdklamatukahidalabi@gmail.com,http,-8.397700000000,123.568700000000,4,13,14,4,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,0,6,0,1,0,1,0,1,2,3,1,0,0,0,4,0,1,3,1,1,1,0,0,1,0,1,3,0,1,1,0,1,1,,,
