prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,akses_internet_sekolah_kita,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Maluku Utara,Kab. Pulau Taliabu,Taliabu Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/70B27640-2AF5-E011-9EF4-51801C97080C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60202486,SD INPRES SAMUYA,60202486,Jl. Taman Siswa,SAMUYA,KEC. TALIABU TIMUR,KAB. PULAU TALIABU,PROV. MALUKU UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,420/02/01/1979,02-01-1979,420/02/01/1979,02-01-1979,Silakan Upload SK,,C,"12,000",,2.,,,,,,-1.701100000000,125.108500000000,6,0,0,0,SD 2013,,,2022/2023-2,,0,0,0,0,1,0,0,5,5,1,0,0,1,5,5,0,1,1,1,2,1,0,1,0,3,3,,,,,,,,,,
Maluku Utara,Kab. Pulau Taliabu,Taliabu Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9157265E-37CB-4E95-823A-1A44F274EECE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69786340,SD NEGERI FAGO,69786340,Jl. Taman Siswa,TUBANG,KEC. TALIABU TIMUR,KAB. PULAU TALIABU,PROV. MALUKU UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,420/017/DIKBUD-PT/VII/2013,15-07-2013,420/017/DIKBUD-PT/VII/2013,15-07-2013,Silakan Upload SK,,C,"1,000",1. -,2. -,Lainnya,,,sdnegerifago@yahoo.com,,-1.759600000000,124.689800000000,5,30,24,6,SD 2013,Pagi/6 hari,,2022/2023-2,0,6,0,0,1,3,0,0,2,2,0,2,1,1,4,2,2,1,1,0,2,1,0,0,1,2,3,1,1,1,1,1,1,Tidak Ada,,,
Maluku Utara,Kab. Pulau Taliabu,Taliabu Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8F71002A-BC2F-4839-AD8A-9119C5BE0975,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69786339,SD NEGERI MEANG,69786339,Jl. Taman Siswa,TUBANG,KEC. TALIABU TIMUR,KAB. PULAU TALIABU,PROV. MALUKU UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,420/016/DIKBUD-PT/VII/2013,15-07-2013,420/016/DIKBUD-PT/VII/2013,15-07-2013,Silakan Upload SK,,C,"2,000",1. -,2. -,Menumpang,,,,,-1.880100000000,124.923600000000,3,19,19,6,SD 2013,Pagi/6 hari,,2022/2023-2,250,6,0,0,0,0,0,0,3,3,0,0,0,0,3,0,1,2,1,1,1,0,0,0,0,0,3,1,1,1,1,1,1,Tidak Ada,,,
Maluku Utara,Kab. Pulau Taliabu,Taliabu Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/90BF7640-2AF5-E011-97A2-096C330A082B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60200563,SD NEGERI PARIGI,60200563,Jl. Taman Siswa,PENU,KEC. TALIABU TIMUR,KAB. PULAU TALIABU,PROV. MALUKU UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,420/26/12/1971,26-12-1971,420/26/12/1971,26-12-1971,Silakan Upload SK,,C,"2,565",1. -,2. -,Tidak Ada,,,sdnegeriparigi@gmail.com,http,-1.735200000000,125.197100000000,9,49,46,6,SD 2013,Pagi/6 hari,,2022/2023-2,0,6,0,1,2,3,0,0,6,6,2,1,0,1,8,2,4,3,2,2,1,2,0,1,1,3,6,1,1,1,1,1,1,Tidak Ada,,,
Maluku Utara,Kab. Pulau Taliabu,Taliabu Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80527640-2AF5-E011-B8F3-EF9A903DE0AA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60200480,SD NEGERI PENU,60200480,"Jl. Mansur Djakaria, Desa Penu",PENU,KEC. TALIABU TIMUR,KAB. PULAU TALIABU,PROV. MALUKU UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,420/234/KPTS/1962,28-07-1962,420/235/KPTS/1962,28-07-1962,Silakan Upload SK,,C,"3,465",1. XL (GSM),2. Telkomsel Flash,Diesel,,,sdnegeripenu@gmail.com,http,-1.791100000000,125.031500000000,8,56,65,6,SD 2013,Pagi/6 hari,,2022/2023-2,"5,000",5,0,1,2,1,0,0,7,7,0,1,0,0,8,0,3,5,6,1,0,1,0,0,0,3,5,1,1,1,1,1,1,XL (GSM),,,
Maluku Utara,Kab. Pulau Taliabu,Taliabu Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C0045C40-2AF5-E011-92D4-118B6D9C2FF0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60200615,SD NEGERI TUBANG,60200615,Jl. Taman Siswa,TUBANG,KEC. TALIABU TIMUR,KAB. PULAU TALIABU,PROV. MALUKU UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,420/13/03/1994,13-03-1994,420/13/03/1994,13-03-1994,Silakan Upload SK,,B,"10,000",1. -,2. -,Diesel,,,sdnegeritubang@yahoo.com,,-1.813100000000,125.189400000000,9,20,19,6,SD 2013,Pagi/6 hari,,2022/2023-2,"3,000",3,0,0,2,2,0,0,7,7,0,2,0,1,8,0,7,2,5,1,1,1,0,1,0,5,4,1,1,1,1,1,1,Tidak Ada,,,
Maluku Utara,Kab. Pulau Taliabu,Taliabu Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80D02A41-2AF5-E011-AF56-71A62B2E8E92,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60202087,SMP NEGERI 1 TALIABU TIMUR,60202087,Jl. Hi. Hasan Budaya,PARIGI,KEC. TALIABU TIMUR,KAB. PULAU TALIABU,PROV. MALUKU UTARA,NEGERI,SMP,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,15/07/2005,15-07-2005,15/07/2005,15-07-2005,Silakan Upload SK (link file tidak valid) => [555954-55037--],2021-12-17 09,C,"19,500",1.,2.,Diesel,,,,,-1.811100000000,125.151600000000,8,32,16,3,SMP 2013,Pagi/6 hari,,2022/2023-2,900,3,1,1,4,2,1,0,5,7,0,1,0,0,8,0,8,0,2,4,2,0,0,0,0,6,2,,,,,,,XL (GSM),1,1,1
Maluku Utara,Kab. Pulau Taliabu,Taliabu Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E0EB2A41-2AF5-E011-8AF4-3B0AE2F3F708,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60202090,SMP NEGERI 2 SATU ATAP TALIABU TIMUR,60202090,Jl. Raya Samuya,SAMUYA,KEC. TALIABU TIMUR,KAB. PULAU TALIABU,PROV. MALUKU UTARA,NEGERI,SMP,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,420/05/2006,24-10-2006,420/05/2006,24-10-2006,Silakan Upload SK,,C,"10,000",1. -,2. -,Diesel,,,smpnegeri2satuataptaltim@gmail.com,,-1.867000000000,124.609200000000,17,49,34,3,SMP 2013,Pagi/6 hari,,2022/2023-2,450,3,0,1,2,2,0,0,15,16,0,0,1,2,15,0,15,2,5,7,3,1,0,1,0,6,11,,,,,,,Tidak Ada,1,1,1
Maluku Utara,Kab. Pulau Taliabu,Taliabu Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/402BA1DA-D919-E211-B06F-2D197F201E7B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60202565,SMP NEGERI 3 SATU ATAP TALIABU TIMUR,60202565,Jl. Taman Siswa,TUBANG,KEC. TALIABU TIMUR,KAB. PULAU TALIABU,PROV. MALUKU UTARA,NEGERI,SMP,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,420/130/2009,31-05-2009,420/130/2009,31-05-2009,Silakan Upload SK,,C,"10,000",1. -,2. -,Diesel,,,smpnegeri3satuataptaliabutimur@yahoo.com,,-1.812900000000,125.216300000000,17,23,15,3,SMP 2013,Pagi/6 hari,,2022/2023-2,"3,000",3,1,1,2,12,0,0,5,15,0,2,0,2,15,0,14,3,6,7,1,2,0,1,0,11,6,,,,,,,Tidak Ada,1,1,1
Maluku Utara,Kab. Pulau Taliabu,Taliabu Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20A2D2C3-5993-4C20-9677-B20664F25716,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69786343,SMP NEGERI 4 SATU ATAP TALIABU TIMUR,69786343,"Jl. M. Jakaria, Penu",PENU,KEC. TALIABU TIMUR,KAB. PULAU TALIABU,PROV. MALUKU UTARA,NEGERI,SMP,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,420/020/DIKBUD-PT/VII/201,15-07-2013,420/020/DIKBUD-PT/VII/201,15-07-2013,Silakan Upload SK,,C,"4,000",1. XL (GSM),2. -,Lainnya,,,smpnegeri4satuataptaliabutimur@gmail.com,,-1.701800000000,125.109200000000,14,42,44,4,SMP 2013,Pagi/6 hari,,2022/2023-2,0,2,1,1,2,0,1,0,13,14,0,0,0,1,13,3,10,1,5,3,5,0,1,0,0,6,8,,,,,,,XL (GSM),1,2,1
