prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,akses_internet_sekolah_kita,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Jawa Tengah,Kab. Banyumas,Baturaden,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9BCEA853-58CF-4FA3-BD42-572EDB45AE54,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60710338,MIS AL MASRURIYAH KEBUMEN,60710338,JLN MASJID KEBUMEN RT 06/01 KECAMATAN BATURRADEN KABUPATEN BANYUMAS,KEBUMEN,KEC. BATURADEN,KAB. BANYUMAS,PROV. JAWA TENGAH,SWASTA,MI,Kementerian Agama,,,Kd.11.02/4/PP.00/3364/2012,03-09-2012,Kd.11.02/4/PP.00/3364/2012,03-09-2012,Lihat SK Operasional,2021-04-26 10,A,0,,2.,,,,,,-7.366000000000,109.228500000000,0,124,113,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Tengah,Kab. Banyumas,Baturaden,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E5251600-0110-4322-A477-36C49C4E2D7F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20363414,MTsS AL MASRURIYAH BATURADEN,20363414,JL. Ponpes Al Masruriyah RT 01 RW 02,KEBUMEN,KEC. BATURADEN,KAB. BANYUMAS,PROV. JAWA TENGAH,SWASTA,MTs,Kementerian Agama,,,Wk./5.c/156/Pgm/Ts/1987,19-01-1987,Kd.II.02/4/PP.00/3592/2012,27-09-2012,Lihat SK Operasional,2016-07-01 09,A,0,,2.,,,,,,-7.366600000000,109.228600000000,0,109,82,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Tengah,Kab. Banyumas,Baturaden,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6CF816BE-C02B-472A-8FA0-4CCB1FE5CDAE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69888674,SD ALAM BATURRADEN,69888674,Kawasan Hutan Damar Perhutani Baturraden,KEMUTUG LOR,KEC. BATURADEN,KAB. BANYUMAS,PROV. JAWA TENGAH,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.2/365/2014,20-12-2014,421.2/365/2014,20-12-2014,Lihat SK Operasional,2015-02-05 11,B,0,,2.,,,,sabaturraden@gmail.com,http,-7.311623300000,109.234778300000,6,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,6,2,6,0,0,0,0,6,0,6,0,6,0,0,0,0,0,0,3,3,SD 2013,,,,,,,,,,
Jawa Tengah,Kab. Banyumas,Baturaden,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7F930AF5-0481-4BD9-8B0D-8030C82E67C6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69990867,SD Darul Quran Al-Karim,69990867,Jl. Raya Baturraden Jalur Barat RT 3/4,KARANGTENGAH,KEC. BATURADEN,KAB. BANYUMAS,PROV. JAWA TENGAH,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pondok Pesantren Modern Darul Qur'an Al-Karim,AA6191,421.2/118/2019,23-01-2019,421.2/118/2019,23-01-2019,Lihat SK Operasional,2019-09-23 15,,432,1. Telkom Speedy,2. Telkom Speedy,PLN,,,sddaqu2@gmail.com,http,-7.342354500000,109.222539700000,13,71,51,4,Siang/6 hari,,2022/2023-2,"1,300",4,0,0,2,0,0,1,13,13,0,0,0,0,13,0,9,4,9,4,0,0,0,0,0,4,9,SD Merdeka,1,1,1,1,0,0,Telkom Speedy,,,
Jawa Tengah,Kab. Banyumas,Baturaden,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2F360C3F-5C38-4CF1-9BC3-64762B0FC2BE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69882339,SD ISLAM AL AZHAR 39 PURWOKERTO,69882339,Jl. Raya baturraden KM.6 PANDAK,PANDAK,KEC. BATURADEN,KAB. BANYUMAS,PROV. JAWA TENGAH,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Darun Nujaba,AA6187,257/2013,25-03-2013,257/2013,25-03-2013,Lihat SK Operasional,2014-12-27 01,A,"1,275",1. Biznet (Kabel),2. Telkom Speedy,PLN,02816573006,02816573006,alazhar39pwt@yahoo.com,,-7.383640000000,109.242905000000,10,98,93,6,Sehari Penuh/5 hari,,2022/2023-2,"11,000",6,0,1,2,0,0,12,0,10,0,0,0,5,5,0,8,2,2,5,2,1,0,0,0,4,6,SD 2013,1,1,1,1,1,1,Biznet (Kabel),,,
Jawa Tengah,Kab. Banyumas,Baturaden,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/70739455-2DF5-E011-A44B-F749A13E282D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20302018,SD N 1 KARANGTENGAH,20302018,Jl.Raya Baturraden Barat No 73,KARANGTENGAH,KEC. BATURADEN,KAB. BANYUMAS,PROV. JAWA TENGAH,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,421.2/026/IV/41/85,01-04-1985,421.2/026/IV/41/85,01-04-1985,Silakan Upload SK (link file tidak valid) => [403163-788277--],2020-12-14 09,B,0,1. -,2. Telkom Speedy,PLN,,0281681618,karangtengahsijibtrdn73@gmail.com,,-7.344900000000,109.225000000000,9,77,82,6,Sehari Penuh/5 hari,,2022/2023-2,900,3,0,1,0,4,1,0,4,7,0,2,0,7,2,0,8,1,2,3,1,2,0,0,1,3,6,SD 2013,1,1,1,1,1,1,Tidak Ada,,,
Jawa Tengah,Kab. Banyumas,Baturaden,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F0659455-2DF5-E011-B6E0-09FEFDCDCFE9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20302781,SD N 1 KEMUTUG KIDUL,20302781,Jl.raya Desa Kemutug Kidul,KEMUTUG KIDUL,KEC. BATURADEN,KAB. BANYUMAS,PROV. JAWA TENGAH,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,421.2/026/IV/41/85,01-04-1985,421.2/026/IV/41/85,01-04-1985,Lihat SK Operasional,2022-04-14 12,A,"1,848",1. Telkomsel Flash,2. Telkom Speedy,PLN,,0281681467,sdn1kemukid@gmail.com,,-7.338800000000,109.237000000000,6,75,70,6,Sehari Penuh/5 hari,,2022/2023-2,900,6,0,1,7,3,0,0,3,5,0,1,0,5,1,0,6,0,1,2,2,0,0,0,1,1,5,SD 2013,1,1,1,1,1,1,Telkomsel Flash,,,
Jawa Tengah,Kab. Banyumas,Baturaden,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E0A89455-2DF5-E011-89F7-7D55D07B31ED,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20302782,SD N 1 KEMUTUG LOR,20302782,Jl.desa Kemutug Lor,KEMUTUG LOR,KEC. BATURADEN,KAB. BANYUMAS,PROV. JAWA TENGAH,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,421.2/026/IV/41/85,15-09-1954,421.2/026/IV/41/85,01-04-1985,Silakan Upload SK,,A,"1,928",1. Indosat IM3,2. Telkom Speedy,PLN,0,0281681161,sdnsatu_kemutuglor@yahoo.co.id,,-7.320400000000,109.232300000000,11,105,108,8,Sehari Penuh/5 hari,,2022/2023-2,"2,200",0,0,1,6,5,1,0,5,7,1,1,2,5,6,0,6,5,1,0,2,2,2,2,2,5,6,SD 2013,1,1,1,1,2,2,Indosat IM3,,,
Jawa Tengah,Kab. Banyumas,Baturaden,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/208E9455-2DF5-E011-8D5C-C30F82FCC1BE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20302785,SD N 1 KETENGER,20302785,Jl.raya Baturraden Barat No 34,KETENGER,KEC. BATURADEN,KAB. BANYUMAS,PROV. JAWA TENGAH,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,421.2/026/IV/41/85,01-01-1910,421.2/026/IV/41/85,01-04-1985,Lihat SK Operasional,2015-05-21 13,A,"1,080",1. Telkom Speedy,2. Telkom Speedy,PLN,,0281681846,sdnegeri1ketenger@yahoo.com,,-7.329600000000,109.225300000000,7,69,85,6,Pagi/6 hari,,2022/2023-2,900,6,0,1,2,4,0,0,3,4,0,2,1,5,2,0,6,1,2,0,2,1,0,1,1,3,4,SD 2013,1,1,1,1,1,1,Telkom Speedy,,,
Jawa Tengah,Kab. Banyumas,Baturaden,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/003E9455-2DF5-E011-8326-013FB0524140,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20302727,SD N 1 PANDAK,20302727,Jl.raya Baturraden Timur  No.38,PANDAK,KEC. BATURADEN,KAB. BANYUMAS,PROV. JAWA TENGAH,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,SD/KEP/PDK.17/1/4,16-07-1971,421.2/026/IV/41/85,01-04-1985,Silakan Upload SK,,B,"2,100",1. -,2. Telkom Speedy,PLN,,,sdnpandak.1@gmail.com,,-7.376800000000,109.240600000000,9,24,34,6,Sehari Penuh/5 hari,,2022/2023-2,900,5,0,1,2,6,0,0,3,4,1,2,2,7,2,0,7,2,2,2,0,2,0,0,3,1,8,SD 2013,1,1,1,1,1,1,Tidak Ada,,,
