prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan
Jawa Tengah,Kota Salatiga,Sidorejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0F2CE12D-91BF-4545-83E5-FE639F98E438,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5667280,Lembaga Bimbingan Belajar IPIEMS,K5667280,Jalan Margosari PR No. 2 Salatiga,SALATIGA,KEC. SIDOREJO,KOTA SALATIGA,PROV. JAWA TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,503.16/02/206/2016,18-05-2014,503.16/02/206/2016,18-05-2016,Lihat SK Operasional,2016-11-25 23,,365,,2.,,,0298321184,ipiems_salatiga@yahoo.com,,.000000000000,.000000000000,0,0,0,0,KBK Umum,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Tengah,Kota Salatiga,Sidorejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/23E23FC2-478B-41D1-A038-D24D6B1FFADC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5665909,Lembaga Pendidikan YASA LUHUR,K5665909,Jl. Imam Bonjol No. 54,SIDOREJO LOR,KEC. SIDOREJO,KOTA SALATIGA,PROV. JAWA TENGAH,SWASTA,Kursus,KKNI Level 1 dan KKNI Level 3,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Yay. Yasa Luhur,AE1512,No. 13,21-11-2005,503.16/02/411/2018,04-05-2018,Lihat SK Operasional,2020-02-04 09,Terakreditasi,"1,265",,2.,,,,arjati@yahoo.co.id,,-7.319600000000,110.491800000000,0,0,0,2,KBK Teknologi Informasi dan Komunikasi,,,2022/2023-2,,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jawa Tengah,Kota Salatiga,Sidorejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5C03E1F9-2782-4169-95AC-476E6B6EEA32,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5668422,LKP Bimbel Neutron,K5668422,Jl. Imam Bonjol No. 5,SIDOREJO LOR,KEC. SIDOREJO,KOTA SALATIGA,PROV. JAWA TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,503.16/10/206/2014,02-07-2014,503.16/10/206/2014,02-07-2014,Lihat SK Operasional,2017-11-27 16,,590,,2.,,0298328950,0298328950,sltg1.ny@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Tengah,Kota Salatiga,Sidorejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/838E80E6-F40C-4B54-BF9F-B1595478CC05,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5665914,LKP MITRA WIJAYA,K5665914,"JL. DIPONEGORO NO. 68 / 07 SENTRAL PLAZA SALATIGA, Jateng",SALATIGA,KEC. SIDOREJO,KOTA SALATIGA,PROV. JAWA TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,503.16/06/206/2014,07-08-1993,503.16/01/411/2019,14-01-2019,Lihat SK Operasional,2020-11-18 12,B,100,,2.,,,0298322639,lkp.mitrawijaya@gmail.com,www..mitrawijaya.simplesite.com,-7.318906000000,110.497273000000,0,0,0,0,KBK Teknologi Informasi dan Komunikasi,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jawa Tengah,Kota Salatiga,Sidorejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7C0AA92E-2297-4DBA-A3EC-1AE28413D54D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5665957,LKP Yeti English Course,K5665957,Jl. Kemiri Raya No.793 Rt.2 Rw.11 Kel.Salatiga Kec.Sidorejo Kota.Salatiga Jawa T,SALATIGA,KEC. SIDOREJO,KOTA SALATIGA,PROV. JAWA TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,503.16/14/206/2014,10-10-2010,503.16/14/206/2014,10-10-2014,Silakan Upload SK,,,0,,2.,,,0298312176,esap.db73@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Tengah,Kota Salatiga,Sidorejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/35A8580A-FD4D-439F-AFD8-2FDD97DCFE40,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5665908,LPK ARVIAN,K5665908,JL. CEMARA RAYA NO. 26,SALATIGA,KEC. SIDOREJO,KOTA SALATIGA,PROV. JAWA TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,503.16/06/206/2014,16-06-2014,503.16/06/206/2014,16-06-2014,Silakan Upload SK,,Terakreditasi,150,,2.,,0298326074,,lpkarvian@yahoo.com,,.000000000000,.000000000000,0,0,0,0,KBK Kesehatan,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Tengah,Kota Salatiga,Sidorejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A5ABE4EA-AA33-42BD-A3A0-A43FD0DC5FAD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5665903,LPK KARTIKA SINAR PERSADA,K5665903,"Jl. Osamaliki No. 537, RT. 03. RW. 10",SIDOREJO LOR,KEC. SIDOREJO,KOTA SALATIGA,PROV. JAWA TENGAH,SWASTA,Kursus,"KKNI Level 1, KKNI Level 2,  dan KKNI Level 3","Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,AE1513,503/Pendidikan/IPPNF/005/411/IV/2021,13-04-2021,503/Pendidikan/IPPNF/005/411/IV/2021,13-04-2021,Silakan Upload SK (link file tidak valid) => [797101-986060--],2023-03-10 16,Terakreditasi,559,,2.,,0298323894,0298323894,kartikasinarpersada@yahoo.com,http,-7.324500000000,110.495500000000,0,0,0,5,KBK Teknologi Informasi dan Komunikasi,,,2022/2023-2,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jawa Tengah,Kota Salatiga,Sidorejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BCD3E262-423C-4918-BF9C-DABFF2E7663D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5665918,LPK PUSPA SARI,K5665918,JL. SINOMAN TEMPEL NO. 737 SALATIGA,SIDOREJO LOR,KEC. SIDOREJO,KOTA SALATIGA,PROV. JAWA TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,AE1514,503/16/12/206/2014,10-07-2010,503/16/10/411/2017,26-09-2017,Lihat SK Operasional,2021-10-29 07,Terakreditasi,200,,2.,,,,ratmawaty11@gmail.com,http,-7.318844500000,110.492933800000,0,0,0,0,KBK Pariwisata,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jawa Tengah,Kota Salatiga,Sidorejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/41D4E816-8499-416D-83FB-0EAE73AAFBB2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5665925,LPP  UNISTAMA,K5665925,"Jl. Pramuka No.17 Rt.03 Rw. 05, Kel. Salatiga Kec. Sidorejo Salatiga 50711",SALATIGA,KEC. SIDOREJO,KOTA SALATIGA,PROV. JAWA TENGAH,SWASTA,Kursus,KKNI Level 1 dan KKNI Level 2,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN UNIVERSAL ISLAM UTAMA (YUNISTAMA),AE1515,503.20/01/206/2015,23-06-2010,503.16/002/2012,08-02-2012,Lihat SK Operasional,2019-03-11 09,Terakreditasi,0,,2.,,,0298326138,lkp_unistama@yahoo.com,unistama.com,-7.322600000000,110.470000000000,0,0,0,5,KBK Teknologi Informasi dan Komunikasi,,,2022/2023-2,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jawa Tengah,Kota Salatiga,Sidorejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/10568391-32C0-402C-8AAB-191D3C51213E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9934621,PKBM KARISMA,P9934621,Jl. Fatmawati Dk. Modangan RT.02 RW.VIII Blotongan,BLOTONGAN,KEC. SIDOREJO,KOTA SALATIGA,PROV. JAWA TENGAH,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,421.9/11.62,20-09-2007,421.9/11.62,12-02-2015,Lihat SK Operasional,2016-04-20 15,B,210 m2,1. Indosat IM3,2. Lainnya (Serat Optik),PLN,,,pkbmkarismasl3@gmail.com,,-7.295257400000,110.477075300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
