prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan
Jawa Timur,Kab. Blitar,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F50B262B-C8FA-49B6-B391-7BD82713EE1E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69958634,Darul Karomah,69958634,Jl Mt Haryono Gg 14 Mandaranrejo,BALE REJO,KEC. PANGGUNGREJO,KAB. BLITAR,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Timur,Kab. Blitar,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0208060E-B8A3-45FE-8F4F-432BFEF8D8C4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69957489,Darussalam,69957489,Jl. Mt Haryono 22/7,BALE REJO,KEC. PANGGUNGREJO,KAB. BLITAR,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Timur,Kab. Blitar,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B2EBCB80-8E31-42B9-B150-0935AA687734,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69957492,Kh. M. Dahlan,69957492,Jl. Mt. Haryono 02 Mandaranrejo,BALE REJO,KEC. PANGGUNGREJO,KAB. BLITAR,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Timur,Kab. Blitar,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9DCA667F-5EA8-4D8E-AF83-942972936CFE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69951723,PPS Al-Munawwaroh,69951723,Jl. KH. Abdul Hamid IX / 49,KEC. PANGGUNGREJO,KAB. BLITAR,PROV. JAWA TIMUR,INDONESIA,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Timur,Kab. Blitar,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/28A1EE9F-F522-4E61-A2AD-0929A216015C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69951722,PPS Darul Karomah,69951722,Jl. MT Haryono VIII/14,BALE REJO,KEC. PANGGUNGREJO,KAB. BLITAR,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Timur,Kab. Blitar,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4B97A066-2AAE-4FE3-93B0-B140BAC1B847,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69951728,PPS KH.M.Dahlan,69951728,Jl.MT.Haryono No 2 Mandaranrejo,KEC. PANGGUNGREJO,KAB. BLITAR,PROV. JAWA TIMUR,INDONESIA,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Timur,Kab. Blitar,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FC660EC5-AE24-4687-B86C-20CFD7DABCE6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69951725,PPS Roudlotul Qur an,69951725,Jl KH Abdul Hamid 105,KALI GAMBIR,KEC. PANGGUNGREJO,KAB. BLITAR,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Timur,Kab. Blitar,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2AD61707-7F1F-42C7-873A-147B579C1801,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69951729,PPS Sabiluth Thoyyib,69951729,Jl. Cemara Gang 10 Bugul Lor,SUMBER AGUNG,KEC. PANGGUNGREJO,KAB. BLITAR,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Timur,Kab. Blitar,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/112094C8-2FA7-4530-AE32-83FF4ABD5F88,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69951721,PPS Tarbiyatus Salafiyah,69951721,JL. Hang Tuah VII Rt.01 Rw.02,KALITENGAH,KEC. PANGGUNGREJO,KAB. BLITAR,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Timur,Kab. Blitar,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/521803DF-69CB-470C-B6F9-74ECCE93AAB2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69958632,Sabiluth Thoyyib,69958632,Jl. Cemara Gang 10 Bugul Lor,SUMBER AGUNG,KEC. PANGGUNGREJO,KAB. BLITAR,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
