prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,program_/_layanan,kurikulum
Jawa Timur,Kab. Pamekasan,Pamekasan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80D322A5-3284-4465-8600-14AF0AA72890,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69957504,Babus Salam,69957504,Kel. Kangenan,TEJAH BARAT,KEC. PAMEKASAN,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,B-414/Kk.13.22.3/PP.00.7/08/2020,17-08-2020,B-414/Kk.13.22.3/PP.00.7/08/2020,17-08-2020,Lihat SK Operasional,2022-03-22 11,,0,,2.,,,,,,.000000000000,.000000000000,0,45,42,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Jawa Timur,Kab. Pamekasan,Pamekasan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FADF7654-226C-48BB-9736-EB3D8453EF08,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5668586,LKP ADI RAMA EDUCATION CENTRE,K5668586,Jln. Kangenan No. 37 - B,KANGENAN,KEC. PAMEKASAN,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,411.33/224/432.412/2017,15-11-2017,841/4953/432.301/2017,15-12-2017,Lihat SK Operasional,2017-12-22 16,,"5,000",,2.,,,,adijaya68@yahoo.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,KBK Umum
Jawa Timur,Kab. Pamekasan,Pamekasan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/13376DB2-4659-466F-9331-278DE500FCC4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5657712,LKP BASMALAH,K5657712,Jl. Gatot Koco VII No. 7 Pamekasan,KOLPAJUNG,KEC. PAMEKASAN,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,411.33/526/432.412/2016,26-11-2015,841/460/432.302/2016,29-01-2016,Lihat SK Operasional,2016-11-21 12,,0,,2.,,,,lkp.basmalah@gmail.com,lkpbasmalah.blogspot.com,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Jawa Timur,Kab. Pamekasan,Pamekasan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F0F16203-F208-4310-A441-8855953D10B5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5657713,LKP FAMILY INSTITUTE,K5657713,Jl. Jingga No. 109 Pamekasan,BARURAMBAT KOTA,KEC. PAMEKASAN,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,411.33/227/432.412/2016,29-11-2016,841/6070/432.302/2016,09-12-2016,Lihat SK Operasional,2016-11-25 08,,500,,2.,,,,lkp.familyinstitute@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,KBK Teknologi Informasi dan Komunikasi
Jawa Timur,Kab. Pamekasan,Pamekasan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F6F23160-F197-4AA3-84C8-85302A9EAE27,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9980866,LKP KORMA,K9980866,Jln. Bazar,BUGIH,KEC. PAMEKASAN,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,8120114181522,12-11-2018,800/4579/432.301/2018,19-11-2018,Lihat SK Operasional,2018-11-22 13,,450,,2.,,,,mohsukardi88@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Jawa Timur,Kab. Pamekasan,Pamekasan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80C929B8-523E-4DF3-8C70-08C7CD1C6EF9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5657683,LKP Lembaga Kursus Indonesia (LKI),K5657683,Jln. Masjid Bagandan No. 154,JUNGCANGCANG,KEC. PAMEKASAN,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,9120000771623,12-07-2019,421.9/2209/432.301/2019,06-08-2019,Lihat SK Operasional,2019-08-06 13,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,KBK Teknologi Informasi dan Komunikasi
Jawa Timur,Kab. Pamekasan,Pamekasan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C802000B-CB31-4875-924C-9A7EC41ABC78,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5657689,LKP LKBB Quantum,K5657689,Jln. KH. Agus Salim No. 12 Pamekasan,BARURAMBAT KOTA,KEC. PAMEKASAN,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,AE6033,411.33/31/432.412/2015,21-04-2015,841/212/432.301/2015,09-06-2015,Silakan Upload SK,,Terakreditasi,0,,2.,,,,lkbbquantum@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Jawa Timur,Kab. Pamekasan,Pamekasan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/397DCC31-4CA1-4C15-BCE0-E8D5E0BDB760,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5657672,LKP Maja Computer Information,K5657672,Jl.Raya Teja Timur 218 B,TEJAH TIMUR,KEC. PAMEKASAN,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,411.33/054/432.412/2016,03-03-2016,841/1021/432.302/2016,03-03-2016,Lihat SK Operasional,2018-01-10 09,C,0,,2.,,,0324333235,majacompinfo@yahoo.co.id,www.majacompinfo.co.cc,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,KBK Teknologi Informasi dan Komunikasi
Jawa Timur,Kab. Pamekasan,Pamekasan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7CA30DEB-B086-4AFD-946D-28BA0A43C0DE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5657688,LKP Management Education Centre,K5657688,Jl. Purba No. 38 Pamekasan,BARURAMBAT KOTA,KEC. PAMEKASAN,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,411.33/264/432.316/2017,12-12-2017,841/4983/432.301/2017,18-12-2017,Lihat SK Operasional,2020-06-15 09,Terakreditasi,0,,2.,,,,new_mec@ymail.com,,-7.165500000000,113.484200000000,0,0,0,16,,,2022/2023-2,,0,0,0,0,0,1,10,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,"KKNI Level 1, KKNI Level 3,  dan KKNI Level 4",KBK Teknologi Informasi dan Komunikasi
Jawa Timur,Kab. Pamekasan,Pamekasan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/982DB1B4-9BBF-4C0F-A0C1-A3C5BEB55A66,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5657697,LKP Mentari Bangkit,K5657697,Jl. K.H. Cokroatmojo No. 78,PARTEKER,KEC. PAMEKASAN,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan LKP MENTARI BANGKIT,AH0756,411.33/360/432.412/2015,08-06-2015,841/4311/432.302/2015,17-06-2015,Lihat SK Operasional,2017-12-18 08,B,0,,2.,,,03243510238,mentaribangkit.pamekasan@gmail.com,,-7.165400000000,113.478900000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,KBK Bahasa
Jawa Timur,Kab. Pamekasan,Pamekasan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2DF28B16-7466-478E-A67B-844B65AF5647,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5657696,LKP Pe-We,K5657696,Jl. Ronggosukowati Komplek Ruko Pojok,KOLPAJUNG,KEC. PAMEKASAN,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,411.33/263/432.412/2017,12-12-2017,841/4984/432.301/2017,18-12-2017,Lihat SK Operasional,2018-01-10 09,,0,,2.,,,,lkppewe@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Jawa Timur,Kab. Pamekasan,Pamekasan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/72D06F1C-DC9E-459A-8CF5-4C714CDC221B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5657711,LKP SANGGAR MADUSEKAR,K5657711,JLn. Masjid Bagandan No 206,JUNGCANGCANG,KEC. PAMEKASAN,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,8120003960243,04-09-2018,421.9/1755/432.301/2019,05-07-2019,Lihat SK Operasional,2019-07-12 09,,0,,2.,,085270588753,,sanggarmadusekar241@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,KBK Seni Pertunjukan
Jawa Timur,Kab. Pamekasan,Pamekasan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/96324BA2-373D-4F6D-8188-E9CCD965D317,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9947897,PKBM SRIKANDI,P9947897,Jln. Raya Jalmak,JALMAK,KEC. PAMEKASAN,KAB. PAMEKASAN,PROV. JAWA TIMUR,SWASTA,PKBM,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,411.33/013/432.412/2015,14-01-2015,841/3586/432.302/2015,27-05-2015,Lihat SK Operasional,2016-08-25 21,,250,,2.,,,,,,-7.155693000000,113.459692000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
