prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,program_/_layanan,kurikulum,akses_internet_sekolah_kita
Jawa Timur,Kab. Sampang,Kedungdung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0F6230B6-A241-4AAF-81F3-809FFEDD2E76,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69957488,Ihyaus Salafiyah,69957488,Serean Kramat,PASARENAN,KEC. KEDUNGDUNG,KAB. SAMPANG,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jawa Timur,Kab. Sampang,Kedungdung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/44C68757-9027-4D70-ACA8-02A5D246DF0C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70009546,Nurul Hidayah,70009546,Rominah Rahayu Kedungdung 69252,RAHAYU,KEC. KEDUNGDUNG,KAB. SAMPANG,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,,,31/Kw.13.3.3/PP.00.8/08/2020,11-08-2020,31/Kw.13.3.3/PP.00.8/08/2020,11-08-2020,Lihat SK Operasional,2021-04-12 07,,"2,607",,2.,,,,,,.000000000000,.000000000000,0,61,55,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jawa Timur,Kab. Sampang,Kedungdung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F54B4BE0-ADAA-4919-B1C9-C24A957A11FF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9984964,PKBM BANGSAL EDUCATION,P9984964,Dsn. Bangsal,GUNUNG ELEH,KEC. KEDUNGDUNG,KAB. SAMPANG,PROV. JAWA TIMUR,SWASTA,PKBM,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,AHU-0003016.AH.01.07.TAHUN2019,18-03-2019,421.9/505/434.201/2019,02-05-2019,Silakan Upload SK,,,0,1. Telkomsel Flash,2. Telkom Speedy,PLN,,,,,-7.037197900000,113.236091200000,1,0,0,4,Sore/6 hari,,2022/2023-2,900,3,0,0,0,0,0,12,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,"Paket A, Paket B,  dan Paket C",2013,Telkomsel Flash
Jawa Timur,Kab. Sampang,Kedungdung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9D8C641A-861F-43B2-A504-F545A6863B06,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2962966,PKBM HARAPAN BANGSA,P2962966,Dusun Banmote,KEDUNGDUNG,KEC. KEDUNGDUNG,KAB. SAMPANG,PROV. JAWA TIMUR,SWASTA,PKBM,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,429.9/04/434.201/2006,15-05-2006,220.109.451.945,14-04-2020,Lihat SK Operasional,2019-04-10 19,,0,1. Telkomsel Flash,2. XL (GSM),PLN,,,pkbmharapanbangsa01@gmail.com,,-7.072201800000,113.242412400000,0,0,0,9,Sehari Penuh/3 hari,,2022/2023-2,900,12,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Paket A, Paket B,  dan Paket C",2013,Telkomsel Flash
Jawa Timur,Kab. Sampang,Kedungdung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/043CD16E-66F7-44A5-9FDE-C350D4ACBBF8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9970504,PKBM TRUNOJOYO,P9970504,Nyeloh,NYELOH,KEC. KEDUNGDUNG,KAB. SAMPANG,PROV. JAWA TIMUR,SWASTA,PKBM,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,421.9/215/434.201/2017,31-10-2017,421.9/215/434.201/2017,31-10-2017,Lihat SK Operasional,2018-08-02 13,,600,1. XL (GSM),2. Telkom Speedy,PLN,,,pkbmtrunojoyosampang@gmail.com,,-7.083885300000,113.248546700000,2,0,0,10,Sehari Penuh/3 hari,,2022/2023-2,450,2,0,0,0,0,0,1,1,2,0,0,0,0,2,0,1,1,0,2,0,0,0,0,0,1,1,"Paket A, Paket B,  dan Paket C",2013,XL (GSM)
Jawa Timur,Kab. Sampang,Kedungdung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/93399BF9-E2DC-40EA-8D50-36B56881BF9E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69950089,PP. Al-Abror,69950089,Jl. Klampis 69252,KOMIS,KEC. KEDUNGDUNG,KAB. SAMPANG,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,AHU-0024319.AH.01.04.TAHUN 2015,15-12-2015,402/KK.13.21/3/PP.00.7/12/2018,19-12-2018,Lihat SK Operasional,2021-03-18 05,,0,,2.,,,,,,-7.108000000000,113.236700000000,0,30,7,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jawa Timur,Kab. Sampang,Kedungdung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4DC03CF9-FC19-42D7-964A-0D35061237CE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69950082,PP. Miftahul Ulum,69950082,Dusun Junglorong 69252,KOMIS,KEC. KEDUNGDUNG,KAB. SAMPANG,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,405/KK.13.21/3/PP.007/12/2018,19-12-2018,405/KK.13.21/3/PP.007/12/2018,19-12-2018,Lihat SK Operasional,2021-12-10 09,,0,,2.,,,,,,.000000000000,.000000000000,0,3,64,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jawa Timur,Kab. Sampang,Kedungdung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1151BCE0-319E-42A9-ABF3-4E87B85FCCBC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69950084,PP. Nurud Dholam,69950084,Dusun Manggajang 69252,PALENGGIYAN,KEC. KEDUNGDUNG,KAB. SAMPANG,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,400/KK.13.21/3/PP.00.7/12/2018,19-12-2018,400/KK.13.21/3/PP.00.7/12/2018,19-12-2018,Lihat SK Operasional,2022-06-29 10,,0,,2.,,,,,,7.064100000000,113.286200000000,0,10,27,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jawa Timur,Kab. Sampang,Kedungdung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CE479114-6B7A-4C30-8A3E-623864F62964,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70026470,SPM ULYA MADRASATUL MU’ALLIMIN  AL-ISLAMIYAH (MMI) TAMAN BARU,70026470,DUSUN BATU LEBAR,PALENGGIYAN,KEC. KEDUNGDUNG,KAB. SAMPANG,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,1456,16-03-2021,1456,16-03-2021,Lihat SK Operasional,2022-03-01 21,,"1,400",,2.,,,,,,.000000000000,.000000000000,0,0,53,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jawa Timur,Kab. Sampang,Kedungdung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/51248244-5161-48B7-A5DA-CBF27063D133,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70026469,SPM WUSTHA MADRASATUL MU’ALLIMIN  AL-ISLAMIYAH (MMI) TAMAN BARU,70026469,DUSUN BATU LEBAR,PALENGGIYAN,KEC. KEDUNGDUNG,KAB. SAMPANG,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,1454,16-03-2021,1454,16-03-2021,Lihat SK Operasional,2022-06-16 22,,"4,500",,2.,,,,,,-7.043800000000,113.331700000000,0,0,78,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
