prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,program_/_layanan
Jawa Timur,Kab. Sumenep,Pasongsongan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/31D1B73E-C586-4F4B-BB4A-9F5E988596A8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69937191,PAKET PP. AL MUSTAQIM,69937191,DUSUN ANDUNG DESA LEBENG BARAT,PADANGDANGAN,KEC. PASONGSONGAN,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,-6.939376700000,113.663514400000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Jawa Timur,Kab. Sumenep,Pasongsongan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F4CB6F07-01AE-4F2F-8A19-1501F8756554,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9957057,PKBM Tarbiyatus  Shibyan,P9957057,Panaongan,PANAONGAN,KEC. PASONGSONGAN,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,PKBM,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,AHU-0040735.AH.01.07 TAHUN 2016,02-04-2016,188/17/435.101/SK/I/2017,05-01-2017,Lihat SK Operasional,2017-02-14 08,,50,,2.,,,,,,-6.914232000000,113.671136000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Jawa Timur,Kab. Sumenep,Pasongsongan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C73B613C-0223-4D3B-A30B-07A3FFBA2ABA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69951702,PPS Al- Mustaqim,69951702,Dusun Andung Desa Lebeng Barat,PADANGDANGAN,KEC. PASONGSONGAN,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,-6.939408600000,113.663535900000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Jawa Timur,Kab. Sumenep,Pasongsongan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/71BB4D78-0E03-479B-A5B3-F668D9986ADE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69958629,Pps Nurul Jamal,69958629,Desa Campaka,CAMPAKA,KEC. PASONGSONGAN,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,-6.946900300000,113.686319400000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Jawa Timur,Kab. Sumenep,Pasongsongan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/10E712E3-D8B4-4E2B-A52E-FD2C0F5ECD4F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69951700,PPS Nurul Jamal,69951700,Jl. Pon. Pes Nurul Jamal Camapaka,CAMPAKA,KEC. PASONGSONGAN,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,007/SK/YANJA/PPS.NUJA/VII/2004,07-07-2024,2019-10-16,16-10-2019,Lihat SK Operasional,2021-05-28 14,B,0,,2.,,,,,,-6.972300000000,113.686700000000,0,103,72,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Jawa Timur,Kab. Sumenep,Pasongsongan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C3C2048B-5217-48EE-9713-4E4D5E758700,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69936903,PPS. AL-FURQON,69936903,LEBENG BARAT,LEBENG BARAT,KEC. PASONGSONGAN,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,AHU-0033158.AH.01.04.Tahun 2016,23-11-2016,017715,19-11-2021,Silakan Upload SK (link file tidak valid) => [628267-363670--],2022-05-25 09,,0,,2.,,,,,,-6.949118300000,113.636931000000,0,80,77,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Jawa Timur,Kab. Sumenep,Pasongsongan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AA0A6A8E-D779-4065-91E4-603289A3CD75,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69936915,PPS. AL-GUFRON,69936915,DUSUN LEBENG TIMUR,LEBENG TIMUR,KEC. PASONGSONGAN,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,56,17-05-2016,kd.15.23/3/PP.00.7/0006/2015,05-03-2015,Lihat SK Operasional,2022-12-19 13,B,0,,2.,,,,,,-6.950000000000,113.667500000000,0,104,72,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Jawa Timur,Kab. Sumenep,Pasongsongan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B78BEF8D-C7FF-431C-8E3B-52EED65CAE35,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69936910,PPS. AL-MUSTAQIM,69936910,DUSUN ANDUNG DESA LEBENG BARAT,LEBENG BARAT,KEC. PASONGSONGAN,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,002/SK/YASMUS/PPS/AM/VII2013,23-04-2013,0014/Kk.13.23/3/PP.00.7/10/2019,16-10-2019,Lihat SK Operasional,2022-05-27 08,,0,,2.,,,,,,-6.885600000000,113.671900000000,0,127,95,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Jawa Timur,Kab. Sumenep,Pasongsongan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B7CB275A-1E87-4101-BD2D-93ED04153061,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69936911,PPS. NURUL JAMAL,69936911,DESA CAMPAKA,CAMPAKA,KEC. PASONGSONGAN,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,,,,,,,Silakan Upload SK,,,0,,2.,,,,,,-6.970074300000,113.662630000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Jawa Timur,Kab. Sumenep,Pasongsongan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7BE9D1AB-665A-4E08-91F3-84239C83BC44,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69936921,PPS. TAHFIDUL QUR`AN N T,69936921,DESA PRANCAK,PRANCAK,KEC. PASONGSONGAN,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,001/SK/YASPENUS/PPS/VII/2004,20-02-2017,0018/Kk.13.23/3/PP.00.7/10/2019,16-10-2019,Lihat SK Operasional,2022-05-23 09,,0,,2.,,,,,,-6.989200000000,113.642500000000,0,84,56,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
