prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan
Jawa Timur,Kab. Bangkalan,Konang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0D9C3F43-07B2-4A16-83B4-FC5918752B61,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5650518,LKP Fadilah,K5650518,Jl.K H.Moh Kholil 22 Kel.Kemayoran Kab.Bangkalan,KEC. KONANG,KAB. BANGKALAN,PROV. JAWA TIMUR,INDONESIA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,yustiardiindra@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Timur,Kab. Bangkalan,Konang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6333553B-7277-4AE9-8043-BAE5E2F2047D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5650549,LKP Nurul Iman Education Centre,K5650549,"Jl. KH. Addimyathy No.128 Kel.Sukolilo Barat Ds.Sukolilo Barat Kec.Labang, Kab.B",CAMPOR,KEC. KONANG,KAB. BANGKALAN,PROV. JAWA TIMUR,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Timur,Kab. Bangkalan,Konang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F5180733-90A0-4AC3-BD14-241A03F981D4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69951647,PPS Al-Hasany,69951647,PAKES,PAKES,KEC. KONANG,KAB. BANGKALAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Timur,Kab. Bangkalan,Konang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A46E0897-06C1-4198-83FB-B01CDB113E4C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69951648,PPS Al-Khoirotul Hasani,69951648,SEN ASEN,SENASEN,KEC. KONANG,KAB. BANGKALAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Timur,Kab. Bangkalan,Konang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8167DB76-4AF2-4ED7-B144-079F4A5A7F92,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69951652,PPS As-Salimy,69951652,DURIN TIMUR,DURIN TIMUR,KEC. KONANG,KAB. BANGKALAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Timur,Kab. Bangkalan,Konang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0E176C9E-BCBA-4433-B2BB-059E4FB60549,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69951653,PPS As-Syafiiyah,69951653,DURIN TIMUR,DURIN TIMUR,KEC. KONANG,KAB. BANGKALAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Timur,Kab. Bangkalan,Konang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A402FAD5-03FA-4024-9528-1D005CA69A13,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69951646,PPS Darul Qur an,69951646,KONANG,KONANG,KEC. KONANG,KAB. BANGKALAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Timur,Kab. Bangkalan,Konang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7CF78A57-7E6E-4EB0-9C84-E4B82452FA82,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69951650,PPS Darul Qur an,69951650,DURIN BARAT,DURIN TIMUR,KEC. KONANG,KAB. BANGKALAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Timur,Kab. Bangkalan,Konang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4F4A21D2-BA5B-490D-A897-E4A10DCB5938,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69951649,PPS Miftahus Sholah,69951649,Dusun Serpang Durin Timur,DURIN TIMUR,KEC. KONANG,KAB. BANGKALAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,Lainnya,,1263,31-12-2024,1263,31-12-2019,Lihat SK Operasional,2022-06-09 12,,0,,2.,,,,,,.000000000000,.000000000000,0,19,17,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Timur,Kab. Bangkalan,Konang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/71093421-9EA2-4D7B-B040-83671EF5BA4E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69951651,PPS Miftahus Sholeh,69951651,SERPANG DURIN TIMUR,DURIN TIMUR,KEC. KONANG,KAB. BANGKALAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
