prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan
Jawa Timur,Kab. Bangkalan,Tanah Merah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20260D20-A478-4BB8-A97B-29FBDD85E69B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2964590,PKBM Jokotole,P2964590,Jl. Raya Tanah Merah,PETRAH,KEC. TANAH MERAH,KAB. BANGKALAN,PROV. JAWA TIMUR,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,421.2/1885/433.101/2021,16-07-2021,421.2/1885/433.101/2021,16-07-2021,Lihat SK Operasional,2021-12-29 15,,0,1. Indosat IM3,2. XL (GSM),PLN,,,pkbmjokotoletanahmerah@gmail.com,,-7.089800000000,112.890300000000,3,0,0,6,2013,Siang/6 hari,,2022/2023-2,Indosat IM3,900,7,0,0,0,0,1,1,1,3,0,0,0,2,1,0,3,0,1,1,0,0,1,0,0,3,0
Jawa Timur,Kab. Bangkalan,Tanah Merah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7CCAB8FE-A1C9-4832-844C-0743A02AD85D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9998481,PKBM SABILUL ROHMAH,P9998481,Dsn. Kalean,TANAH MERAH LAOK,KEC. TANAH MERAH,KAB. BANGKALAN,PROV. JAWA TIMUR,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.9/002/433.114/IX/2022/B,07-09-2022,421.9/002/433.114/IX/2022/B,07-09-2022,Lihat SK Operasional,2022-09-15 11,,130,1. XL (GSM),2. Telkomsel Flash,PLN,,,pkbm.sabilulrohmah@gmail.com,,.000000000000,.000000000000,5,0,0,2,2013,Siang/6 hari,,2022/2023-2,XL (GSM),900,2,0,0,0,0,0,6,0,5,0,0,0,0,5,1,3,1,1,2,2,0,0,0,0,2,3
Jawa Timur,Kab. Bangkalan,Tanah Merah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/487943D0-7CE3-4C43-A20A-28F3D48C6CE3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69951655,PPS Nurul Huda,69951655,Desa Kendaban,KENDABAN,KEC. TANAH MERAH,KAB. BANGKALAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Timur,Kab. Bangkalan,Tanah Merah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/72103E2B-91E5-4F55-A50C-E74DF4F17DA6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69951657,PPS Roudlatul Jannah,69951657,Desa Pacentan,PACENTAN,KEC. TANAH MERAH,KAB. BANGKALAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Timur,Kab. Bangkalan,Tanah Merah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7F07162B-E52B-4D89-8214-7B20BD8DEF60,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69951654,PPS Salafiyah Assyafi iyah,69951654,PELINGGIYAN DLAMBAH DAJAH,TANAH MERAH DAJAH,KEC. TANAH MERAH,KAB. BANGKALAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Timur,Kab. Bangkalan,Tanah Merah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E136A60B-34E1-475F-9CEA-F5A708254FE7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69951656,PPS Thoriqul Huda Al-Khoziny,69951656,JL MASJID KAMP PENGARAHAN DESA PETTONG,JANGKAR,KEC. TANAH MERAH,KAB. BANGKALAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Timur,Kab. Bangkalan,Tanah Merah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0A5C85EB-9A46-4970-B92E-C51408BAC301,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69931257,PPS. NURUL HUDA,69931257,Dsn. Kendaban,KENDABAN,KEC. TANAH MERAH,KAB. BANGKALAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Timur,Kab. Bangkalan,Tanah Merah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8EC772D6-20DA-4F5F-8FD4-755DD2A252FE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69931256,PPS. ROUDLATUL JANNAH,69931256,Dsn. Blandungan,PACENTAN,KEC. TANAH MERAH,KAB. BANGKALAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,Lainnya,,1284,31-12-2019,1284,31-12-2019,Lihat SK Operasional,2022-06-09 12,,0,,2.,,,,,,.000000000000,.000000000000,0,14,19,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Timur,Kab. Bangkalan,Tanah Merah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E71AD730-C919-417B-9725-D5EE0093BF53,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69931255,PPS. SALAFIYAH ASSYAFIIYAH,69931255,Pelenggyan Desa Dlambah Dajah,DLAMBAH DAJAH,KEC. TANAH MERAH,KAB. BANGKALAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,Lainnya,,016887,19-11-2021,016887,19-11-2021,Lihat SK Operasional,2022-06-10 11,,0,,2.,,,,,,.000000000000,.000000000000,0,23,41,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jawa Timur,Kab. Bangkalan,Tanah Merah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C6D79BC4-5847-4606-A30A-A04F6F9DE7ED,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69931258,PPS. THORIQUL HUDA AL CHOSINY,69931258,Petong,PETTONG,KEC. TANAH MERAH,KAB. BANGKALAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
