prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum,akses_internet_sekolah_kita
Sumatera Utara,Kota Medan,Medan Marelan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/994B9A79-C34A-4674-A1B0-0182A9C019CD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5668201,LKP AN NAJWA EDUCATION CENTER,K5668201,Jl.Datuk Rubiah Lk.29 Gg.Musolla,RENGAS PULAU,KEC. MEDAN MARELAN,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,17,17-06-2013,420/3162.PNFI/2016,29-02-2016,Lihat SK Operasional,2017-10-03 15,,150,,2.,,,,najwabersinar@yahoo.co.id,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Sumatera Utara,Kota Medan,Medan Marelan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CC7C359F-8A38-44E8-8E9E-FFF4489578AC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5668551,LKP GERANIO LEARNING CENTER,K5668551,Jl.Marelan V Pasar II,T E R J U N,KEC. MEDAN MARELAN,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,21,31-01-2017,420/17880.PAUD&Dikmas/2017,17-11-2017,Lihat SK Operasional,2017-12-19 13,,200,,2.,,,,geraniolearningcenter@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Sumatera Utara,Kota Medan,Medan Marelan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AF70534C-59BC-48A7-8097-DA91EBD02B2C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998202,LKP GRIYA BEAUTY OLSHOP,K9998202,Komplek Griya Marelan 3,RENGAS PULAU,KEC. MEDAN MARELAN,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,Kursus,KKNI Level 2,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,13,16-04-2021,0050/ISPN/DPMPTSP/MDN/1.11/IX/2021,08-09-2021,Lihat SK Operasional,2022-11-24 14,,78,,2.,,082368246776,,griyabeautyolshop@gmail.com,,.000000000000,.000000000000,0,0,0,1,,,2022/2023-2,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBK Kesehatan,
Sumatera Utara,Kota Medan,Medan Marelan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6E6B8F1F-8F07-4881-A297-E1CE9C3B04C9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K0560939,LKP KURNIA,K0560939,"jl. Tertib No. 85 Komp. Panggong Indah Marelan, Medan 20255",RENGAS PULAU,KEC. MEDAN MARELAN,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,50,17-09-1986,420/847.PNFI/2014,29-01-2014,Silakan Upload SK,,B,200,,2.,,,,martince.ykn@gmail.com,,3.706200000000,98.657100000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,KBK Umum,
Sumatera Utara,Kota Medan,Medan Marelan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/37A06711-8B1D-489C-AF4A-A764527446A9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K0560957,LKP Lelly,K0560957,"Jl.Marelan Raya No.109 Lk.I Tanah Emas Ratus Medan Kota Medan, Sumatera Utara 20",TANAH ENAM RATUS,KEC. MEDAN MARELAN,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,06,21-04-2008,420/39124.PAUD&DIKMAS/2017,17-03-2017,Silakan Upload SK,,C,0,,2.,,,,lkplelly08@gmail.com,,3.684100000000,98.656000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,KBK Pariwisata,
Sumatera Utara,Kota Medan,Medan Marelan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/34140BC9-098C-45C9-8723-29A3E1DA1B6A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9981057,LKP LIBERTY EDUCATION CENTRE,K9981057,Jl.Platina Raya No.32A,RENGAS PULAU,KEC. MEDAN MARELAN,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,04,09-05-2011,420/657.PAUD&Dikmas/2018,17-04-2018,Lihat SK Operasional,2019-02-04 14,,200,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Sumatera Utara,Kota Medan,Medan Marelan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C51C14E4-0D80-4A88-9C34-771E3027F4F2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5669467,LKP MARELAN ENGLISH COURSE,K5669467,Jl.Marelan IX No.112 Medan,TANAH ENAM RATUS,KEC. MEDAN MARELAN,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,03,14-12-2017,420/2612.PAUD&Dikmas/2018,23-01-2018,Lihat SK Operasional,2018-09-25 14,,200,,2.,,,,marelanenglishcourse@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Sumatera Utara,Kota Medan,Medan Marelan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/871AF9FA-C5F4-476B-A67E-2D57FE4B951A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5664508,LKP NENTI,K5664508,Jl. Marelan IX Gg.Abadi No.30 Medan,TANAH ENAM RATUS,KEC. MEDAN MARELAN,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,24,16-05-2011,420/3109.PNFI/2016,29-02-2016,Silakan Upload SK,,B,0,,2.,,,,lkpnenti@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Sumatera Utara,Kota Medan,Medan Marelan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AE2E481A-B998-4C9E-B2FC-C66D48DCB409,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K0560863,LKP PLS WALIDAYNA,K0560863,Jl. PLTGU No. 73A Komp. PLN Lingk.33 Medan,RENGAS PULAU,KEC. MEDAN MARELAN,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,66,04-11-2015,420/850.PNFI/2014,29-01-2014,Silakan Upload SK,,C,200,,2.,,,,lkpwalidayna@gmail.com,,3.711100000000,98.664600000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBK Pariwisata,
Sumatera Utara,Kota Medan,Medan Marelan,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/62D04389-87D8-4129-9C80-5E09CF1B1B13,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998551,LKP QUEEN,K9998551,PASAR 1 REL GANG NONA NO 280E,TANAH ENAM RATUS,KEC. MEDAN MARELAN,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,0020/ISPN/DPMPTSP/MDN/1.11/03/2023,06-03-2023,0020/ISPN/DPMPTSP/MDN/1.11/03/2023,06-03-2023,Lihat SK Operasional,2023-03-13 12,,250,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
