prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum
Sumatera Utara,Kota Pematangsiantar,Siantar Marimbun,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/61C725C7-2EC6-4D29-95EE-5C89E07B2DC5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9990347,LEMBAGA KESWADAYAAN MASYARAKAT RIA,K9990347,Jl.Parapat Pematangsiantar,TONG MARIMBUN,KEC. SIANTAR MARIMBUN,KOTA PEMATANGSIANTAR,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,503/7/IPS-PNF/DPMPTSP/II/2020,27-02-2020,503/7/IPYS-PNF/DPMPTSP/II/2020,27-02-2020,Lihat SK Operasional,2020-05-18 16,,120,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Sumatera Utara,Kota Pematangsiantar,Siantar Marimbun,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/13E44AAD-740F-4F19-87B0-1179B68B6016,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5668690,LKP ANNA BEAUTY SALOON,K5668690,Jl.D.I.Panjaitan No.19,NAGAHUTA TIMUR,KEC. SIANTAR MARIMBUN,KOTA PEMATANGSIANTAR,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,1,13-12-2017,421.9/3829/PNFK/2017,29-12-2017,Lihat SK Operasional,2018-01-24 15,,300,,2.,,,,lkpannasalon@yahoo.co.id,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Sumatera Utara,Kota Pematangsiantar,Siantar Marimbun,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BF1D1C80-EE6B-4C47-91E4-AECD9354E163,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9997388,LKP APRIL,K9997388,Jl.D.I Panjaitan No.6 NH,NAGAHUTA TIMUR,KEC. SIANTAR MARIMBUN,KOTA PEMATANGSIANTAR,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,01,03-03-2021,503/237/PK-DPMPTSP/V/2021,31-05-2021,Lihat SK Operasional,2021-06-30 22,,150,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Sumatera Utara,Kota Pematangsiantar,Siantar Marimbun,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5430E203-6F31-4DAC-81BF-C936021AAC7E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9997731,LKP BUNGA,K9997731,Jl.Melanthon Siregar Gg.Cantik Manis Pematangsiantar,MARIHAT JAYA,KEC. SIANTAR MARIMBUN,KOTA PEMATANGSIANTAR,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,31,17-09-2019,503/1/IPYS-PNF/DPMPTSP/XII/2021,15-12-2021,Lihat SK Operasional,2021-12-31 15,,180,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Sumatera Utara,Kota Pematangsiantar,Siantar Marimbun,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/17C65C11-B91E-42AC-B198-34E7F8206469,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5665711,LKP Golden Star Computer,K5665711,"Jl. Medan KM. 6,5 Kota Pematang Siantar, Sumatera Utara",PEMATANG MARIHAT,KEC. SIANTAR MARIMBUN,KOTA PEMATANGSIANTAR,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Sumatera Utara,Kota Pematangsiantar,Siantar Marimbun,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8EF559CF-298B-45E9-80FF-0E127951B220,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9990320,LKP GRAND TAYLOR,K9990320,Jl.Surya Murni,MARIHAT JAYA,KEC. SIANTAR MARIMBUN,KOTA PEMATANGSIANTAR,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,503/8/IPS-PNF/DPMPTSP/III/2020,05-03-2020,503/8/IPYS-PNF/DPMPTSP/III/2020,05-03-2020,Lihat SK Operasional,2020-04-23 21,,200,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Sumatera Utara,Kota Pematangsiantar,Siantar Marimbun,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E15DAE89-FD65-4574-AD75-435479D2E3A1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5665665,LKP Jeges Beauty Salon,K5665665,"Jl. Bahkora II Kota Pematang Siantar, Sumatera Utara 21127",TONG MARIMBUN,KEC. SIANTAR MARIMBUN,KOTA PEMATANGSIANTAR,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,421.9/1041.PM//2009,17-03-2009,421.9/1889 /PNFK/2018,07-05-2018,Lihat SK Operasional,2019-10-16 10,,0,,2.,,,,jegeslkp@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Sumatera Utara,Kota Pematangsiantar,Siantar Marimbun,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E0BAC4BE-EA67-486F-9B31-454A92D884C7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9997104,LKP KAILA,K9997104,"Jl.Melanton Siregar GG,Pede Blok B dan A",MARIHAT JAYA,KEC. SIANTAR MARIMBUN,KOTA PEMATANGSIANTAR,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,30,16-10-2020,503/548/PK-DPMPTSP/XII/2020,16-12-2020,Lihat SK Operasional,2021-03-17 14,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Sumatera Utara,Kota Pematangsiantar,Siantar Marimbun,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/22927DF5-A48E-4B21-9B70-53C601C45E92,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5665703,LKP Lina Salon,K5665703,Jl. Melanton Siregar No.123,MARIHAT JAYA,KEC. SIANTAR MARIMBUN,KOTA PEMATANGSIANTAR,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,166,13-12-2012,421.9/0912/PNFK/2019,21-03-2019,Silakan Upload SK,,,0,,2.,,,,lkplina@yahoo.co.id,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Sumatera Utara,Kota Pematangsiantar,Siantar Marimbun,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CD666187-EAFB-42B6-8911-4EDA254F6D4A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5665646,LKP Lingga Salon,K5665646,"Jl. D. I Panjaitan No.48, Pematang Siantar, Sumut 21129",PEMATANG MARIHAT,KEC. SIANTAR MARIMBUN,KOTA PEMATANGSIANTAR,PROV. SUMATERA UTARA,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
