prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,akses_internet_sekolah_kita
Kalimantan Selatan,Kab. Banjar,Martapura,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6DFF3846-A698-4227-B2A5-C353D855C5B9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5650599,LKP ELLY,K5650599,Komplek Citra Permata Biru Blok V F-39 Rt. 004 Rw. 004,SEKUMPUL,KEC. MARTAPURA,KAB. BANJAR,PROV. KALIMANTAN SELATAN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,421.9/   /Paudni/2009,01-03-2009,421.9/134/PDK/Disdik/2017,22-08-2017,Lihat SK Operasional,2017-10-23 08,Tidak Terakreditasi,0,,2.,,,,Lkpelly@gmail.com,,.000000000000,.000000000000,0,0,0,0,KBK Seni Rupa dan Kriya,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kalimantan Selatan,Kab. Banjar,Martapura,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EEB5D282-11E8-4AF3-A6F1-B814D2AEA0A6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5650615,LKP Melati,K5650615,Jl. Sekumpul Komplek Kali Benawa Blok A No.3,SEKUMPUL,KEC. MARTAPURA,KAB. BANJAR,PROV. KALIMANTAN SELATAN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,421.9/036/PAUDNI/2010,01-05-2010,421.9/13/PAUDNI/2016,16-05-2016,Lihat SK Operasional,2017-01-25 20,C,0,,2.,,,,lkpmelati@yahoo.com,,.000000000000,.000000000000,0,0,0,0,KBK Umum,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Kalimantan Selatan,Kab. Banjar,Martapura,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AB384ADF-AE78-4D4E-AA56-FD27BA330D47,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9997429,LKP MONITA,K9997429,Jl. Masjid No. 24 Rt. 04 Rw. 02,PASAYANGAN UTARA,KEC. MARTAPURA,KAB. BANJAR,PROV. KALIMANTAN SELATAN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,11,30-04-2021,421.9/06/PDK/Disdik/2020,21-09-2020,Lihat SK Operasional,2021-07-26 20,,563,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Kalimantan Selatan,Kab. Banjar,Martapura,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C4493BCF-01B4-447C-A099-71BE4AF916FA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5650620,LKP Naufal,K5650620,Jl. Melati No.18 RT. 03,TUNGGUL IRANG,KEC. MARTAPURA,KAB. BANJAR,PROV. KALIMANTAN SELATAN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,78,24-01-2014,421.9/002/PAUDNI/2016,13-01-2016,Lihat SK Operasional,2017-01-16 08,,0,,2.,,,,harismaidi@yahoo.com,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Kalimantan Selatan,Kab. Banjar,Martapura,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/63529B3B-39DE-42AD-90AA-FA6FA0D126CC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5650598,LKP Prima Data Computer,K5650598,Komp. Pangeran Antasari,JAWA,KEC. MARTAPURA,KAB. BANJAR,PROV. KALIMANTAN SELATAN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,,03-09-2018,,03-09-2018,Lihat SK Operasional,2018-09-13 13,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Kalimantan Selatan,Kab. Banjar,Martapura,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EAC78F8E-F502-4FFD-9C1A-3CDF141060CC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5650600,LKP RAJAWALI DUTA COMPUTER,K5650600,JL. A. YANI KM. 37 NO. 15,SUNGAI PARING,KEC. MARTAPURA,KAB. BANJAR,PROV. KALIMANTAN SELATAN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan RAJAWALI DUTA COMPUTER,AF4875,19/SKDU/KSP-PM/VI/2016,16-06-2016,421.9/181/PAUDNI/2016,08-06-2016,Lihat SK Operasional,2017-02-03 21,Terakreditasi,540,,2.,,,05114773212,rajawali_duta_komputer@yahoo.com,www.rajawaliduta.com,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Kalimantan Selatan,Kab. Banjar,Martapura,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/23CFC3E9-F146-42EE-9810-6E0E3E9409DA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9996654,LKP TRIANGLE SOLUTION,K9996654,Jl. SMP 3 Komp. Indrasari Permai Blok M No. 9,INDRA SARI,KEC. MARTAPURA,KAB. BANJAR,PROV. KALIMANTAN SELATAN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,2/TS-PLKP/VI/2019,30-06-2019,9120003820924,04-02-2020,Lihat SK Operasional,2020-09-21 10,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Kalimantan Selatan,Kab. Banjar,Martapura,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F63AC386-58C6-4C3A-8D26-EB4FA6CB2AF2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5650619,LPK TECHNO FLASH,K5650619,JL. Sekumpul Raya Ruko A5,SEKUMPUL,KEC. MARTAPURA,KAB. BANJAR,PROV. KALIMANTAN SELATAN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,18/SKDU/KSP-PM/VI/2016,16-06-2016,421.9/182/PAUDNI/2016,08-06-2016,Lihat SK Operasional,2019-05-28 12,C,540,,2.,,05114772975,,lkptechnoflash@gmail.com,www.lkptechnoflash.com,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Kalimantan Selatan,Kab. Banjar,Martapura,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/15074138-D45D-4F9A-A310-99C9BAEDDD72,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9908517,PKBM AL-MUHAJIRIN,P9908517,JL. SMP 3 GG. SUMBERREJO RT. 04,INDRA SARI,KEC. MARTAPURA,KAB. BANJAR,PROV. KALIMANTAN SELATAN,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421/1047/PLS,20-07-2007,421.9/051/PDK/DISDIK/2017,22-03-2017,Lihat SK Operasional,2017-03-23 09,B,180,1. Lainnya,2. Lainnya,PLN,,,pkbmalmuhajirin999@gmail.com,,-3.408678000000,114.893164000000,5,0,0,11,2013,Sehari Penuh/3 hari,,2022/2023-2,900,10,0,1,2,0,0,5,1,5,0,0,0,0,5,0,5,0,2,0,1,1,1,0,0,0,5,Lainnya
Kalimantan Selatan,Kab. Banjar,Martapura,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D2BC4BC4-5F6B-4419-9D55-FEAF8466EAF4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2961755,PKBM BANUA,P2961755,Jl. Taruna Praja Komp. Bukit Persada Permai Blok. C No. 02 Rt. 19 Rw. 01,SUNGAI SIPAI,KEC. MARTAPURA,KAB. BANJAR,PROV. KALIMANTAN SELATAN,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421/224/PLS,02-12-2009,DK.04/58/PDK/Disdik/2022,10-05-2022,Lihat SK Operasional,2022-11-18 09,C,150,1. Lainnya,2. Telkom Speedy,PLN,,05115932066,pansyah89_banjarbaru@yahoo.co.id,http,-3.408432200000,114.844734500000,5,0,0,9,2013,Pagi/6 hari,,2022/2023-2,"1,300",4,0,1,1,1,1,2,2,4,0,1,0,1,4,0,1,4,0,2,0,1,2,0,0,1,4,Lainnya
