prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13
Jawa Tengah,Kab. Jepara,Kedung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6E7D2792-52AC-474B-997B-47F826049584,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70014207,MA NU AL MUSTAQIM,70014207,Jl. Pasar Lama Komplek PP. Al Mustaqim RT. 05 RW. 02,KEC. KEDUNG,KAB. JEPARA,PROV. JAWA TENGAH,INDONESIA,SWASTA,MA,Kementerian Agama,,,,,718 TAHUN 2021,14-06-2021,Silakan Upload SK (link file tidak valid) => [177050-69221-https,2021-10-26 14,,0,,2.,,,,,,.000000000000,.000000000000,0,32,40,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Tengah,Kab. Jepara,Kedung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E9247801-E0EC-4EC5-A58C-A71B439C7DCF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20362946,MAS DARUL HIKMAH,20362946,DESA MENGANTI JL. BUGEL - JEPARA KM. 7,MENGANTI,KEC. KEDUNG,KAB. JEPARA,PROV. JAWA TENGAH,SWASTA,MA,Kementerian Agama,,,LK/3C/32/pgmMA/1980,19-05-1979,LK/3C/32/pgmMA/1980,19-05-1979,Lihat SK Operasional,2016-10-12 10,A,0,,2.,,,,,,-6.660600000000,110.666900000000,0,195,186,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Tengah,Kab. Jepara,Kedung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5DA434E4-D83B-404E-974B-7B2298CD3C19,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20362951,MAS ITTIHADUL MUSLIMIN,20362951,KERSO KEDUNG JEPARA,KERSO,KEC. KEDUNG,KAB. JEPARA,PROV. JAWA TENGAH,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,Tidak Terakreditasi,0,,2.,,,,,,-6.649100000000,110.671900000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Tengah,Kab. Jepara,Kedung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/140EFD36-87C4-4931-8D14-C19DDF0C1B22,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20362949,MAS KI AJI TUNGGAL,20362949,Jl. Pecangaan Km 09 Desa Karangaji Rt 16 Rw. 05,KARANGAJI,KEC. KEDUNG,KAB. JEPARA,PROV. JAWA TENGAH,SWASTA,MA,Kementerian Agama,,,Wk/5.a/PP.03.2/1647/1988,29-07-1988,Wk/5.a/PP.03.2/1647/1988,29-07-1988,Lihat SK Operasional,2022-10-24 12,B,0,,2.,,,,,,-6.714100000000,110.653600000000,0,46,61,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Tengah,Kab. Jepara,Kedung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6F98C7E3-0017-4F59-9C5A-543CEFA45E1D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20362950,MAS MAFATIHUT THULLAB,20362950,JL.KAUMAN NO.09 SURODADI,SURODADI,KEC. KEDUNG,KAB. JEPARA,PROV. JAWA TENGAH,SWASTA,MA,Kementerian Agama,,,Wk/5.a/PP.03.2/443.b/02/2002,26-03-2002,Wk/5.a/PP.03.2/443.b/02/2002,26-03-2002,Lihat SK Operasional,2017-07-27 14,C,0,,2.,,,,,,-6.689400000000,110.648700000000,0,83,116,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Tengah,Kab. Jepara,Kedung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/543404A8-2E82-4521-BF93-094DBDACD15C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20362947,MAS MATHOLI`UL HUDA,20362947,"JL. RAYA BUGEL, KEDUNG JEPARA",BUGEL,KEC. KEDUNG,KAB. JEPARA,PROV. JAWA TENGAH,SWASTA,MA,Kementerian Agama,,,Lk/3c/33/Pgm.MA/1980,19-03-1979,Lk/3c/33/Pgm.MA/1980,19-03-1979,Lihat SK Operasional,2016-11-03 11,A,0,,2.,,,,,,-6.671200000000,110.670400000000,0,464,786,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Tengah,Kab. Jepara,Kedung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CB77E2BD-9EAB-44ED-86D9-9B71782C00E0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20362953,MAS MIFTAHUL HUDA DONGOS,20362953,Jl. Dongos - Sukosono Km.01,DONGOS,KEC. KEDUNG,KAB. JEPARA,PROV. JAWA TENGAH,SWASTA,MA,Kementerian Agama,,,D/Kw/MA/511/2007,22-03-2007,D/Kw/MA/511/2007,22-03-2007,Lihat SK Operasional,2019-04-20 15,B,0,,2.,,,,,,-6.666400000000,110.678200000000,0,71,71,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Tengah,Kab. Jepara,Kedung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/044D2832-F261-464F-9167-B20417E09B7E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69849455,MAS MIFTAHUL ULUM,69849455,Jl. Krajan Tugu Ngempet Sukosono,SUKOSONO,KEC. KEDUNG,KAB. JEPARA,PROV. JAWA TENGAH,SWASTA,MA,Kementerian Agama,Lainnya,,,04-12-2017,,04-12-2017,Lihat SK Operasional,2020-01-30 14,B,0,,2.,,,,,,-6.652100000000,110.681100000000,0,44,33,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Tengah,Kab. Jepara,Kedung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1E270EC7-CA91-42A3-99A4-DFE160400D4F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20362954,MAS SAFINATUL HUDA,20362954,JL MASJID BAITURROHMAN SOWAN KIDUL KEDUNG,SOWAN KIDUL,KEC. KEDUNG,KAB. JEPARA,PROV. JAWA TENGAH,SWASTA,MA,Kementerian Agama,,,D/Kw/MA/548/2009,14-01-2009,Kw.11.4/4/PP.03.2/234/2009,14-01-2009,Lihat SK Operasional,2016-09-01 07,A,0,,2.,,,,,,-6.689300000000,110.671200000000,0,105,131,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Tengah,Kab. Jepara,Kedung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BBCF7D76-7B24-4D78-B18D-6B6B30F985F7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20362952,MAS SHOFA MARWAH,20362952,RT. 08 RW. 02,SOWAN LOR,KEC. KEDUNG,KAB. JEPARA,PROV. JAWA TENGAH,SWASTA,MA,Kementerian Agama,,,Kw.11.4/4/PP.03.2/2439/2006,16-05-2006,Kw.11.4/4/PP.03.2/2439/2006,16-05-2006,Lihat SK Operasional,2016-09-01 07,B,0,,2.,,,,,,-6.676000000000,110.679600000000,0,70,49,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
