prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13,akses_internet_sekolah_kita
Jawa Timur,Kab. Jember,Ajung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F89A6FF8-2CE6-46DE-B6CB-697A96C6E8AB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69963544,Al Barokah An Nur,69963544,JL. RAUNG,KLOMPANGAN,KEC. AJUNG,KAB. JEMBER,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,C,0,,2.,,,,,,-8.200728600000,113.656894900000,0,30,55,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Timur,Kab. Jember,Ajung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DBDEDA4F-E596-44E2-8A84-CCE078BD4B26,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70028310,MA AL-FALAH,70028310,Jl. Argopuro No. 64 Dusun RT/RW,KLOMPANGAN,KEC. AJUNG,KAB. JEMBER,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,,,436 TAHUN 2021,10-05-2021,Silakan Upload SK (link file tidak valid) => [201213-860112-https,2022-04-21 03,,0,,2.,,,,,,-8.243034900000,113.655237900000,0,22,21,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Timur,Kab. Jember,Ajung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5BFBF8A5-C403-48D7-8DBD-13F5F86C2942,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20580262,MAS AR RISALAH,20580262,JL. PONPES SALAFIYAH  CURAHKATES - KLOMPANGAN - AJUNG - JEMBER,KLOMPANGAN,KEC. AJUNG,KAB. JEMBER,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,Kw.13.4/4/PP.03.2/3038/2006,10-10-2006,MAS/09.0001/2016,01-07-2010,Silakan Upload SK (link file tidak valid) => [409141-359827--],2021-01-12 08,B,0,,2.,,,,,,-8.232000000000,113.670800000000,0,138,98,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Timur,Kab. Jember,Ajung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E8ED182B-9F7C-43A2-A4EA-D66BFAE127A8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20580252,MAS MODERN AL ISLAM,20580252,JL. H. ZAENAL ABIDIN RENES,AJUNG,KEC. AJUNG,KAB. JEMBER,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,05.A.YTB.VI.2010,01-06-2010,Kw.13.4/4/PP.00.6/1414/2012,09-10-2012,Lihat SK Operasional,2016-01-08 11,C,0,,2.,,,,,,-8.225300000000,113.705300000000,0,23,29,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Timur,Kab. Jember,Ajung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BEE92A96-A726-42D9-9D49-E0417FD03742,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69944289,SMKS AL - ISHLAH,69944289,JL PTP. NUSANTARA XII NO.03,SUKAMAKMUR,KEC. AJUNG,KAB. JEMBER,PROV. JAWA TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN ISLAM PONDOK PESANTREN AL-ISHLAH,AO1126,421.5/246/413/2015,19-09-2015,421.5/1837.1/101.3/2020,19-03-2020,Lihat SK Operasional,2020-08-31 15,C,"7,008",,2.,,,,alif572@gmail.com,,-8.258100000000,113.617500000000,6,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,8,0,6,0,0,0,1,5,0,6,0,1,2,3,0,0,0,0,4,2,SMK 2013 REV. Multimedia,,,,,
Jawa Timur,Kab. Jember,Ajung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B7B75ED2-1F41-4969-8A8D-AECC67111124,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20554192,SMKS DARUL FALAH,20554192,JL. CURAH UDANG NO.05 BESUK,WIROWONGSO,KEC. AJUNG,KAB. JEMBER,PROV. JAWA TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan LP&S DARUL FALAH,AB3545,188/889/436.41.6/2006,04-10-2006,310/18.05/02/VIII/2022,11-08-2022,Lihat SK Operasional,2022-09-02 02,B,"1,500",1. -,2. Telkom Speedy,PLN,,0331322188,smkdarulfalah84@gmail.com,http,-8.220000000000,113.692100000000,16,135,116,8,Pagi/6 hari,,2022/2023-2,"2,400",12,0,2,2,0,0,17,1,16,0,0,0,4,12,0,16,0,5,4,1,1,2,2,1,3,13,SMK 2013 REV.  Bisnis Daring dan Pemasaran,2,3,3,0,Tidak Ada
Jawa Timur,Kab. Jember,Ajung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3FD99985-C357-4711-9F32-00DA9154E130,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69755766,SMKS DARUN NAJAH,69755766,JL. H. MOCH.NOER,ROWO INDAH,KEC. AJUNG,KAB. JEMBER,PROV. JAWA TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN ISALM DARUL IBAD,AX7639,421.5/966.7/310/2011,,421.3/253/413/2012,,Silakan Upload SK,,B,900,1. Telkomsel Flash,2. Telkom Speedy,PLN,,,smkdarunnajah63@gmail.com,http,-8.216500000000,113.660100000000,15,66,67,5,Pagi/6 hari,,2022/2023-2,0,6,0,1,0,0,0,17,0,15,0,0,0,2,13,0,9,6,9,2,3,0,0,0,1,3,12,SMK 2013 REV.  Bisnis Daring dan Pemasaran,2,2,1,0,Telkomsel Flash
Jawa Timur,Kab. Jember,Ajung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/739E0472-F733-44D6-ADCF-5C153F82A0AE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69830425,SMKS KESEHATAN BINA MITRA HUSADA,69830425,JALAN RS PRAWIRO DIRJO NO 1A,WIROWONGSO,KEC. AJUNG,KAB. JEMBER,PROV. JAWA TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan dan Pondok Pesantren Nurul Ulum,AO1124,421.5/4231.14/310/2013,23-12-2013,285/18.05/02/VII/2022,29-07-2022,Lihat SK Operasional,2022-08-24 08,B,"3,600",1. XL (GSM),2. Telkomsel Flash,PLN,,,smkbinamitrahusada@gmail.com,http,-8.234730000000,113.683658000000,11,22,78,3,Pagi/6 hari,,2022/2023-2,"2,200",5,0,1,2,0,0,13,0,11,0,0,0,2,9,0,8,3,3,3,5,0,0,0,0,3,8,SMK 2013 REV. Asisten Keperawatan,1,1,1,0,XL (GSM)
Jawa Timur,Kab. Jember,Ajung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AC5BB5B9-8788-4F7A-AEA8-FFACA2AE516A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69734283,SMKS MIFTAHUL ULUM,69734283,JL. R Sosro Prawiro Renes Wirowongso Ajung,WIROWONGSO,KEC. AJUNG,KAB. JEMBER,PROV. JAWA TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Dakwah Sosial Miftahul Ulum,AB3532,421.5/1184.15/310/2012,12-06-2012,264/18.05/02/XII/2021,09-12-2021,Lihat SK Operasional,2022-01-24 16,B,"1,353",1. -,2. Telkom Speedy,PLN,,,smkmu4jung@gmail.com,http,-8.232600000000,113.659500000000,10,56,82,6,Pagi/6 hari,,2022/2023-2,"2,200",6,0,0,2,0,0,11,0,10,0,0,0,2,8,0,8,2,1,5,0,3,1,0,0,3,7,SMK 2013 REV.  Bisnis Daring dan Pemasaran,2,2,2,0,Tidak Ada
Jawa Timur,Kab. Jember,Ajung,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/045080AD-1069-46D9-A8EE-20577DBEA4E8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69734110,SMKS SUNAN DRAJAT,69734110,JL. SUNAN DRAJAT NO. 09 SUMURAN,KLOMPANGAN,KEC. AJUNG,KAB. JEMBER,PROV. JAWA TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN SUNAN DRAJAT SUMURAN,AO1130,421.5/586.7/310/2012,09-05-2012,320/18.05/02/XII/2021,12-11-2018,Lihat SK Operasional,2022-02-08 08,B,"2,653",1. Telkom Speedy,2. Telkom Speedy,PLN,,,sunandrajatsmk@yahoo.com,http,-8.232300000000,113.683500000000,9,51,47,3,Pagi/6 hari,,2022/2023-2,"5,500",7,0,0,2,0,0,10,0,9,0,0,0,0,9,0,9,0,5,4,0,0,0,0,0,4,5,SMK 2013 REV.  Agribisnis Pengolahan Hasil Pertanian,1,1,1,0,Telkom Speedy
