prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,program_/_layanan,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12
Jawa Timur,Kab. Sumenep,Kota Sumenep,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F760C000-CCC8-44B0-9DCC-974B7534A453,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20584736,MAN SUMENEP,20584736,JK. KH. AGUSSALIM 19,PANGARANGAN,KEC. KOTA SUMENEP,KAB. SUMENEP,PROV. JAWA TIMUR,NEGERI,MA,Kementerian Agama,Pemerintah Daerah,,42/1992,27-01-1992,Kw.13.4/4/PP.00.6/992/2010,01-07-2010,Lihat SK Operasional,2023-02-08 13,A,0,,2.,,,,,,-7.002700000000,113.868300000000,0,493,729,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Sumenep,Kota Sumenep,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/05515DE7-93A7-4B9B-BDEB-D7D6E815EAC5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60728159,MAS AL-AZHAR,60728159,PAMOLOKAN SUMENEP,PAMOLOKAN,KEC. KOTA SUMENEP,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,292,13-01-2017,292,13-01-2017,Lihat SK Operasional,2023-01-09 08,B,0,,2.,,,,,,-7.003275000000,113.840562000000,0,28,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Sumenep,Kota Sumenep,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9FEE7367-EAA7-49A7-8559-5CA3EFF8B3A3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20584700,MAS AQIDAH USYMUNI,20584700,JL. KH. ZAINAL ARIFIN NO. 1 TERATE PANDIAN SUMENEP,PANDIAN,KEC. KOTA SUMENEP,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,WM.06.04/PP.03/2826/SKP/2001,30-10-2001,MAS/29.0033/2017,13-01-2017,Lihat SK Operasional,2019-11-28 11,B,0,,2.,,,,,,-7.019745000000,113.856247000000,0,63,77,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Sumenep,Kota Sumenep,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/823C15FA-9932-4BFA-A081-6385506B82D3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20584728,MAS RAUDHATUT THALIBIN SUMENEP,20584728,JALAN DR. CIPTO 5A KOLOR SUMENEP,KOLOR,KEC. KOTA SUMENEP,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,,01-02-2021,,02-02-2021,Silakan Upload SK,,B,0,,2.,,,,,,-7.011118000000,113.864090000000,0,47,60,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Sumenep,Kota Sumenep,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/22BC40C5-E2C4-4472-9701-796EE7CB907E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20584742,MAS ZAINAL ARIFIN,20584742,JL. PESANTREN TERATE PANDIAN SUMENEP,PANDIAN,KEC. KOTA SUMENEP,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,,01-02-2021,,01-02-2021,Silakan Upload SK,,B,0,,2.,,,,,,-6.998570000000,113.870364000000,0,76,90,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Sumenep,Kota Sumenep,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D56A3D89-B8D7-4195-9760-44161B907B6C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69829538,SLB CINTA ANANDA,69829538,Jl. Belimbing Gg.IV/10 Karangduak,KARANGDUAK,KEC. KOTA SUMENEP,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Cinta Ananda,AE6264,01/YCA/IV/2008,03-04-2008,19.14/327/XI/II/2020,09-11-2020,Silakan Upload SK (link file tidak valid) => [547315-316481--],2021-11-25 14,B,300,1. -,2. Telkom Speedy,PLN,,0328661385,slbcintaanandasumenep@gmail.com,,-6.983700000000,113.862100000000,8,32,18,10,Sehari Penuh/5 hari,,2022/2023-2,900,10,0,1,1,0,0,8,1,8,0,0,0,0,8,0,8,0,0,6,1,1,0,0,0,1,7,"TKLB, SDLB, SMPLB,  dan SMLB",TKLB 2013,Tidak Ada,1,1,1,1,1,1,1,1,1,1,0,0
Jawa Timur,Kab. Sumenep,Kota Sumenep,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40E34B7E-8D18-E111-86DF-C17827D6D5E0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20529933,SLB DHARMA WANITA,20529933,Jl. Dr. Cipto VII Blok G No. 9,KOLOR,KEC. KOTA SUMENEP,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",yayasan pendidikan dharma wanita sumenep,AE6263,4.218/034/474.17/86,23-01-1986,48/18.09.12/02/IX/2022,09-10-2019,Lihat SK Operasional,2023-01-18 14,,"1,108",1. Telkomsel Flash,2. Telkom Speedy,PLN,,,slb_dhw@yahoo.com,http,-7.016600000000,113.860500000000,6,20,18,11,Sehari Penuh/5 hari,,2022/2023-2,"1,300",5,0,1,0,1,0,5,0,5,0,0,1,1,5,0,3,3,0,2,2,0,0,1,1,3,3,"SDLB, SMPLB,  dan SMLB",Pendidikan Khusus SMALB 2013,Telkomsel Flash,1,1,1,1,1,1,1,1,1,1,0,1
Jawa Timur,Kab. Sumenep,Kota Sumenep,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E0B8B408-98FE-E111-B4FE-EFB9B82B9DEC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20574482,SLB YASMIN SUMENEP,20574482,JL. SLAMET RIADI NO. 132B SUMENEP,PABIAN,KEC. KOTA SUMENEP,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Melati Indah Sumenep,AB4352,17,09-07-2008,P2T/80/19.14/III/II/2019,09-11-2022,Lihat SK Operasional,2023-03-21 14,B,680,1.,2.,PLN,,,,,-7.023257000000,113.878937000000,3,28,13,10,Sehari Penuh/5 hari,,2022/2023-2,"1,700",7,0,0,0,0,0,5,0,3,0,0,0,0,3,0,1,2,0,1,0,2,0,0,0,1,2,"SDLB, SMPLB,  dan SMLB",Pendidikan Khusus SMALB 2013,Telkomsel Flash,1,0,1,1,1,1,0,1,1,1,1,1
Jawa Timur,Kab. Sumenep,Kota Sumenep,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/906CD3A2-E271-41C1-9ED6-1106E7655409,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20529953,SMA PGRI SUMENEP,20529953,JL. KH. MANSYUR NO.43,KACONGAN,KEC. KOTA SUMENEP,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Perwakilan YPLP PGRI Provinsi Jawa Timur,AB4825,420/09/435.101/2015,16-04-2015,P2T/281/19.03/01/IV/2018,25-04-2018,Lihat SK Operasional,2018-10-15 09,A,"8,400",1. -,2. -,PLN,,0328668364,smapgrisumenep@gmail.com,http,-7.016093300000,113.879163300000,14,12,4,3,Pagi/6 hari,,2022/2023-2,"3,000",6,2,1,2,5,1,9,2,11,0,3,0,8,6,0,12,2,4,0,3,4,2,1,0,7,7,,SMA 2013 IPS,Tidak Ada,,,,,,,,,,1,1,1
Jawa Timur,Kab. Sumenep,Kota Sumenep,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/57E4E79C-D10B-40C9-8EB4-7D89A69D42BC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20551880,SMA SUNAN AMPEL,20551880,JL. RAYA MANDING 38,KEBUNAN,KEC. KOTA SUMENEP,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Durrotus Salamah,AE6259,22/IMB-KBN/VI/2004,01-01-1900,420/60/435.101/2015,22-10-2015,Lihat SK Operasional,2015-10-23 11,C,"1,170",,2.,,,7704321,smasunanampelsumenep@gmail.com,,-6.992640000000,113.866330000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SMA 2013 MIPA,,,,,,,,,,,,,
