prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,akses_internet_sekolah_kita,rombel_tingkat_13
Jawa Timur,Kab. Sumenep,Lenteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3B7D3F3C-6921-467B-8CD8-31F65C24EB04,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69894895,DHARMANIYAH,69894895,Jl. Asta Agung Dharma No. 1 Bilapora Reba,BILAPORA REBA,KEC. LENTENG,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,Lainnya,,MA/1417/2013,04-04-2013,1441/2013,04-04-2013,Lihat SK Operasional,2020-01-20 08,C,0,,2.,,,,,,-6.951340000000,114.185134000000,0,9,8,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Timur,Kab. Sumenep,Lenteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/727E63F4-A2FA-47E0-88F0-2F5CF4E5C01F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69937261,MA MA`HADUL MU`ALLIMIEN AL-ISLAMIE (MMI) PP MATHLABUL ULUM,69937261,Jl. Raya Lenteng,JAMBU,KEC. LENTENG,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,Lainnya,,127/Kk.13.23.3/PP.00.7/01/2018,11-01-2018,127/Kk.13.23.3/PP.00.7/01/2018,11-01-2018,Lihat SK Operasional,2018-01-11 11,,0,,2.,,,,,,-7.024839500000,113.795630300000,0,44,47,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Timur,Kab. Sumenep,Lenteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2FB62434-3937-4171-A095-F4C90A895E95,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20584672,MAS AL-AMIEN JAMBU,20584672,JL.RAYA LENTENG SUMENEP,JAMBU,KEC. LENTENG,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-7.024500000000,113.795900000000,0,27,27,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Timur,Kab. Sumenep,Lenteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3B7AA388-FB8E-40C0-834F-CB10CD1B8732,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60728160,MAS AL-FALAH,60728160,Jl. Yayasan Al-Falah No. 01,LENTENG BARAT,KEC. LENTENG,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,MAS/29.0126/2017,13-01-2017,MAS/29.0126/2017,13-01-2017,Lihat SK Operasional,2019-12-26 12,B,0,,2.,,,,,,-7.034500000000,113.746000000000,0,26,25,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Timur,Kab. Sumenep,Lenteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4197D234-36AD-43B5-A7F5-F36A7D41E6B0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20584683,MAS AL-HUDA,20584683,JL. KH. MONIR PP. ARRAHMAN,LEMBUNG BARAT,KEC. LENTENG,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,,01-01-1900,,01-01-1900,Silakan Upload SK (link file tidak valid) => [768901-260691--],2023-02-03 07,B,0,,2.,,,,,,-7.097400000000,113.757500000000,0,48,50,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Timur,Kab. Sumenep,Lenteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CC96D1F1-2D5B-47DE-96B6-ED2D018008FA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20584689,MAS AL-ISHLAH,20584689,MONCEK TENGAH,MONCEK TENGAH,KEC. LENTENG,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,C,0,,2.,,,,,,-7.032374000000,113.781641000000,0,13,12,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Timur,Kab. Sumenep,Lenteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/52F217B0-11D7-4EE7-8AFD-91FC961BEBE5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20579583,MAS BUSTANUL ULUM,20579583,Jl. Sumber Senongan Kombung Barat,ELLAK DAYA,KEC. LENTENG,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,MAS/29.0110/2017,13-01-2017,MAS/29.0110/2017,13-01-2017,Lihat SK Operasional,2021-06-30 10,B,0,,2.,,,,,,-7.064000000000,113.734600000000,0,21,26,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Timur,Kab. Sumenep,Lenteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40959784-2426-4C85-AB3D-475C20219D9E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20579588,MAS DARUL ULUM,20579588,DESA LENTENG BARAT LENTENG SUMENEP,LENTENG BARAT,KEC. LENTENG,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-7.083700000000,113.737100000000,0,28,27,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Timur,Kab. Sumenep,Lenteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/39619949-6871-4AEE-9492-979A539987DE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20579589,MAS DARUL ULUM MONCEK,20579589,MONCEK TENGAH LENTENG SUMENEP,MONCEK TENGAH,KEC. LENTENG,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-7.054638000000,113.751839000000,0,41,26,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Timur,Kab. Sumenep,Lenteng,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/424AC776-F60F-4924-B3FB-A54CDEA1FD60,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20584708,MAS KHAIRUL MUTTAQIN,20584708,JL. PONPES. KHAIRUL MUTTAQIN BANARESEP TIMUR LENTENG SUMENEP,BANARESEP TIMUR,KEC. LENTENG,KAB. SUMENEP,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,MAS/290040/20017,13-01-2017,MAS/290040/20017,13-01-2017,Lihat SK Operasional,2019-11-25 15,B,0,,2.,,,,,,-7.053600000000,113.770100000000,0,29,34,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
