prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13,program_/_layanan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Jawa Timur,Kota Pasuruan,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9506D40D-8926-484B-BE6D-F05F5934F79D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20580592,MAN KOTA PASURUAN,20580592,Jl. DR. Wahidin Sudirohusodo,PETAMANAN,KEC. PANGGUNGREJO,KOTA PASURUAN,PROV. JAWA TIMUR,NEGERI,MA,Kementerian Agama,Pemerintah Daerah,,97 Tahun 1967,27-09-1967,Kd.13.33/6/PP.00.6/814/2010,01-07-2010,Lihat SK Operasional,2016-03-22 16,A,0,,2.,,,,,,-7.654300000000,112.905300000000,0,309,494,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Jawa Timur,Kota Pasuruan,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/114226D2-43C0-4577-AC93-BBCCF38801BB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20580591,MAS AL FURQON,20580591,Jl. Imam Bonjol No. 99,BUGUL LOR,KEC. PANGGUNGREJO,KOTA PASURUAN,PROV. JAWA TIMUR,SWASTA,MA,Kementerian Agama,,,Kw.13.4/4/PP.03.2/1511/2006,02-06-2006,MAS/75.0002/2016,11-04-2016,Lihat SK Operasional,2016-12-19 13,B,0,,2.,,,,,,-7.644220000000,112.920006000000,0,17,20,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Jawa Timur,Kota Pasuruan,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E984CB0B-BA49-4E58-9242-23426C6292C3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69965459,SMA DARUL KAROMAH PASURUAN,69965459,Jl. Letjen Sutoyo no. 41 Mandaranrejo Pasuruan,MANDARANREJO,KEC. PANGGUNGREJO,KOTA PASURUAN,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pondok Pesantren Darul Karomah,AO1426,420/1977/423.102/2016,21-07-2017,P2T/871/19.03/01/X/2019,17-10-2019,Lihat SK Operasional,2021-08-28 12,B,"1,500",1. Lainnya,2. Telkom Speedy,PLN,03436662270,,smada.mandaran@gmail.com,http,-7.636679000000,112.914283000000,10,32,25,3,Pagi/6 hari,,2022/2023-2,"1,300",1,0,0,1,0,0,11,1,10,0,0,0,0,10,0,8,2,6,0,2,2,0,0,0,4,6,SMA 2013 IPS,Lainnya,1,1,1,,,,,,,,,,,
Jawa Timur,Kota Pasuruan,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4D3A306B-1006-4C01-B845-871DAF4F0A98,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20535464,SMA NEGERI 1 PASURUAN,20535464,JL. SOEKARNO HATTA  40,KARANGANYAR,KEC. PANGGUNGREJO,KOTA PASURUAN,PROV. JAWA TIMUR,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,425.11/1215.a/423.112/1958,01-08-1958,425.9/1215.a/423.112/1959,01-08-1959,Silakan Upload SK (link file tidak valid) => [543785-337803--],2021-11-19 10,A,"3,526",1. Telkom Speedy,2. Telkom Speedy,PLN,0343421466,0343421466,sman1kotapasuruan@gmail.com,http,-7.637700000000,112.903900000000,40,270,448,21,Sehari Penuh/5 hari,,2022/2023-2,"40,200",21,3,1,9,26,7,2,5,18,0,13,9,24,16,0,40,0,6,6,5,2,6,9,6,17,23,SMA 2013 IPS,Telkom Speedy,7,7,7,,,,,,,,,,,
Jawa Timur,Kota Pasuruan,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D75D6045-6C21-4B4F-9CC1-8669B10E8725,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20535474,SMA NEGERI 4 PASURUAN,20535474,JL. HASANUDIN NO. 76,KARANGANYAR,KEC. PANGGUNGREJO,KOTA PASURUAN,PROV. JAWA TIMUR,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,01-01-1900,,,Silakan Upload SK,,A,"15,150",1. Telkom Astinet,2. Telkom Speedy,PLN,425589,422522,sma4_pasuruan@yahoo.com,http,-7.639600000000,112.900500000000,48,392,453,24,Sehari Penuh/5 hari,,2022/2023-2,"45,099",22,3,1,1,29,9,0,10,21,0,17,10,31,17,0,43,5,5,7,7,9,5,4,11,15,33,SMA 2013 Bhs&Budaya,Telkom Astinet,8,8,8,,,,,,,,,,,
Jawa Timur,Kota Pasuruan,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/39F2CD61-FB2B-41A8-9ED9-3F99B35AFA21,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69931908,SMA SABILUTH THOYYIB,69931908,Jl. Cemara No. 38 Bugul Lor,PANGGUNGREJO,KEC. PANGGUNGREJO,KOTA PASURUAN,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Sabiluth Thoyyib Pasuruan,AO1442,10/025.03/SK/YP.ST/2015,06-06-2015,P2T/615/19.03/01/III/2019,31-12-2018,Silakan Upload SK (link file tidak valid) => [544101-75078--],2021-11-21 17,B,770,1. -,2. Telkom Speedy,PLN,,,sma.sabiluth@gmail.com,http,-7.644800000000,112.917000000000,15,88,73,7,Pagi/6 hari,,2022/2023-2,"2,200",7,1,1,1,0,0,17,0,15,0,0,0,0,15,0,13,2,7,6,1,1,0,0,0,4,11,SMA 2013 IPS,Tidak Ada,2,3,2,,,,,,,,,,,
Jawa Timur,Kota Pasuruan,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/507E8412-25C1-4A5D-959A-E5044C7BD885,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20535457,SMAS ISLAM,20535457,JL. KH. ABDUL KHAMID 98 B PASURUAN,KARANGANYAR,KEC. PANGGUNGREJO,KOTA PASURUAN,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN ISLAM MA'ARIF KOTA PASURUAN,AO1403,0511/1.0474/1997,16-07-1997,800/2758/423.102/2015,06-10-2015,Lihat SK Operasional,2016-02-29 13,B,"1,140",1. Telkom Speedy,2. Telkom Speedy,PLN,,432330,smaislam_kotapasuruan@ymail.com,http,-7.643600000000,112.900800000000,15,36,42,6,Sehari Penuh/5 hari,,2022/2023-2,"1,200",6,0,1,0,1,1,18,0,14,0,1,0,4,11,1,13,1,2,3,2,2,0,4,2,7,8,SMA 2013 MIPA,Telkom Speedy,2,2,2,,,,,,,,,,,
Jawa Timur,Kota Pasuruan,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DAF6C700-F869-41F4-ABF3-1093C254A87E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20535452,SMAS SHALAHUDDIN,20535452,JL. DR. WAHIDIN SUDIROHUSODO NO 45,PETAMANAN,KEC. PANGGUNGREJO,KOTA PASURUAN,PROV. JAWA TIMUR,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan LP Ma'arif NU Pasuruan,AO0922,PW/029/B-S/X/78,04-01-1979,800/182/423.102/2014,28-01-2014,Lihat SK Operasional,2015-08-26 09,B,"1,100",1. -,2. Telkom Speedy,PLN,0343427151,0343427151,sma_shalahuddinpas@yahoo.co.id,http,-7.655700000000,112.904600000000,9,13,57,3,Sehari Penuh/5 hari,,2022/2023-2,"6,600",6,3,1,1,0,0,9,1,9,0,0,0,3,6,0,5,4,1,2,2,2,0,1,1,4,5,SMA 2013 IPS,Tidak Ada,1,1,1,,,,,,,,,,,
Jawa Timur,Kota Pasuruan,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D70E575C-F999-4046-A0A9-76747709BDD9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69980606,SMK DARUL ULUM,69980606,Jl. Hangtuah X/363 A Ngemplakrejo Pasuruan,NGEMPLAKREJO,KEC. PANGGUNGREJO,KOTA PASURUAN,PROV. JAWA TIMUR,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Darul Ulum Ngemplakrejo Pasuruan,AO1404,P2T/40/19.06/01/V/2018,25-05-2018,19.08/1440/02/II/2020,26-02-2020,Lihat SK Operasional,2021-12-07 13,C,0,1. -,2. Telkom Speedy,PLN,,,smkdarululumngemplakrejo@gmail.com,http,-7.631861000000,112.914912000000,10,13,18,3,Pagi/6 hari,,2022/2023-2,"1,300",3,0,0,2,0,0,11,0,10,0,0,0,1,9,1,7,2,4,5,1,0,0,0,0,2,8,SMK 2013 REV.  Bisnis Daring dan Pemasaran,Tidak Ada,1,1,1,0,,,,,,,,,,
Jawa Timur,Kota Pasuruan,Panggungrejo,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9CFBEE41-CDB9-4FFB-968D-6B87B230163B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20535468,SMK NEGERI 1 PASURUAN,20535468,JL. VETERAN 11 PASURUAN,BUGUL LOR,KEC. PANGGUNGREJO,KOTA PASURUAN,PROV. JAWA TIMUR,NEGERI,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,0209/0/1980,30-07-1980,421.5/266/2005,21-02-2005,Silakan Upload SK (link file tidak valid) => [799723-884637--],2023-03-14 21,A,"11,202",1. Telkom Speedy,2. Telkom Astinet,PLN,0343421380,0343421380,smk1pasuruan@yahoo.com,http,-7.645400000000,112.914600000000,121,918,"1,240",62,Sehari Penuh/5 hari,,2022/2023-2,"109,299",50,2,1,13,89,15,0,17,33,0,74,14,97,24,1,100,20,4,10,21,38,19,12,17,56,65,SMK 2013 REV. Kimia Analisis,Telkom Speedy,20,20,20,2,,,,,,,,,,
