prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12
Sumatera Utara,Kota Medan,Medan Baru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B0EFD92E-89AE-490D-946E-534C50DDC79D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10259587,SMA SPK SAMPOERNA ACADEMY,10259587,Jl. Jamin Ginting Komplek Citra Garden Medan,TITI RANTAI,KEC. MEDAN BARU,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,SPK SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN CAHAYA HARAPAN BANGSA MEDAN,AM0381,420/13097/07,14-04-2004,12647/C/KS.05.00/2021,27-10-2021,Lihat SK Operasional,2022-01-04 11,A,"12,096",1. -,2. Lainnya (Serat Optik),PLN & Diesel,8211836,8211957,admin.sma@sampoernaacademy.sch.id,http,3.548147000000,98.655859600000,29,46,46,6,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"550,000",7,1,1,4,0,0,29,5,29,0,0,0,4,25,2,10,17,6,8,8,2,2,3,0,13,16,2,2,2
Sumatera Utara,Kota Medan,Medan Baru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5B36419E-094F-40E3-9679-95E1EA9238AE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70003056,SMA Swasta Islam Plus Adzkia,70003056,Jl. Kangkung No. 24,PETISAH HULU,KEC. MEDAN BARU,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN ADZKIA INTERNASIONAL,AX6148,421.3/926,21-07-2020,421.3/926,21-07-2020,Silakan Upload SK (link file tidak valid) => [448020-626548--],2021-05-28 14,A,"1,414",1. Telkom Speedy,2. Telkom Speedy,PLN,,0614561280,smaislaplusadzkia@gmail.com,http,3.584060200000,98.665242100000,35,252,260,15,SMA 2013 MIPA,Sehari Penuh/6 hari,,2022/2023-2,Telkom Speedy,"1,000",18,1,0,6,0,0,36,13,35,0,0,0,1,34,0,28,7,18,11,4,1,0,1,0,18,17,6,4,5
Sumatera Utara,Kota Medan,Medan Baru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4C661145-E2C2-48EF-BB45-8055CBF4653F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70013538,SMA Swasta Santo Nicholas,70013538,Jln. Mojopahit No. 117 Medan,PETISAH HULU,KEC. MEDAN BARU,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PENDIDIKAN CINTA KASIH STELLA,AW9511,No. 19,19-12-2020,No. 421.3/1066,01-12-2021,Lihat SK Operasional,2021-12-08 18,,891,1. Lainnya (Kabel),2. Lainnya,PLN,,,,,.000000000000,.000000000000,9,4,7,4,SMA 2013 IPS,Sehari Penuh/5 hari,,2022/2023-2,Lainnya (Kabel),"66,000",4,1,0,1,0,0,15,0,9,0,0,0,0,9,0,9,0,4,3,2,0,0,0,0,2,7,2,2,0
Sumatera Utara,Kota Medan,Medan Baru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FFC9D7CB-DA9E-429C-A360-53A1AEDE5761,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10210816,SMAS AL BUKHARI MUSLIM,10210816,JL. SRIWIJAYA NO. 57,PETISAH HULU,KEC. MEDAN BARU,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN TAMAN PERGURUAN ISLAM AL BUKHARI MUSLIM,AO2008,420/7001/03,23-05-2003,420/972/Dikmenjur/2011,30-06-2011,Lihat SK Operasional,2020-09-07 15,B,"1,296",1. -,2. Telkom Speedy,PLN,4519509,4519495,info.sma_albukharimuslim@yahoo.com,http,3.576800000000,98.640300000000,20,44,37,6,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Tidak Ada,"2,500",6,1,1,3,0,0,21,0,18,0,2,0,6,14,0,20,0,7,6,0,2,3,2,0,4,16,2,2,2
Sumatera Utara,Kota Medan,Medan Baru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4ACF3684-77D4-4A9A-A089-73FD899E6883,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10210725,SMAS CAHAYA MEDAN,10210725,JL. HAYAM WURUK NO. 11 MEDAN,PETISAH HULU,KEC. MEDAN BARU,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN SERI AMAL MEDAN,AM0392,371/I.05/A./1987,10-02-1987,421.5/1168/DIS PM PPTSP/6/VII/2019,30-07-2019,Lihat SK Operasional,2020-01-17 08,A,"7,500",1. Telkom Speedy,2. Telkomsel Flash,PLN,0614558884,0614513285,smacahayamedan@yahoo.com,http,3.580700000000,98.665800000000,34,269,386,19,SMA 2013 Bhs&Budaya,Pagi/6 hari,,2022/2023-2,Telkom Speedy,"81,000",19,4,1,2,0,0,30,9,34,0,0,0,17,17,2,27,5,8,4,10,4,2,3,3,17,17,7,6,6
Sumatera Utara,Kota Medan,Medan Baru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/05CE3AE7-A2B2-4FF5-AEF1-FDF908BD9D5A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60728990,SMAS DJUWITA,60728990,JL SEI ASAHAN NO 37,MERDEKA,KEC. MEDAN BARU,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,AO2010,16,23-01-2004,420/8078/PPMP/2011,01-03-2011,Lihat SK Operasional,2015-09-21 15,A,"4,050",1. -,2. Telkomsel Flash,PLN & Diesel,8224009,8224005,sekolahdjuwita@yahoo.com,http,3.588600000000,98.648300000000,14,5,3,4,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"18,000",6,1,1,0,0,0,9,7,14,0,0,0,0,14,0,12,2,7,1,4,0,0,2,0,5,9,0,2,2
Sumatera Utara,Kota Medan,Medan Baru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3B61B71C-0A33-4644-A487-1FA4F9576813,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10210712,SMAS GKPI PADANG BULAN,10210712,JL. LETJEN. JAMIN GINTING KOMPLEKS PAMEN,PADANG BULAN,KEC. MEDAN BARU,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,66,25-05-1974,420/15718/Dikmenjur/2015,10-11-2015,Lihat SK Operasional,2017-03-06 07,B,0,1. Telkomsel Flash,2. Telkom Speedy,PLN,8213134,,gkpi_sma135@yahoo.com,http,3.595200000000,98.644900000000,18,139,186,11,SMA 2013 IPS,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"9,000",12,4,1,2,2,0,11,6,17,0,0,1,8,10,0,17,1,3,5,3,3,3,0,1,10,8,4,3,4
Sumatera Utara,Kota Medan,Medan Baru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B46FD585-341F-449E-ACF1-2B88205C9E24,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10210737,SMAS KEMALA BHAYANGKARI,10210737,JL. K.H. WAHID HASYIM NO.1,MERDEKA,KEC. MEDAN BARU,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Kemala Bhayangkari,AA0760,02/05/05/1980,05-05-1980,420/18426/Dikmenjur/2015,30-12-2015,Lihat SK Operasional,2019-03-29 21,A,"7,820",1. Telkomsel Flash,2. Telkom Speedy,PLN,0618211591,0618211591,smabhayangkari01medan@gmail.com,http,3.598100000000,98.644600000000,29,212,228,15,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"53,000",15,6,1,2,3,0,19,10,26,0,1,2,12,17,0,28,1,5,7,5,4,1,1,6,13,16,5,5,5
Sumatera Utara,Kota Medan,Medan Baru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BF037160-877F-4191-B089-10FDE7F2B110,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69867993,SMAS NANYANG ZHI HUI,69867993,Jl. Abdullah Lubis No.15 Medan,D A R A T,KEC. MEDAN BARU,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Nanyang Indonesia,AM0389,420/4157A.PPMP/2014,30-04-2014,421.3/1592,02-10-2020,Lihat SK Operasional,2023-02-13 14,A,"1,100",1. Lainnya (Serat Optik),2. Lainnya (Serat Optik),PLN,0614143511,0614534328,nanyangzh@yahoo.com,http,3.575189000000,98.664171000000,10,38,43,3,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Lainnya (Serat Optik),"23,000",3,5,1,2,0,0,10,1,10,0,0,0,2,8,0,8,2,4,2,1,0,2,1,0,2,8,1,1,1
Sumatera Utara,Kota Medan,Medan Baru,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B0A70AF7-51AE-418F-9816-F505F479B998,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10210883,SMAS NASRANI 1 MEDAN,10210883,JL. KAPT. PATTIMURA NO. 14 MEDAN,PETISAH HULU,KEC. MEDAN BARU,KOTA MEDAN,PROV. SUMATERA UTARA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Perkumpulan Perguruan Nasrani Medan,AM0398,10,,,,Silakan Upload SK,,B,"1,200",1. Telkomsel Flash,2. Lainnya (Serat Optik),PLN,0,4536239,smanasrani1@yahoo.com,http,3.582400000000,98.666800000000,13,28,22,5,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"7,199",8,1,1,0,0,1,10,4,13,0,0,0,4,9,0,10,3,3,4,2,1,1,1,1,7,6,1,2,2
