prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,program_/_layanan,kurikulum,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,akses_internet_sekolah_kita,rombel_tingkat_13
D.K.I. Jakarta,Kota Jakarta Selatan,Tebet,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3994D017-D6F3-46D1-8408-0B9689C755F3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20177937,MA AS SYAFIYAH 01,20177937,Jl. Bali Matraman No.17 RT. 014/002,MANGGARAI SELATAN,KEC. TEBET,KOTA JAKARTA SELATAN,PROV. D.K.I. JAKARTA,SWASTA,MA,Kementerian Agama,,,D Mj/MA/1703/1994,01-03-1994,KW.09.4/4/KP.07/2868/2012,13-09-2012,Lihat SK Operasional,2021-12-16 11,A,"3,000",,2.,,,,,,-6.220500000000,106.850900000000,0,92,83,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Selatan,Tebet,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CEAC4E22-7816-4038-BB37-13059449CCAC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20177938,MAS ATTAHIRIYAH,20177938,Jl. K.h. Abdullah Syafii No. 68,BUKIT DURI,KEC. TEBET,KOTA JAKARTA SELATAN,PROV. D.K.I. JAKARTA,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,C,0,,2.,,,,,,-6.226464000000,106.850101000000,0,25,26,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Selatan,Tebet,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/076F741D-3B2A-4AE9-96A1-EDB764562C5A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20177945,MAS MUHAMMADIYAH,20177945,Jl. Tebet Timur Raya 565,TEBET TIMUR,KEC. TEBET,KOTA JAKARTA SELATAN,PROV. D.K.I. JAKARTA,SWASTA,MA,Kementerian Agama,Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. D.K.I. Jakarta,AO5348,509 Tahun 2016,12-02-2016,509 Tahun 2016,12-02-2016,Lihat SK Operasional,2019-11-28 10,A,0,,2.,,,,,,-6.234592000000,106.853619000000,0,22,31,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Selatan,Tebet,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/30D0080F-8DFA-E111-83E8-31DDF0C41FF6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20103063,SDLB ZINIA,20103063,JL. TEBET BARAT I/1,TEBET BARAT,KEC. TEBET,KOTA JAKARTA SELATAN,PROV. D.K.I. JAKARTA,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Zinnia,AG3857,45,28-10-1977,NO.KEP.2365/101.AI/I/94,01-01-1994,Silakan Upload SK,,,"2,500",,2.,,8294024,8294024,zinnia_lemkom@yahoo.com,,-6.245000000000,106.851200000000,3,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,3,1,0,0,0,1,1,0,1,2,,Pendidikan Khusus SMALB 2013,,,,,,,,,,,,,,
D.K.I. Jakarta,Kota Jakarta Selatan,Tebet,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D7304A1A-4754-4048-8626-038B218F1A2D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69988460,SLB NEGERI 11 JAKARTA,69988460,"JL. Prof. Dr. Supomo, SH. RT. 005/001",MENTENG DALAM,KEC. TEBET,KOTA JAKARTA SELATAN,PROV. D.K.I. JAKARTA,NEGERI,SLB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,946 TAHUN 2019,28-05-2019,946 TAHUN 2019,28-05-2019,Lihat SK Operasional,2019-07-04 15,B,"2,273",1. Biznet (Kabel),2. Telkom Speedy,PLN,,02122902660,slbnsebelas@gmail.com,http,-6.239200000000,106.844100000000,44,123,81,43,Sehari Penuh/5 hari,,2022/2023-2,"33,000",43,0,2,4,6,0,0,38,37,0,2,5,13,31,1,36,7,24,4,2,5,3,2,4,14,30,"SDLB, SMPLB,  dan SMLB",TKLB 2013,4,4,7,7,1,1,2,3,4,4,3,3,Biznet (Kabel),
D.K.I. Jakarta,Kota Jakarta Selatan,Tebet,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/002D090F-8DFA-E111-8D3B-4FE9231B5B39,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20103061,SLBC WINASIS,20103061,JL. TEBET UTARA III A NO. 2,TEBET TIMUR,KEC. TEBET,KOTA JAKARTA SELATAN,PROV. D.K.I. JAKARTA,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Winasis,AI0193,22,14-05-1981,3574/1.851.932,30-12-2008,Silakan Upload SK (link file tidak valid) => [386122-677977--],2020-10-05 08,,160,1. -,2. Telkom Speedy,PLN,,8316637,winasisslb@yahoo.co.id,,-6.226100000000,106.852900000000,5,11,11,7,Sehari Penuh/5 hari,,2022/2023-2,"2,200",6,0,1,0,4,0,4,0,0,0,1,4,5,0,0,4,1,0,0,0,0,0,0,5,0,5,"SDLB, SMPLB,  dan SMLB",Pendidikan Khusus SMALB 2013,0,1,0,0,1,0,1,1,1,1,0,1,Tidak Ada,
D.K.I. Jakarta,Kota Jakarta Selatan,Tebet,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/607DDCBE-A5C9-46FD-9D7A-E93D486DA015,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20102218,SMAN 26 JAKARTA,20102218,JL. TEBET BARAT IV,TEBET BARAT,KEC. TEBET,KOTA JAKARTA SELATAN,PROV. D.K.I. JAKARTA,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,,,,Silakan Upload SK,,A,"4,968",1. Lainnya (Serat Optik),2. Lainnya (Serat Optik),PLN,83701653,8294645,sman_26_jkt@yahoo.com,http,-6.233400000000,106.848500000000,38,298,371,18,Sehari Penuh/5 hari,,2022/2023-2,"147,000",18,4,1,2,25,6,0,7,24,0,9,5,23,15,0,35,3,5,6,4,3,4,5,11,13,25,,SMA 2013 Bhs&Budaya,,,,,,,,,,6,6,6,Lainnya (Serat Optik),
D.K.I. Jakarta,Kota Jakarta Selatan,Tebet,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/44AAE378-14B5-4E23-8163-FF88F6346803,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20102213,SMAN 37 JAKARTA,20102213,JL. H. KEBON BARU,KEBON BARU,KEC. TEBET,KOTA JAKARTA SELATAN,PROV. D.K.I. JAKARTA,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,,,,Silakan Upload SK,,A,"3,416",1. Lainnya (Serat Optik),2. Telkom Astinet,PLN,0218301916,0218296058,sman37jakarta@yahoo.com,http,-6.234600000000,106.858700000000,45,374,396,21,Sehari Penuh/5 hari,,2022/2023-2,"130,500",21,3,1,2,35,7,0,3,29,0,13,3,24,21,0,39,6,9,2,5,3,7,8,11,18,27,,SMA 2013 IPS,,,,,,,,,,7,7,7,Lainnya (Serat Optik),
D.K.I. Jakarta,Kota Jakarta Selatan,Tebet,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F3930973-38AA-4D26-8D23-75F7000EA4AC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20102568,SMAN 8 JAKARTA,20102568,JL. TAMAN BUKIT DURI,BUKIT DURI,KEC. TEBET,KOTA JAKARTA SELATAN,PROV. D.K.I. JAKARTA,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,,,,,Silakan Upload SK,,A,"6,600",1. Lainnya (Serat Optik),2. Telkom Astinet,PLN,8351782,8295455,info@sman8jkt.sch.id,http,-6.233000000000,106.855200000000,62,476,601,29,Sehari Penuh/5 hari,,2022/2023-2,"6,000",29,6,1,2,46,8,0,8,26,0,25,11,47,15,0,53,9,7,9,8,4,4,18,12,31,31,,SMA 2013 IPS,,,,,,,,,,10,10,9,Lainnya (Serat Optik),
D.K.I. Jakarta,Kota Jakarta Selatan,Tebet,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4CD64D52-A08E-45B9-B15B-8AA27529F685,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20107274,SMAS 17 AGUSTUS 45 JAKARTA,20107274,JL. TEBET DALAM III A,TEBET BARAT,KEC. TEBET,KOTA JAKARTA SELATAN,PROV. D.K.I. JAKARTA,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Proklamasi 17 AGUSTUS 1945,AG3827,1273/62 P,05-06-1962,12876/-1.851.68,24-12-2014,Lihat SK Operasional,2015-06-22 06,A,"6,870",1. Telkomsel Flash,2. Firstmedia,PLN,8298669,8298669,sma_tuag_45@yahoo.co.id,http,-6.224700000000,106.850200000000,32,215,269,17,Sehari Penuh/5 hari,,2022/2023-2,"100,000",18,5,1,2,0,0,19,16,32,0,0,0,4,28,0,23,9,16,7,1,0,2,0,6,12,20,,SMA 2013 IPS,,,,,,,,,,6,5,6,Telkomsel Flash,
