prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13
Sulawesi Selatan,Kota Makassar,Makasar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/50ACB1C6-0D26-E111-AD21-F5F93044B5AE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40307209,SLB BC YAPALB MAKASSAR,40307209,Jl. Perdamaian No. 17 A,BARA-BARAYA TIMUR,KEC. MAKASAR,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,SLB,"SDLB, SMPLB,  dan SMLB","Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Anak Luar Biasa Makassar,AO3826,54,21-03-1988,005/PD4/C-SK/2003,13-03-2003,Silakan Upload SK,,B,225,1.,2.,PLN,,,,,-5.139700000000,119.423600000000,8,27,23,11,Pendidikan Khusus SMALB 2013,Pagi/6 hari,,2022/2023-2,Smartfren,900,14,0,1,2,5,0,4,0,3,0,2,3,5,3,2,5,1,0,0,0,0,1,0,7,3,5,1,1,1,1,0,1,1,1,1,1,1,1,
Sulawesi Selatan,Kota Makassar,Makasar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B5E2C1EE-6A0F-4D57-AA81-F3702873174C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69811389,SMA BOSOWA SCHOOL MAKASSAR,69811389,GEDUNG BDMI JL LANTO DAENG PASEWANG NO 39-41,MARICAYA,KEC. MAKASAR,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Aksa Mahmud,AO3840,421.3/7111/DP/I/2014,08-01-2014,421.3/7111/DP/I/2014,08-01-2014,Lihat SK Operasional,2017-02-02 12,A,"1,000",1. Lainnya,2. Telkom Speedy,PLN,855233,855211,info@bosowaschool.sch.id,http,-5.152900000000,119.419900000000,15,21,32,5,SMA 2013 IPS,Sehari Penuh/5 hari,,2022/2023-2,Lainnya,"10,000",7,4,1,10,0,0,22,0,15,0,0,0,1,14,0,10,5,4,5,5,0,0,1,0,10,5,,,,,,,,,,1,2,2,
Sulawesi Selatan,Kota Makassar,Makasar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C0D3AE45-5F37-4774-8712-B5CE723F80BC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69985007,SMA IT AL FATIH MAKASSAR,69985007,Jalan Mappanyukki No.50B,MARICAYA,KEC. MAKASAR,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Muhammad Al Fatih,AO3825,188.4/2358-P.SMA/DISDIK,30-03-2017,188.4/2358-P.SMA/DISDIK,24-12-2018,Lihat SK Operasional,2022-07-27 09,B,0,1. -,2. Telkom Speedy,PLN,,,alfatihsit@gmail.com,http,-5.150143000000,119.419469000000,15,49,63,5,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"13,200",5,5,1,2,0,0,17,2,15,0,0,0,0,15,0,13,2,10,2,2,0,1,0,0,7,8,,,,,,,,,,2,1,2,
Sulawesi Selatan,Kota Makassar,Makasar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8925FACC-9713-4CFC-AB44-15913C551C92,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69972510,SMA TUNAS BANGSA,69972510,JL. MONGINSIDI BARU,MARICAYA,KEC. MAKASAR,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN TUNAS BANGSA,AH7032,30,08-04-1985,421.3/17144-P.SMA.2/DISDIK/2017,18-12-2017,Lihat SK Operasional,2018-02-01 09,B,"2,000",1. XL (GSM),2. Lainnya (Wavelan),PLN,,0411453833,,http,-5.148600000000,119.426300000000,11,11,6,3,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,XL (GSM),"1,300",3,1,1,2,0,0,11,1,10,0,1,0,1,10,0,8,3,6,1,2,1,0,1,0,3,8,,,,,,,,,,1,1,1,
Sulawesi Selatan,Kota Makassar,Makasar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7E9207F6-EFC8-40C1-A822-78311333E0E9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40311931,SMAS BAWAKARAENG,40311931,JL. MACCINI RAYA NO. 55A/57D,MACCINI,KEC. MAKASAR,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Perguruan Bawakaraeng,AO3821,,,,,Silakan Upload SK,,C,527,1. -,2. Telkom Speedy,PLN,,,yp.bawakaraeng@gmail.com,,-5.136700000000,119.431700000000,9,15,1,3,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,3,1,1,2,0,0,5,4,9,0,0,0,0,9,0,8,1,2,2,3,0,2,0,0,1,8,,,,,,,,,,1,1,1,
Sulawesi Selatan,Kota Makassar,Makasar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/48B712CD-B53F-41C7-AB3B-77E4C2AF5177,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40311932,SMAS COKROAMINOTO MAKASSAR,40311932,JL. GUNUNG LATIMOJONG NO. 124,LARIANG BANGI,KEC. MAKASAR,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Cokroaminoto Sulawesi Selatan,AO3833,252/Kep/106/H/1992,15-07-1992,252/Kep/106/H/1992,15-07-1992,Silakan Upload SK,,B,"4,250",1. Telkomsel Flash,2. Telkom Speedy,PLN,,3614785,info.smacokro@yahoo.com,http,-5.138700000000,119.419900000000,12,21,15,6,SMA 2013 IPS,Siang/6 hari,,2022/2023-2,Telkomsel Flash,"4,200",6,1,1,1,4,1,5,3,8,0,1,3,5,7,0,10,2,1,3,1,2,0,1,4,3,9,,,,,,,,,,2,2,2,
Sulawesi Selatan,Kota Makassar,Makasar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/39CBC7EF-281A-4DE6-8552-10ABE5464B3B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40313205,SMAS DH PEPABRI MAKASSAR,40313205,"JL. CENDRAWASIH, NO. 122 MAKASSAR",MARICAYA BARU,KEC. MAKASAR,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,001/CKEP/I/89,21-10-2010,183/YY/X/2010,21-10-2010,Silakan Upload SK (link file tidak valid) => [714657-678648--],2022-09-20 08,C,"1,500",1. Telkom Speedy,2. Telkomsel Flash,PLN,0411878813,0411851056,smadhpepabri@yahoo.com,http,-5.147500000000,119.420500000000,10,48,11,5,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Telkom Speedy,"15,000",6,1,1,1,1,0,7,4,8,0,0,2,1,9,0,9,1,0,4,1,0,1,2,2,2,8,,,,,,,,,,1,2,2,
Sulawesi Selatan,Kota Makassar,Makasar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9A8561EF-F0BF-4C6A-9365-7F9645420129,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40313257,SMAS ITIHAD,40313257,JL. GUNUNG LOKONG NO. 44,LARIANG BANGI,KEC. MAKASAR,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan  Sosial  Islam  Jiwa,AO3857,421/2730/DPK/X/2002,31-10-2002,421/2730/DPK/X/2002,31-10-2002,Lihat SK Operasional,2023-04-04 13,B,360,1. Lainnya (Wavelan),2. Telkomsel Flash,PLN,,04115413265,smait.makassar@gmail.com,http,-5.137100000000,119.418500000000,10,64,34,4,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Lainnya (Wavelan),"2,200",5,1,1,1,0,1,12,1,10,0,0,0,5,5,0,9,1,2,1,1,2,1,1,2,1,9,,,,,,,,,,1,1,2,
Sulawesi Selatan,Kota Makassar,Makasar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FD1010A0-D6AB-4AC4-9EAC-143464E3A6A5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40307368,SMAS KARTINI,40307368,JL. KESATUAN,MACCINI PARANG,KEC. MAKASAR,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan PENDIDIKAN KARTINI,AO3808,No. 95 Tahun 1986,16-07-1986,021/YPK/A/VIII/2015,21-07-1986,Lihat SK Operasional,2015-08-30 17,C,480,1. Telkom Speedy,2. Telkomsel Flash,PLN,,448776,smakartinimakassar@yahoo.co.id,http,-5.188400000000,119.428500000000,14,56,45,6,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,Telkom Speedy,"2,300",6,2,1,0,0,1,12,3,14,0,0,0,8,6,1,12,1,2,1,2,2,3,4,0,3,11,,,,,,,,,,2,2,2,
Sulawesi Selatan,Kota Makassar,Makasar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/15C8ED3E-EB52-4C85-BB5F-1042BDF4CAB5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40311940,SMAS KR KONDO SAPATA,40311940,JL. SUNGAI SADDANG 2 NO. 5,MARADEKAYA SELATAN,KEC. MAKASAR,KOTA MAKASSAR,PROV. SULAWESI SELATAN,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN KRISTEN KONDO SAPATA,AO3839,421.3/3142/DPK/VII/2014,10-07-2014,24/K.02a/PTSP/2021,22-03-2021,Lihat SK Operasional,2022-08-15 15,B,"1,242",1. Lainnya,2. Telkom Speedy,PLN,,04113631405,sekolahkondosapata.makassar@gmail.com,,-5.145800000000,119.423300000000,16,28,36,3,SMA 2013 IPS,Siang/6 hari,,2022/2023-2,Lainnya,"3,500",6,1,1,2,2,1,10,4,12,0,1,3,3,13,1,11,4,0,4,1,1,0,3,7,12,4,,,,,,,,,,1,1,1,
