prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,program_/_layanan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_13
Jawa Barat,Kab. Bandung Barat,Padalarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/49D82A07-9ADD-4A83-8569-CA01252C7DAD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69965155,Bandung Alliance Intercultural School,69965155,Jl. Bujanggamanik Kav.2,CIPEUNDEUY,KEC. PADALARANG,KAB. BANDUNG BARAT,PROV. JAWA BARAT,SWASTA,SPK SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,Nomor 74.-,20-05-1976,13958/C/KS/2020,23-12-2020,Lihat SK Operasional,2021-06-15 19,B,"35,956",1. Lainnya (Serat Optik),2. Telkom Speedy,PLN,02286813953,02286813949,info@baisedu.org,http,-6.868300000000,107.467000000000,8,25,24,3,US Curriculum,Sehari Penuh/5 hari,,2022/2023-2,Lainnya (Serat Optik),"192,000",10,0,1,4,0,7,1,1,8,0,0,0,0,8,0,8,0,0,1,1,3,2,1,0,5,3,1,1,1,,,,,,,,,,,
Jawa Barat,Kab. Bandung Barat,Padalarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0D7AC4A6-DB3A-40F6-BB89-90E22EF905D0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20280033,MAS DARUL ULUM,20280033,JLN. LETKOL G.A MANULANG NO. 106,PADALARANG,KEC. PADALARANG,KAB. BANDUNG BARAT,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,Kw.10.4/4/PP.00.6/2738/2010,28-04-2010,Kw.10.4/4/PP.00.6/2738/2010,28-04-2010,Lihat SK Operasional,2020-09-21 13,B,0,,2.,,,,,,-6.847000000000,107.478800000000,0,14,13,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Bandung Barat,Padalarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/83A2935C-7509-4FE8-83C9-11A8A7352DCB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20280047,MAS NURUL HIDAYAH,20280047,Jln. Ngamprah Kp. Kebon Kalapa RT 02 RW 02,KERTAJAYA,KEC. PADALARANG,KAB. BANDUNG BARAT,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,01,04-03-2008,W1/PP.00.6/5985/2003,24-09-2003,Lihat SK Operasional,2022-09-20 08,B,0,,2.,,,,,,-6.841900000000,107.498000000000,0,34,18,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Bandung Barat,Padalarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EA1A5240-3893-4ACB-A150-46B803EFDD03,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20280052,MAS PERSIS PADALARANG,20280052,JL. CIJEUNGJING NO. 60,CIMERANG,KEC. PADALARANG,KAB. BANDUNG BARAT,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,A,0,,2.,,,,,,-6.843900000000,107.484500000000,0,54,92,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Bandung Barat,Padalarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F367A7BC-120F-4317-9FFC-9D8A62D7DFA1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20280054,MAS USWATUN HASANAH,20280054,JL. GANTUNGAN NO.83 PURABAYA,TAGOGAPU,KEC. PADALARANG,KAB. BANDUNG BARAT,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-6.884426000000,107.485868000000,0,34,45,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Bandung Barat,Padalarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/609BE415-2CF5-E011-B11B-C3A06C3ABB28,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20267652,SLB AL HIKMAH,20267652,Jl. Gedung X No. C 14B RT.05 RW.09,KERTAMULYA,KEC. PADALARANG,KAB. BANDUNG BARAT,PROV. JAWA BARAT,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN HIKMAH ADHI WALUYA,AX1579,568/I02/Kep/E/1995,28-08-1995,568/I02/Kep/E/1995,28-08-1995,Lihat SK Operasional,2022-10-06 08,,400,1. XL (GSM),2. Telkom Speedy,PLN,,0226811952,slb.alhikmah@gmail.com,,-6.843300000000,107.492500000000,10,30,24,13,TKLB 2013,Sehari Penuh/5 hari,,2022/2023-2,XL (GSM),"2,200",5,0,0,0,2,0,11,0,8,0,1,1,8,2,0,9,1,4,1,0,2,0,2,1,3,7,1,1,1,"TKLB, SDLB, SMPLB,  dan SMLB",1,1,1,1,2,1,1,1,1,
Jawa Barat,Kab. Bandung Barat,Padalarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D2DED4AC-A81F-4823-9EDE-7682814072F5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20206208,SMAN 1 PADALARANG,20206208,JL.PERUM BABAKAN LOA PERMAI No.999 Padalarang,PADALARANG,KEC. PADALARANG,KAB. BANDUNG BARAT,PROV. JAWA BARAT,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,132/A.10/K.67,29-12-1967,132/A.10/K.67,29-12-1967,Lihat SK Operasional,2015-03-05 12,A,"15,000",1. Linknet,2. Telkom Speedy,PLN,6809325,6809325,smansatupadalarang@gmail.com,http,-6.843200000000,107.475900000000,73,454,817,36,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,Linknet,"88,000",36,4,1,33,33,22,1,17,42,1,4,26,42,31,0,63,10,15,14,8,7,2,7,20,28,45,12,12,12,,,,,,,,,,,
Jawa Barat,Kab. Bandung Barat,Padalarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6CE43864-70A1-43FD-A8CA-782128AA2A9A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20227910,SMAN 2 PADALARANG,20227910,JL. GA MANULANG NO.165 PADALARANG,JAYAMEKAR,KEC. PADALARANG,KAB. BANDUNG BARAT,PROV. JAWA BARAT,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,420/Kep-13-Disdikpora/201,10-02-2010,421.4/2043-disdik,03-07-2006,Silakan Upload SK,,A,"8,000",1. Telkomsel Flash,2. Lainnya,PLN,,6807895,sman2.padalarang165@gmail.com,http,-6.852700000000,107.475900000000,70,759,"1,015",50,SMA 2013 IPS,Sehari Penuh/5 hari,,2022/2023-2,Telkomsel Flash,"33,000",53,2,1,10,31,22,1,16,45,0,21,4,30,40,0,66,4,17,11,14,16,3,4,5,29,41,13,19,18,,,,,,,,,,,
Jawa Barat,Kab. Bandung Barat,Padalarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5D83C0C7-D186-4650-B0E8-2289DC28DFD0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20279931,SMAS AL-IRSYAD SATYA,20279931,"Jl. Raya Parahyangan KM 2,7 Kota Baru Parahyangan",CIPEUNDEUY,KEC. PADALARANG,KAB. BANDUNG BARAT,PROV. JAWA BARAT,SWASTA,SPK SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Parahyangan Satya,AA4739,450/MPK.D/KL/2016,24-08-2016,450/MPK.D/KL/2016,24-08-2016,Lihat SK Operasional,2020-11-30 13,A,0,1. Lainnya (Kabel),2. Lainnya (Kabel),PLN,6803992,6803993,sma.alirsyadsatya@yahoo.co.id,http,-6.864200000000,107.477200000000,16,88,100,7,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,Lainnya (Kabel),"3,400",7,1,1,2,0,0,17,3,16,0,0,0,4,12,0,13,3,2,3,4,6,0,1,0,9,7,3,2,2,,,,,,,,,,,
Jawa Barat,Kab. Bandung Barat,Padalarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F5C73F8E-70FB-4FE7-BAB5-7A9EA44D920C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20274847,SMAS CAHAYA BANGSA CLASSICAL SCHOOL,20274847,JL. BUJANGGA MANIK KAV.1 KOTA BARU PARAHYANGAN,CIPEUNDEUY,KEC. PADALARANG,KAB. BANDUNG BARAT,PROV. JAWA BARAT,SWASTA,SPK SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Berkah Bagi Bangsa,AA3977,421/2401/DISDIKPORA,01-07-2014,10529/C/KS.03.00/2021,25-05-2015,Lihat SK Operasional,2022-11-03 10,B,0,1. Lainnya (Wavelan),2. Lainnya (Serat Optik),PLN,86813920,86813919,SOR-CBCS@CAHAYABANGSA.ORG,http,-6.869100000000,107.467900000000,27,63,90,12,ACSI (Association Christian School International),Sehari Penuh/5 hari,,2022/2023-2,Lainnya (Wavelan),"66,000",12,3,1,2,0,0,29,1,27,0,0,0,1,26,0,22,5,8,8,6,4,1,0,0,15,12,4,4,4,,,,,,,,,,,
Jawa Barat,Kab. Bandung Barat,Padalarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/67EBBACC-E919-480C-80F9-01C57F038811,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69944858,SMK KARTINI BHAKTI MANDIRI,69944858,Jalan Letkol G. A. Manulang Kp. Sukamulya No.71 RT.001 RW.02 Padalarang5,PADALARANG,KEC. PADALARANG,KAB. BANDUNG BARAT,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Cahaya Berkat Nusa Bangsa,AA4727,421.3/1607/Disdikpora 2016,02-05-2016,421.3/1607/Disdikpora 2016,02-05-2016,Silakan Upload SK (link file tidak valid) => [441591-678861--],2021-04-27 15,B,400,1. Telkom Speedy,2. Telkom Speedy,PLN,,,smkkbmpadalarang@gmail.com,http,-6.847700000000,107.490100000000,18,9,161,7,SMK 2013 REV. Asisten Keperawatan,Pagi/6 hari,,2022/2023-2,Telkom Speedy,"3,200",6,0,1,2,0,0,11,9,18,0,0,0,0,18,1,15,2,5,11,0,1,0,0,1,5,13,3,2,2,,,,,,,,,,,0
Jawa Barat,Kab. Bandung Barat,Padalarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0CFD0C93-055D-4BAE-9810-E4E09AF33958,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20206224,SMKN 4 PADALARANG,20206224,JL. Raya Padalarang No. 451 Kab Bandung Barat,KERTAJAYA,KEC. PADALARANG,KAB. BANDUNG BARAT,PROV. JAWA BARAT,NEGERI,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,80/B.K/HUK/70,,80/B.K/HUK/70,01-01-2015,Silakan Upload SK,,A,"3,258",1. Lainnya (Serat Optik),2. Lainnya (Serat Optik),PLN,0226805406,0226805406,smkn4.padalarang@gmail.com,http,-6.848700000000,107.492500000000,73,746,709,43,SMK 2013 REV. Rekayasa Perangkat Lunak,Sehari Penuh/5 hari,,2022/2023-2,Lainnya (Serat Optik),"55,000",26,0,1,7,23,31,0,19,54,0,18,1,36,37,0,66,7,10,17,14,16,7,9,0,32,41,15,15,13,,,,,,,,,,,0
Jawa Barat,Kab. Bandung Barat,Padalarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BC1E6C90-3A7E-4E90-8C35-22C91EB21AA0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20267646,SMKS 4 LPPM RI,20267646,LETKOL GA MANULANG NO 132,PADALARANG,KEC. PADALARANG,KAB. BANDUNG BARAT,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Lembaga Pendidikan dan Pengetahuan Masyarakat Republik Indonesia,AL3984,421/109-DISDIKPORA/2011,05-01-2011,421/109-DISDIKPORA 2011,05-01-2011,Silakan Upload SK (link file tidak valid) => [377296-101921--],2020-09-21 13,A,"5,280",1. Lainnya,2. Telkom Speedy,PLN,21320150105123135132,6810404,smk4lppmri@gmail.com,http,-6.853400000000,107.475300000000,34,671,310,28,SMK 2013 REV. Teknik dan Bisnis Sepeda Motor,Double Shift/6 hari,,2022/2023-2,Lainnya,"10,000",25,0,1,2,0,0,35,1,34,0,0,0,4,30,0,25,9,7,10,8,3,2,3,1,18,16,10,10,8,,,,,,,,,,,0
Jawa Barat,Kab. Bandung Barat,Padalarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A709C19A-87FB-4902-B407-9D8E1862538C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69772949,SMKS BANI ABDUL MALIK,69772949,Kp. Cibingbin Rt 05 Rw 04,LAKSANAMEKAR,KEC. PADALARANG,KAB. BANDUNG BARAT,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Putra Putri Abdul Malik,AA4746,421.3/852.2 Disdikpora 2012,16-04-2012,421/3566/Disdikpora 2013,16-09-2013,Lihat SK Operasional,2020-08-27 15,B,"1,000",1. Lainnya (Serat Optik),2. Telkom Speedy,PLN,,02286671121,smk_bam168@yahoo.co.id,http,-6.882100000000,107.512200000000,18,140,80,7,SMK 2013 REV. Teknik Komputer dan Jaringan,Pagi/6 hari,,2022/2023-2,Lainnya (Serat Optik),"1,000",9,0,0,2,0,0,18,2,18,0,0,0,0,18,0,16,2,6,6,3,1,1,0,1,10,8,2,3,2,,,,,,,,,,,0
Jawa Barat,Kab. Bandung Barat,Padalarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A1408606-8E6C-425C-900D-CA572577F9BC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20271881,SMKS BUDI BAKTI UTAMA,20271881,JL RAYA CIBURUY,CIBURUY,KEC. PADALARANG,KAB. BANDUNG BARAT,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan BUDI BAKTI UTAMA,AA4747,421.3/235/Disdikpora/ 2013,30-01-2013,421.3/235/Disdikpora/ 2013,30-01-2013,Lihat SK Operasional,2020-08-31 16,B,"2,580",1. Telkom Speedy,2. Lainnya (Serat Optik),PLN,0226806573,0226806573,smkbudibaktiutama@gmail.com,http,-6.833700000000,107.470900000000,33,145,160,12,SMK 2013 REV. Teknik Komputer dan Jaringan,Sehari Penuh/6 hari,,2022/2023-2,Telkom Speedy,"33,000",12,0,1,4,0,0,32,7,33,0,0,0,4,29,3,20,10,8,5,4,7,3,2,4,16,17,4,4,4,,,,,,,,,,,0
Jawa Barat,Kab. Bandung Barat,Padalarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EE1B6BC1-2C97-4768-85A1-5B773394A20C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60730356,SMKS DHARMA PERTIWI,60730356,Jl. Raya Purwakarta KM. 7 RT. 01 RW. 22,CEMPAKAMEKAR,KEC. PADALARANG,KAB. BANDUNG BARAT,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN AL FARABY BANDUNG BARAT,AD6601,421/3800/Disdikpora 2013,28-08-2013,421/3800/Disdikpora 2013,28-08-2013,Lihat SK Operasional,2020-08-28 07,A,"4,500",1. Telkom Speedy,2. Telkom Speedy,PLN,,02286811660,smkdharmapertiwi@yahoo.com,http,-6.801300000000,107.445900000000,29,294,307,18,SMK 2013 REV.  Otomatisasi dan Tata Kelola Perkantoran,Sehari Penuh/6 hari,,2022/2023-2,Telkom Speedy,"16,600",13,0,1,2,1,0,17,13,28,0,0,1,3,26,8,14,7,21,1,3,0,0,1,3,11,18,8,5,5,,,,,,,,,,,0
Jawa Barat,Kab. Bandung Barat,Padalarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0E206085-5615-450B-8381-FA8DE35E75A1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20279935,SMKS HAMKA PADALARANG,20279935,JL. ANDIR RT 03 RW 15,PADALARANG,KEC. PADALARANG,KAB. BANDUNG BARAT,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Hamada Kaaffah,AA4774,421/67.I/Disdikpora 2014,13-01-2014,421.3/921-1-DISDIKPORA/2012,12-03-2012,Lihat SK Operasional,2015-03-07 12,,"1,120",1. -,2. Telkom Speedy,PLN,,0226807184,smkhamka@gmail.com,http,-6.838000000000,107.471200000000,13,9,13,3,SMK 2013 REV.  Perhotelan,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,200",2,0,0,0,1,0,7,5,12,0,0,1,1,12,1,10,2,3,4,2,3,0,0,1,7,6,1,1,1,,,,,,,,,,,0
