prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,program_/_layanan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_13
Jawa Barat,Kota Bekasi,Bekasi Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/573D1FA7-F20F-4878-BC4C-70E93034334C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20277103,MAS ANNIDA AL ISLAMY,20277103,JL. KH. MAS MANSYUR NO 91,BEKASI JAYA,KEC. BEKASI TIMUR,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,3100501001,07-04-1981,3100501001,07-04-1981,Lihat SK Operasional,2021-01-04 11,A,0,,2.,,,,,,-6.242700000000,107.010700000000,0,194,221,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Jawa Barat,Kota Bekasi,Bekasi Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9FA6C569-951B-462C-B6D0-42D150FDB44C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20277112,MAS MUHAMMADIYAH 03,20277112,JL. KIMANGUN SARKORO NO.45,BEKASI JAYA,KEC. BEKASI TIMUR,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. Jawa Barat,AO5349,,,,,Silakan Upload SK,,A,0,,2.,,,,,,-6.245300000000,107.006900000000,0,29,30,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Jawa Barat,Kota Bekasi,Bekasi Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20EE14BE-5422-E211-9EEB-9DE09C015FAB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20269388,SLB A TANMIYAT,20269388,JL. HM. JOYOMARTONO NO 19,MARGAHAYU,KEC. BEKASI TIMUR,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan PANTIREHABILITASIPENDERITA CACAT NETRA WISMATANMIYAT,AI0097,840/I02/Kep/E.93,03-10-1993,840/I02/KEP/E.93,15-09-1999,Silakan Upload SK,,,0,,2.,,0218800478,0218800478,slbatanmiyat@yahoo.co.id,,-6.241600000000,107.028700000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Jawa Barat,Kota Bekasi,Bekasi Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/60BA14BE-5422-E211-A2E6-45B6553A4F18,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20218362,SLB ABC CITRA MANDALA,20218362,JL.KARANG SATRIA 115 KP.CEREWET,DUREN JAYA,KEC. BEKASI TIMUR,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Citra Mandala,AX1748,663/I02/Kep/E.91,07-10-2007,663/I02/KEP/E.91,07-10-1991,Silakan Upload SK,,A,"2,020",1. 3 (Tri),2. Telkom Speedy,PLN,,0218814924,sdlb_citramandala@yahoo.com,,-6.233500000000,107.044400000000,8,43,41,21,Pagi/6 hari,,2022/2023-2,0,12,1,1,1,1,0,8,2,7,0,1,0,3,5,0,3,5,1,1,0,2,2,1,1,0,8,"SDLB, SMPLB,  dan SMLB",2,1,2,2,2,1,2,2,2,2,1,2,Pendidikan Khusus SMALB 2013,3 (Tri),
Jawa Barat,Kota Bekasi,Bekasi Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80819E05-2DF5-E011-86FE-39B16157BD17,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20231616,SLB NEGERI BEKASI JAYA,20231616,Jl. Mahoni Raya No. 1 Perumahan Bekasi Jaya Indah Blok BI B/3 RT.002/09,BEKASI JAYA,KEC. BEKASI TIMUR,KOTA BEKASI,PROV. JAWA BARAT,NEGERI,SLB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,421.2/SK.1173/86,05-12-1986,421.2/SK.1173/86,08-12-1986,Silakan Upload SK (link file tidak valid) => [282264-290492-429792-136396978-941394594.PDF],2020-01-08 13,A,0,1. -,2. Telkom Speedy,PLN,02188340841,02188340841,slbnegeri.bekasijaya@yahoo.co.id,http,-6.227900000000,107.016800000000,51,208,127,67,Sehari Penuh/5 hari,,2022/2023-2,"55,000",20,0,1,2,31,5,0,15,21,1,25,4,16,35,0,48,3,1,9,4,4,10,12,11,9,42,"SDLB, SMPLB,  dan SMLB",3,4,5,8,5,6,7,6,5,7,7,4,Pendidikan Khusus SMALB 2013,Tidak Ada,
Jawa Barat,Kota Bekasi,Bekasi Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/16341B2D-B7BD-4F28-A375-2BAB1F888675,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20223071,SMA MUHAMMADIYAH 9 BEKASI,20223071,JL. KI MANGUN SARKORO NO. 45,BEKASI JAYA,KEC. BEKASI TIMUR,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. Jawa Barat,AO5349,277/II.02.24/T/1980,27-05-1980,241/102.Kep/E 81,17-11-1981,Lihat SK Operasional,2020-03-17 23,A,"7,938",1. Lainnya,2. Telkom Speedy,PLN,8811738,8811738,admin@smam9bekasi.sch.id,http,-6.236900000000,107.007600000000,22,170,217,12,Sehari Penuh/5 hari,,2022/2023-2,"6,000",12,2,1,2,1,0,12,11,21,0,0,1,11,11,0,15,7,10,1,1,1,2,2,5,4,18,,,,,,,,,,,4,4,4,SMA 2013 Bhs&Budaya,Lainnya,
Jawa Barat,Kota Bekasi,Bekasi Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2F318EFE-2C7F-4F52-AB75-3CD33693414B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69947164,SMA PERGURUAN ADVENT XIV BEKASI,69947164,JL SERSAN ASWAN NO.3,MARGAHAYU,KEC. BEKASI TIMUR,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Perguruan Advent Bekasi,AD7381,421.4/05-BPPT,21-03-2016,421.3/kep.209-Disdik/V/16,24-05-2016,Lihat SK Operasional,2020-08-27 15,B,860,1. Telkom Speedy,2. Telkom Speedy,PLN,,0218827140,smaadventxivbekasi@gmail.com,http,-6.256700000000,107.013000000000,10,33,27,6,Sehari Penuh/5 hari,,2022/2023-2,"24,998",6,5,1,2,0,0,10,2,10,0,0,0,0,10,0,10,0,3,2,1,3,0,1,0,3,7,,,,,,,,,,,2,2,2,SMA 2013 MIPA,Telkom Speedy,
Jawa Barat,Kota Bekasi,Bekasi Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D3E57B47-064C-4776-AFB2-244E8E8B51DD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20223020,SMAN 1 BEKASI,20223020,JL. KH. AGUS SALIM NO. 181,BEKASI JAYA,KEC. BEKASI TIMUR,KOTA BEKASI,PROV. JAWA BARAT,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,79/SK/B/III,30-07-1964,79/SK/B/III,30-07-1964,Lihat SK Operasional,2017-01-03 09,A,"16,135",1. Lainnya (Serat Optik),2. Lainnya (Serat Optik),PLN,8803854,8802538,smanegeri1bekasi@yahoo.com,http,-6.226800000000,107.011000000000,73,562,712,36,Sehari Penuh/5 hari,,2022/2023-2,"246,000",38,3,1,2,43,14,0,16,33,0,11,29,46,27,1,66,6,13,8,5,7,3,9,28,26,47,,,,,,,,,,,12,12,12,SMA 2013 Bhs&Budaya,Lainnya (Serat Optik),
Jawa Barat,Kota Bekasi,Bekasi Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/051BEEF1-4F96-4280-B804-1DCEBB69AC07,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69760562,SMAN 18 BEKASI,69760562,JL. Rudal No.18 Perumahan Duren Jaya Permai,AREN JAYA,KEC. BEKASI TIMUR,KOTA BEKASI,PROV. JAWA BARAT,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,421.3/14.364. Dik /V/2011,20-05-2011,421.3/Kep.365-Disdik/II/2015,15-09-2015,Lihat SK Operasional,2019-11-05 07,Sertifikat Kedaluwarsa,"5,400",1. Lainnya,2. Telkom Astinet,PLN,,88397909,sman18bks@gmail.com,http,-6.237600000000,107.036000000000,51,455,573,30,Sehari Penuh/5 hari,,2022/2023-2,"70,000",25,2,1,3,15,14,1,21,36,0,13,2,19,32,0,44,7,12,11,11,6,5,3,3,14,37,,,,,,,,,,,12,11,7,SMA 2013 IPS,Lainnya,
Jawa Barat,Kota Bekasi,Bekasi Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C0FDEA43-4830-42D3-A5A5-28C3FC3643A6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20223060,SMAS AL MUHADJIRIN,20223060,JL. P. JAWA RAYA PERUM 3,AREN JAYA,KEC. BEKASI TIMUR,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan YAPIMBR,AG6450,446/102/E.90,03-10-1990,446/102/E.90,03-10-2021,Lihat SK Operasional,2021-11-16 15,A,"6,300",1. -,2. Telkom Speedy,PLN,,02182695599,almuhadjirins@yahoo.co.id,http,-6.297200000000,106.932200000000,12,20,36,3,Sehari Penuh/5 hari,,2022/2023-2,"7,700",6,5,1,2,0,0,14,2,12,0,0,0,4,8,0,5,7,7,0,1,0,2,2,0,3,9,,,,,,,,,,,1,1,1,SMA 2013 IPS,Tidak Ada,
