prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,akses_internet_sekolah_kita,rombel_tingkat_13
Jawa Barat,Kota Bekasi,Medan Satria,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A64BE717-851E-4BB2-BCA0-610AAA54EDF1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69864718,SLB AL - AZHAR,69864718,JL. AL - AZHAR NO 08220,MEDAN SATRIA,KEC. MEDAN SATRIA,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SLB,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Al-Azhar Harapan Indah,AD7427,05,27-08-2012,421.9/Kep.06/VI/SLB-BPPT/2014,30-06-2014,Lihat SK Operasional,2015-04-30 14,,0,,2.,,02188875075,02188866055,alazharhi@al-azharhi.sch.id,http,-6.184473000000,106.984113000000,2,0,0,0,Pendidikan Khusus SMALB 2013,,,2022/2023-2,,0,0,0,0,0,0,3,0,2,0,0,0,1,1,0,0,2,1,0,0,0,0,0,1,0,2,,,,,,,,,,,,,,
Jawa Barat,Kota Bekasi,Medan Satria,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/60BA9506-2DF5-E011-A5E7-7D89C6A299DF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20223061,SLB CAHAYA PERTIWI,20223061,Taman Harapan Baru Blok C4 No.21-22 Medan Satria,MEDAN SATRIA,KEC. MEDAN SATRIA,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SLB,"TKLB, SDLB, SMPLB,  dan SMLB","Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan slb cahaya pertiwi,AD7444,Akta Notaris Helmi SH Nom,24-03-2003,421.9/3123-DISDIK/2003,09-07-2003,Lihat SK Operasional,2020-08-24 20,B,120,1. 3 (Tri),2. Firstmedia,PLN,,,slb_cahayapertiwi@yahoo.com,,-6.178000000000,106.992500000000,12,69,33,26,TKLB 2013,Pagi/6 hari,,2022/2023-2,"11,000",11,0,0,2,0,0,14,0,11,0,1,0,1,11,0,12,0,5,4,2,1,0,0,0,1,11,2,3,3,4,2,2,3,3,1,1,1,1,3 (Tri),
Jawa Barat,Kota Bekasi,Medan Satria,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/18C7AC30-384D-4C6B-B6CF-E1084F74D618,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69864697,SMA KRISTEN SAINT JOHN,69864697,Jl. Tanah Apit Rt 06/09,MEDAN SATRIA,KEC. MEDAN SATRIA,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Kristen Saint John,AH9861,42,25-09-2008,421.3/Kep.684-Disdik/IX/2,29-09-2014,Lihat SK Operasional,2015-09-10 09,A,"1,444",1. Lainnya (Serat Optik),2. Biznet (Serat Optik),PLN,,02188383536,smakristensaintjohn@gmail.com,http,-6.208198000000,106.977053000000,19,198,183,13,SMA 2013 IPS,Sehari Penuh/5 hari,,2022/2023-2,"147,000",13,4,1,3,0,0,11,9,18,0,1,0,2,17,0,17,2,6,4,4,4,0,0,1,8,11,,,,,,,,,,4,5,4,Lainnya (Serat Optik),
Jawa Barat,Kota Bekasi,Medan Satria,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5441AF78-592B-4D97-9DD2-1ECBF0BED993,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20223019,SMAN 10 BEKASI,20223019,JL. FLAMBOYAN RAYA PERUM HARAPAN INDAH,PEJUANG,KEC. MEDAN SATRIA,KOTA BEKASI,PROV. JAWA BARAT,NEGERI,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,046/O/2001,17-04-2001,046/O/2001,17-04-2001,Silakan Upload SK (link file tidak valid) => [779172-64402--],2023-02-16 06,A,"12,052",1. -,2. Telkom Astinet,PLN,88975928,88975928,sman10bks@yahoo.co.id,https,-6.176100000000,106.981100000000,60,495,606,32,SMA 2013 MIPA,Sehari Penuh/5 hari,,2022/2023-2,"161,700",36,8,1,18,25,18,0,17,35,0,12,13,33,27,0,54,6,13,5,7,4,7,12,12,18,42,,,,,,,,,,11,11,10,Tidak Ada,
Jawa Barat,Kota Bekasi,Medan Satria,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/945618DB-429A-44EB-9910-7AFE99365D9B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20223058,SMAS ATTAQWA,20223058,JL. KALIABANG BUNGUR NO.2,PEJUANG,KEC. MEDAN SATRIA,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN ATTAQWA CABANG I PEJUANG,AD7470,587/I 02/Kep/E/86,15-12-1986,587/I 02/Kep/E/86,15-12-1986,Lihat SK Operasional,2020-03-19 21,A,"10,000",1. Telkomsel Flash,2. Telkom Speedy,PLN,,02188984213,mail.smaattaqwa@gmail.com,http,-6.197400000000,106.987500000000,13,44,65,3,SMA 2013 MIPA,Pagi/6 hari,,2022/2023-2,"9,600",4,3,1,2,1,0,13,2,12,0,1,0,7,6,0,9,4,0,2,1,3,3,3,1,7,6,,,,,,,,,,1,1,1,Telkomsel Flash,
Jawa Barat,Kota Bekasi,Medan Satria,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/802CBBDE-72D3-40E4-84FF-86F12E0DB987,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20252521,SMAS BINA TUNGGAL,20252521,JL. H. Wahab Affan No. 1,MEDAN SATRIA,KEC. MEDAN SATRIA,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan BINA TUNGGAL,AD7483,421/6/1853/Dik,26-07-2006,-421/6/1853Dik2,26-07-2006,Lihat SK Operasional,2016-03-10 07,B,"1,880",1. -,2. Telkom Speedy,PLN,02188852024,02188969115,info.smabt@yahoo.co.id,http,-6.209700000000,106.977200000000,17,5,5,2,SMA 2013 Bhs&Budaya,Sehari Penuh/5 hari,,2022/2023-2,"17,000",7,1,1,2,0,3,12,3,16,0,0,1,10,7,0,12,5,2,2,2,3,2,1,5,5,12,,,,,,,,,,1,0,1,Tidak Ada,
Jawa Barat,Kota Bekasi,Medan Satria,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3BAED18C-6023-4373-975D-09F6A2BF41B4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20252516,SMAS CINDERA MATA,20252516,"JL. DAHLIA INDAH BLOK JF. PERUM, HARAPAN INDAH",PEJUANG,KEC. MEDAN SATRIA,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN CINDERA MATA,AA5425,131,10-08-1991,787/I 02/Kep/L 93,06-12-1993,Lihat SK Operasional,2023-03-27 08,A,785,1. -,2. Telkom Speedy,PLN,88865476,8872793,smacinderamata93@yahoo.com,http,-6.173900000000,106.978400000000,25,160,200,13,SMA 2013 IPS,Sehari Penuh/5 hari,,2022/2023-2,"33,000",13,3,1,2,0,0,28,2,25,0,0,0,21,4,0,25,0,2,1,0,5,4,5,8,7,18,,,,,,,,,,5,4,4,Tidak Ada,
Jawa Barat,Kota Bekasi,Medan Satria,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E9747CF7-996C-4386-97F3-051DCFCA0B6A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20223054,SMAS GALATIA,20223054,JL. BOULEVARD HIJAU BLOK A 1 KEL. PEJUANG,PEJUANG,KEC. MEDAN SATRIA,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN GALATIA,AA0518,,,,,Silakan Upload SK,,A,"5,600",1. Lainnya (Wavelan),2. Telkom Speedy,PLN,88872723,021,smagalatia_bekasi@yahoo.com,,-6.192900000000,106.996000000000,7,50,39,6,SMA 2013 IPS,Sehari Penuh/5 hari,,2022/2023-2,"5,000",9,3,1,2,0,0,4,4,7,0,0,0,1,6,1,6,0,0,0,1,1,0,1,4,4,3,,,,,,,,,,2,2,2,Lainnya (Wavelan),
Jawa Barat,Kota Bekasi,Medan Satria,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DB9C9E1A-1CDF-43FF-8C2D-60599A257CCB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69786316,SMAS ISLAM AL-AZHAR HARAPAN INDAH,69786316,Jl. Al-Azhar Kav No.18-21,PEJUANG,KEC. MEDAN SATRIA,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Al-Azhar Harapan Indah,AD7427,,04-10-2013,022/YAHI/3/34/4,25-03-2013,Silakan Upload SK,,A,"16,000",1. Lainnya (Kabel),2. Lainnya,PLN,02188875075,02124092000,alazharhi@al-azharhi.sch.id,http,-6.183600000000,106.994400000000,4,15,7,6,SMA 2013 IPS,Sehari Penuh/6 hari,,2022/2023-2,"16,000",6,3,1,2,0,0,6,0,4,0,0,0,1,3,0,3,1,3,0,1,0,0,0,0,1,3,,,,,,,,,,2,2,2,Lainnya (Kabel),
Jawa Barat,Kota Bekasi,Medan Satria,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/05B73970-E91D-4556-A162-30FC6BCA550C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20253599,SMAS KRISTEN PENABUR HARAPAN INDAH,20253599,JL. HARAPAN INDAH BULEVAR KAV.21,PEJUANG,KEC. MEDAN SATRIA,KOTA BEKASI,PROV. JAWA BARAT,SWASTA,SMA,,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan BADAN PENDIDIKAN KRISTEN PENABUR JAKARTA,AD1986,06/Skr/Kep/10/2008,09-10-2008,421/3502-Binprog/X/2008,31-10-2008,Lihat SK Operasional,2015-09-09 08,A,"5,720",1. Lainnya (Serat Optik),2. Lainnya (Serat Optik),PLN,02129477551,02129477552,smakharapanindah@bpkpenaburjakarta.or.id,http,-6.188100000000,106.980700000000,40,263,264,17,SMA 2013 IPS,Sehari Penuh/5 hari,,2022/2023-2,"3,000",30,4,1,8,0,0,47,1,40,0,0,0,14,26,0,39,1,4,3,7,10,3,7,6,14,26,,,,,,,,,,5,5,7,Lainnya (Serat Optik),
