prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_13
Jawa Barat,Kota Tasikmalaya,Cibeureum,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F5EF2918-E793-43D6-8917-189057CA069B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20277188,MAN 1 Kota Tasikmalaya,20277188,JL. AWIPARI 1,AWIPARI,KEC. CIBEUREUM,KOTA TASIKMALAYA,PROV. JAWA BARAT,NEGERI,MA,Kementerian Agama,Pemerintah Daerah,,,,Keputusan Menteri Agama No 212 Tahun 2015,27-07-2015,Lihat SK Operasional,2019-01-23 09,A,0,,2.,,,,,,-7.351800000000,108.271300000000,0,410,728,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Barat,Kota Tasikmalaya,Cibeureum,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/81957C21-5B12-4BB7-8999-69579B8E3867,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20277191,MAN 3 Kota Tasikmalaya,20277191,Kompleks PesantrenMathlau Khoer,SETIANAGARA,KEC. CIBEUREUM,KOTA TASIKMALAYA,PROV. JAWA BARAT,NEGERI,MA,Kementerian Agama,Pemerintah Daerah,,,,Keputusan Menteri Agama No 212 Tahun 2015,27-07-2015,Lihat SK Operasional,2019-01-23 09,A,0,,2.,,,,,,-7.353900000000,108.251900000000,0,80,126,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Barat,Kota Tasikmalaya,Cibeureum,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1FDE1D76-990F-4472-A131-B4AEFFE152D5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20277186,MAS ASSALAM,20277186,JL. NAGARAKASIH,KERSANAGARA,KEC. CIBEUREUM,KOTA TASIKMALAYA,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,AHU-0027274.AH.01.04.Tahun 2015,30-11-2015,Kw.10.4/4/PP.00.6/8166/2009,28-04-2010,Lihat SK Operasional,2021-06-06 09,B,0,,2.,,,,,,-7.361800000000,108.233000000000,0,20,11,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Barat,Kota Tasikmalaya,Cibeureum,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6A65AF73-82F5-43E6-A122-E34837D466BC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20277192,MAS CILENDEK,20277192,CILENDEK,CIHERANG,KEC. CIBEUREUM,KOTA TASIKMALAYA,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,,,,,,,Silakan Upload SK,,A,0,,2.,,,,,,-7.355600000000,108.255900000000,0,77,105,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Barat,Kota Tasikmalaya,Cibeureum,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5651B6FC-062C-4122-89C7-4079EA6DADFE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69955726,MAS Daarul Anba,69955726,Jl. Cieurih No. 5 Bantargedang,KERSANAGARA,KEC. CIBEUREUM,KOTA TASIKMALAYA,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,Lainnya,,AHU-5606.AH.01.04.Tahun 2013,26-09-2013,538 TAHUN 2016,20-06-2016,Lihat SK Operasional,2019-09-23 13,B,0,,2.,,,,,,-7.362500000000,108.248500000000,0,49,35,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Jawa Barat,Kota Tasikmalaya,Cibeureum,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4C98E6D5-5D28-4CBB-807A-3DA1FB03A88F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70038408,SMA ISLAMIC LEADER SCHOOL,70038408,Jl. Bandung No. 140,KOTABARU,KEC. CIBEUREUM,KOTA TASIKMALAYA,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Rumah Yatim Tasikmalaya Indonesia,AW8025,56/011050/DPMPTSP/XII/2022,21-12-2022,56/011050/DPMPTSP/XII/2022,21-12-2022,Lihat SK Operasional,2023-04-04 13,,0,,2.,,,,,,.000000000000,.000000000000,1,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,,,,,,
Jawa Barat,Kota Tasikmalaya,Cibeureum,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5853689F-06C0-4A3E-ADAB-45A09BF0E07C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20224512,SMAS TERPADU RIYADLUL ULUM,20224512,KOMPLEK PESANTREN CONDONG-CIBEUREM,SETIANAGARA,KEC. CIBEUREUM,KOTA TASIKMALAYA,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Tarbiyatul Islamiyah,AM9409,AHU-0030602.AH.01.04.Tahun 2015,10-12-2015,421.3/1485-Disdik/Dikmen,09-08-2004,Lihat SK Operasional,2021-09-06 12,A,"15,000",1. Lainnya (Kabel),2. Telkom Speedy,PLN,,02657520637,smat.riyadlululum@gmail.com,https,-7.345900000000,108.260500000000,60,543,583,34,Sehari Penuh/6 hari,,2022/2023-2,"7,000",36,4,1,2,1,0,57,12,60,0,0,0,14,46,0,50,10,26,16,5,4,7,2,0,24,36,12,11,11,SMA 2013 MIPA,Lainnya (Kabel),
Jawa Barat,Kota Tasikmalaya,Cibeureum,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B9ADCC10-9A98-4215-9A8C-228F5722C51C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69895563,SMK AL BASITH,69895563,JL. Anyar No.9,MARGABAKTI,KEC. CIBEUREUM,KOTA TASIKMALAYA,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN AL BASITH,AM9400,503/3090/SK-PEND/BPMPPT/2015,21-05-2015,I/007/YALB/2015,02-05-2015,Lihat SK Operasional,2020-08-27 15,A,"1,440",1. -,2. Telkom Speedy,PLN,0265381576,0265380009,smkalbasith_tsm@yahoo.co.id,http,-7.351500000000,108.281500000000,29,104,75,15,Pagi/6 hari,,2022/2023-2,"12,100",9,0,0,2,1,1,32,1,28,0,0,1,8,21,1,25,3,6,10,5,5,1,1,1,10,19,5,5,5,SMK 2013 REV.  Otomatisasi dan Tata Kelola Perkantoran,Tidak Ada,0
Jawa Barat,Kota Tasikmalaya,Cibeureum,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A83BF769-7A22-460D-B74F-390984A40783,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20267946,SMK AL IKHWAN,20267946,KH. KHOER AFFANDI NO. 13,SETIANAGARA,KEC. CIBEUREUM,KOTA TASIKMALAYA,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Al-Ikhwan Hajjah Djuhaenah,AD5112,421.5/SK.002/BPPT/2009,03-03-2009,421.5/SK.002/BPPT/2009,03-03-2009,Lihat SK Operasional,2020-07-17 08,A,"4,352",1. Telkom Speedy,2. Telkom Speedy,PLN,0,0265326364,smkterwantas@yahoo.co.id,http,-7.349400000000,108.257100000000,25,121,164,16,Pagi/6 hari,,2022/2023-2,"20,900",10,1,1,6,2,0,27,0,23,0,1,1,3,22,3,17,5,14,6,2,1,0,0,2,11,14,6,5,5,SMK 2013 REV. Teknik dan Bisnis Sepeda Motor,Telkom Speedy,0
Jawa Barat,Kota Tasikmalaya,Cibeureum,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9EFC51F3-C200-4142-806D-5073E947D857,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20224515,SMK AL KHOERIYAH,20224515,RAYA MANONJAYA NO. 34,CIHERANG,KEC. CIBEUREUM,KOTA TASIKMALAYA,PROV. JAWA BARAT,SWASTA,SMK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Al-koeriyah kiyai haji fakhrudin,AM9401,421.5/1301a-Disdik/Persek,18-07-2003,421.5/1301a-Disdik/Persek,11-07-2016,Silakan Upload SK (link file tidak valid) => [339515-935333--],2020-08-26 18,A,"4,095",1. Telkom Speedy,2. Telkom Speedy,PLN,02657521239,02657521239,alkhoeriyahsmk@gmail.com,http,-7.355800000000,108.274500000000,37,215,176,20,Pagi/6 hari,,2022/2023-2,"11,000",21,0,1,2,3,0,38,2,34,0,3,0,11,26,0,29,8,17,9,5,3,1,2,0,16,21,7,7,6,SMK 2013 REV. Teknik dan Bisnis Sepeda Motor,Telkom Speedy,0
