prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,program_/_layanan,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,rombel_tingkat_10,rombel_tingkat_11,rombel_tingkat_12,rombel_tingkat_13
Jawa Barat,Kota Tasikmalaya,Tawang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/82D32753-04DF-41F8-A954-51A78FAD1B58,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20277195,MAS MUHAMMADIYAH,20277195,JL. RUMAH SAKIT NO. 29,KAHURIPAN,KEC. TAWANG,KOTA TASIKMALAYA,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,Yayasan Pimpinan Daerah Muhammadiyah (PDM) Kota Tasikmalaya,AD7904,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-7.332800000000,108.238900000000,0,12,11,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Jawa Barat,Kota Tasikmalaya,Tawang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2A74AB6D-C4E6-479D-8FF3-24F3730327B4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20277196,MAS NU,20277196,JL. DR. Sukarjo No. 47,TAWANGSARI,KEC. TAWANG,KOTA TASIKMALAYA,PROV. JAWA BARAT,SWASTA,MA,Kementerian Agama,Yayasan BPPPMNU Wilayah Prov. Jawa Barat,AX6692,3/10/23/03/01,05-02-1981,3/10/23/03/01,05-02-1981,Lihat SK Operasional,2015-03-18 14,A,0,,2.,,,,,,-7.333700000000,108.225900000000,0,39,53,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Jawa Barat,Kota Tasikmalaya,Tawang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F0F2CFDB-6CF9-E111-AC37-A715D95DFB15,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20251092,SLB YAYASAN BAHAGIA,20251092,JL. TAMAN PAHLAWAN NO. 20,CIKALANG,KEC. TAWANG,KOTA TASIKMALAYA,PROV. JAWA BARAT,SWASTA,SLB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN BAHAGIA,AD7953,11,12-09-1959,030/SLB/JB/XII/1987,28-12-1987,Silakan Upload SK (link file tidak valid) => [322931-890188--],2020-08-24 19,B,0,1. Telkomsel Flash,2. Telkom Speedy,PLN,,0265343326,slbbahagia@yahoo.co.id,,-7.346700000000,108.231800000000,30,90,68,48,Sehari Penuh/5 hari,,2022/2023-2,"2,500",14,0,1,2,8,0,21,3,22,0,2,6,15,15,0,30,0,10,5,5,1,1,2,6,6,24,"TKLB, SDLB, SMPLB,  dan SMLB",TKLB 2013,Telkomsel Flash,4,1,3,5,4,5,5,3,6,5,3,4,
Jawa Barat,Kota Tasikmalaya,Tawang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/947E64F0-4909-45BD-8FB6-97DAB3F0686F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69958780,SMA IT AT TAUFIQ AL ISLAMY,69958780,JL. BATARA SINDANGGALIH NO.02 RT.02 RW.11,KAHURIPAN,KEC. TAWANG,KOTA TASIKMALAYA,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan AR-RIFAHIYAH,AD7947,005/P3.Ab-YAR/V/2015,10-05-2015,503/6449/SK-PEND/BPMPPT/2016,29-08-2016,Lihat SK Operasional,2020-08-27 14,A,0,1. -,2. Biznet (Serat Optik),PLN,02657525612,02657525612,attaufiq.smait@gmail.com,http,-7.355639000000,108.227291000000,8,15,21,3,Sehari Penuh/5 hari,,2022/2023-2,"1,300",3,0,0,0,0,0,8,0,8,0,0,0,0,8,0,4,4,4,2,0,0,1,1,0,2,6,,SMA 2013 MIPA,Tidak Ada,,,,,,,,,,1,1,1,
Jawa Barat,Kota Tasikmalaya,Tawang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/34EBBE3D-9F71-4DE8-B613-79D268622B46,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20224511,SMA NEGERI 1 TASIKMALAYA,20224511,Jl. Rumah Sakit Umum No.28,EMPANGSARI,KEC. TAWANG,KOTA TASIKMALAYA,PROV. JAWA BARAT,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,3142/G/III,14-07-1956,3142/G/III,14-07-1956,Silakan Upload SK (link file tidak valid) => [477252-442247--],2021-07-27 10,A,"4,284",1. Biznet (Serat Optik),2. Telkom Speedy,PLN,314861,331690,info@sman1-tasik.sch.id,http,-7.332500000000,108.223500000000,64,528,736,35,Sehari Penuh/5 hari,,2022/2023-2,"37,000",29,4,1,26,37,15,0,12,29,0,17,18,38,26,0,52,12,15,5,3,10,8,7,16,29,35,,SMA 2013 MIPA,Biznet (Serat Optik),,,,,,,,,,12,12,11,
Jawa Barat,Kota Tasikmalaya,Tawang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/89C8A188-D079-4DE6-86F2-4A94DBE88D51,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20224507,SMA Negeri 5 Tasikmalaya,20224507,JL.TENTARA PELAJAR NO. 58,EMPANGSARI,KEC. TAWANG,KOTA TASIKMALAYA,PROV. JAWA BARAT,NEGERI,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,0426/O/1991,15-07-1991,0426/0/1991,15-07-1991,Silakan Upload SK,,A,"4,785",1. Biznet (Serat Optik),2. Telkom Speedy,PLN,332502,332502,campus@sman5-tasikmalaya.sch.id,http,-7.332000000000,108.222300000000,73,518,767,36,Sehari Penuh/5 hari,,2022/2023-2,"35,400",36,5,1,40,46,16,0,11,30,0,12,31,53,20,0,67,6,9,11,5,10,3,13,22,25,48,,SMA 2013 IPS,Biznet (Serat Optik),,,,,,,,,,12,12,12,
Jawa Barat,Kota Tasikmalaya,Tawang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AEF3D87A-8277-4FB8-8D4A-3A7E635580B6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20224551,SMAS BPK PENABUR,20224551,JL. IBU APIPAH NO.1 TASIKMALAYA,KAHURIPAN,KEC. TAWANG,KOTA TASIKMALAYA,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Badan Pendidikan Kristen PENABUR,AD7901,0120/kpts/1975,18-12-1975,0102/KPTS/1975,18-12-1975,Lihat SK Operasional,2022-01-13 17,A,"2,220",1. Lainnya (Wavelan),2. Telkom Speedy,PLN,337317,321567,smabpkpenabur.tsm@gmail.com,http,-7.358300000000,108.217200000000,16,99,74,7,Sehari Penuh/5 hari,,2022/2023-2,"33,000",10,3,1,6,0,0,17,1,16,0,0,0,8,8,0,16,0,4,2,2,3,1,2,2,6,10,,SMA 2013 Bhs&Budaya,Lainnya (Wavelan),,,,,,,,,,2,3,2,
Jawa Barat,Kota Tasikmalaya,Tawang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/257B1703-E0EF-44E6-AC75-423B4C09D2BF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20224549,SMAS ISLAM IBNU SIENA,20224549,JL. SILIWANGI NO. 41,KAHURIPAN,KEC. TAWANG,KOTA TASIKMALAYA,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN IBNU SIENA MULIA,AD7943,026/I02/Kep/E89,24-04-1989,026/I02/Kep/E89,24-04-1989,Lihat SK Operasional,2020-08-24 19,B,"1,800",1. Telkomsel Flash,2. Biznet (Serat Optik),PLN,,0265333030,ibnusienatsm@gmail.com,http,-7.347000000000,108.229600000000,13,10,79,5,Sehari Penuh/6 hari,,2022/2023-2,"2,200",6,0,1,3,0,0,16,0,13,0,0,0,2,11,0,12,1,5,3,2,2,0,1,0,3,10,,SMA 2013 MIPA,Telkomsel Flash,,,,,,,,,,1,2,2,
Jawa Barat,Kota Tasikmalaya,Tawang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A63A4864-D798-4096-B490-A0F0B5E5F03A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20224548,SMAS MUHAMMADIYAH TASIKMALAYA,20224548,JL. RUMAH SAKIT UMUM NO. 29,EMPANGSARI,KEC. TAWANG,KOTA TASIKMALAYA,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pimpinan Wilayah Muhammadiyah (PWM) Prov. Jawa Barat,AO5349,2813/II-038/JB-79/79.,01-09-1979,083/I02.Kep/E 79.,21-09-1979,Lihat SK Operasional,2016-05-17 08,A,"6,050",1. Indosat IM3,2. Telkom Speedy,PLN,0265321401,0265321401,sma_muhammadiyah1_tsm@yahoo.co.id,http,-7.332100000000,108.223700000000,19,90,115,9,Sehari Penuh/5 hari,,2022/2023-2,"5,000",10,2,1,2,4,0,17,3,15,0,0,4,4,15,0,13,6,6,7,1,0,0,2,3,7,12,,SMA 2013 IPS,Indosat IM3,,,,,,,,,,3,2,4,
Jawa Barat,Kota Tasikmalaya,Tawang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F2E4D062-E11D-4566-BFEE-4E3A63906AAA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20224547,SMAS PASUNDAN 1 TASIKMALAYA,20224547,JL. DEWI SARTIKA NO. 18,EMPANGSARI,KEC. TAWANG,KOTA TASIKMALAYA,PROV. JAWA BARAT,SWASTA,SMA,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan YPDM Pasundan Bandung,AA4902,231/361,01-09-1961,231/361,01-09-1961,Silakan Upload SK,,B,893,1. Indosat IM3,2. Telkom Speedy,PLN,,330879,pasundansma@yahoo.co.id,http,-7.357100000000,108.227400000000,16,43,40,4,Sehari Penuh/5 hari,,2022/2023-2,"2,000",6,2,1,1,3,0,11,3,13,0,1,2,4,12,0,13,3,5,3,2,0,0,2,4,3,13,,SMA 2013 MIPA,Indosat IM3,,,,,,,,,,1,1,2,
