prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,bujur,lintang,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan
Papua,Kota Jayapura,Muara Tami,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/55EB6A3E-D12E-437C-B205-33CEB728B4DF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60302482,Akademi Keperawatan Jayapura,60302482,Jalan Kesehatan,KOYA BARAT,KEC. MUARA TAMI,KOTA JAYAPURA,PROV. PAPUA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,306/M/KPT/2016,01-08-2016,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua,Kota Jayapura,Muara Tami,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B8C6EE06-D341-4A94-936A-20EFC5240807,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016635,Akademi Keperawatan RS Marthen Indey,70016635,Jalan Diponegoro No.57 Jayapura Utara,KEC. MUARA TAMI,KOTA JAYAPURA,PROV. PAPUA,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,69DO2009,02-06-2009,,,Silakan Upload SK,,,0 m2,1.,2.,,(0967) 523788,(0967) 523788,akpermarthenindey@yahoo.com,akpermarthenindey.ac.id,140.692967800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua,Kota Jayapura,Muara Tami,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/810731C0-6472-4CA9-BAEE-368975186810,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016763,Akademi Manajemen Indonesia Jayapura,70016763,Jayapura,KOYA BARAT,KEC. MUARA TAMI,KOTA JAYAPURA,PROV. PAPUA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,32DO2008,06-03-2008,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua,Kota Jayapura,Muara Tami,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/580D87AD-1B15-4326-9177-DE0E9D853A5A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60302483,Akademi Pariwisata 45 Jayapura,60302483,Jl Ferry Kelapa Dua Entrop Jayapura,KOYA BARAT,KEC. MUARA TAMI,KOTA JAYAPURA,PROV. PAPUA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,68DO1996,22-08-1996,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,140.714092300000,-2.559820700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua,Kota Jayapura,Muara Tami,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/002CBEF6-B16D-4117-892F-CB0372400A61,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60302484,Akademi Sekretari Dan Manajemen Indonesia Jayapura,60302484,Jalan Amphibi No 37 Hamadi,KEC. MUARA TAMI,KOTA JAYAPURA,PROV. PAPUA,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,416DIKTIKEP1993,26-08-1993,,,Silakan Upload SK,,,0,,2.,,535227,535442,asmijayapura@gmail.com,,140.704696500000,-2.572067400000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Papua,Kota Jayapura,Muara Tami,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A4BC38E0-FB5A-4E3A-9013-1CACBF58E6E8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60302485,AMIK Umel Mandiri,60302485,Jalan Kotaraja Abepura,KOYA BARAT,KEC. MUARA TAMI,KOTA JAYAPURA,PROV. PAPUA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,057DT2008,06-03-2008,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua,Kota Jayapura,Muara Tami,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/719B4178-7476-40A2-BCF9-8F22EC76BB0D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70019230,Politeknik Penerbangan Jayapura,70019230,,KEC. MUARA TAMI,KOTA JAYAPURA,PROV. PAPUA,INDONESIA,NEGERI,Politeknik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,Permenhub Nomor PM 28 Tahun 2019,15-04-2019,,,Silakan Upload SK,,,97.305 m2,1.,2.,,(0967) 541562,(0967) 541049,poltekbang.jayapura@dephub.go.id,http,140.737824400000,-2.525157800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua,Kota Jayapura,Muara Tami,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A4CF41A0-17CA-41C3-922E-994CC5489F23,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70019675,Sekolah Tinggi Bio Sains Swadiri,70019675,,KEC. MUARA TAMI,KOTA JAYAPURA,PROV. PAPUA,INDONESIA,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,245/KPT/I/2019,26-03-2019,,,Silakan Upload SK,,,0 m2,1.,2.,,,,stbsswadiri@gmail.com,www.stbsswadiri.ac.id,140.647361700000,-2.608202300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua,Kota Jayapura,Muara Tami,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DB1EAE97-25DD-44BC-9B2C-C14B23B8D041,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70019741,Sekolah Tinggi Filsafat Theologia Fajar Timur Jayapura,70019741,Jalan Yakonde 9-12,KOYA BARAT,KEC. MUARA TAMI,KOTA JAYAPURA,PROV. PAPUA,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,52/DIKTI/Kep/1993,29-01-1993,,,Silakan Upload SK,,,0 m2,1.,2.,,0967-588485,"0967-582390, 588485",fajartimur@y7mail.com,www.fajartimur.ac.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua,Kota Jayapura,Muara Tami,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/13AA6832-CA50-462B-9574-201FA2AB8BC9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60302488,Sekolah Tinggi Ilmu Ekonomi Port Numbay Jayapura,60302488,Jalan Beringin I Entrop,KOYA BARAT,KEC. MUARA TAMI,KOTA JAYAPURA,PROV. PAPUA,SWASTA,Sekolah Tinggi,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,1418DT2006,19-04-2006,,,Silakan Upload SK,,,1.775 m2,1.,2.,,,,,,140.688781000000,-2.575947000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
