prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan
Banten,Kab. Tangerang,Cisoka,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D2038AE1-51E8-4DFF-8BB8-94BCF3D1F643,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016217,Akademi Gizi Andalusia,70016217,,KEC. CISOKA,KAB. TANGERANG,PROV. BANTEN,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,86/E/O/2011,26-04-2011,,,Silakan Upload SK,,,0 m2,1.,2.,,,,,www.andalusia.ac.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banten,Kab. Tangerang,Cisoka,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/14752C1E-FD36-44EE-8FD6-FAA2C50D95B2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016279,Akademi Kebidanan Bina Husada Tangerang,70016279,"Jalan Kutai Raya No. I Perumnas III, Kel. BenconganKelapa Dua - Tangerang",SELAPAJANG,KEC. CISOKA,KAB. TANGERANG,PROV. BANTEN,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,77DO2008,16-05-2008,,,Silakan Upload SK,,,0 m2,1.,2.,,021-556553378,021-556553372,info@akbidbinahusada.ac.id,www.akbidbinahusada.ac.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banten,Kab. Tangerang,Cisoka,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0E3002F9-C819-4CDF-90BD-BEBC42913122,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016350,Akademi Kebidanan Karya Bunda Husada,70016350,jl. imam bonjol no. 77 kel. bojong jaya karawaci tangerang,JEUNG JING,KEC. CISOKA,KAB. TANGERANG,PROV. BANTEN,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,2621DT2006,05-07-2006,,,Silakan Upload SK,,,0 m2,1.,2.,,021-5515695,021-5515694,akbid_kbh@yahoo.co.id,akbidkaryabundahusada.blogspot.com,-6.196243000000,106.622727000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banten,Kab. Tangerang,Cisoka,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7280B400-1A98-46A6-BC7E-D2953A8AD376,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20607713,Akademi Keperawatan Islamic Village Tangerang,20607713,Jalan Islamic Raya Kelapa Dua - Curug,JEUNG JING,KEC. CISOKA,KAB. TANGERANG,PROV. BANTEN,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,1883DT2007,17-07-2007,,,Silakan Upload SK,,,0 m2,1.,2.,,021-5462852,021-5462852,akperislamicvillage@yahoo.co.id,www.akperisvill.ac.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banten,Kab. Tangerang,Cisoka,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/04D2EAFF-0DF6-4240-81D5-CD28D4E1292C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016782,Akademi Meteorologi Klimatologi dan Geofisika,70016782,"Jl.Perhubungan I No.5 Komplek Meteo DEPHUB Bintaro, Pondok Betung, Tangerang",JEUNG JING,KEC. CISOKA,KAB. TANGERANG,PROV. BANTEN,NEGERI,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,perpres 35 tahun 2014,24-04-2014,,,Silakan Upload SK,,,0 m2,1.,2.,,"(021) 73692676, 7343","(021), 73691621, 736",admin@stmkg.ac.id,stmkg.ac.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banten,Kab. Tangerang,Cisoka,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/ADF9FEA0-B2B4-4381-9D23-9EEF9C9FA888,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016806,Akademi Pariwisata Nusantara Tangerang,70016806,,KEC. CISOKA,KAB. TANGERANG,PROV. BANTEN,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,222DO2006,26-09-2006,,,Silakan Upload SK,,,0 m2,1.,2.,,,021-7435608,akparnustangsel@gmail.com,www.akparnusantara.ac.id,-6.317108400000,106.759927900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banten,Kab. Tangerang,Cisoka,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D647D03C-6A18-4F69-9E08-5425465396A4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016842,Akademi Perpajakan Maria Mediatrix,70016842,Jl Pinus II No 1 Pondok Rejeki,KEC. CISOKA,KAB. TANGERANG,PROV. BANTEN,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,4811DT2006,19-12-2006,,,Silakan Upload SK,,,0 m2,1.,2.,,021-59315800,021-59315800,apmmkutabumi2017@gmail.com,,-6.152654000000,106.580710700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banten,Kab. Tangerang,Cisoka,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2CA734CC-B53B-4CD5-AE22-CE89B5E03079,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016966,AMIK BSI Tangerang,70016966,Komplek BSD Sektor XIV-C11 Jl Letnan Sutopo,KEC. CISOKA,KAB. TANGERANG,PROV. BANTEN,INDONESIA,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,164/D/O/2006,24-10-2006,,,Silakan Upload SK,,,0 m2,1.,2.,,021-53157579,021-53157575,amik.tangerang@bsi.ac.id,www.bsi.ac.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banten,Kab. Tangerang,Cisoka,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1AC87C68-1E8E-4ED1-9CE7-E38B2A6E64AC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016979,AMIK Masa Depan,70016979,Gatot Subroto No 9 Cimone,BOJONGLOA,KEC. CISOKA,KAB. TANGERANG,PROV. BANTEN,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,09DO1999,12-01-1999,,,Silakan Upload SK,,,0 m2,1.,2.,,021-551-7906,021-551-7907,amik_md@yahoo.com,masadepan.ac.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banten,Kab. Tangerang,Cisoka,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/641C10B0-B49A-4696-BF4B-849A459A471D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70016986,AMIK PGRI Tangerang,70016986,Jalan Perintis Kemerdekaan II Cikokol,SELAPAJANG,KEC. CISOKA,KAB. TANGERANG,PROV. BANTEN,SWASTA,Akademik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,23D02002,28-01-2002,,,Silakan Upload SK,,,0 m2,1.,2.,,(021)55795777,(021)5523052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banten,Kab. Tangerang,Cisoka,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/70801AC0-D69C-454F-8E18-C3D0F6D6B734,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70019216,Politeknik Pelayaran Banten,70019216,,KEC. CISOKA,KAB. TANGERANG,PROV. BANTEN,INDONESIA,NEGERI,Politeknik,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,,1222/KPT/I/2018,28-12-2018,,,Silakan Upload SK,,,0 m2,1.,2.,,(021) 59370330,(021) 59370327,tuk@poltekpel-banten.ac.id,www.poltekpel-banten.ac.id,-6.031812200000,106.567168200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
