prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan
Sumatera Selatan,Kab. Muara Enim,Semende Darat Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/33D02B15-0EA1-42AD-9ACF-36A13C957494,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70007434,KB BAROKAH,70007434,DESA SERI TANJUNG,SERI TANJUNG,KEC. SEMENDE DARAT TENGAH,KAB. MUARA ENIM,PROV. SUMATERA SELATAN,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,503/21.SDT/KPTS/DPM-PTSP-4/2018,29-03-2018,420/03/DISDIKBUD-2/2021,05-01-2021,Lihat SK Operasional,2021-01-28 13,,0,1. Indosat IM3,2. Telkomsel Flash,PLN,,,barokahpaud970@gmail.com,,.000000000000,.000000000000,2,0,0,0,2013,Siang/6 hari,,2022/2023-2,Indosat IM3,450,1,0,0,0,0,0,3,0,2,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,2
Sumatera Selatan,Kab. Muara Enim,Semende Darat Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/538C286B-E091-4B59-9864-EDDAFFBCB3DA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70006730,KB KASIH IBU,70006730,DESA TEBING ABANG,TEBING ABANG,KEC. SEMENDE DARAT TENGAH,KAB. MUARA ENIM,PROV. SUMATERA SELATAN,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,01,26-12-2018,420/168/DISDIKBUD-2/2019,06-08-2019,Lihat SK Operasional,2022-06-15 09,,150,1. -,2. Telkomsel Flash,PLN,,,paudkasihibu484@gmail.com,,-4.150000000000,103.581300000000,3,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,0,0,0,0,0,0,4,0,3,0,0,0,0,3,0,0,3,1,0,0,0,1,1,0,0,3
Sumatera Selatan,Kab. Muara Enim,Semende Darat Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/207F68DF-2BF9-435D-AFF3-6D7EA5859A6A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69770487,KB TUNAS BANGSA,69770487,PALAK TANAH,PALAK TANAH,KEC. SEMENDE DARAT TENGAH,KAB. MUARA ENIM,PROV. SUMATERA SELATAN,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Tunas Bangsa,AJ0082,,,489/3075/IV/PLS/DIKNAS/20,,Silakan Upload SK,,,0,,2.,,,,paudpalaktanah@yahoo.co.id,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Sumatera Selatan,Kab. Muara Enim,Semende Darat Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4AAD34EC-8CDE-4B7B-A53D-AB78490F177D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69856306,TK AL IKHLAS,69856306,REKIMAI JAYA,REKIMAI JAYA,KEC. SEMENDE DARAT TENGAH,KAB. MUARA ENIM,PROV. SUMATERA SELATAN,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan TK AL IKHLAS,AJ0085,420/26/II/PEND/2010,22-04-2010,420/254/IV/Dikbud/2015,21-12-2015,Silakan Upload SK,,,117,1. -,2. -,PLN,,,yuliani0714288@gmail.com,,.000000000000,.000000000000,3,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,1,0,0,0,0,0,0,3,3,0,0,0,0,3,0,2,1,1,0,0,0,2,0,0,0,3
Sumatera Selatan,Kab. Muara Enim,Semende Darat Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4C812FC7-67CB-4104-8619-3A25AB16E9E0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69856302,TK AMALIYAH,69856302,JALAN PEMATANG PANJANG DESA KOTA PADANG,KOTA PADANG,KEC. SEMENDE DARAT TENGAH,KAB. MUARA ENIM,PROV. SUMATERA SELATAN,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan TK AMALIYAH,AJ0083,02,29-01-2016,420/210IV/DIKBUD2016,03-10-2016,Lihat SK Operasional,2017-03-14 15,,0,1. -,2. Telkomsel Flash,Tidak Ada,,,tkamaliyah4@gmail.com,,.000000000000,.000000000000,1,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
Sumatera Selatan,Kab. Muara Enim,Semende Darat Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CDE14E06-3735-40D2-AC60-069382F974A2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69856305,TK BERINGIN JAYA,69856305,BATU SURAU,BATU SURAU,KEC. SEMENDE DARAT TENGAH,KAB. MUARA ENIM,PROV. SUMATERA SELATAN,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,SKEP/XI/2014,15-11-2014,07/kds/bts/34/2013,07-06-2017,Silakan Upload SK (link file tidak valid) => [616901-969802--],2022-04-17 01,,0,,2.,,,,tkberinginjaya001@gmail.com,,4.142800000000,103.586800000000,2,0,0,0,2013,,,2022/2023-2,,,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,2
Sumatera Selatan,Kab. Muara Enim,Semende Darat Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9EB1AA23-EE8F-4616-8582-AB839B88679F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10647511,TK CENDRAWASIH,10647511,DESA GUNUNG AGUNG,GUNUNG AGUNG,KEC. SEMENDE DARAT TENGAH,KAB. MUARA ENIM,PROV. SUMATERA SELATAN,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan TK CENDRAWASIH,AJ0080,30,17-07-2007,420/70/IV/DIKBUD.2016,13-01-2016,Silakan Upload SK,,,100,1. -,2. -,Tidak Ada,,,sulmaini324@yahoo.com,,.000000000000,.000000000000,1,0,0,0,2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,0,3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
Sumatera Selatan,Kab. Muara Enim,Semende Darat Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7F209305-F2D2-4DDF-9459-42411F98997E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69770483,TK HARAPAN BERSAMA,69770483,JL. TANJUNG RAYA,TANJUNG RAYA,KEC. SEMENDE DARAT TENGAH,KAB. MUARA ENIM,PROV. SUMATERA SELATAN,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan TK harapan bersama,AJ0084,36,12-07-2013,420/4311/UPTD/2013,03-03-2015,Lihat SK Operasional,2016-09-16 12,,0,,2.,,,,mai123@mail.com,,.000000000000,.000000000000,2,0,0,0,2013,,,2022/2023-2,,,0,0,0,0,0,0,3,1,2,0,0,0,0,2,0,1,1,0,0,1,0,0,1,0,0,2
Sumatera Selatan,Kab. Muara Enim,Semende Darat Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F17FD740-A46B-4134-8ADF-6343685C0C06,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69842255,TK PGRI,69842255,DESA TENAM BUNGKUK,TENAM BUNGKUK,KEC. SEMENDE DARAT TENGAH,KAB. MUARA ENIM,PROV. SUMATERA SELATAN,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Perwakilan YPLP PGRI Kabupaten Muara Enim,AF2123,,,420/470/uptd/pend/3013,,Silakan Upload SK,,,0,,2.,,,,tkpgri181@gmail.com,,.000000000000,.000000000000,3,0,0,0,2013,,,2022/2023-2,,,0,0,0,0,1,0,1,2,3,0,0,0,1,2,0,1,2,0,0,0,1,1,1,0,0,3
Sumatera Selatan,Kab. Muara Enim,Semende Darat Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CF2BADF8-6EC7-460C-961F-51ABE8392ABC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69856307,TK SATU WARNA,69856307,SWARNA DWIPA,SWARNA DWIPA,KEC. SEMENDE DARAT TENGAH,KAB. MUARA ENIM,PROV. SUMATERA SELATAN,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,03,10-02-2012,420/62/IV/DIKBUD/2015,16-03-2015,Silakan Upload SK,,,441,1. -,2. -,PLN,,,tksatuwarna@yahoo.com,,.000000000000,.000000000000,3,0,0,0,2013,Sehari Penuh/6 hari,,2022/2023-2,Tidak Ada,900,1,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,3,1,0,0,0,1,1,0,0,3
