prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur
Kalimantan Tengah,Kota Palangka Raya,Sabangau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/965192BA-D7FC-4715-9975-1BC11423A17C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69929300,KB ANGGREK,69929300,JL. Anggrek No,KERENG BANGKIRAI,KEC. SABANGAU,KOTA PALANGKA RAYA,PROV. KALIMANTAN TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan PKBM Bangkirai,AF4721,420/11185/TK-SD/2004,05-05-2004,420/51/PNF.3/VI/2014,30-06-2014,Lihat SK Operasional,2016-01-08 08,,300 m2,1.,2.,,,,anggrekkb6@gmail.com,,.000000000000,.000000000000
Kalimantan Tengah,Kota Palangka Raya,Sabangau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DA4207F8-E936-41C7-8402-5897105E6F6B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69866122,KB KENANGA,69866122,BASIR JAHAN XII NO.96D,SABARU,KEC. SABANGAU,KOTA PALANGKA RAYA,PROV. KALIMANTAN TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,AF4720,Notaris,11-03-2015,420/03/PAUD-DIKMAS/IO/VI/2015,16-06-2015,Lihat SK Operasional,2016-04-19 10,,204 m2,1.,2.,,,,,,.000000000000,.000000000000
Kalimantan Tengah,Kota Palangka Raya,Sabangau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B924B69D-2B7E-47F9-928A-72805841A2B4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69978742,KB TUNAS HARAPAN,69978742,JL MAHIR MAHAR KM.5 NO.105,SABARU,KEC. SABANGAU,KOTA PALANGKA RAYA,PROV. KALIMANTAN TENGAH,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN MASA DEPAN ANAK INDONESIA,AF4725,NO.74,29-06-2012,56/IO/P.PAUD-PNF/VII/KB/2018,16-07-2018,Lihat SK Operasional,2018-07-26 18,C,156 m2,1. -,2. Telkom Speedy,PLN,,,,,-5.443757000000,114.421127000000
Kalimantan Tengah,Kota Palangka Raya,Sabangau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5D0FC312-AAE6-4990-BA70-320ED77BD8A0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70032974,RA AL MUSLIHUN 2,70032974,JL. FAJAR PERMAI 1 RTA MILONO KM 8 PALANGKA RAYA,SABARU,KEC. SABANGAU,KOTA PALANGKA RAYA,PROV. KALIMANTAN TENGAH,SWASTA,RA,Kementerian Agama,,,,,812 TAHUN 2022,04-06-2022,Silakan Upload SK (link file tidak valid) => [233109-649700-https,2022-09-06 10,,206 m2,1.,2.,,,,,,.000000000000,.000000000000
Kalimantan Tengah,Kota Palangka Raya,Sabangau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8819FE39-E063-4833-89D0-D9E7B2630698,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69898738,RA Al-Musafirin,69898738,Jl. Anggrek Blok C Kereng Bangkirai,KERENG BANGKIRAI,KEC. SABANGAU,KOTA PALANGKA RAYA,PROV. KALIMANTAN TENGAH,SWASTA,RA,Kementerian Agama,Lainnya,,632/Kw.15.2/2-e/PP.00.4/08/2016,23-08-2017,632/Kw.15.2/2-e/PP.00.4/08/2016,23-08-2017,Silakan Upload SK,,C,0 m2,1.,2.,,,,,,-2.293318000000,113.907092000000
Kalimantan Tengah,Kota Palangka Raya,Sabangau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/DA67D758-ED9C-494E-8540-BB82A8FEFD35,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69898739,RA Daruttaqwa,69898739,Jl. Mahir Mahar RT.07 RW.02,KERENG BANGKIRAI,KEC. SABANGAU,KOTA PALANGKA RAYA,PROV. KALIMANTAN TENGAH,SWASTA,RA,Kementerian Agama,Lainnya,,851/Kw.15.2/2-e/PP.00.4/09/2016,27-09-2016,851/Kw.15.2/2-e/PP.00.4/09/2016,27-09-2016,Silakan Upload SK,,C,0 m2,1.,2.,,,,,,-2.280066000000,114.011700000000
Kalimantan Tengah,Kota Palangka Raya,Sabangau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/90ADB49A-5C37-46AB-918A-1B04C79DDB6B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69898737,RA Syaeful Islam,69898737,Jl. Panenga Permai A2 No.011,KERENG BANGKIRAI,KEC. SABANGAU,KOTA PALANGKA RAYA,PROV. KALIMANTAN TENGAH,SWASTA,RA,Kementerian Agama,Lainnya,,613/Kw.15.2/2-e/PP.00.4/08/2016,22-08-2017,613/Kw.15.2/2-e/PP.00.4/08/2016,22-08-2017,Silakan Upload SK,,C,0 m2,1.,2.,,,,,,-2.232118000000,113.918343000000
Kalimantan Tengah,Kota Palangka Raya,Sabangau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/62012D53-4BB4-4125-B3B9-B3A0AC87C96B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69898740,RA.AL-HUSNA,69898740,RTA.MILONO KM.10,KERENG BANGKIRAI,KEC. SABANGAU,KOTA PALANGKA RAYA,PROV. KALIMANTAN TENGAH,SWASTA,RA,Kementerian Agama,Lainnya,,624/Kw.15.2/2-e/PP.05/8/2016,10-08-2016,624/Kw.15.2/2-e/PP.05/8/2016,10-08-2016,Lihat SK Operasional,2017-02-28 23,C,600 m2,1.,2.,,,,,,-2.293439000000,113.915940000000
Kalimantan Tengah,Kota Palangka Raya,Sabangau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4FE486DC-BF16-4862-995E-EF513B1624FA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30204572,TK AFIAT BINA,30204572,JL. RTA MILONO NO. 87/03,SABARU,KEC. SABANGAU,KOTA PALANGKA RAYA,PROV. KALIMANTAN TENGAH,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pendidikan Afiat Bina,AC2980,NO.38/I.25.B 15/RC.1985,01-04-1985,420/338/IO/P.PAUD-PNF/TK/XII/2020,18-12-2020,Silakan Upload SK (link file tidak valid) => [469136-185744--],2021-06-28 01,C,3.013 m2,1. Lainnya,2. 3 (Tri),PLN,,,tkalfiatbinapraya@gmail.com,,.000000000000,.000000000000
Kalimantan Tengah,Kota Palangka Raya,Sabangau,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7BA74555-5CA8-49F7-B350-18A08ECF16CF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30204659,TK AISYIYAH BUSTANUL ATHFAL BERENG BENGKEL,30204659,JL. BERENG BENGKEL,BERENG BENGKEL,KEC. SABANGAU,KOTA PALANGKA RAYA,PROV. KALIMANTAN TENGAH,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan Pimpinan Daerah Muhammadiyah (PDM) Kota Palangka Raya,AO5624,SK-PDA/D/VI/2011,20-04-2011,-20/IO/P.PAUD.PNF/IV/KB/2018,09-04-2018,Lihat SK Operasional,2023-03-20 09,B,275 m2,1.,2.,,,,tk.aba.bereng.bengkel003@gmail.com,,.000000000000,.000000000000
