prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan
Sulawesi Selatan,Kab. Enrekang,Masalle,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4B0F86E5-79E0-487B-BAB6-45267A006EA9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69755653,KB AL MUKMINUN MUNDAN,69755653,MARUSA,MUNDAN,KEC. MASALLE,KAB. ENREKANG,PROV. SULAWESI SELATAN,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan KB ALMUKMINUN MUNDAN,AK8616,420/01.a/DIKPORA/2010,01-01-2010,NO. 02/KPMPTSP/IPLP/I/2016,04-01-2016,Lihat SK Operasional,2016-03-28 13,,64,,2.,,,,kbalmukminunmundan@gmail.com,,.000000000000,.000000000000,2,0,0,0,2013,,,2022/2023-2,,0,0,0,0,0,0,3,0,2,0,0,0,0,2,0,0,2,1,0,0,1,0,0,0,0,2
Sulawesi Selatan,Kab. Enrekang,Masalle,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9AD22BCF-EBCF-43B9-972E-9D507B7D0FC6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69912967,KB AS SURAH PANGPUPURAN,69912967,Masalle,MASALLE,KEC. MASALLE,KAB. ENREKANG,PROV. SULAWESI SELATAN,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,NO. 119/KPMPTSP/IPLP/X/2015,22-10-2015,07/DPMPTSP/IPLP/01/2019,22-01-2019,Lihat SK Operasional,2022-01-06 08,,56,,2.,,,,kbassurah@gmail.com,,.000000000000,.000000000000,1,0,0,0,2013,,,2022/2023-2,,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
Sulawesi Selatan,Kab. Enrekang,Masalle,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/582DA742-3CC9-4092-8886-9CC893913CC3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69912674,KB BAIBO,69912674,BAIBO DESA TONGKONAN BASSE,TONGKONAN BASSE,KEC. MASALLE,KAB. ENREKANG,PROV. SULAWESI SELATAN,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan KB BAIBO,AK8618,NO. 116/KPMPTSP/IPLP/X/2015,21-10-2015,NO. 116/KPMPTSP/IPLP/X/2015,21-10-2015,Lihat SK Operasional,2016-02-04 07,,25,,2.,,,,,,.000000000000,.000000000000,2,0,0,0,2013,,,2022/2023-2,,0,0,0,0,0,0,3,0,2,0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,2
Sulawesi Selatan,Kab. Enrekang,Masalle,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4AB36DDC-0125-4B61-A1DD-E4D46A56EF33,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69871910,KB CAHAYA HATI,69871910,PAKEWA,RAMPUNAN,KEC. MASALLE,KAB. ENREKANG,PROV. SULAWESI SELATAN,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Pusat,AK8614,,,058/350A/DIKNAS/2008,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Sulawesi Selatan,Kab. Enrekang,Masalle,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1A8477BC-99AF-4F99-B65E-91358A649513,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69912673,KB FATIMA AZZAHRAH,69912673,Parandean,BATU KEDE,KEC. MASALLE,KAB. ENREKANG,PROV. SULAWESI SELATAN,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan FATIMA AZZAHRAH,AK8615,NO. 115/KPMPTSP/IPLP/X/2015,21-10-2015,03/DPMPTSP/IPLP/I/2023,17-01-2023,Lihat SK Operasional,2023-03-16 10,,135,,2.,,,,kbfatimaazzahra@gmail.com,,.000000000000,.000000000000,2,0,0,0,2013,,,2022/2023-2,,0,0,0,0,0,0,3,0,2,0,0,0,0,2,0,0,2,0,0,1,0,1,0,0,0,2
Sulawesi Selatan,Kab. Enrekang,Masalle,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EEA54F4A-CF6E-4E06-B56A-A79AB82EB1A1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69912954,KB PATONJOK,69912954,PATONJOK DESA TONGKONAN BASSE,TONGKONAN BASSE,KEC. MASALLE,KAB. ENREKANG,PROV. SULAWESI SELATAN,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan KB ALMUKMINUN MUNDAN,AK8616,NO. 730/KPMPTSP/X/2015,15-07-2014,NO. 118/KPMPTSP/IPLP/X/2015,22-10-2015,Lihat SK Operasional,2016-02-03 10,,120,,2.,,,,kbpatonjok@gmail.com,,.000000000000,.000000000000,1,0,0,0,2013,,,2022/2023-2,,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
Sulawesi Selatan,Kab. Enrekang,Masalle,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BEB80195-FAEA-4C8E-8339-2BC2F18427F8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69865535,RA Aisyiyah Batu ke de,69865535,"Batu Kede, Desa Batu Kede Kec. Masalle Kab. Enrekang Sulawesi Selatan",BATU KEDE,KEC. MASALLE,KAB. ENREKANG,PROV. SULAWESI SELATAN,SWASTA,RA,Kementerian Agama,Lainnya,,30 Tahun 2013,02-11-2013,87 tahun 2013,31-10-2013,Lihat SK Operasional,2022-10-13 10,,0,,2.,,,,,,-3.497909500000,119.395050000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Sulawesi Selatan,Kab. Enrekang,Masalle,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/62D70E81-5F16-4194-BC67-6D4A0673B396,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69865553,RA Aisyiyah Kira,69865553,Dusun Kira,BUNTU SARONG,KEC. MASALLE,KAB. ENREKANG,PROV. SULAWESI SELATAN,SWASTA,RA,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,-3.472893300000,119.775937000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Sulawesi Selatan,Kab. Enrekang,Masalle,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CB4E7E4B-F5C2-42AC-8001-341952CFF147,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69865537,RA Aisyiyah Panggandangan,69865537,Panggandangan,RAMPUNAN,KEC. MASALLE,KAB. ENREKANG,PROV. SULAWESI SELATAN,SWASTA,RA,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,-3.339491100000,119.734846000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Sulawesi Selatan,Kab. Enrekang,Masalle,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AF23FD6D-495B-440C-A315-23CC5A2C0C75,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69751544,RA AISYIYAH RANTE TONGGO,69751544,RANTE TONGGO,MASALLE,KEC. MASALLE,KAB. ENREKANG,PROV. SULAWESI SELATAN,SWASTA,RA,Kementerian Agama,,,07/PCA/D/I/2008,18-01-2008,57 Tahun 2014,27-03-2014,Lihat SK Operasional,2021-11-22 00,,0,,2.,,,,,,-3.283684000000,119.733333000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
