prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,kurikulum,akses_internet_sekolah_kita
Sulawesi Tenggara,Kab. Konawe Utara,Asera,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/954B1EE3-8AAB-4376-A250-54B03558F204,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70006773,KB ANAWONUA,70006773,Desa Anawonua,PUUWANGGUDU,KEC. ASERA,KAB. KONAWE UTARA,PROV. SULAWESI TENGGARA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,421.9/838/DPK/2018,17-12-2018,421.9/839/DPK/2020,16-12-2020,Lihat SK Operasional,2021-01-08 15,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Sulawesi Tenggara,Kab. Konawe Utara,Asera,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/94B43366-7389-4C8F-A89C-58D36C1D07C6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69763333,KB MYTHA DJ,69763333,TRANS SULAWESI,LONGEO,KEC. ASERA,KAB. KONAWE UTARA,PROV. SULAWESI TENGGARA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan KB MYTHA DJ,AF7773,421.9.004/DPK/2017,23-08-2017,421.9/005/DPK/2017,23-08-2017,Silakan Upload SK,,C,225,1. -,2. Telkomsel Flash,Tidak Ada,,,,,-3.379082000000,122.088833000000,1,0,0,0,Pagi/6 hari,,2022/2023-2,0,3,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,2013,Tidak Ada
Sulawesi Tenggara,Kab. Konawe Utara,Asera,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E355D98C-4D76-4C4C-81DE-C126649551CC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69972065,KB NURFADILLAH,69972065,Desa Puunggomosi,PUUNGGOMOSI,KEC. ASERA,KAB. KONAWE UTARA,PROV. SULAWESI TENGGARA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan TK PEMBINA,AF7779,421.9/48/DPK/2018,16-01-2018,421.9/665/DPK/2020,06-10-2020,Lihat SK Operasional,2020-10-15 09,,400,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,tk.k.ona.s.ar.a.1@gmail.com,,-3.520420000000,122.080621000000,1,0,0,0,Pagi/6 hari,,2022/2023-2,0,2,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,2013,Telkomsel Flash
Sulawesi Tenggara,Kab. Konawe Utara,Asera,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/41F4EC14-78F1-4ED4-88AA-607862810EEF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69916643,PAUD ANAWAI TIM PENGGERAK PKK KAB. KONAWE UTARA,69916643,Kel. Wanggudu Kec. Asera Kab. Konawe Utara Kode Pos 93353,WANGGUDU,KEC. ASERA,KAB. KONAWE UTARA,PROV. SULAWESI TENGGARA,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,11/KW/2012,17-09-2012,421.9/665/DPK/2020,06-10-2020,Lihat SK Operasional,2020-10-15 09,,200,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Sulawesi Tenggara,Kab. Konawe Utara,Asera,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/90736B56-2C1B-42F3-846E-719C954C5A97,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69763331,PAUD KB BUNGGULAWA,69763331,JL.LAHULUBALA,WANGGUDU,KEC. ASERA,KAB. KONAWE UTARA,PROV. SULAWESI TENGGARA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,12/2011,06-06-2011,421.9/665/DPK/2020,06-10-2020,Lihat SK Operasional,2020-10-15 09,A,375,1. -,2. Telkomsel Flash,PLN,,,paud.bunggulawa@gmail.com,,-3.514318000000,122.112825000000,2,0,0,0,Pagi/6 hari,,2022/2023-2,900,2,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,2,2013,Tidak Ada
Sulawesi Tenggara,Kab. Konawe Utara,Asera,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/56129DC5-E017-433B-8915-23860BD26038,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69916660,PAUD TK NURUL IMAN,69916660,JALAN PENDIDIKAN,TANGGULURI,KEC. ASERA,KAB. KONAWE UTARA,PROV. SULAWESI TENGGARA,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan PAUD TK NURUL IMAN,AF7780,045/20/DT/VI/2014,20-03-2014,421.9/665/DPK/2020,06-10-2020,Lihat SK Operasional,2020-10-15 09,,120,1. -,2. Telkomsel Flash,Tidak Ada,,,tknuruliman2017@gmail.com,,.000000000000,.000000000000,1,0,0,0,Pagi/6 hari,,2022/2023-2,0,2,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,2013,Tidak Ada
Sulawesi Tenggara,Kab. Konawe Utara,Asera,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9B13DAE3-2938-421D-9D63-A489E541577E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69913963,PAUD TK PERTIWI,69913963,JALAN TRANS SULAWESI,WANGGUDU RAYA,KEC. ASERA,KAB. KONAWE UTARA,PROV. SULAWESI TENGGARA,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,AF7783,1/IV/DWR/2013,15-07-2013,421.9/665/DPK/2020,06-10-2020,Lihat SK Operasional,2020-10-15 11,B,800,1. Telkomsel Flash,2. Telkomsel Flash,Lainnya,,,tkpertiwiasera2020@gmail.com,,.000000000000,.000000000000,2,0,0,0,Pagi/6 hari,,2022/2023-2,"1,300",2,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,2,2013,Telkomsel Flash
Sulawesi Tenggara,Kab. Konawe Utara,Asera,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E4ACC823-E1B0-47CD-92D1-DFACC13263BB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69911183,PAUD TK WOIKONGGO,69911183,Jalan Kelurahan Wanggudu,WANGGUDU,KEC. ASERA,KAB. KONAWE UTARA,PROV. SULAWESI TENGGARA,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",YAYASAN PAUD BUNGGULAWA,AF7775,474.4/65/KW/2012,07-06-2012,421.9/665/DPK/2020,06-10-2020,Lihat SK Operasional,2020-10-15 09,B,300,1. -,2. Telkomsel Flash,PLN,,,TKWOIKONGGO@yahoo.com,,.000000000000,.000000000000,3,0,0,0,Pagi/6 hari,,2022/2023-2,900,2,0,0,0,0,0,2,2,3,0,0,0,0,3,0,2,1,1,1,1,0,0,0,0,0,3,2013,Tidak Ada
Sulawesi Tenggara,Kab. Konawe Utara,Asera,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9A5E99E9-C9FC-4AE8-85C5-008D0E2A5115,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69979500,TK ANDEDAO,69979500,DESA ANDEDAO,WALALINDU,KEC. ASERA,KAB. KONAWE UTARA,PROV. SULAWESI TENGGARA,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan PAUD MAHDAWI,AF7778,421.9/879/DPK/2018,30-07-2018,421.9/665/DPK/2020,06-10-2020,Lihat SK Operasional,2020-10-15 09,,200,,2.,,,,tkandedao@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Sulawesi Tenggara,Kab. Konawe Utara,Asera,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/38E2D86F-BD86-4DE9-8809-7002638EBBE7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69763326,TK KOTA MULIA,69763326,KELURAHAN ASERA,A S E R A,KEC. ASERA,KAB. KONAWE UTARA,PROV. SULAWESI TENGGARA,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan TK KOTA MULIA,AF7774,421.2/123/2012,14-05-2012,421.9/665/DPK/2020,06-10-2020,Lihat SK Operasional,2020-10-15 09,C,255,1. -,2. Telkomsel Flash,Tidak Ada,,,tkkotamulia17@gmail.com,,.000000000000,.000000000000,3,0,0,0,Pagi/6 hari,,2022/2023-2,0,2,0,0,0,0,0,1,2,3,0,0,0,0,3,0,2,1,2,1,0,0,0,0,0,0,3,2013,Tidak Ada
