prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,akses_internet_sekolah_kita
Maluku Utara,Kab. Halmahera Selatan,Pulau Makian,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9FAF77A0-5B8E-4119-94B1-12D295E0ACF5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69972151,KB Sansibar,69972151,jln Siswa,MATENGTENGIN,KEC. PULAU MAKIAN,KAB. HALMAHERA SELATAN,PROV. MALUKU UTARA,NEGERI,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Pemerintah Daerah,,420/05/2014,03-06-2014,420/4534/2014,04-02-2014,Lihat SK Operasional,2018-01-23 09,B,150,,2.,,,,,,.000000000000,.000000000000,2,0,0,0,2013,,,2022/2023-2,,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,2,
Maluku Utara,Kab. Halmahera Selatan,Pulau Makian,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EBFB0F9A-F0C1-474A-91C6-BBBD8F5480B5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69984456,KB MAKAAMAK,69984456,Jl. Kenari,GITANG,KEC. PULAU MAKIAN,KAB. HALMAHERA SELATAN,PROV. MALUKU UTARA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",,,420/15/2017,01-06-2017,420.1 / 1114 / 2017,23-11-2017,Lihat SK Operasional,2019-01-11 15,C,48,,2.,,,,paudmakaamak@gmail.com,,.000000000000,.000000000000,1,0,0,0,2013,,,2022/2023-2,,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,
Maluku Utara,Kab. Halmahera Selatan,Pulau Makian,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0ABE94A5-3EDD-4C61-98EA-9506926A2297,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70015689,KB MARICE,70015689,Jl. Suranti No 7,KOTA,KEC. PULAU MAKIAN,KAB. HALMAHERA SELATAN,PROV. MALUKU UTARA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,12,11-07-2018,420.1/167/2020,31-12-2020,Lihat SK Operasional,2021-12-09 01,,500,,2.,,,,paudmarice21@gmail.com,,.000000000000,.000000000000,3,0,0,0,2013,,,2022/2023-2,,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,3,
Maluku Utara,Kab. Halmahera Selatan,Pulau Makian,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/56FDC576-0135-472A-988A-AE4AB5B8FBBD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69974124,KB Norma Family,69974124,desa gorup,GORUP,KEC. PULAU MAKIAN,KAB. HALMAHERA SELATAN,PROV. MALUKU UTARA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,AJ4468,420/04/2015,06-10-2014,420/2016,07-02-2016,Lihat SK Operasional,2018-03-13 13,C,300,,2.,,,,,,.000000000000,.000000000000,3,0,0,0,2013,,,2022/2023-2,,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,3,0,1,1,1,0,0,0,0,3,
Maluku Utara,Kab. Halmahera Selatan,Pulau Makian,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3D40E5AD-E4A1-4041-AF2E-AEE38BEB2585,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69961376,Kb Teluk Pawate,69961376,Jln. Siswa,SUMA,KEC. PULAU MAKIAN,KAB. HALMAHERA SELATAN,PROV. MALUKU UTARA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,AJ4470,420.1/02/2011,15-02-2011,420.1/686/2016,22-03-2016,Lihat SK Operasional,2017-03-31 14,C,0,,2.,,,,teluk_pawate2020@yahoo.com,,-5.443757000000,114.421127000000,3,0,0,0,2013,,,2022/2023-2,,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,3,0,1,1,1,0,0,0,0,3,
Maluku Utara,Kab. Halmahera Selatan,Pulau Makian,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/622D21D1-E765-4D35-9AD3-7439A8C4E586,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70011702,KB Waya Talang,70011702,jln siswa,SUMA,KEC. PULAU MAKIAN,KAB. HALMAHERA SELATAN,PROV. MALUKU UTARA,SWASTA,TK,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,900/05/2013,07-05-2013,420.1/0253/2020,30-09-2020,Lihat SK Operasional,2021-07-30 15,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Maluku Utara,Kab. Halmahera Selatan,Pulau Makian,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/22A8F25C-C4D6-4281-A623-71DE9BF44E64,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69986124,MAKA ANGKO,69986124,Desa Kyowor,KYOWOR,KEC. PULAU MAKIAN,KAB. HALMAHERA SELATAN,PROV. MALUKU UTARA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,01PAUD/MA/01/2018,05-04-2018,420.1/2241/2018,24-04-2018,Lihat SK Operasional,2019-03-11 08,C,56,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,kbmakaangko11@gmail.com,,.000000000000,.000000000000,2,0,0,0,2013,Pagi/6 hari,,2022/2023-2,900,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,2,0,1,0,0,1,0,0,0,2,Telkomsel Flash
Maluku Utara,Kab. Halmahera Selatan,Pulau Makian,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1C300109-1F6A-4AD2-9E07-95CF72F81971,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69905577,Paud Al- Fatih,69905577,Desa Rabutdaio Kec. Pulau Makian,RABUTDAIYO,KEC. PULAU MAKIAN,KAB. HALMAHERA SELATAN,PROV. MALUKU UTARA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Yayasan PAUD AL-FATIH,AJ4469,900/63/2013,23-01-2013,900/63/2013,23-01-2013,Lihat SK Operasional,2015-10-01 22,B,56,1. -,2. -,PLN,,,,,.000000000000,.000000000000,1,0,0,0,2013,Sehari Penuh/6 hari,,2022/2023-2,900,2,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,Tidak Ada
Maluku Utara,Kab. Halmahera Selatan,Pulau Makian,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/68D33A52-1109-4953-B4C0-B841CDE7ABA7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70004896,PAUD ANANDA,70004896,"Jl. Raya Desa Sangapati Kec, Pulau Makian",SANGAPATI,KEC. PULAU MAKIAN,KAB. HALMAHERA SELATAN,PROV. MALUKU UTARA,SWASTA,KB,"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",Lainnya,,08,22-04-2019,420.1/84/2020,30-03-2020,Lihat SK Operasional,2020-10-06 09,B,200,1. -,2. Telkomsel Flash,PLN,,,,,.000000000000,.000000000000,2,0,0,0,2013,Pagi/6 hari,,2022/2023-2,900,2,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,2,Tidak Ada
Maluku Utara,Kab. Halmahera Selatan,Pulau Makian,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/46AD7820-82E7-4601-A383-2A246571CC54,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69941296,RA An Nur,69941296,Desa Wailoa,DALAM,KEC. PULAU MAKIAN,KAB. HALMAHERA SELATAN,PROV. MALUKU UTARA,SWASTA,RA,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
