prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Jawa Timur,Kab. Blitar,Talun,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/79167410-67E9-43B2-96B9-27B39E10AF63,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70030147,ADI WIDYA PASRAMAN WIYATA DHARMA,70030147,DUSUN. TEGALREJO RT 01 RW 05,KENDALREJO,KEC. TALUN,KAB. BLITAR,PROV. JAWA TIMUR,SWASTA,Adi W P,Kementerian Agama,,,NOMOR 49 TAHUN 2022,06-04-2022,NOMOR 49 TAHUN 2022,06-04-2022,Lihat SK Operasional,2022-06-30 08,,128,,2.,,,,awp.wiyatadharma@gmail.com,,.000000000000,.000000000000,15,0,0,0,SD 2013,,,2022/2023-2,,0,0,0,0,0,0,15,1,13,0,0,2,3,12,0,6,9,6,2,2,1,0,0,4,5,10,0,0,0,0,0,0,0,0,,,,,,,,,,
Jawa Timur,Kab. Blitar,Talun,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0AB78A5F-4F05-49ED-BDB1-8F6D0892DFCF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60714715,MIS AL HIKMAH,60714715,DUSUN TULUNGREJO JABUNG,JABUNG,KEC. TALUN,KAB. BLITAR,PROV. JAWA TIMUR,SWASTA,MI,Kementerian Agama,Yayasan BPPPMNU Cabang Kab. Blitar,AX6591,PP/202/A-8/VII/1973,18-07-1973,MIS/05.0137/2017,30-05-2017,Silakan Upload SK (link file tidak valid) => [614082-843823--],2022-04-07 04,B,0,,2.,,,,,,-8.094900000000,112.270300000000,0,60,57,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Blitar,Talun,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2031E2BA-7EF6-40C0-B5D0-9EDC1A475CBF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60714719,MIS AL HUDA TUMPANG,60714719,JL. BENDUNGAN WLINGI RAYA NO.28  DSN. TRITIHREJO RT.04 RW. 05  TUMPANG TALUN BL,TUMPANG,KEC. TALUN,KAB. BLITAR,PROV. JAWA TIMUR,SWASTA,MI,Kementerian Agama,Yayasan BPPPMNU Cabang Kab. Blitar,AX6591,B2212453,01-07-1964,MIS/05.0141/2017,30-05-2017,Lihat SK Operasional,2018-02-08 15,A,0,,2.,,,,,,-8.127500000000,112.249800000000,0,100,83,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Blitar,Talun,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F4CFED02-A074-48C2-B65B-1749A3865981,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60714722,MIS AL UMRON BENDOSEWU,60714722,JL. A. YANI NO. 27 BENDOSEWU,BENDOSEWU,KEC. TALUN,KAB. BLITAR,PROV. JAWA TIMUR,SWASTA,MI,Kementerian Agama,,,3253 Tahun 2017,30-05-2017,3253 Tahun 2017,30-05-2017,Lihat SK Operasional,2018-05-04 14,A,0,,2.,,,,,,-8.120900000000,112.272600000000,0,149,119,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Blitar,Talun,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D50BAE94-FC4B-4C36-87F3-F8FDCEC1F384,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60714718,MIS AL-ISLAH JEBLOG,60714718,JL.SINGA JAYA NO.76 JEBLOG TALUN BLITAR,JEBLOG,KEC. TALUN,KAB. BLITAR,PROV. JAWA TIMUR,SWASTA,MI,Kementerian Agama,,,L.m/3/1733/A/1978,20-03-1978,3249 Tahun 2017,30-05-2017,Lihat SK Operasional,2019-02-22 10,A,"4,467",,2.,,,,,,-8.119600000000,112.262300000000,0,167,183,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Blitar,Talun,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/96B869EF-BA6A-42D6-A4EB-48B5FD9EB671,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60714723,MIS AL-MUHTADUUN,60714723,JL. DIPONEGORO NO.02 DESA JABUNG KEC. TALUN KAB. BLITAR,JABUNG,KEC. TALUN,KAB. BLITAR,PROV. JAWA TIMUR,SWASTA,MI,Kementerian Agama,,,3254 Tahun 2017,30-05-2017,3254 Tahun 2017,30-05-2017,Lihat SK Operasional,2021-03-13 07,A,0,,2.,,,,,,-8.132700000000,112.264800000000,0,98,69,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Blitar,Talun,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/18023848-0A33-438B-A70F-B36B67531089,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60714716,MIS MISBAHUL MUNIR,60714716,JL. MASJID NO.13 RT 04 RW 12,KENDALREJO,KEC. TALUN,KAB. BLITAR,PROV. JAWA TIMUR,SWASTA,MI,Kementerian Agama,Yayasan BPPPMNU Cabang Kab. Blitar,AX6591,3247 Tahun 2017,30-05-2017,3247 Tahun 2017,30-05-2017,Lihat SK Operasional,2018-05-07 08,B,0,,2.,,,,,,-8.105700000000,112.248100000000,0,60,68,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Blitar,Talun,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1CC0A5A9-478D-4AA0-A231-DA557336F43C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60714720,MIS MWB BAJANG,60714720,BOGANGIN RT/RW 03/06,TUMPANG,KEC. TALUN,KAB. BLITAR,PROV. JAWA TIMUR,SWASTA,MI,Kementerian Agama,Yayasan BPPPMNU Cabang Kab. Blitar,AX6591,3251 Tahun 2017,30-05-2017,3251 Tahun 2017,30-05-2017,Lihat SK Operasional,2018-05-07 08,B,0,,2.,,,,,,-8.093000000000,112.307900000000,0,78,88,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Blitar,Talun,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/92BA3D9E-DE73-4FF8-9DD9-BCE1AAE8D60A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60714721,MIS MWB WONOREJO,60714721,JLN MASJID NO.03 DSN MUNGKUNG DS. WONOREJO TALUN,WONOREJO,KEC. TALUN,KAB. BLITAR,PROV. JAWA TIMUR,SWASTA,MI,Kementerian Agama,Yayasan BPPPMNU Cabang Kab. Blitar,AX6591,L.m./3/719/A/1978,20-03-1978,3252 Tahun 2017,30-05-2017,Lihat SK Operasional,2019-02-22 10,B,882,,2.,,,,,,-8.100100000000,112.275300000000,0,116,86,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Blitar,Talun,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/91E55594-6B77-4FD3-844D-3FF7A626A7CC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60714717,MIS SUNAN KALIJOGO,60714717,JL.MASJID NO.11 KENDALREJO RT O3 RW 08,KENDALREJO,KEC. TALUN,KAB. BLITAR,PROV. JAWA TIMUR,SWASTA,MI,Kementerian Agama,Yayasan BPPPMNU Cabang Kab. Blitar,AX6591,Kd.13.05/5/PP.00.4/08A/2009,01-10-2009,3248 Tahun 2017,30-05-2017,Lihat SK Operasional,2020-08-24 20,B,"1,819",,2.,,,,,,-8.055334000000,112.051820000000,0,75,69,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
