prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat
Jawa Timur,Kab. Pasuruan,Bangil,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2C067C56-CED2-4EFA-AD52-C840CBE9BD2E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69895160,Darul Ihya  Liulumiddin,69895160,Jl. Musing No. 59 Bendomungal,KAUMAN,KEC. BANGIL,KAB. PASURUAN,PROV. JAWA TIMUR,SWASTA,MTs,Kementerian Agama,Lainnya,,Kd.15.9/2/PP.00/1080a/2014,13-06-2014,Kd.15.9/2/PP.00/3912/SK/2014,22-12-2014,Lihat SK Operasional,2016-02-10 11,B,0 m2,1.,2.,,,,,,-8.158000000000,113.051580000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Pasuruan,Bangil,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5D442C3B-6DCA-4E9C-A919-17283D7E837E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60716658,MIS ABDUSSALAM,60716658,Jl. Kalisari 3 Bekacak,KOLURSARI,KEC. BANGIL,KAB. PASURUAN,PROV. JAWA TIMUR,SWASTA,MI,Kementerian Agama,Yayasan BPPPMNU Cabang Kab. Pasuruan,AX6676,L.m/3/2006/A/1978,20-03-1978,"Kd.13,14/050/PP,004/01/2011",14-01-2011,Lihat SK Operasional,2016-01-14 13,C,1.215 m2,1.,2.,,,,,,-7.614700000000,112.776600000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Pasuruan,Bangil,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8AAE57A7-0783-4175-8F30-990C08FE2958,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60716650,MIS AL ISLAMIYAH,60716650,JL. MUSING 637-A KAUMAN,KAUMAN,KEC. BANGIL,KAB. PASURUAN,PROV. JAWA TIMUR,SWASTA,MI,Kementerian Agama,,,Kd.13.14/05.00/PP.00.4/1277/SK/2010,29-06-2010,Kd.13.14/05.00/PP.00.4/1277/SK/2010,29-06-2010,Lihat SK Operasional,2016-01-14 12,B,1.500 m2,1.,2.,,,,,,-7.587953000000,112.805582000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Pasuruan,Bangil,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/34052969-CF66-4314-8708-18BFE8E55504,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60716664,MIS AN NUR,60716664,JL. TENGIRI VI/524,BENDO MUNGAL,KEC. BANGIL,KAB. PASURUAN,PROV. JAWA TIMUR,SWASTA,MI,Kementerian Agama,Yayasan BPPPMNU Cabang Kab. Pasuruan,AX6676,Mm.17/05.00/PP./032/294/1995,18-07-1989,Kd.13.14/05.00/PP.00.4/1277/SK/2010,29-06-2010,Lihat SK Operasional,2016-01-14 12,B,3.970 m2,1.,2.,,,,,,-7.597882000000,112.792564000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Pasuruan,Bangil,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/13430C9D-E97A-4F74-AFB5-8C772C045912,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60729492,MIS DARULLUGHAH WADDA`WAH,60729492,JALAN RAYA RACI NO.51,RACI,KEC. BANGIL,KAB. PASURUAN,PROV. JAWA TIMUR,SWASTA,MI,Kementerian Agama,,,Kd.13.14/05.00/PP.00.4/1277/SK/2010,29-06-2010,Kd.13.14/05.00/PP.00.4/1277/SK/2010,29-06-2010,Lihat SK Operasional,2016-01-18 23,A,5.600 m2,1.,2.,,,,,,-7.605100000000,112.826300000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Pasuruan,Bangil,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BFCE84F4-1C16-4AF3-9BA6-EA2A15472DFA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60716653,MIS MIFTAHUL ANWAR,60716653,JL. BADER 15,KALIANYAR,KEC. BANGIL,KAB. PASURUAN,PROV. JAWA TIMUR,SWASTA,MI,Kementerian Agama,,,Kd.13.14/05.00/PP.00.4/1277/SK/2010,29-10-2010,Kd.13.14/05.00/PP.00.4/1277/SK/2010,29-10-2010,Lihat SK Operasional,2016-01-15 06,A,1.742 m2,1.,2.,,,,,,-7.567654000000,112.811760000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Pasuruan,Bangil,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D4CCCB57-20E6-4AEF-9311-B3CF6D06DDF5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60716654,MIS MINU MIFTAHUL HUDA 1,60716654,JL. SILI  05,MANARUWI,KEC. BANGIL,KAB. PASURUAN,PROV. JAWA TIMUR,SWASTA,MI,Kementerian Agama,Yayasan BPPPMNU Cabang Kab. Pasuruan,AX6676,Kd.13.14/05.00/PP.00.4/0196/SK/2011,14-01-2011,Kd.13.14/05.00/PP.00.4/0196/SK/2011,14-01-2011,Lihat SK Operasional,2016-01-14 14,B,933 m2,1.,2.,,,,,,-7.575597000000,112.830514000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Pasuruan,Bangil,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/18F06E20-A7B9-4EA1-A5F3-6DAD50D221FA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60716651,MIS NU AL MUSTOFA,60716651,JL. PANUMBUAN NO. 403 RT03 RW01,RACI,KEC. BANGIL,KAB. PASURUAN,PROV. JAWA TIMUR,SWASTA,MI,Kementerian Agama,Yayasan BPPPMNU Cabang Kab. Pasuruan,AX6676,Kd.13.14/05.00/PP.00.4/1277/SK/2010,29-06-2010,Kd.13.14/05.00/PP.00.4/1277/SK/2010,29-06-2010,Lihat SK Operasional,2016-01-18 23,B,3.250 m2,1.,2.,,,,,,-7.602100000000,112.822400000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Pasuruan,Bangil,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F180DF11-4E42-48C9-B135-4E96972560EA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60716655,MIS PERSIS BANGIL,60716655,JL. PATTIMURA 183,POGAR,KEC. BANGIL,KAB. PASURUAN,PROV. JAWA TIMUR,SWASTA,MI,Kementerian Agama,,,Kd.13.14/05.00.4/1277/SL/2010,29-06-2010,Kd.13.14/05.00.4/1277/SL/2010,29-06-2010,Lihat SK Operasional,2016-01-18 13,C,1.320 m2,1.,2.,,,,,,-7.585306000000,112.837795000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Timur,Kab. Pasuruan,Bangil,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/28FC19C4-2A07-40E5-B537-07104FA1F99B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60716656,MIS RIYADLUL ULUM,60716656,JL. SALAK NO. 405,KIDUL DALEM,KEC. BANGIL,KAB. PASURUAN,PROV. JAWA TIMUR,SWASTA,MI,Kementerian Agama,,,L.m./3/2091/1978,20-03-1978,Kd.13.14/05.00/PP.000/1277/SK/2010,29-06-2010,Lihat SK Operasional,2016-01-14 14,B,1.469 m2,1.,2.,,,,,,-7.599700000000,112.783300000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
