prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Sumatera Utara,Kab. Batubara,Datuk Tanah Datar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/25621785-00C0-4FD1-A9D6-04176BE23D6C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70032065,SD SWASTA ISLAM TERPADU QURAN PETATAL,70032065,Dusun VI,PETATAL,KEC. DATUK TANAH DATAR,KAB. BATUBARA,PROV. SUMATERA UTARA,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,017,04-01-2021,503/0007/IOSS/DPM-PTSP/VII/2022,12-07-2022,Lihat SK Operasional,2022-08-11 11,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Sumatera Utara,Kab. Batubara,Datuk Tanah Datar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D7FC3C0A-26B9-4569-9B54-8005E5FB565A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69954333,SMP SWASTA ISLAM TERPADU SUHAIRIYAH,69954333,Dusun IV Purwosari,BINJAI BARU,KEC. DATUK TANAH DATAR,KAB. BATUBARA,PROV. SUMATERA UTARA,SWASTA,SMP,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan smp it suhairiyah,AO1945,AHU-0003576.A.H.01.04.Tahun 2015,10-03-2015,421.2/4344-SR,03-11-2016,Lihat SK Operasional,2016-11-24 12,B,"2,622",1. -,2. Linknet,PLN,,,smpitsuhairiyah@gmail.com,,3.178905800000,99.560366600000,15,181,139,10,Pagi/6 hari,,2022/2023-2,900,15,0,0,2,0,0,14,3,15,0,0,0,2,13,0,12,3,5,6,1,1,2,0,0,2,13,,,,,,,15,0,0,0,0,0,0,0,SMP 2013,Tidak Ada,3,4,3
Sumatera Utara,Kab. Batubara,Datuk Tanah Datar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/95F8D086-1CD5-4803-9F81-4C3C727C6C78,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70036324,SMP SWASTA IT SAINS ALQURAN,70036324,Dusun Kampung Baru,MEKAR BARU,KEC. DATUK TANAH DATAR,KAB. BATUBARA,PROV. SUMATERA UTARA,SWASTA,SMP,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Perguruan Nurul Ikhlas,AO1946,05/SK-YPNI/MB/VII/2022,11-07-2022,503/0009/IOSS/DPM-PTSP/IX/2022,14-09-2022,Lihat SK Operasional,2023-01-27 09,,0,,2.,,,,,,3.138700000000,99.504700000000,6,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,6,6,0,0,0,0,6,0,2,4,5,0,1,0,0,0,0,1,5,,,,,,,,,,,,,,,,,,,
Sumatera Utara,Kab. Batubara,Datuk Tanah Datar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/90AB58DD-2EF5-E011-AB18-874AF328C191,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10204154,SMP SWASTA NASIONAL PETATAL,10204154,Jln. Simpang Teluk Bayur Desa Petatal,PETATAL,KEC. DATUK TANAH DATAR,KAB. BATUBARA,PROV. SUMATERA UTARA,SWASTA,SMP,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN PERGURUAN NASIONAL,AO1950,14,19-07-1982,421.2/0115-SR,11-01-2016,Lihat SK Operasional,2020-08-31 14,B,"5,040",1. Telkomsel Flash,2. Telkom Speedy,PLN,,,yapenaspetatal@yahoo.com,,3.128000000000,99.497100000000,17,87,69,6,Pagi/6 hari,,2022/2023-2,898,6,1,1,2,2,0,16,3,15,0,2,0,7,10,0,8,9,2,4,3,0,2,3,3,6,11,,,,,,,3,3,0,0,1,0,0,0,SMP 2013,Telkomsel Flash,2,2,2
Sumatera Utara,Kab. Batubara,Datuk Tanah Datar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/008CEADC-2EF5-E011-887B-2F77B0BE259D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10204638,UPT. SD NEGERI 01 PETATAL,10204638,Jalan Lintas Sumatera Km 130 Petatal,PETATAL,KEC. DATUK TANAH DATAR,KAB. BATUBARA,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,06-01-1922,,01-01-1910,Lihat SK Operasional,2020-03-17 10,B,"2,375",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdNegeri010150Petatal@gmail.com,,3.145800000000,99.508500000000,13,114,127,11,Pagi/6 hari,,2022/2023-2,"1,300",6,0,1,1,6,1,0,6,9,0,1,3,5,8,0,9,4,5,3,1,0,0,1,3,1,12,2,2,2,2,2,1,1,5,0,3,0,1,0,0,SD 2013,Telkomsel Flash,,,
Sumatera Utara,Kab. Batubara,Datuk Tanah Datar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A09AEADC-2EF5-E011-BC02-577BB4283780,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10204639,UPT. SD NEGERI 02 PETATAL,10204639,Petatal,PETATAL,KEC. DATUK TANAH DATAR,KAB. BATUBARA,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,03-11-1979,,01-01-1910,Lihat SK Operasional,2020-03-17 10,B,"2,144",1. XL (GSM),2. XL (GSM),PLN,,,uptd.sdn02petatal@gmail.com,,3.132800000000,99.502900000000,12,93,120,10,Pagi/6 hari,,2022/2023-2,900,2,0,0,0,6,0,0,6,8,0,2,2,5,7,0,9,3,2,1,4,1,2,0,2,2,10,1,1,2,2,2,2,0,0,2,6,0,0,0,1,SD 2013,XL (GSM),,,
Sumatera Utara,Kab. Batubara,Datuk Tanah Datar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B0973BD9-2EF5-E011-A56E-5B96B97681FE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10204653,UPT. SD NEGERI 03 SEI MUKA,10204653,Sei. Muka,SEI MUKA,KEC. DATUK TANAH DATAR,KAB. BATUBARA,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,31-12-1958,,01-01-1910,Lihat SK Operasional,2020-03-17 10,B,"2,730",1. Smartfren,2. Telkomsel Flash,PLN,,,sdn010152seimuka@gmail.com,http,3.151400000000,99.561400000000,10,92,93,7,Pagi/6 hari,,2022/2023-2,900,7,0,0,0,4,1,0,5,7,0,3,0,5,5,0,8,2,3,4,1,1,0,0,1,4,6,1,2,1,1,1,1,3,0,4,2,0,0,0,1,SD 2013,Smartfren,,,
Sumatera Utara,Kab. Batubara,Datuk Tanah Datar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E0A8EADC-2EF5-E011-9816-D19117DEF198,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10204650,UPT. SD NEGERI 04 SEI MUKA,10204650,Sei Muka,SEI MUKA,KEC. DATUK TANAH DATAR,KAB. BATUBARA,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,1958,25-01-1989,050/13.1/1989,01-01-1910,Lihat SK Operasional,2020-03-17 10,C,"1,849",1. -,2. Telkomsel Flash,PLN,,,uptdsdn04seimuka@gmail.com,http,3.149000000000,99.560500000000,8,80,75,6,Pagi/6 hari,,2022/2023-2,900,0,0,1,4,3,0,0,5,5,1,1,1,4,4,0,6,2,4,1,0,1,0,2,0,0,8,1,1,1,1,1,1,0,0,0,6,0,0,1,0,SD 2013,Tidak Ada,,,
Sumatera Utara,Kab. Batubara,Datuk Tanah Datar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/70B7EADC-2EF5-E011-8834-B7C994B846DF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10204649,UPT. SD NEGERI 05 SUMBER TANI,10204649,DUSUN VII SUMBER TANI,SUMBER TANI,KEC. DATUK TANAH DATAR,KAB. BATUBARA,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,114/XII/UOD/SUMATERA- UTA,19-07-1963,,01-01-1910,Silakan Upload SK (link file tidak valid) => [807966-462287--],2023-03-27 09,B,"1,500",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,uptd.sdn05sumbertani@gmail.com,,3.136200000000,99.494200000000,9,72,68,6,Pagi/6 hari,,2022/2023-2,450,3,0,2,4,3,2,0,4,8,0,0,1,3,6,0,7,2,3,1,1,1,1,0,2,3,6,1,1,1,1,1,1,3,0,0,3,2,0,0,0,SD 2013,Telkomsel Flash,,,
Sumatera Utara,Kab. Batubara,Datuk Tanah Datar,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/00C6EADC-2EF5-E011-8FCC-85B48673EE25,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10204648,UPT. SD NEGERI 06 SEI MUKA,10204648,Jln. Pendidikan Sei. Muka,SEI MUKA,KEC. DATUK TANAH DATAR,KAB. BATUBARA,PROV. SUMATERA UTARA,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,07-01-1971,,01-01-1910,Lihat SK Operasional,2020-03-17 10,B,"3,960",1. Telkomsel Flash,2. Telkom Speedy,PLN,,,www.seimukasdenam@yahoo.co.id,,3.151400000000,99.561400000000,10,82,86,7,Pagi/6 hari,,2022/2023-2,900,6,0,0,2,5,0,0,5,6,0,2,2,6,4,0,6,4,2,2,2,0,0,2,2,1,9,1,2,1,1,1,1,4,2,0,1,0,0,0,1,SD 2013,Telkomsel Flash,,,
