prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Riau,Kab. Indragiri Hilir,Tembilahan Hulu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3B061738-0AF0-4556-8650-40E4C291ABA6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60704408,MIN 1 INDRAGIRI HILIR,60704408,JL. PERINTIS TEMBILAHAN HULU,TEMBILAHAN HULU,KEC. TEMBILAHAN HULU,KAB. INDRAGIRI HILIR,PROV. RIAU,NEGERI,MI,Kementerian Agama,Pemerintah Daerah,,Kd.04.3/4/PP.00.5/735/2010,15-06-2010,-48 TAHUN 2010,14-06-2010,Lihat SK Operasional,2021-03-04 19,A,0,,2.,,,,,,-.328000000000,103.147200000000,0,528,470,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Riau,Kab. Indragiri Hilir,Tembilahan Hulu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5FC866AC-6178-4364-8730-2E0465DEE937,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60704413,MIS JAMIATUL ISLAMIYAH,60704413,SUNGAI NIBUNG,SUNGAI INTAN,KEC. TEMBILAHAN HULU,KAB. INDRAGIRI HILIR,PROV. RIAU,SWASTA,MI,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-.370623000000,103.093936000000,0,51,50,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Riau,Kab. Indragiri Hilir,Tembilahan Hulu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BE92469D-5FE0-4908-B179-235060BA462A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60704412,MIS JAMIATUL JARIYAH,60704412,JL. GERILYA PARIT 8,TEMBILAHAN HULU,KEC. TEMBILAHAN HULU,KAB. INDRAGIRI HILIR,PROV. RIAU,SWASTA,MI,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-.356503000000,103.035104000000,0,130,132,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Riau,Kab. Indragiri Hilir,Tembilahan Hulu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E86256E7-3F14-4307-B415-72024E950E8F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60704409,MIS NU II,60704409,JL. SEDERHANA TBH HULU,TEMBILAHAN HULU,KEC. TEMBILAHAN HULU,KAB. INDRAGIRI HILIR,PROV. RIAU,SWASTA,MI,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-.353814000000,103.113771000000,0,105,89,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Riau,Kab. Indragiri Hilir,Tembilahan Hulu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/26B0D6BC-70EB-485C-A66E-4721A173229E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60704410,MIS NURUL FALAH,60704410,DESA SIALANG PANJANG,SIALANG PANJANG,KEC. TEMBILAHAN HULU,KAB. INDRAGIRI HILIR,PROV. RIAU,SWASTA,MI,Kementerian Agama,,,,,,,Silakan Upload SK,,C,0,,2.,,,,,,-.357512000000,103.019304000000,0,16,19,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Riau,Kab. Indragiri Hilir,Tembilahan Hulu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/58F209A0-AF1A-4B0C-BDFD-EEFC1146587D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60704415,MIS NURUL HUDA,60704415,PARIT H. HARUN,PULAU PALAS,KEC. TEMBILAHAN HULU,KAB. INDRAGIRI HILIR,PROV. RIAU,SWASTA,MI,Kementerian Agama,,,,01-01-1900,,01-01-1900,Silakan Upload SK (link file tidak valid) => [410553-728673--],2021-01-18 07,C,0,,2.,,,,,,-.396500000000,103.061900000000,0,29,30,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Riau,Kab. Indragiri Hilir,Tembilahan Hulu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BAD385C1-C5DA-4972-A99E-518D212642DF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60704411,MIS NURUL JIHAD,60704411,JALAN SAPTA MARGA GG. MADRASAH,SIALANG PANJANG,KEC. TEMBILAHAN HULU,KAB. INDRAGIRI HILIR,PROV. RIAU,SWASTA,MI,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-.367934000000,103.060990000000,0,73,66,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Riau,Kab. Indragiri Hilir,Tembilahan Hulu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FE9D6348-EC1A-451D-AF77-73C297B76AFE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60704416,MIS NURUL YAQIN,60704416,PARIT 22 SEI PINANG,PULAU PALAS,KEC. TEMBILAHAN HULU,KAB. INDRAGIRI HILIR,PROV. RIAU,SWASTA,MI,Kementerian Agama,,,,,,,Silakan Upload SK,,C,0,,2.,,,,,,-.338686000000,103.110409000000,0,37,25,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Riau,Kab. Indragiri Hilir,Tembilahan Hulu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CC4D9FEE-5DDF-44D1-A8C0-53F1D4B334F7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60704414,MIS SABILAL MUHTADIN,60704414,JL. SABILAL MUHTADIN,TEMBILAHAN HULU,KEC. TEMBILAHAN HULU,KAB. INDRAGIRI HILIR,PROV. RIAU,SWASTA,MI,Kementerian Agama,,,,01-01-1900,,01-01-1900,Silakan Upload SK (link file tidak valid) => [400196-598027--],2020-11-23 15,B,0,,2.,,,,,,-.391130000000,103.062671000000,0,158,145,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Riau,Kab. Indragiri Hilir,Tembilahan Hulu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2355CC86-BAC3-4A41-836B-761DBA2D8E5E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10499074,MTSS ANNUR,10499074,JL.  Propinsi Parit 07 Pulau Palas,PULAU PALAS,KEC. TEMBILAHAN HULU,KAB. INDRAGIRI HILIR,PROV. RIAU,SWASTA,MTs,Kementerian Agama,,,F/.III/PP/.03.2/01/2000,25-08-2000,Kd.04.3/4/PP.00.5/684/2010,15-06-2010,Silakan Upload SK (link file tidak valid) => [733475-409822--],2022-11-10 10,B,0,,2.,,,,,,-.384500000000,103.087700000000,0,135,114,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
