prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,akses_internet_sekolah_kita,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Riau,Kab. Kuantan Singingi,Kuantan Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/302C8C2B-470E-4E60-AF75-FFBA8549D00F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70032986,MI Nurul Ikhlas,70032986,Jalan Raya Teluk Kuantan Lubuk Jambi,PINTU GOBANG,KEC. KUANTAN TENGAH,KAB. KUANTAN SINGINGI,PROV. RIAU,SWASTA,MI,Kementerian Agama,,,,,305 TAHUN 2022,17-05-2022,Silakan Upload SK (link file tidak valid) => [233121-46496-https,2022-09-06 10,,0,,2.,,,,,,.000000000000,.000000000000,0,1,7,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Riau,Kab. Kuantan Singingi,Kuantan Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4A57D82A-36F9-4837-B85E-ED240BE11F6D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69978943,MI ULIL ALBAB KAMPUNG BARU KOTO,69978943,"KAMPUNG BARU KOTO INUMAN, KEC. INUMAN",KOTO TUO,KEC. KUANTAN TENGAH,KAB. KUANTAN SINGINGI,PROV. RIAU,SWASTA,MI,Kementerian Agama,,,496 Tahun 2016,14-09-2016,496 Tahun 2016,14-09-2016,Silakan Upload SK (link file tidak valid) => [-],2018-08-02 07,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Riau,Kab. Kuantan Singingi,Kuantan Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4F989284-9A91-4A50-A34C-FF3264630D6C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60704443,MIS BAITURRAHMAN,60704443,Jalan Barangan Beringin Taluk Kuantan,BERINGIN TALUK,KEC. KUANTAN TENGAH,KAB. KUANTAN SINGINGI,PROV. RIAU,SWASTA,MI,Kementerian Agama,,,85 Tahun 2011,27-07-2011,85 Tahun 2011,08-07-2011,Lihat SK Operasional,2021-10-05 10,C,0,,2.,,,,,,-.524000000000,101.514000000000,0,190,167,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Riau,Kab. Kuantan Singingi,Kuantan Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F4A62F25-7C66-49BC-8B18-1BF8E517C113,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60704439,MIS MUHAMMADIYAH TELUK KUANTAN,60704439,KOTO TELUK KUANTAN,KOTO TALUK,KEC. KUANTAN TENGAH,KAB. KUANTAN SINGINGI,PROV. RIAU,SWASTA,MI,Kementerian Agama,Yayasan Pimpinan Daerah Muhammadiyah (PDM) Kab. Kuantan Singingi,AO5551,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-.522200000000,101.561000000000,0,329,266,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Riau,Kab. Kuantan Singingi,Kuantan Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/36F52FA3-D65F-433C-A664-B2A23DA180F3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69993794,MTs MTSN 4 KUANTAN SINGINGI,69993794,JL. PADAT KARYA NO. 479 MUARALEMBU KEL. MUARA LEMBU,MUNSALO,KEC. KUANTAN TENGAH,KAB. KUANTAN SINGINGI,PROV. RIAU,NEGERI,MTs,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,A,0,,2.,,,,,,-.397400000000,101.349100000000,0,122,114,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Riau,Kab. Kuantan Singingi,Kuantan Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FD2A5EB5-B901-4CD8-AA3C-9F5B6C5C9876,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69978944,MTs NURUL IKHLAS,69978944,"JL.LINTAS LUBUK JAMBI- TELUK KUANTAN, KEC. KUANTAN TENGAH",PINTU GOBANG,KEC. KUANTAN TENGAH,KAB. KUANTAN SINGINGI,PROV. RIAU,SWASTA,MTs,Kementerian Agama,,,497 Tahun 2016,14-09-2016,497 Tahun 2016,14-09-2016,Silakan Upload SK (link file tidak valid) => [-],2018-08-02 07,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Riau,Kab. Kuantan Singingi,Kuantan Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/054CAC69-4D83-440C-8220-427F151AD672,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10499164,MTSS BAITURRAHMAN,10499164,BERINGIN TELUK KUANTAN,BERINGIN TALUK,KEC. KUANTAN TENGAH,KAB. KUANTAN SINGINGI,PROV. RIAU,SWASTA,MTs,Kementerian Agama,,,,,,,Silakan Upload SK,,A,0,,2.,,,,,,-.524003000000,101.514020000000,0,108,104,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Riau,Kab. Kuantan Singingi,Kuantan Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6FE9CE57-DAD8-4C4A-97F4-9CE2D15E1AE1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10499165,MTSS KOPAH,10499165,DESA JAYA KOPAH,MUNSALO,KEC. KUANTAN TENGAH,KAB. KUANTAN SINGINGI,PROV. RIAU,SWASTA,MTs,Kementerian Agama,,,nomor 281 tahun 2012,02-08-2012,nomor04 tahun 2012,09-10-2012,Lihat SK Operasional,2019-12-10 12,C,0,,2.,,,,,,-.501072000000,101.524242000000,0,12,10,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Riau,Kab. Kuantan Singingi,Kuantan Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/60DFC557-90B2-4972-B383-E5EDBB6E1DDA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10499163,MTSS PP. KH. AHMAD DAHLAN,10499163,JL.BELIBIS NO 10 TELUK KUANTAN,BERINGIN TALUK,KEC. KUANTAN TENGAH,KAB. KUANTAN SINGINGI,PROV. RIAU,SWASTA,MTs,Kementerian Agama,Yayasan Pimpinan Daerah Muhammadiyah (PDM) Kab. Kuantan Singingi,AO5551,,,,,Silakan Upload SK,,A,0,,2.,,,,,,-.516171000000,101.539090000000,0,173,164,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Riau,Kab. Kuantan Singingi,Kuantan Tengah,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9817B987-1F3A-4ED3-9CB6-0A2FF41BBE78,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/10499162,MTSS PP. SYAFATURRASUL,10499162,BERINGIN TELUK KUANTAN,BERINGIN TALUK,KEC. KUANTAN TENGAH,KAB. KUANTAN SINGINGI,PROV. RIAU,SWASTA,MTs,Kementerian Agama,,,Kd.04.11/4/PP.00.8/101/2015,28-07-2015,Kd.04.11/4/PP.00.8/101/2015,28-07-2015,Lihat SK Operasional,2021-12-31 09,A,"2,000",,2.,,,,,,-.484219000000,101.467054000000,0,3,429,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
