prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Kalimantan Barat,Kab. Sintang,Sepauk,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5FC219AA-862B-4B2A-B336-E4FCA27A904F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60722395,MIS AL-FALAH,60722395,JL.PENDIDIKAN N0.21,TANJUNG RIA,KEC. SEPAUK,KAB. SINTANG,PROV. KALIMANTAN BARAT,SWASTA,MI,Kementerian Agama,,,Kd. I 4.05/5/PP.00/0009/2013,02-01-2013,Kd. I 4.05/5/PP.00/0009/2013,02-01-2013,Lihat SK Operasional,2021-04-02 09,C,"5,000",,2.,,,,,,-.307775000000,111.255842000000,0,78,61,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Kalimantan Barat,Kab. Sintang,Sepauk,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B681CB9A-295E-4958-9912-77C415237B5D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60722397,MIS MIFTAHUL HUDA,60722397,DUSUN NATAI  RT 011 RW 005,BEDAYAN,KEC. SEPAUK,KAB. SINTANG,PROV. KALIMANTAN BARAT,SWASTA,MI,Kementerian Agama,,,Kd. I 4.05/5/PP.00/0009/2013,02-01-2013,Kd. I 4.05/5/PP.00/0009/2013,02-01-2013,Lihat SK Operasional,2022-07-25 08,B,"5,000",,2.,,,,,,-.121800000000,111.159300000000,0,71,85,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Kalimantan Barat,Kab. Sintang,Sepauk,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/484DC9E2-6F88-4D99-A023-03E5240DEE0E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60722396,MIS SYU`LATUL MUNA,60722396,JL.MANIS RAYA,MANIS RAYA,KEC. SEPAUK,KAB. SINTANG,PROV. KALIMANTAN BARAT,SWASTA,MI,Kementerian Agama,,,Kd. I 4.05/5/PP.00/0009/2013,03-01-2013,Kd. I 4.05/5/PP.00/0009/2013,02-01-2013,Silakan Upload SK (link file tidak valid) => [406917-356166--],2021-01-04 11,B,"5,000",,2.,,,,,,-.469681000000,111.211349000000,0,83,99,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Kalimantan Barat,Kab. Sintang,Sepauk,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5B9D70D4-C1F6-4C97-A71B-80EC49C8C502,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60730320,MTSS AL-FALAH,60730320,JL. PANGERAN LAKSAMANA,BERNAYAU,KEC. SEPAUK,KAB. SINTANG,PROV. KALIMANTAN BARAT,SWASTA,MTs,Kementerian Agama,,,Kd.14.05/5/PP.00/0008/2013,02-01-2013,Kd.14.05/5/PP.00/0008/2013,02-01-2013,Lihat SK Operasional,2018-06-29 14,B,0,,2.,,,,,,-.317662000000,111.111857000000,0,22,15,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Kalimantan Barat,Kab. Sintang,Sepauk,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4E726132-97BE-4D26-822A-E35E888121D0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30112362,MTSS MIFTAHUL HUDA,30112362,RT 11 RW 05 DUSUN NATAI,BEDAYAN,KEC. SEPAUK,KAB. SINTANG,PROV. KALIMANTAN BARAT,SWASTA,MTs,Kementerian Agama,,,Kw.14.4/4/PP.00.5/91/2006,03-04-2006,Kd.14.05/5/PP.00/0008/2013,02-01-2013,Lihat SK Operasional,2017-03-15 14,C,0,,2.,,,,,,-.121400000000,111.158600000000,0,21,17,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Kalimantan Barat,Kab. Sintang,Sepauk,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/946372BA-95BF-43B6-948B-3C65952663F5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30112364,MTSS SYU`LATUL MUNA,30112364,JL. SP I SKPH MANIS RAYA,MANIS RAYA,KEC. SEPAUK,KAB. SINTANG,PROV. KALIMANTAN BARAT,SWASTA,MTs,Kementerian Agama,,,Kd.14.05/5/PP.05/2070/2009,01-09-2009,Kd.14.05/5/PP.00/0008/2013,02-01-2013,Lihat SK Operasional,2020-01-06 14,C,"2,500",,2.,,,,,,-.439401000000,111.119890000000,0,29,31,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Kalimantan Barat,Kab. Sintang,Sepauk,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D0FDABD1-31F5-E011-B8D8-A705A37EC57F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30102658,SD NEGERI  21 SP IV SKPH MANIS RAYA,30102658,Temawang Muntai,TEMAWANG MUNTAI,KEC. SEPAUK,KAB. SINTANG,PROV. KALIMANTAN BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1982,,01-01-1910,Silakan Upload SK,,B,"12,150",1. Telkom Speedy,2. Lainnya (Serat Optik),PLN,,,sdn21spIVskphmanisraya@gmail.com,,-.317300000000,111.209000000000,7,96,102,7,Pagi/6 hari,,2022/2023-2,900,11,0,0,2,2,1,0,4,5,0,1,1,4,3,0,4,3,1,1,1,0,1,2,1,2,5,11,0,0,0,0,0,0,0,SD 2013,Telkom Speedy,1,1,1,2,1,1,,,
Kalimantan Barat,Kab. Sintang,Sepauk,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6053F408-30F5-E011-B928-8DE1F10333E8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30102640,SD NEGERI 01 SEPAUK,30102640,Nanga Sepauk,TANJUNG RIA,KEC. SEPAUK,KAB. SINTANG,PROV. KALIMANTAN BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,0,01-01-1957,,01-01-1910,Silakan Upload SK,,A,"3,886",1. Lainnya,2. Lainnya,PLN,0,0,sdnsatusepauk@yahoo.com,,.059542600000,111.207789400000,11,140,102,9,Pagi/6 hari,,2022/2023-2,900,12,0,1,2,6,0,0,5,5,0,4,2,5,6,0,10,1,2,2,1,0,1,2,3,4,7,10,2,0,0,1,0,0,0,SD 2013,Lainnya,1,2,1,1,2,2,,,
Kalimantan Barat,Kab. Sintang,Sepauk,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4060F408-30F5-E011-B74B-D93142E2C26D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30102746,SD NEGERI 02 LENGKENAT,30102746,Lengkenat,LENGKENAT,KEC. SEPAUK,KAB. SINTANG,PROV. KALIMANTAN BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,0,01-01-1957,,01-01-1910,Silakan Upload SK,,B,"7,800",1. -,2. Lainnya (Serat Optik),PLN,0,,sdnegeri02lengkenat@gmail.com,,.011300000000,111.218700000000,7,121,124,8,Pagi/6 hari,,2022/2023-2,"1,300",9,0,1,2,4,0,0,3,3,0,1,3,5,2,0,7,0,1,2,0,1,1,1,1,2,5,0,9,0,0,0,1,0,0,SD 2013,Tidak Ada,1,2,1,2,1,1,,,
Kalimantan Barat,Kab. Sintang,Sepauk,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/604EAC6A-C5F8-E111-982D-5B472636D1DC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30102413,SD NEGERI 03 SEPAUK,30102413,Nanga Sepauk,NANGA SEPAUK,KEC. SEPAUK,KAB. SINTANG,PROV. KALIMANTAN BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,0,01-01-1910,,01-01-1910,Silakan Upload SK,,B,"1,750",1. Lainnya (Serat Optik),2. Lainnya (Serat Optik),PLN,0,,sdn3sepauk3@gmail.com,,-.005800000000,111.221100000000,6,60,90,6,Pagi/6 hari,,2022/2023-2,900,7,0,1,2,6,0,0,0,0,0,2,4,6,0,0,6,0,0,0,1,0,1,2,2,3,3,7,0,0,0,1,0,0,0,SD 2013,Lainnya (Serat Optik),1,1,1,1,1,1,,,
