prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Kalimantan Barat,Kab. Bengkayang,Suti Semarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F06D3B09-30F5-E011-B685-8354297BDFA5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30104130,SD NEGERI 01 KENDAIK,30104130,Kendaik,CEMPAKA PUTIH,KEC. SUTI SEMARANG,KAB. BENGKAYANG,PROV. KALIMANTAN BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,blm,01-01-1975,420/110/DISDIKBUD-C.2,29-12-2017,Lihat SK Operasional,2021-08-27 12,B,"10,000",1. -,2. Telkomsel Flash,PLN,,,sdnegeri01kendaik@gmail.com,,.880100000000,109.812300000000,8,42,51,6,SD 2013,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,900,6,0,1,2,5,0,0,3,4,0,2,2,5,3,0,7,1,2,2,0,0,1,1,2,3,5,1,1,1,1,1,1,0,6,0,0,0,1,0,0,,,
Kalimantan Barat,Kab. Bengkayang,Suti Semarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E07A3B09-30F5-E011-AA18-1D4EF9C07A7A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30104155,SD NEGERI 02 ABAH,30104155,Abah,SUKA MAJU,KEC. SUTI SEMARANG,KAB. BENGKAYANG,PROV. KALIMANTAN BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,Tidak Terakreditasi,"15,000",1. -,2. -,Tenaga Surya,,,sdn02abah@yahoo.co.id,,.957200000000,109.690500000000,7,51,45,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,450,6,0,1,2,4,2,0,1,3,3,0,1,1,6,0,4,3,0,0,2,0,1,3,1,3,4,1,1,1,1,1,1,6,0,0,0,0,1,0,0,,,
Kalimantan Barat,Kab. Bengkayang,Suti Semarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E0873B09-30F5-E011-84DF-61A8E3BB56FC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30104109,SD NEGERI 03 SUTI SEMARANG,30104109,Jalan Suti Semarang,SUTI SEMARANG,KEC. SUTI SEMARANG,KAB. BENGKAYANG,PROV. KALIMANTAN BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,420/100/DISDIKBUD-C.1,21-12-2017,420/100/DISDIKBUD-C.1,21-12-2017,Lihat SK Operasional,2018-02-02 23,B,"120,000",1. -,2. Telkomsel Flash,PLN,,,sdn03sutisemarang@gmail.com,,.883000000000,109.841700000000,8,56,46,6,SD 2013,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,900,0,0,0,0,3,2,0,3,5,2,1,0,2,6,0,6,2,0,2,3,3,0,0,0,4,4,1,1,1,1,1,1,0,0,0,6,0,0,0,0,,,
Kalimantan Barat,Kab. Bengkayang,Suti Semarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F0943B09-30F5-E011-BB4A-D14AD48EB1F3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30104121,SD NEGERI 04 KIUNG,30104121,Jln. Raya Suti Semarang,KIUNG,KEC. SUTI SEMARANG,KAB. BENGKAYANG,PROV. KALIMANTAN BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1982,420/110/DISDIKBUD-C.2,29-12-2017,Silakan Upload SK (link file tidak valid) => [545160-794835--],2021-11-22 00,C,"18,600",1. -,2. -,Tenaga Surya,,,sdkiung04@gmail.com,,.867600000000,109.722000000000,10,63,56,7,SD 2013,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,450,6,0,1,2,4,0,0,6,6,2,2,0,2,8,0,6,4,0,6,3,1,0,0,0,5,5,2,1,1,1,1,1,0,4,2,0,0,0,1,0,,,
Kalimantan Barat,Kab. Bengkayang,Suti Semarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D0A13B09-30F5-E011-8A96-DF61B7187FD2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30104215,SD NEGERI 05 MERESENG,30104215,Mereseng,NANGKA,KEC. SUTI SEMARANG,KAB. BENGKAYANG,PROV. KALIMANTAN BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,0,07-07-1983,,22-09-1984,Silakan Upload SK,,C,"5,000",1. -,2. -,PLN,,,sdn05mereseng@yahoo.com,,.868000000000,109.672900000000,7,45,40,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,200",0,0,1,0,4,2,0,1,3,1,3,0,4,3,0,6,1,0,1,2,3,0,0,1,5,2,1,1,1,1,1,1,0,0,0,8,0,0,1,0,,,
Kalimantan Barat,Kab. Bengkayang,Suti Semarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C0AE3B09-30F5-E011-B4BA-078DE4C9ABA9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30104233,SD NEGERI 06 TAPEN,30104233,"Jl,Raya Tapen,Dusun Tapen 2",TAPEN,KEC. SUTI SEMARANG,KAB. BENGKAYANG,PROV. KALIMANTAN BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,0,01-01-1983,,01-01-1910,Silakan Upload SK,,C,"8,775",1. Telkomsel Flash,2. -,PLN,0,,sdn06tapen@gmail.com,,.912200000000,109.791500000000,8,66,51,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,900,6,0,0,1,3,1,0,4,6,0,2,0,1,7,0,4,4,0,2,2,3,0,1,0,3,5,1,1,1,1,1,1,0,6,0,0,0,0,0,0,,,
Kalimantan Barat,Kab. Bengkayang,Suti Semarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40BD3B09-30F5-E011-841B-471655F5E70E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30106494,SD NEGERI 07 MUHI BERSATU,30106494,DUSUN MUHI RIAM,MUHI BERSATU,KEC. SUTI SEMARANG,KAB. BENGKAYANG,PROV. KALIMANTAN BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,1984,01-01-1910,420/110/DISDIKBUD-C.2,01-01-1910,Lihat SK Operasional,2023-03-10 06,Tidak Terakreditasi,"5,000",1. -,2. -,Tidak Ada,,,sd7suti@gmail.com,,.870600000000,109.762800000000,7,31,28,6,SD 2013,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,0,6,0,1,3,1,0,0,6,6,1,0,0,1,6,1,2,4,2,1,3,0,0,1,0,2,5,1,1,1,1,1,1,0,6,0,0,0,1,0,0,,,
Kalimantan Barat,Kab. Bengkayang,Suti Semarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8DBB5791-BA33-4A08-85F4-3D9AC4D8F915,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69775522,SDN 08 Kelayu,69775522,Dusun Kelayu,KELAYU,KEC. SUTI SEMARANG,KAB. BENGKAYANG,PROV. KALIMANTAN BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,104/SETDA/TAHUN2012,16-07-2012,420/110/DISDIKBUD-C.2,29-12-2017,Lihat SK Operasional,2021-08-27 12,Tidak Terakreditasi,"20,047",1. -,2. -,Tenaga Surya,,,sdn8kelayu@gmail.com,,.950300000000,109.685600000000,2,16,7,3,SD 2013,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,0,3,0,0,0,1,0,0,1,2,0,0,0,1,1,0,2,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,3,0,0,0,0,0,,,
Kalimantan Barat,Kab. Bengkayang,Suti Semarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FBE19337-7B24-48B2-B98D-EE7A2C25C3A2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69775542,SDN 09 NIMPA,69775542,Dusun Nimpa,SUKA MAJU,KEC. SUTI SEMARANG,KAB. BENGKAYANG,PROV. KALIMANTAN BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,18-09-2013,420/933/Dispend/2013,18-09-2013,Silakan Upload SK,,Tidak Terakreditasi,"15,000",1. -,2. -,Tenaga Surya,,,sdnnimpa@gmail.com,,.906800000000,109.758000000000,4,12,6,4,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,450,4,0,0,0,1,0,0,3,4,0,0,0,1,3,0,3,1,1,1,2,0,0,0,0,2,2,1,1,1,1,0,0,0,4,0,0,0,0,0,0,,,
Kalimantan Barat,Kab. Bengkayang,Suti Semarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4E4D6723-3EA9-4A47-85A9-AE7F0B8E8D4C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69853621,SDN 10 BERINGIN,69853621,DUSUN BERINGIN,CEMPAKA PUTIH,KEC. SUTI SEMARANG,KAB. BENGKAYANG,PROV. KALIMANTAN BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,420/082.A/Dispend-Dikdas/,24-07-2014,420/082.A/DIKDAS/2014,24-07-2014,Lihat SK Operasional,2014-08-28 11,C,"10,000",1. -,2. Telkomsel Flash,PLN,,,sdnegeri10beringin@gmail.com,,.927154000000,109.801374000000,5,11,6,3,SD 2013,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,900,3,0,0,0,2,1,0,2,4,0,1,0,2,3,0,4,1,1,1,1,0,1,0,1,3,2,1,1,1,0,0,0,0,3,0,0,0,0,0,0,,,
