prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6
Kalimantan Selatan,Kab. Hulu Sungai Utara,Amuntai Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7FFA1DEB-FF15-4588-8DE0-EDE7ADAA97C7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60723028,MIN 14 HULU SUNGAI UTARA,60723028,JL.TABALONG MATI,TABALONG MATI,KEC. AMUNTAI UTARA,KAB. HULU SUNGAI UTARA,PROV. KALIMANTAN SELATAN,NEGERI,MI,Kementerian Agama,Pemerintah Daerah,,515A TAHUN 1995,25-11-1995,515A TAHUN 1995,25-11-1995,Lihat SK Operasional,2017-03-29 15,B,1.020 m2,1.,2.,,,,,,-2.380419000000,115.270100000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalimantan Selatan,Kab. Hulu Sungai Utara,Amuntai Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/501A9F1A-FCBE-4BE0-A1A8-B93426903DDB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60723029,MIN 22 HULU SUNGAI UTARA,60723029,JL. AMUNTAI-TANJUNG KM. 7 DESA TELUK DAUN,TELUK DAUN,KEC. AMUNTAI UTARA,KAB. HULU SUNGAI UTARA,PROV. KALIMANTAN SELATAN,NEGERI,MI,Kementerian Agama,Pemerintah Daerah,,554 TAHUN 2016,29-08-2016,554 TAHUN 2016,29-08-2016,Lihat SK Operasional,2017-03-29 14,A,"2,646",,2.,,,,,,-2.386304000000,115.292169000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Kalimantan Selatan,Kab. Hulu Sungai Utara,Amuntai Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D65ADA65-41DC-49A4-AF8A-61D78CEE7732,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60723030,MIN 25 HULU SUNGAI UTARA,60723030,JL.AMUNTAI TANJUNG DESA AIR TAWAR KM.10 RT.II NO.008,AIR TAWAR,KEC. AMUNTAI UTARA,KAB. HULU SUNGAI UTARA,PROV. KALIMANTAN SELATAN,NEGERI,MI,Kementerian Agama,Pemerintah Daerah,,556 TAHUN 2016,29-08-2016,556 TAHUN 2016,29-08-2016,Lihat SK Operasional,2017-03-29 15,B,675,,2.,,,,,,-2.361639000000,115.302643000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Kalimantan Selatan,Kab. Hulu Sungai Utara,Amuntai Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3F3DAAC1-A486-4287-897A-FC8983FB54B6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60723031,MIS HIDAYATULLAH,60723031,JLN.MAJAKALAIT,SUNGAI TURAK DALAM,KEC. AMUNTAI UTARA,KAB. HULU SUNGAI UTARA,PROV. KALIMANTAN SELATAN,SWASTA,MI,Kementerian Agama,,,536 TAHUN 2016,29-08-2016,536 TAHUN 2016,29-08-2016,Lihat SK Operasional,2019-12-12 09,B,563,,2.,,,,,,-2.373031000000,115.278441000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Kalimantan Selatan,Kab. Hulu Sungai Utara,Amuntai Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/66AE9BCA-EB0A-498F-9EF9-02DE3CCF1A7C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60723032,MIS HIDAYATUSSHIBYAN,60723032,JL. AMUNTAI TANJUNG KM. 8 RT.02,PANYAUNGAN,KEC. AMUNTAI UTARA,KAB. HULU SUNGAI UTARA,PROV. KALIMANTAN SELATAN,SWASTA,MI,Kementerian Agama,,,756 TAHUN 2016,06-09-2016,756 TAHUN 2016,06-09-2016,Lihat SK Operasional,2017-03-31 09,B,582,,2.,,,,,,-2.375317000000,115.298534000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Kalimantan Selatan,Kab. Hulu Sungai Utara,Amuntai Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8E5B326A-2F19-4307-847E-765BF9A9E847,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60723033,MIS MIFTAHUL KHAIR,60723033,JL. PADAT KARYA RT.03 . NO. 08,PIMPING,KEC. AMUNTAI UTARA,KAB. HULU SUNGAI UTARA,PROV. KALIMANTAN SELATAN,SWASTA,MI,Kementerian Agama,,,554 Tahun 2017,11-12-2017,554 Tahun 2017,11-12-2017,Lihat SK Operasional,2020-06-22 17,B,604,,2.,,,,,,-2.370431000000,115.311024000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Kalimantan Selatan,Kab. Hulu Sungai Utara,Amuntai Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CCA1D6C4-AB9A-4FB0-B172-9A637FE457F5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60723034,MIS NORMAL ISLAM RAKHA,60723034,JL. RAKHA PO.BOX 102 AMUNTAI,PAKAPURAN,KEC. AMUNTAI UTARA,KAB. HULU SUNGAI UTARA,PROV. KALIMANTAN SELATAN,SWASTA,MI,Kementerian Agama,,,98 TAHUN 2015,18-03-2015,98 TAHUN 2015,18-03-2015,Lihat SK Operasional,2017-03-31 10,B,"1,600",,2.,,,,,,-2.411555000000,115.257233000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Kalimantan Selatan,Kab. Hulu Sungai Utara,Amuntai Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B0DB39CC-FBD3-4261-94FA-1DD6A715932E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60723035,MIS NURUL WAHIDAH,60723035,JL. AMUNTAI TANJUNG KM 11,TAYUR,KEC. AMUNTAI UTARA,KAB. HULU SUNGAI UTARA,PROV. KALIMANTAN SELATAN,SWASTA,MI,Kementerian Agama,,,535 TAHUN 2016,29-08-2016,535 TAHUN 2016,29-08-2016,Lihat SK Operasional,2017-04-03 08,C,616,,2.,,,,,,-2.211455000000,115.309267000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Kalimantan Selatan,Kab. Hulu Sungai Utara,Amuntai Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/41AC64BD-30B9-4107-9E4B-8F3C49242922,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30315395,MTSN 6 HULU SUNGAI UTARA,30315395,JL. MAJAKALAIT KM 5 SEI. TURAK,PAKACANGAN,KEC. AMUNTAI UTARA,KAB. HULU SUNGAI UTARA,PROV. KALIMANTAN SELATAN,NEGERI,MTs,Kementerian Agama,Pemerintah Daerah,,598 TAHUN 2016,29-08-2016,598 TAHUN 2016,29-08-2016,Lihat SK Operasional,2017-03-30 08,A,196,,2.,,,,,,-2.385323000000,115.277840000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Kalimantan Selatan,Kab. Hulu Sungai Utara,Amuntai Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A28B4800-3C8A-4786-98D3-BBB8714990A4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/30315396,MTSS NORMAL ISLAM PUTRA RAKHA,30315396,JL RAKHA PO BOX 102,PAKAPURAN,KEC. AMUNTAI UTARA,KAB. HULU SUNGAI UTARA,PROV. KALIMANTAN SELATAN,SWASTA,MTs,Kementerian Agama,,,013 TAHUN 2016,06-09-2016,013 TAHUN 2016,06-09-2016,Lihat SK Operasional,2017-03-31 06,A,"2,448",,2.,,,,,,-2.410458000000,115.256705000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
