prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6
Jawa Barat,Kab. Indramayu,Losarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0F8DA98C-63E3-4C4D-AF25-3D1406831690,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60708933,MIS DARUL HIKMAH,60708933,Ds. Pangkalan Rt/Rw 05/03 Kec. Losarang,PANGKALAN,KEC. LOSARANG,KAB. INDRAMAYU,PROV. JAWA BARAT,SWASTA,MI,Kementerian Agama,,,Wi/HK.008/713/1991,31-12-1991,Wi/PP.004.1/3210/1991,31-12-1991,Lihat SK Operasional,2021-06-17 15,B,0,,2.,,,,,,-6.394000000000,108.208300000000,0,45,44,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Indramayu,Losarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0E9C3EE2-FF7F-40BC-B33C-BF0E2722218D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60708934,MIS GUPPI LOSARANG,60708934,Desa Losarang Blok Jarong Kecamatan Losarang Kabupaten Indramayu,LOSARANG,KEC. LOSARANG,KAB. INDRAMAYU,PROV. JAWA BARAT,SWASTA,MI,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-6.381900000000,108.147400000000,0,32,16,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Indramayu,Losarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/707A4CF4-F1B2-4687-9E38-369514429F68,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20279064,MTsN 10 Indramayu,20279064,Jl. Raya Jangga Losarang Indramayu,JANGGA,KEC. LOSARANG,KAB. INDRAMAYU,PROV. JAWA BARAT,NEGERI,MTs,Kementerian Agama,Pemerintah Daerah,,,,Keputusan Menteri Agama No 212 Tahun 2015,27-07-2015,Lihat SK Operasional,2019-01-23 09,A,0,,2.,,,,,,-6.397300000000,108.166200000000,0,71,46,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Indramayu,Losarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/FDE82445-1830-47D6-83DF-88CBE49D11A3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20279065,MTSS DARUL HIKMAH PANGKALAN,20279065,Jl. By Pass Pangkalan,PANGKALAN,KEC. LOSARANG,KAB. INDRAMAYU,PROV. JAWA BARAT,SWASTA,MTs,Kementerian Agama,,,D/Wi/MTs/378/94,06-10-1994,Wi/1/HK008/310/1994,06-10-1994,Lihat SK Operasional,2019-12-12 09,,0,,2.,,,,,,-6.397600000000,108.203100000000,0,54,33,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Jawa Barat,Kab. Indramayu,Losarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/33F80A21-AAB4-431F-945C-BA950A61D4C9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69995774,SMP ANNUR LOSARANG,69995774,Jalan Pantura Losarang No. 100,SANTING,KEC. LOSARANG,KAB. INDRAMAYU,PROV. JAWA BARAT,SWASTA,SMP,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,005/YAN-NUR/IV/2019,01-04-2019,421/KEP.372.a - PEMB. SMP,08-11-2019,Lihat SK Operasional,2020-03-15 10,,0,,2.,,,,smpannurlosarang@gmail.com,,-6.389600000000,108.144300000000,13,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,10,3,13,0,0,0,3,10,0,9,4,6,3,1,2,1,0,0,3,10,0,0,0,0,0,0,0,0,SMP 2013,,,,,,,,,,
Jawa Barat,Kab. Indramayu,Losarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/601BC014-2CF5-E011-B69B-55594D1A73E3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20233733,SMP HARAPAN LOSARANG,20233733,Jl. Bendungan Caplokan Desa Krimun,KRIMUN,KEC. LOSARANG,KAB. INDRAMAYU,PROV. JAWA BARAT,SWASTA,SMP,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pendidikan Harapan Losarang,AA3857,420.20.SIP.166/Kep.26-Sekret,24-02-2016,046 / I02. Kep / E 83,12-04-1983,Lihat SK Operasional,2016-09-03 10,B,"2,000",1. Axis,2. -,PLN,,,smp.harapanlosarang@gmail.com,http,-6.401200000000,108.152900000000,7,51,23,3,Pagi/6 hari,,2022/2023-2,450,6,0,1,0,0,0,6,2,7,0,0,0,3,4,0,6,1,2,3,0,2,0,0,0,4,3,0,2,4,0,0,0,1,0,SMP 2013,1,1,1,Axis,,,,,,
Jawa Barat,Kab. Indramayu,Losarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6058820E-2CF5-E011-BC3B-93C86FB51152,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20253563,SMP KEBANGSAAN,20253563,Jumbleng,JUMBLENG,KEC. LOSARANG,KAB. INDRAMAYU,PROV. JAWA BARAT,SWASTA,SMP,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan DARUL HIKMAH MAHWIL QULUB INDONESIA,AA3867,04,24-12-2008,421.5/KEP.108-DISDIK/2008,20-10-2008,Silakan Upload SK,,B,"3,000",1. Telkomsel Flash,2. Telkom Speedy,PLN,0,,smpkebangsaanlosarang11@gmail.com,http,-6.395700000000,108.177800000000,8,62,52,5,Pagi/6 hari,,2022/2023-2,0,5,1,1,2,0,0,9,0,8,0,0,0,1,7,0,4,4,4,1,1,1,1,0,0,3,5,5,0,0,0,1,0,0,0,SMP 2013,2,2,1,Telkomsel Flash,,,,,,
Jawa Barat,Kab. Indramayu,Losarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7BE4AE84-ECF3-4605-B049-8EB138C1451E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69904971,SMP NAHDLATUL ULAMA LOSARANG,69904971,Jl. Raya Desa Santing,SANTING,KEC. LOSARANG,KAB. INDRAMAYU,PROV. JAWA BARAT,SWASTA,SMP,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan An-Nadhir Losarang,AA3871,012/YP-NADHIR/III/2015,11-03-2015,821.2/kep.129-DISDIK/2015,29-09-2015,Lihat SK Operasional,2020-08-31 14,B,"3,067,680",1. Telkom Speedy,2. Telkom Speedy,PLN,,,smpnulos@gmail.com,,-6.380700000000,108.132800000000,15,75,66,6,Pagi/6 hari,,2022/2023-2,900,6,0,1,2,0,0,15,2,15,0,0,0,1,14,0,11,4,6,5,2,0,1,1,0,7,8,0,5,1,0,0,1,0,0,SMP 2013,2,2,2,Telkom Speedy,,,,,,
Jawa Barat,Kab. Indramayu,Losarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20DFD311-2CF5-E011-BF0F-CD765B9FB62A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20216909,UPTD SDN 1 JANGGA,20216909,Jl. Turangga Bahari,JANGGA,KEC. LOSARANG,KAB. INDRAMAYU,PROV. JAWA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,420.10.SIP.717/Kep.26-Sekret,24-02-2016,NOMOR,10-01-2018,Lihat SK Operasional,2021-10-21 15,B,441,1. Lainnya (Wavelan),2. Lainnya (Wavelan),PLN,02345508988,,sdnjanggasatu@yahoo.co.id,,-6.398300000000,108.167700000000,7,64,55,6,Pagi/6 hari,,2022/2023-2,0,6,0,1,2,4,0,0,3,3,0,2,2,6,1,0,5,2,1,0,2,0,1,1,2,3,4,0,0,6,0,0,0,1,0,SD 2013,,,,Lainnya (Wavelan),1,1,1,1,1,1
Jawa Barat,Kab. Indramayu,Losarang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2019D411-2CF5-E011-BE02-278E4857A88F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/20216732,UPTD SDN 1 KRIMUN,20216732,Jalan Bendungan Caplokan,KRIMUN,KEC. LOSARANG,KAB. INDRAMAYU,PROV. JAWA BARAT,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,421/125,07-11-1951,420.10.SIP.721/Kep.26-Sekret,10-01-2018,Lihat SK Operasional,2022-07-20 09,A,"2,916",1. 3 (Tri),2. Telkom Speedy,PLN,234505160,,sdnkrimuni@yahoo.co.id,http,-6.399800000000,108.153500000000,9,60,67,6,Pagi/6 hari,,2022/2023-2,450,6,0,0,4,5,0,0,4,4,1,2,2,5,4,0,7,2,0,0,2,3,2,0,2,2,7,0,6,0,0,0,0,0,0,SD 2013,,,,3 (Tri),1,1,1,1,1,1
