prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6
Sulawesi Selatan,Kab. Takalar,Galesong Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F27829B8-B8A1-49E2-A408-0457E3E4D186,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40319929,MTSS NURUL RAHMAT,40319929,JL. PENDIDIKAN NO. 1,KEC. GALESONG UTARA,KAB. TAKALAR,PROV. SULAWESI SELATAN,INDONESIA,SWASTA,MTs,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,-5.404897000000,119.362095000000,0,68,72,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Takalar,Galesong Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/996DC6C5-327B-41D6-878F-FA38E7277C37,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70039245,SMP NEGERI PAKKABBA,70039245,Jalan Pendidikan No. I,PAKKABBA,KEC. GALESONG UTARA,KAB. TAKALAR,PROV. SULAWESI SELATAN,NEGERI,SMP,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,421.3/656/Disdikbud-Sek/IV/2022,11-04-2022,421.3/655/Disdikbud-Sek/IV/2023,11-04-2023,Lihat SK Operasional,2023-05-05 15,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Takalar,Galesong Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/209123C2-0D26-E111-AE65-19F07FC2E3F5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40301645,UPT SD INPRES 119 BONTOSUNGGU,40301645,Bontosunggu,BONTO SUNGGU,KEC. GALESONG UTARA,KAB. TAKALAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,B,"10,000",1. Telkomsel Flash,2. Telkomsel Flash,PLN,0411,,sdinpresbontosunggu@rocketmail.com,http,-5.285600000000,119.378600000000,10,88,76,6,Pagi/6 hari,,2022/2023-2,450,6,0,1,0,5,2,0,3,5,0,2,3,6,4,0,7,3,0,1,3,1,0,2,3,2,8,0,6,0,0,0,0,1,0,,,,SD 2013,Telkomsel Flash,1,1,1,1,1,1
Sulawesi Selatan,Kab. Takalar,Galesong Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/104824C2-0D26-E111-B579-CB03B5A9F529,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40301732,UPT SD INPRES 194 TAIPANAORANG,40301732,Kalongkong,BONTO SUNGGU,KEC. GALESONG UTARA,KAB. TAKALAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,B,"2,250",1. Telkomsel Flash,2. Lainnya (Serat Optik),PLN,,,sdn194taipanaorang@gmail.com,,-5.287000000000,119.374100000000,13,119,100,8,Pagi/6 hari,,2022/2023-2,900,7,0,1,2,7,1,0,5,6,2,1,4,8,5,1,12,0,1,2,3,0,1,3,3,2,11,0,0,7,0,0,1,0,0,,,,SD 2013,Telkomsel Flash,1,1,2,1,1,2
Sulawesi Selatan,Kab. Takalar,Galesong Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A01C26C2-0D26-E111-B17C-4776037678CE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40301700,UPT SD INPRES 222 SAMPULUNGAN,40301700,Sampulungan,TAMALATE,KEC. GALESONG UTARA,KAB. TAKALAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,B,"12,100",1. Telkomsel Flash,2. Telkomsel Flash,PLN,0411,,sdn_222sampulungan@yahoo.com,http,-5.245600000000,119.382900000000,8,86,92,6,Pagi/6 hari,,2022/2023-2,450,3,0,1,0,5,0,0,3,4,1,0,3,4,4,0,8,0,1,0,3,0,1,0,3,1,7,0,3,0,3,1,0,0,0,,,,SD 2013,Telkomsel Flash,1,1,1,1,1,1
Sulawesi Selatan,Kab. Takalar,Galesong Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D06523C2-0D26-E111-9F53-D5800E791754,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40301647,UPT SD NEGERI 118 INPRES BONTOLEBANG,40301647,Bontolebang,BONTOLEBANG,KEC. GALESONG UTARA,KAB. TAKALAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,B,"2,450",1. Lainnya,2. Lainnya,PLN,,,sdn118inpresbontolebang@gmail.com,,-5.261300000000,119.385000000000,8,67,64,6,Pagi/6 hari,,2022/2023-2,900,7,0,1,2,5,1,0,2,3,1,1,3,4,4,0,7,1,0,1,2,1,0,1,3,2,6,4,3,0,0,1,0,0,0,,,,SD 2013,Lainnya,1,1,1,1,1,1
Sulawesi Selatan,Kab. Takalar,Galesong Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C0BA23C2-0D26-E111-97AF-F512C44D7F7F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40301644,UPT SD NEGERI 120 INPRES TAMALATE,40301644,Tamalate,TAMALATE,KEC. GALESONG UTARA,KAB. TAKALAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,B,"2,642",1. -,2. Telkom Astinet,PLN,,,sdi_120tamalate@yahoo.com,,-5.256500000000,119.381200000000,14,133,111,10,Pagi/6 hari,,2022/2023-2,900,12,0,1,2,4,4,0,6,10,2,1,1,4,10,3,10,1,1,2,5,3,1,0,2,2,12,0,6,6,0,0,1,0,0,,,,SD 2013,Tidak Ada,2,1,2,2,1,2
Sulawesi Selatan,Kab. Takalar,Galesong Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/60EB23C2-0D26-E111-B328-53B7285D8D33,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40301749,UPT SD NEGERI 131 INPRES BATU-BATU,40301749,Batu-batu,AENG BATU-BATU,KEC. GALESONG UTARA,KAB. TAKALAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,A,"2,940",1. Telkomsel Flash,2. -,PLN,,,norsiah@gmail.com,,-5.235700000000,119.386100000000,13,167,162,11,Pagi/6 hari,,2022/2023-2,900,12,0,2,3,5,0,0,8,9,1,2,1,3,10,0,13,0,1,3,4,2,0,2,1,2,11,9,0,3,0,2,0,0,0,,,,SD 2013,Telkomsel Flash,2,2,2,1,2,2
Sulawesi Selatan,Kab. Takalar,Galesong Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3003FEC1-0D26-E111-91CB-5792DD74DAE5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40308493,UPT SD NEGERI 196 INPRES BONTOMAJANNANG,40308493,Bontomajannang,BONTOLEBANG,KEC. GALESONG UTARA,KAB. TAKALAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,,01-01-1910,,01-01-1910,Silakan Upload SK,,B,"2,500",1. Telkomsel Flash,2. 3 (Tri),PLN,,,,,-5.266000000000,119.387000000000,10,110,77,7,Pagi/6 hari,,2022/2023-2,900,7,0,1,0,3,3,0,4,7,0,1,2,4,6,1,8,1,1,1,4,1,1,0,2,3,7,7,0,0,0,1,0,0,0,,,,SD 2013,Telkomsel Flash,1,1,2,1,1,1
Sulawesi Selatan,Kab. Takalar,Galesong Utara,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0D2FDC1-0D26-E111-B332-1BD71461D189,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40308494,UPT SD NEGERI 197 INPRES BONTOPAJJA,40308494,Bontopajja,BONTOLEBANG,KEC. GALESONG UTARA,KAB. TAKALAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1981,,01-07-1982,Silakan Upload SK,,B,"169,215",1. -,2. -,PLN,,,nuridilfitriidris@gmail.com,,-5.243100000000,119.387400000000,9,61,84,6,Pagi/6 hari,,2022/2023-2,900,6,0,0,2,5,0,0,4,5,0,0,4,5,4,0,8,1,1,2,2,0,1,1,2,0,9,6,0,0,0,0,0,0,0,,,,SD 2013,Tidak Ada,1,1,1,1,1,1
