prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,akses_internet_sekolah_kita,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Sulawesi Selatan,Kab. Jeneponto,Rumbia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2D684E57-BC96-4B06-AD62-0514B1BA6F72,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60727121,MIS AL-FURQAN,60727121,JL. PENDIDIKAN,BONTOMANAI,KEC. RUMBIA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,SWASTA,MI,Kementerian Agama,,,E-07/YAPQAH/E/VII/1995,01-07-1995,125 TAHUN 2020,12-06-2018,Lihat SK Operasional,2021-11-17 08,B,0 m2,1.,2.,,,,,,-5.476393000000,119.850366000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Rumbia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4D771BEF-8CF7-46AC-94C1-1E1BA8260344,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60729551,MIS BABUL ILMY,60729551,KURISI DUSUN BONTOPANNO,RUMBIA,KEC. RUMBIA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,SWASTA,MI,Kementerian Agama,,,01.09/YPBI.12/VI/2009,01-06-2009,188 c. TAHUN 2009,24-09-2009,Lihat SK Operasional,2019-09-05 13,C,1.500 m2,1.,2.,,,,,,-5.496944000000,119.845423000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Rumbia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5AD590BE-3CC0-4106-A881-245A77B9182B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60727674,MTSS AL-FURQAN,60727674,PATTALLASSANG DESA JENETALLASA,JENETALLASA,KEC. RUMBIA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,SWASTA,MTs,Kementerian Agama,,,C-03/YAPQAH/E/VI/1995,02-06-1995,127 TAHUN 2020,25-10-2019,Lihat SK Operasional,2021-11-12 08,B,0,,2.,,,,,,-5.419400000000,119.920000000000,0,43,48,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Rumbia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/45831C2F-0715-481C-8599-6932AE5FB493,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60729730,MTSS BABUL ILMY RUMBIA,60729730,KURISI,RUMBIA,KEC. RUMBIA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,SWASTA,MTs,Kementerian Agama,,,03.09/YPBI-12/VI/2010,10-07-2010,83 Tahun 2011,13-04-2011,Lihat SK Operasional,2019-12-09 22,C,"1,115",,2.,,,,,,-5.499400000000,119.857600000000,0,47,35,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Rumbia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/19CA9AA4-E14B-44C8-BF14-53D15C316D58,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60729722,MTSS BORO,60729722,JL. POROS MALAKAJI NO 2 BORO,TOMPOBULU,KEC. RUMBIA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,SWASTA,MTs,Kementerian Agama,,,10/xx1-Tsn/79,01-05-1968,10/XXI-Tsn/79,01-11-1979,Lihat SK Operasional,2019-11-18 20,A,677,,2.,,,,,,-5.432500000000,119.878400000000,0,72,72,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Rumbia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/47A65353-E654-4965-B2C8-A2CDB5917302,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60727675,MTSS MIFTAHUL HAQ,60727675,BALANGERASA,BONTOTIRO,KEC. RUMBIA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,SWASTA,MTs,Kementerian Agama,YAYASAN. BANISANRIMA,AF6717,124 TAHUN 2008,06-12-2008,124 TAHUN 2008,06-12-2008,Lihat SK Operasional,2021-11-05 14,C,0,,2.,,,,,,-5.446000000000,119.865800000000,0,68,43,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Rumbia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5068ACC0-0D26-E111-90B2-AB452FD1F286,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40313682,SMP SANUR LOKA,40313682,Dusun Kotabaru,LOKA,KEC. RUMBIA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,SWASTA,SMP,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Sanur Sulawesi Selatan,AH7058,13/YS/SUL - SEL/LI.2000,04-12-2000,001/DP.MN/JP/VII/2004,05-07-2004,Lihat SK Operasional,2019-11-03 21,C,"2,520",1. -,2. Telkomsel Flash,PLN,,,smpssanurloka@gmail.com,,-5.442200000000,119.897300000000,9,39,29,3,Pagi/6 hari,,2022/2023-2,"1,200",3,1,1,0,0,0,9,4,9,0,0,0,0,9,0,7,2,1,6,1,0,0,1,0,2,7,3,0,0,0,0,0,1,0,SMP 2013,Tidak Ada,1,1,1
Sulawesi Selatan,Kab. Jeneponto,Rumbia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/803A9615-6200-E211-8CDD-63010ECE05CC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40301849,SMP Sanur Tauhid Kapasa,40301849,Kapasa Dusun Bontoloe,KASSI,KEC. RUMBIA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,SWASTA,SMP,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,48/YS/SUL-SEL/LI.2002,10-08-2002,002/DP-MN/JP/VII/2004,05-07-2004,Lihat SK Operasional,2016-07-01 10,C,12.000 m2,1. -,2. Telkomsel Flash,PLN,085145156810,,smpsanur.kapasa@yahoo.com,http,-5.473300000000,119.892200000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Rumbia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40E631BC-0D26-E111-9D56-F39DA04A534D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40301812,UPT SD NEGERI 1 RUMBIA,40301812,Jl. Poros Rumbia-Malakaji,RUMBIA,KEC. RUMBIA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,NOMOR 25 TAHUN 2021,03-06-2021,420/950/DISDIKBUD-JP,03-06-2021,Lihat SK Operasional,2021-08-26 22,B,8.000 m2,1. -,2. -,PLN,0811,,sdnegerino12ramba@gmail.com,http,-5.501400000000,119.849500000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Jeneponto,Rumbia,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/00B732BC-0D26-E111-9E39-2913F0E79F82,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40313676,UPT SD NEGERI 10 RUMBIA,40313676,Balang Erasa,BONTOTIRO,KEC. RUMBIA,KAB. JENEPONTO,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,25 TAHUN 2021,03-06-2021,420/959/DISDIKBUD-JP,03-08-2021,Lihat SK Operasional,2021-09-01 21,B,3.500 m2,1. -,2. Telkomsel Flash,PLN,0,,sdibalangerasa@yahoo.com,http,-5.454400000000,119.862200000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
