prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur
Sulawesi Selatan,Kab. Barru,Tanete Riaja,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F49E42F3-9B5C-476C-A414-52D555A62037,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60723806,MIS ATTAUFIQ LISU,60723806,LISU,LOMPO TENGAH,KEC. TANETE RIAJA,KAB. BARRU,PROV. SULAWESI SELATAN,SWASTA,MI,Kementerian Agama,,,Wt/6-b/PP.03.2/0237/1986,01-12-1986,Kd.21.15/4/PP.00./741/2011,21-04-2011,Lihat SK Operasional,2019-09-28 05,B,0 m2,1.,2.,,,,,,-4.519200000000,119.664600000000
Sulawesi Selatan,Kab. Barru,Tanete Riaja,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/317223ED-FD47-4DCE-BE08-C755D5704E55,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60723808,MIS DDI LAJOANGIN,60723808,"LANGE, DUSUN LAJOANGIN DESA HARAPAN KEC. TANETE RIAJA KAB. BARRU",HARAPAN,KEC. TANETE RIAJA,KAB. BARRU,PROV. SULAWESI SELATAN,SWASTA,MI,Kementerian Agama,,,Kd.21.15/PP.00/2815/2011,21-12-2011,Kd.21.15/PP.00/2815/2011,21-12-2011,Lihat SK Operasional,2015-11-03 16,C,0 m2,1.,2.,,,,,,-4.539684000000,119.712818000000
Sulawesi Selatan,Kab. Barru,Tanete Riaja,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/074C26AD-F8E7-4964-9848-2C94CF7DC1FD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60723807,MIS DDI TAKKU,60723807,Cempa,LOMPO RIAJA,KEC. TANETE RIAJA,KAB. BARRU,PROV. SULAWESI SELATAN,SWASTA,MI,Kementerian Agama,,,WT/6-B/PP.03.2/0237/86,01-12-1986,Kd.21.15/4/PP.03.2/1340/2007,14-09-2007,Lihat SK Operasional,2019-03-01 00,B,0 m2,1.,2.,,,,,,-4.548100000000,119.728800000000
Sulawesi Selatan,Kab. Barru,Tanete Riaja,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/62B2B3A3-2755-45D4-9BFE-C099A8273D72,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40302254,MIS DDI WARUWUE,40302254,WARUWUE,HARAPAN,KEC. TANETE RIAJA,KAB. BARRU,PROV. SULAWESI SELATAN,SWASTA,MI,Kementerian Agama,,,Kd.21.15/1-a/Kp.02.3/1373/2012,16-05-2012,Kd.21.15/1-a/Kp.02.3/1373/2012,16-05-2012,Lihat SK Operasional,2016-07-01 08,C,0 m2,1.,2.,,,,,,-4.519157000000,119.722832000000
Sulawesi Selatan,Kab. Barru,Tanete Riaja,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/75D21DF1-1A80-413F-A56D-839ACAAA692E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60723809,MIS DDI WATU,60723809,JL.POROS PEKKAE SOPPENG,LIBURENG,KEC. TANETE RIAJA,KAB. BARRU,PROV. SULAWESI SELATAN,SWASTA,MI,Kementerian Agama,,,wt.6-b/PP.02.2/0240/86,01-12-1986,kd.21.15/4/PP.00/424/2013,08-01-2013,Lihat SK Operasional,2015-12-03 08,C,0 m2,1.,2.,,,,,,-4.505100000000,119.727900000000
Sulawesi Selatan,Kab. Barru,Tanete Riaja,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0196F66B-5494-4847-9E27-9D07DE5F1DE0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40320131,MTSS ATTAUFIQ LISU,40320131,"LISU, JALAN POROS PEKKAE-SOPPENG",LOMPO TENGAH,KEC. TANETE RIAJA,KAB. BARRU,PROV. SULAWESI SELATAN,SWASTA,MTs,Kementerian Agama,,,448/2003-02/VI/2016,20-06-2016,B-2213/Kk.21.02/2/kp.01.1/06/2016,21-06-2016,Lihat SK Operasional,2022-03-24 09,B,0 m2,1.,2.,,,,,,-4.519600000000,119.664800000000
Sulawesi Selatan,Kab. Barru,Tanete Riaja,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AF19FD09-3510-4F62-8A4B-1D7897410F6B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40320132,MTSS GUPPI RALLA,40320132,"RALLA, JL. POROS PEKKAE-SOPPENG",LOMPO RIAJA,KEC. TANETE RIAJA,KAB. BARRU,PROV. SULAWESI SELATAN,SWASTA,MTs,Kementerian Agama,,,kd.21.15/4/PP.00/438/2013,11-02-2013,kd.21.15/4/PP.00/438/2013,11-02-2013,Lihat SK Operasional,2015-11-13 20,B,0 m2,1.,2.,,,,,,-4.539200000000,119.701100000000
Sulawesi Selatan,Kab. Barru,Tanete Riaja,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AC98A939-8887-4CFD-B5D1-4ACC966CE614,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69853490,MTSS Muhammadiyah Ele,69853490,Ele. Jl.Poros Pekkae-Soppeng,LOMPO TENGAH,KEC. TANETE RIAJA,KAB. BARRU,PROV. SULAWESI SELATAN,SWASTA,MTs,Kementerian Agama,Lainnya,,5/IV.AL/79,07-08-1961,-Kd.21.15./4/PP.00/531/2011,23-02-2012,Lihat SK Operasional,2016-06-24 16,B,0 m2,1.,2.,,,,,,-4.563716000000,119.696547000000
Sulawesi Selatan,Kab. Barru,Tanete Riaja,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/003865BC-0D26-E111-B3DF-93B85E65AB9F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40302180,UPTD SD NEGERI 100 BARRU,40302180,TOMPO LEMO-LEMO,HARAPAN,KEC. TANETE RIAJA,KAB. BARRU,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,SK/P/1960,01-06-1960,420/01/SDN-12,01-01-1910,Lihat SK Operasional,2021-02-04 22,B,7.500 m2,1. -,2. -,PLN,,,barru.trja.sdnmenrong@gmail.com,http,-4.511400000000,119.772900000000
Sulawesi Selatan,Kab. Barru,Tanete Riaja,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/00F069BC-0D26-E111-9B8C-F77CA272941F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40302304,UPTD SD NEGERI 101 BARRU,40302304,Dusun lajoangin kecamatan Tanete Riaja Kab.Barru,HARAPAN,KEC. TANETE RIAJA,KAB. BARRU,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,1910/01/01,31-12-1980,1910/01/01,01-01-1910,Lihat SK Operasional,2021-03-18 11,B,6.000 m2,1. Telkomsel Flash,2. -,PLN,,,barru.trja.sdilajoangin@gmail.com,http,-4.557800000000,119.796200000000
Sulawesi Selatan,Kab. Barru,Tanete Riaja,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C09165BC-0D26-E111-B56A-71917E334BDF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40302101,UPTD SD NEGERI 102 BARRU,40302101,Lemo,LOMPO RIAJA,KEC. TANETE RIAJA,KAB. BARRU,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,420/861/DP-TU/2015,17-06-2015,Lihat SK Operasional,2021-04-08 06,B,4.742 m2,1. Lainnya,2. Lainnya,PLN,0,0,sdnlajoangin@yahoo.co.id,,-4.573300000000,119.800200000000
Sulawesi Selatan,Kab. Barru,Tanete Riaja,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/007A6BBC-0D26-E111-83BF-E5973BA78E49,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40302128,UPTD SD NEGERI 103 BARRU,40302128,Waruwue,HARAPAN,KEC. TANETE RIAJA,KAB. BARRU,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,31-12-1983,,01-01-1910,Silakan Upload SK (link file tidak valid) => [415932-90939--],2021-02-01 11,B,4.000 m2,1. Smartfren,2. Telkomsel Flash,PLN,,,barru.trja.sdiwaruwue@gmail.com,http,-4.550800000000,119.776200000000
Sulawesi Selatan,Kab. Barru,Tanete Riaja,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E09C62BC-0D26-E111-9458-156BFFF0A0AE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40302094,UPTD SD NEGERI 72 BARRU,40302094,"Jl.Poros Pekkae-Soppeng,Ele",LOMPO TENGAH,KEC. TANETE RIAJA,KAB. BARRU,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1960,,30-11-1999,Lihat SK Operasional,2021-03-05 13,B,2.800 m2,1. -,2. Telkomsel Flash,PLN,,,sdnegeri03ele@gmail.com,,-4.497700000000,119.654500000000
Sulawesi Selatan,Kab. Barru,Tanete Riaja,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/306D62BC-0D26-E111-8F8B-6BC8D33652D8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40302198,UPTD SD NEGERI 73 BARRU,40302198,Pesse,LEMPANG,KEC. TANETE RIAJA,KAB. BARRU,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,5303226531990,01-01-1950,420/436/DP-TU/2019,01-01-1910,Lihat SK Operasional,2021-02-25 12,B,1.225 m2,1. Telkomsel Flash,2. -,PLN,,,barru.trja.sdnpesse@gmail.com,http,-4.496800000000,119.650000000000
