prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,kurikulum,akses_internet_sekolah_kita
Sulawesi Selatan,Kab. Kepulauan Selayar,Bontosikuyu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8E477085-35DD-424D-8176-FCA529C867C2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60723525,MIN 2 KEPULAUAN SELAYAR,60723525,Bahorea,BINANGA SOMBAIYA,KEC. BONTOSIKUYU,KAB. KEPULAUAN SELAYAR,PROV. SULAWESI SELATAN,NEGERI,MI,Kementerian Agama,Pemerintah Daerah,,515A Tahun 1995,25-11-1995,515A Tahun 1995,25-11-1995,Lihat SK Operasional,2019-04-15 07,C,"1,600",,2.,,,,,,-6.320900000000,120.476200000000,0,35,36,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Kepulauan Selayar,Bontosikuyu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B52D78F5-1F65-4186-B778-37F1C6331384,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60723526,MIS DODAIYAH,60723526,Dodaiyah,HARAPAN,KEC. BONTOSIKUYU,KAB. KEPULAUAN SELAYAR,PROV. SULAWESI SELATAN,SWASTA,MI,Kementerian Agama,,,D/Mt.19/MI/543/95,28-09-1995,-D/Mt.19/MI/543/95,28-09-1995,Lihat SK Operasional,2020-01-15 14,B,"1,086",,2.,,,,,,-6.255786000000,120.481026000000,0,7,9,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Kepulauan Selayar,Bontosikuyu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/90342B06-80C9-4849-B483-94193FFEA918,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40319845,MTSS NURUL YAQIN APPATANAH,40319845,Appatanah,APPATANAH,KEC. BONTOSIKUYU,KAB. KEPULAUAN SELAYAR,PROV. SULAWESI SELATAN,SWASTA,MTs,Kementerian Agama,,,Kd.21.12/4/PP.07/1018/2011,23-06-2011,Kd.21.12/4/PP.07/1018/2011,23-06-2011,Silakan Upload SK (link file tidak valid) => [481737-274326--],2021-08-02 15,C,"1,100",,2.,,,,,,-6.491600000000,120.483000000000,0,14,19,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Kepulauan Selayar,Bontosikuyu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/41844BDC-9F20-4BF7-B90F-D315F50D6FEE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70035902,SDIT Pesantren Nur Ali Selayar,70035902,Buttu,LAIYOLO,KEC. BONTOSIKUYU,KAB. KEPULAUAN SELAYAR,PROV. SULAWESI SELATAN,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,003,23-05-2022,0007/SIO-PF/XI/2022/DIS PMPTSPTK,23-11-2022,Lihat SK Operasional,2022-12-08 01,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Kepulauan Selayar,Bontosikuyu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/9AC4EC52-F430-4989-82BC-C46CD6ADA592,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70035901,SMPIT Pesantren Nur Ali Selayar,70035901,Buttu,LAIYOLO,KEC. BONTOSIKUYU,KAB. KEPULAUAN SELAYAR,PROV. SULAWESI SELATAN,SWASTA,SMP,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,004,23-05-2022,0008/SIO-PF/XI/2022/DIS PMPTSPTK,23-11-2022,Lihat SK Operasional,2022-12-08 01,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Sulawesi Selatan,Kab. Kepulauan Selayar,Bontosikuyu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D0D973BB-0D26-E111-9177-597281CDBE22,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40304866,UPT SDI BALLABULO NO 104 KEPULAUAN SELAYAR,40304866,Ballabulo,HARAPAN,KEC. BONTOSIKUYU,KAB. KEPULAUAN SELAYAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,Tahun 1982,06-09-1982,26 Tahun 2018,17-05-2018,Lihat SK Operasional,2019-01-13 02,C,"2,025",1. Lainnya,2. Lainnya,PLN,,,ballabulosdi@gmail.com,,-6.237200000000,120.481500000000,12,27,25,6,Sehari Penuh/6 hari,,2022/2023-2,900,7,0,1,1,3,3,0,6,11,0,0,1,5,7,0,10,2,1,3,1,5,0,1,1,3,9,7,0,0,0,1,0,0,0,1,1,1,1,1,1,,,,SD 2013,Lainnya
Sulawesi Selatan,Kab. Kepulauan Selayar,Bontosikuyu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/104C29BD-0D26-E111-A66B-49D87D7F69C6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40304939,UPT SDI GUANG MALIMBU NO 114 KEPULAUAN SELAYAR,40304939,Kayu Panda,BINANGA SOMBAIYA,KEC. BONTOSIKUYU,KAB. KEPULAUAN SELAYAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,20-03-1981,26 TAHUN 2018,17-05-2018,Lihat SK Operasional,2019-01-13 23,B,"1,575",1. Indosat IM3,2. Telkomsel Flash,PLN,,,sdiguangmalimbu@yahoo.co.id,,-6.354900000000,120.472400000000,10,23,33,6,Pagi/6 hari,,2022/2023-2,900,0,0,1,2,4,4,0,2,7,0,2,1,6,4,0,9,1,1,0,2,4,0,2,1,5,5,0,0,0,6,1,0,0,0,1,1,1,1,1,1,,,,SD 2013,Indosat IM3
Sulawesi Selatan,Kab. Kepulauan Selayar,Bontosikuyu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/304728BD-0D26-E111-8124-3D9166C2AA77,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40304936,UPT SDI LEBO NO 78 KEPULAUAN SELAYAR,40304936,Lebo,LAIYOLO,KEC. BONTOSIKUYU,KAB. KEPULAUAN SELAYAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,20/07/1981,01-01-1910,26 TAHUN 2018,17-05-2018,Lihat SK Operasional,2019-01-13 23,B,0,1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,uptsdi78kepsel@gmail.com,,-6.311000000000,120.481200000000,9,23,17,6,Pagi/6 hari,,2022/2023-2,900,3,0,2,1,2,2,0,5,7,1,1,0,4,5,1,8,0,2,1,3,1,0,2,0,1,8,3,0,0,3,2,0,0,0,1,1,1,1,1,1,,,,SD 2013,Telkomsel Flash
Sulawesi Selatan,Kab. Kepulauan Selayar,Bontosikuyu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D0FB28BD-0D26-E111-BCA3-E76740DFBFEF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40304935,UPT SDI LEMBANG JAYA NO 83 KEPULAUAN SELAYAR,40304935,Lembang Jaya,PATILERENG,KEC. BONTOSIKUYU,KAB. KEPULAUAN SELAYAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1980,26 Tahun 2018,17-05-2018,Lihat SK Operasional,2021-06-18 00,C,"2,750",1. Telkomsel Flash,2. Indosat IM3,PLN,,,uptsdilembangjaya83@gmail.com,,-6.206000000000,120.478300000000,9,26,30,6,Pagi/6 hari,,2022/2023-2,0,6,0,1,3,5,1,0,3,4,1,4,0,3,6,2,4,3,0,1,4,1,0,2,1,4,5,6,0,0,0,1,0,0,0,1,1,1,1,1,1,,,,SD 2013,Telkomsel Flash
Sulawesi Selatan,Kab. Kepulauan Selayar,Bontosikuyu,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/001D28BD-0D26-E111-A62F-D59CD085B945,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40304915,UPT SDI PAGARANGAN NO 66 KEPULAUAN SELAYAR,40304915,Pagarangan,LAIYOLO,KEC. BONTOSIKUYU,KAB. KEPULAUAN SELAYAR,PROV. SULAWESI SELATAN,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,07-08-1975,26 TAHUN 2018,17-05-2018,Lihat SK Operasional,2019-01-13 23,B,"330,904",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,isdipagarangan@rocketmail.com,,-6.297700000000,120.479900000000,20,50,60,6,Pagi/6 hari,,2022/2023-2,900,6,0,0,2,3,4,0,13,18,0,2,0,4,16,9,11,0,2,2,5,4,6,1,0,8,12,0,4,2,0,0,0,0,1,1,1,1,1,1,1,,,,SD 2013,Telkomsel Flash
