prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,akses_internet_sekolah_kita,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Nusa Tenggara Timur,Kab. Timor Tengah Selatan,Polen,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6037C839-033C-E111-877E-B910E08D0333,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50300767,SD GMIT BALU,50300767,Balu,BALU,KEC. POLEN,KAB. TIMOR TENGAH SELATAN,PROV. NUSA TENGGARA TIMUR,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Usaha Pendidikan Kristen,AJ3829,106/GS/Balu,01-06-1967,,01-01-1910,Silakan Upload SK,,C,"66,000",,2.,,,,sdgmitbalu@gmail.com,,-9.700900000000,124.386700000000,4,0,0,0,SD 2013,,,2022/2023-2,,0,0,0,0,2,0,1,1,2,0,1,1,2,2,0,2,2,0,1,0,0,1,0,2,1,3,,,,,,,0,0,0,0,0,0,0,0,,,,
Nusa Tenggara Timur,Kab. Timor Tengah Selatan,Polen,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/404FC839-033C-E111-9E0A-F9370112EA49,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50300768,SD GMIT BAOB,50300768,Baob,LAOB,KEC. POLEN,KAB. TIMOR TENGAH SELATAN,PROV. NUSA TENGGARA TIMUR,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Usaha Pendidikan Kristen,AK9642,82 GS Baob,01-08-1958,,01-01-1910,Silakan Upload SK,,,"43,750",1. Telkomsel Flash,2. Telkomsel Flash,Menumpang,,,sdgmitbaob5@gmail.com,,-10.067600000000,124.426200000000,6,33,30,6,SD 2013,Pagi/6 hari,,2022/2023-2,"1,200",6,0,0,0,2,0,1,4,4,1,1,0,0,6,0,2,4,0,1,2,0,0,0,3,3,3,1,1,1,1,1,1,0,1,5,0,0,0,0,1,Telkomsel Flash,,,
Nusa Tenggara Timur,Kab. Timor Tengah Selatan,Polen,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A066C839-033C-E111-AD0F-3D50F3526B22,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50306820,SD GMIT BIJELI,50306820,Bijeli,BIJELI,KEC. POLEN,KAB. TIMOR TENGAH SELATAN,PROV. NUSA TENGGARA TIMUR,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,01-08-1916,01-08-1916,DIKBUD 06.02.03/28/2019,29-03-2019,Lihat SK Operasional,2023-05-27 17,,"6,400",1. -,2. -,PLN,,,sdgmitbijeli@yahoo.com,,-9.615800000000,124.372300000000,5,25,30,6,SD 2013,Pagi/6 hari,,2022/2023-2,900,3,0,0,1,2,0,2,2,3,2,0,0,0,5,0,3,2,1,1,1,0,0,0,2,1,4,1,1,1,1,1,1,0,0,3,3,0,0,0,0,Tidak Ada,,,
Nusa Tenggara Timur,Kab. Timor Tengah Selatan,Polen,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/401BC839-033C-E111-B95C-CF97824680C7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50300792,SD GMIT KONBAKI,50300792,Konbaki,KONBAKI,KEC. POLEN,KAB. TIMOR TENGAH SELATAN,PROV. NUSA TENGGARA TIMUR,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,01-08-1947,01-08-1947,Dikdud.06/.02.03/47/2023,22-05-2023,Silakan Upload SK (link file tidak valid) => [826434-537875--],2023-05-27 17,,"3,000",1. Telkomsel Flash,2. -,PLN,,,sdgmitkonbaki@gmail.com,http,-9.697200000000,124.424800000000,4,29,43,6,SD 2013,Pagi/6 hari,,2022/2023-2,900,6,0,1,0,1,0,0,3,3,0,0,1,1,3,0,3,1,2,0,0,0,1,0,1,1,3,1,1,1,1,1,1,6,0,0,0,1,0,0,0,Telkomsel Flash,,,
Nusa Tenggara Timur,Kab. Timor Tengah Selatan,Polen,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2002C839-033C-E111-ADE0-8D7F1C91EFD7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50300773,SD GMIT NEFOMEU,50300773,Nefomeu,FATUMNUTU,KEC. POLEN,KAB. TIMOR TENGAH SELATAN,PROV. NUSA TENGGARA TIMUR,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Yupenkris Gmit,AH7970,78/II.2/IC/2011,01-08-1944,,01-01-1910,Silakan Upload SK,,Sertifikat Kedaluwarsa,"10,000",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdgnefomeu@gmail.com,,-9.614400000000,124.329000000000,3,66,78,6,SD 2013,Pagi/6 hari,,2022/2023-2,"1,300",5,0,1,1,2,0,1,0,1,0,2,0,0,3,1,1,1,1,0,0,0,0,0,2,1,2,1,1,1,1,1,1,5,0,0,1,1,0,0,0,Telkomsel Flash,,,
Nusa Tenggara Timur,Kab. Timor Tengah Selatan,Polen,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3082D838-033C-E111-86CE-7B88024266EA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50300899,SD INPRES LOLI,50300899,Loli,LOLI,KEC. POLEN,KAB. TIMOR TENGAH SELATAN,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-08-1982,,01-01-1910,Silakan Upload SK (link file tidak valid) => [449367-897601--],2021-05-30 08,,"25,500",1. -,2. Smartfren,PLN,,,sdinpresloli@yahoo.com,,-9.655600000000,124.501300000000,10,67,76,6,SD 2013,Pagi/6 hari,,2022/2023-2,"1,400",6,0,3,0,3,2,0,5,7,3,0,0,1,9,1,7,2,1,0,3,3,0,3,0,5,5,1,1,1,1,1,1,0,2,4,0,2,1,0,0,Tidak Ada,,,
Nusa Tenggara Timur,Kab. Timor Tengah Selatan,Polen,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6003EF38-033C-E111-BA0F-35E50BDBCE1A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50300819,SD INPRES MELTALA,50300819,Laob,LAOB,KEC. POLEN,KAB. TIMOR TENGAH SELATAN,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,,01-04-1983,,01-01-1910,Silakan Upload SK,,,"810,000",1. -,2. -,PLN,,,sdimeltala@yahoo.co.id,,-9.776700000000,124.322000000000,7,62,49,5,SD 2013,Pagi/6 hari,,2022/2023-2,"1,300",7,0,0,0,3,1,0,3,4,2,1,0,0,7,0,0,7,0,1,2,0,0,2,2,4,3,0,1,1,1,1,1,6,0,1,0,0,0,0,0,Tidak Ada,,,
Nusa Tenggara Timur,Kab. Timor Tengah Selatan,Polen,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40EEEE38-033C-E111-9E45-4109A2575D21,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50300522,SD INPRES OELPETU,50300522,Oelpetu,BIJELI,KEC. POLEN,KAB. TIMOR TENGAH SELATAN,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,23 tahun 1983,01-04-1983,,01-01-1910,Lihat SK Operasional,2020-03-26 14,A,"8,800",1. Telkomsel Flash,2. Lainnya (Wavelan),PLN,,,sdioelpetu@yahoo.co.id,,-9.678800000000,124.322400000000,9,65,39,7,SD 2013,Pagi/6 hari,,2022/2023-2,900,6,0,1,2,3,1,0,5,6,0,3,0,2,7,0,4,5,2,0,4,1,0,0,2,4,5,1,1,1,1,2,1,0,0,6,0,0,1,0,0,Telkomsel Flash,,,
Nusa Tenggara Timur,Kab. Timor Tengah Selatan,Polen,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40DAEE38-033C-E111-9381-C90A91B8CF46,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50300524,SD INPRES OENAM,50300524,Fatumnutu,FATUMNUTU,KEC. POLEN,KAB. TIMOR TENGAH SELATAN,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,18/07/1983,18-07-1983,,01-01-1910,Silakan Upload SK,,A,"4,753",1. -,2. -,PLN,,,sdinpresoenam@yahoo.co.id,,-9.596400000000,124.330400000000,8,66,66,6,SD 2013,Pagi/6 hari,,2022/2023-2,"1,300",6,0,0,0,6,0,0,2,2,4,2,0,2,6,0,3,5,0,1,3,0,1,1,2,4,4,1,1,1,1,1,1,0,0,6,0,0,0,0,0,Tidak Ada,,,
Nusa Tenggara Timur,Kab. Timor Tengah Selatan,Polen,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/505FEF38-033C-E111-AD2C-830B5AF59EE6,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50300556,SD INPRES SUSMENI,50300556,Nuna,PUNA,KEC. POLEN,KAB. TIMOR TENGAH SELATAN,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,27-07-1984,,01-01-1910,Silakan Upload SK,,,"9,900",1. -,2. -,Tidak Ada,,,,,-9.736500000000,124.418800000000,6,24,23,6,SD 2013,Pagi/6 hari,,2022/2023-2,900,6,0,0,0,4,0,0,2,4,2,0,0,0,6,0,3,3,0,1,3,1,0,0,1,2,4,1,1,1,1,1,1,6,0,0,0,0,0,0,0,Tidak Ada,,,
