prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9
Nusa Tenggara Timur,Kota Kupang,Kota Lama,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2F5BD426-C115-4D6F-9615-352678A8AF26,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69978663,Adi Widya Pasraman Saraswati,69978663,Jl Sabu Pura Oebanantha,FATUBESI,KEC. KOTA LAMA,KOTA KUPANG,PROV. NUSA TENGGARA TIMUR,SWASTA,Adi W P,Kementerian Agama,Yayasan UPANISADA,AC8720,42 TAHUN 2018,16-05-2018,42 TAHUN 2018,16-05-2018,Lihat SK Operasional,2021-11-03 16,A,"2,250",1. Telkomsel Flash,2. Telkom Speedy,PLN,,,sd.saraswati@yahoo.com,,-10.153100000000,123.593500000000,9,29,29,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"5,500",5,0,1,2,2,1,7,0,9,0,0,0,0,9,0,9,0,5,1,2,1,0,0,0,1,8,5,0,0,0,1,0,0,0,,,,,,,,,
Nusa Tenggara Timur,Kota Kupang,Kota Lama,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/773C5AFD-3069-49F7-9D69-26D3F9A1188B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69977167,MTS AL BAAITUL QADIM AIRMATA,69977167,Jl. Trikora Airmata,AIRMATA,KEC. KOTA LAMA,KOTA KUPANG,PROV. NUSA TENGGARA TIMUR,SWASTA,MTs,Kementerian Agama,,,9299/KW.20.2/1/PP.03.2/11/2017,03-11-2017,9299/KW.20.2/1/PP.03.2/11/2017,03-11-2017,Lihat SK Operasional,2020-08-28 10,C,0,,2.,,,,,,.000000000000,.000000000000,0,30,12,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Nusa Tenggara Timur,Kota Kupang,Kota Lama,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/904B4A3A-033C-E111-8C44-01DC5AB59B9E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50305062,SD GMIT BONIPOI 3456,50305062,Jl Elang No. 2,BONIPOI,KEC. KOTA LAMA,KOTA KUPANG,PROV. NUSA TENGGARA TIMUR,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Pendidikan Pelita Harapan Tangerang,AL0628,Akta Notaris No. 02,01-05-1965,DPMPTSP.073.3/035/KOLAM/V/2022,27-05-2022,Lihat SK Operasional,2023-05-10 12,A,"4,162",1. Lainnya,2. Telkom Speedy,PLN,0380821179,0380821179,sdlentera.kupang@gmail.com,,-10.162910000000,123.581193000000,25,258,251,18,SD 2013,Sehari Penuh/5 hari,,2022/2023-2,Lainnya,"13,600",18,1,1,8,0,0,30,1,25,0,0,0,4,21,0,23,2,16,4,3,2,0,0,0,5,20,3,0,15,0,0,0,1,0,3,3,3,3,3,3,,,
Nusa Tenggara Timur,Kota Kupang,Kota Lama,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A0D6A739-033C-E111-8578-797E52554FCA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50305019,SD INPRES BERTINGKAT OEBA 5,50305019,Jl. Lontar No. 37,PASIR PANJANG,KEC. KOTA LAMA,KOTA KUPANG,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,,01-08-1979,,01-01-1910,Silakan Upload SK,,A,"4,947",1. Telkomsel Flash,2. Telkom Astinet,PLN,,03808555069,sdioebalima@yahoo.co.id,,-10.156800000000,123.598100000000,13,94,117,8,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,900,7,0,1,2,10,0,0,3,5,2,6,0,6,7,0,9,4,3,1,1,3,1,3,1,4,9,0,3,4,0,0,1,0,0,1,2,2,1,1,1,,,
Nusa Tenggara Timur,Kota Kupang,Kota Lama,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/70FDA839-033C-E111-AFF1-C958500C3AB3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50305022,SD INPRES BTK PERUMNAS 3,50305022,Jl. Ainiba No.1,NEFONAEK,KEC. KOTA LAMA,KOTA KUPANG,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,24.13.01.03.06.1986,01-01-1910,,01-01-1910,Silakan Upload SK,,B,"5,454",1. Lainnya,2. Lainnya (Serat Optik),PLN,0380826818,0380826818,sdinpres_bertingkatperumnas3@yahoo.com,,-10.155788000000,123.605287000000,16,96,104,9,SD 2013,Pagi/6 hari,,2022/2023-2,Lainnya,"1,300",10,0,1,2,14,0,0,2,7,3,4,2,11,5,0,16,0,2,1,5,0,2,3,3,3,13,0,10,0,0,0,1,0,0,1,1,1,2,2,2,,,
Nusa Tenggara Timur,Kota Kupang,Kota Lama,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A038A739-033C-E111-AB76-C1CE84CE9676,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50305076,SD INPRES OEBA 1,50305076,Jl. Belimbing No.40,OEBA,KEC. KOTA LAMA,KOTA KUPANG,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,03/oeba/2003,27-02-2003,18-530.2-24.13.2003,11-04-2003,Silakan Upload SK,,B,720,1. -,2. Lainnya (Serat Optik),PLN,,0380827935,sdioeba1@yahoo.com,,-10.159115000000,123.595010000000,17,127,116,12,SD 2013,Double Shift/6 hari,,2022/2023-2,Tidak Ada,"2,300",6,0,1,2,14,1,0,2,5,5,5,2,12,5,0,15,2,0,2,3,2,3,4,3,1,16,0,0,6,0,0,0,1,0,2,2,2,2,2,2,,,
Nusa Tenggara Timur,Kota Kupang,Kota Lama,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/804DA739-033C-E111-B597-4BC3DE5F2102,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50305077,SD INPRES OEBA 2,50305077,Jl. Irian Jaya No. 2,FATUBESI,KEC. KOTA LAMA,KOTA KUPANG,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,,10-02-1968,DISDIKBD.073.3/DIKDAS/635/2018,01-01-1910,Silakan Upload SK (link file tidak valid) => [634398-681057--],2022-06-09 22,B,900,1. -,2. Telkom Speedy,PLN,,,sdinpresoebadua@gmail.com,,-10.158042000000,123.588518000000,18,150,146,12,SD 2013,Double Shift/6 hari,,2022/2023-2,Tidak Ada,"1,298",0,0,0,0,14,0,0,4,10,2,4,2,9,9,0,13,5,5,1,4,2,2,2,2,2,16,0,0,0,7,0,0,0,1,2,2,2,2,2,2,,,
Nusa Tenggara Timur,Kota Kupang,Kota Lama,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/30B8A739-033C-E111-88F9-AB18D2FB23FF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50305078,SD INPRES OEBA 4,50305078,Jl. Lontar,PASIR PANJANG,KEC. KOTA LAMA,KOTA KUPANG,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-07-1982,,07-07-1982,Silakan Upload SK,,A,"3,964",1. Telkom Speedy,2. Telkom Speedy,PLN & Diesel,,8554987,Sdioeba4@gmail.com,,-10.158525000000,123.598297000000,12,84,72,6,SD 2013,Pagi/6 hari,,2022/2023-2,Telkom Speedy,"1,300",1,0,0,0,7,1,0,4,6,3,2,1,4,8,0,11,1,2,2,3,1,1,1,2,3,9,0,0,1,6,0,0,0,1,1,1,1,1,1,1,,,
Nusa Tenggara Timur,Kota Kupang,Kota Lama,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1000A839-033C-E111-A7DA-5FBE00B7C073,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50305087,SD INPRES PERUMNAS 1,50305087,Jln Wairinding No 1,NEFONAEK,KEC. KOTA LAMA,KOTA KUPANG,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,31-12-1982,,01-01-1910,Silakan Upload SK,,B,"5,085",1. Telkomsel Flash,2. Telkom Speedy,PLN,,828477,cherlysaudale6@gmail.com,,-10.157570000000,123.601123000000,14,98,82,7,SD 2013,Pagi/6 hari,,2022/2023-2,Telkomsel Flash,"1,300",6,0,1,0,10,0,0,4,7,2,4,1,4,10,2,12,0,1,4,2,3,1,1,2,2,12,0,0,6,1,0,0,1,0,1,2,1,1,1,1,,,
Nusa Tenggara Timur,Kota Kupang,Kota Lama,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C017A839-033C-E111-8793-110465803BC7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/50305088,SD INPRES PERUMNAS 2,50305088,Jl. Ainiba No. 01 Perumnas,NEFONAEK,KEC. KOTA LAMA,KOTA KUPANG,PROV. NUSA TENGGARA TIMUR,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1984,,01-01-1984,Silakan Upload SK,,B,"5,775",1. -,2. Telkom Speedy,PLN,038082657,038082657,sdiperumnas2@gmail.com,http,-10.156140000000,123.605473000000,16,100,91,9,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"2,300",10,0,1,0,7,0,0,9,10,0,5,1,6,10,0,14,2,7,0,3,2,1,3,0,4,12,0,4,6,0,0,0,1,0,1,1,2,2,1,2,,,
