prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_7,rombel_tingkat_8,rombel_tingkat_9,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6
Gorontalo,Kab. Gorontalo Utara,Sumalata,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40562087-92FE-E111-9E50-09B7D5FF11A3,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40502071,SMP NEGERI  4  SUMALATA,40502071,Jln. Trans Sulawesi,KASIA,KEC. SUMALATA,KAB. GORONTALO UTARA,PROV. GORONTALO,NEGERI,SMP,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,0,01-01-2009,,01-01-2009,Silakan Upload SK,,C,967,1. -,2. Telkomsel Flash,PLN,0,,smpnegeri4.sumalata@gmail.com,,.989200000000,122.365400000000,9,22,17,3,SMP 2013,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,900,0,0,1,1,3,2,0,4,6,0,3,0,3,6,0,7,2,0,6,2,1,0,0,0,5,4,1,1,1,0,0,0,3,1,0,0,0,,,,,,
Gorontalo,Kab. Gorontalo Utara,Sumalata,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F0FF1F87-92FE-E111-877F-AF7AF02989DE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40501783,SMP NEGERI 2 SUMALATA,40501783,Jln. Pulahenti,PULAHENTI,KEC. SUMALATA,KAB. GORONTALO UTARA,PROV. GORONTALO,NEGERI,SMP,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,C,"1,260",1. Linknet,2. -,PLN,,,herianto_unusa@yahoo.com,,.975200000000,122.462500000000,10,18,17,3,SMP 2013,Sehari Penuh/5 hari,,2022/2023-2,Linknet,900,3,1,1,2,5,1,0,4,9,0,1,0,1,9,0,8,2,3,4,3,0,0,0,0,4,6,1,1,1,0,3,0,0,1,0,0,0,,,,,,
Gorontalo,Kab. Gorontalo Utara,Sumalata,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E080EDD0-6585-E111-88EC-7B5AEDC1DE29,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40501784,SMP NEGERI 3 SUMALATA,40501784,Jl. Trans Sulawesi,BULOILA,KEC. SUMALATA,KAB. GORONTALO UTARA,PROV. GORONTALO,NEGERI,SMP,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,145/DB/389/VII/2019,02-07-2019,420/DISDIK-KAB/PEM-DIKDAS/408/V/2019,10-05-2019,Lihat SK Operasional,2019-07-03 06,A,"5,400",1. Lainnya (Satelit),2. Telkomsel Flash,PLN,0,,smpn3sumalata@gmail.com,http,.999700000000,122.282300000000,14,86,79,6,SMP 2013,Sehari Penuh/5 hari,,2022/2023-2,Lainnya (Satelit),"2,200",6,1,1,2,5,4,0,5,10,0,3,1,3,11,0,11,3,1,6,5,1,0,1,0,3,11,2,2,2,6,0,0,0,1,0,0,0,,,,,,
Gorontalo,Kab. Gorontalo Utara,Sumalata,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0C9A3705-8A2F-4B10-9C4D-EAA60D5B53FA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60724182,MIN 1 GORONTALO UTARA,60724182,JLN.BULUWATU NO.10 DESA DEME I  KECAMATAN SUMALATA TIMUR,BULOILA,KEC. SUMALATA,KAB. GORONTALO UTARA,PROV. GORONTALO,NEGERI,MI,Kementerian Agama,Pemerintah Daerah,,Kw.30/3-e/PP.00/2408/2009,11-11-2009,149 TAHUN 2009,13-08-2016,Lihat SK Operasional,2017-02-24 14,A,"3,148",,2.,,,,,,.947100000000,122.593300000000,0,91,102,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Gorontalo,Kab. Gorontalo Utara,Sumalata,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/65C13C14-9FC4-4543-98D3-04D6011FF050,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60726874,MIS BARUL ULUM,60726874,"DESA BULONTIO TIMUR, KEC. SUMALATA",BULONTIO TIMUR,KEC. SUMALATA,KAB. GORONTALO UTARA,PROV. GORONTALO,SWASTA,MI,Kementerian Agama,,,,,,,Silakan Upload SK,,C,0,,2.,,,,,,.980500000000,122.423900000000,0,35,28,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Gorontalo,Kab. Gorontalo Utara,Sumalata,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BA89B613-87B6-4999-BFD8-3C502172ADDF,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60727346,MTSS BAHRUL ULUM SUMALATA,60727346,JLN. TRANS SULAWESI,KEC. SUMALATA,KAB. GORONTALO UTARA,PROV. GORONTALO,INDONESIA,SWASTA,MTs,Kementerian Agama,,,,,,,Silakan Upload SK,,B,0,,2.,,,,,,.980100000000,122.423700000000,0,48,29,0,,,,2022/2023-2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Gorontalo,Kab. Gorontalo Utara,Sumalata,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/20369FD0-6585-E111-9446-575A3B322EAA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/40500689,SD NEGERI 1 SUMALATA,40500689,Dusun Tengah,BULONTIO BARAT,KEC. SUMALATA,KAB. GORONTALO UTARA,PROV. GORONTALO,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,0,18-07-1922,,01-01-1910,Silakan Upload SK,,A,"2,560",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdn1smlta@gmail.com,,.985000000000,122.419600000000,8,70,63,6,SD 2013,Sehari Penuh/5 hari,,2022/2023-2,Telkomsel Flash,"2,200",9,0,1,3,4,0,0,4,4,0,4,0,5,3,0,5,3,1,3,2,1,1,0,0,1,7,,,,0,9,0,0,0,1,0,0,1,1,1,1,1,1
Gorontalo,Kab. Gorontalo Utara,Sumalata,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/30811C87-92FE-E111-B65F-29C056CF3A36,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60729078,SD NEGERI 10 SUMALATA,60729078,DUSUN KANTO,BULONTIO TIMUR,KEC. SUMALATA,KAB. GORONTALO UTARA,PROV. GORONTALO,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,C,"2,000",1. Telkomsel Flash,2. Telkomsel Flash,PLN,,,sdn10sm@gmail.com,,.982000000000,122.422200000000,8,35,36,6,SD 2013,Sehari Penuh/5 hari,,2022/2023-2,Telkomsel Flash,900,9,0,1,1,2,1,0,5,6,0,2,0,3,5,0,8,0,1,2,2,2,0,1,0,2,6,,,,9,0,0,0,1,0,0,0,1,1,1,1,1,1
Gorontalo,Kab. Gorontalo Utara,Sumalata,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/40781F87-92FE-E111-AEE6-D59D8CFA05C1,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60729075,SD NEGERI 11 SUMALATA,60729075,JLN TRANS SULAWESI,MEBONGO,KEC. SUMALATA,KAB. GORONTALO UTARA,PROV. GORONTALO,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,07/SPPD-SMLT/PNPM-MP/XII/,22-12-2010,420/DIKPORA-KAB/SEK/1901/XII/2016,06-10-2010,Lihat SK Operasional,2016-12-20 08,B,"2,000",1. -,2. Telkomsel Flash,PLN,0,0,sumalatasdn@gmail.com,,.962500000000,122.403200000000,9,32,39,6,SD 2013,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,900,6,0,1,2,1,1,0,7,8,0,1,0,2,7,0,8,1,3,4,1,0,1,0,0,1,8,,,,3,3,0,0,1,0,0,0,1,1,1,1,1,1
Gorontalo,Kab. Gorontalo Utara,Sumalata,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80F9C0BC-131C-E211-A14A-974A7EE3A363,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/60729076,SD NEGERI 12 SUMALATA,60729076,Sumalata,LELATO,KEC. SUMALATA,KAB. GORONTALO UTARA,PROV. GORONTALO,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1910,,01-01-1910,Silakan Upload SK,,C,"1,600",1. Lainnya,2. -,PLN,,,yunangsiingke@gmail.com,,.909500000000,122.382200000000,5,49,52,6,SD 2013,Sehari Penuh/5 hari,,2022/2023-2,Lainnya,900,6,0,1,0,3,0,0,2,2,0,3,0,4,1,0,3,2,0,0,1,1,2,1,0,0,5,,,,6,0,0,0,1,0,0,0,1,1,1,1,1,1
