prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,akses_internet_sekolah_kita,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,rombel_tingkat_1,rombel_tingkat_2,rombel_tingkat_3,rombel_tingkat_4,rombel_tingkat_5,rombel_tingkat_6,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat
Luar Negeri,Malaysia,Serawak,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/90027F42-D959-4E2F-BA2B-B89C65111C02,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/9LN01147,CLC AL-HIJRAH LADANG MUTIARA,9LN01147,"Mutiara Estate, KM 50, Miri – Bintulu Road, 98000 Miri",MIRI,SERAWAK,MALAYSIA,LUAR NEGERI,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,YZSS002,06-03-2017,YZSS002,06-03-2017,Silakan Upload SK,,,0,1. -,2. Lainnya (Serat Optik),Diesel,,01129838304,clc.alhijrahmutiara@gmail.com,,3.838216000000,113.850258000000,7,40,29,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,800",4,0,0,2,0,1,0,6,7,0,0,0,0,7,0,6,1,1,4,2,0,0,0,0,3,4,1,1,1,1,1,1,4,0,0,0,0,0,0,0
Luar Negeri,Malaysia,Serawak,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C30945BB-653D-40B4-96D1-4EC7B1F7E007,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/9LN01152,CLC LADANG 3 SPAD,9LN01152,"Ladang Tiga, 98200 Miri, Sarawak, Malaysia",MIRI,SERAWAK,MALAYSIA,LUAR NEGERI,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,,01-01-1901,,01-01-1901,Silakan Upload SK,,,"30,000",1. -,2. Lainnya (Wavelan),PLN,,,,http,3.869121000000,113.886268000000,3,48,18,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,900,4,0,1,2,0,0,0,3,3,0,0,0,1,2,0,1,2,0,1,2,0,0,0,0,1,2,1,1,1,1,1,1,3,1,0,0,1,0,0,0
Luar Negeri,Malaysia,Serawak,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/2912676F-8E76-4D48-816D-C3580CD7E353,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/9LN01145,CLC LADANG GALASAH,9LN01145,"Galasah Estate, Km.120, Miri-Bintulu Road, Miri, Sarawak",MIRI,SERAWAK,MALAYSIA,LUAR NEGERI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Pusat,,,01-01-1901,,01-01-1901,Silakan Upload SK,,,150,1. -,2. Lainnya,Lainnya,,,clcgalasah@gmail.com,,3.811225000000,113.853936000000,3,48,39,6,SD 2013,Sehari Penuh/5 hari,,2022/2023-2,Tidak Ada,"1,200",3,0,1,1,0,0,0,3,3,0,0,0,1,2,0,1,2,1,0,0,0,2,0,0,0,3,1,1,1,1,1,1,3,0,0,0,1,0,0,0
Luar Negeri,Malaysia,Serawak,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/10B8E4D4-42D9-4DCB-8CD5-C985A6F5050E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69972045,CLC Ladang Ladong,69972045,"Kumpulan kris jati sdnbhd,ladang ladong,94800",MIRI,SERAWAK,MALAYSIA,LUAR NEGERI,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,No. 01603/LA/12/2017/13/01,05-12-2017,No. 79595/A1.4/LN/2017,08-12-2017,Lihat SK Operasional,2018-01-18 14,,200,1. -,2. Lainnya,Diesel,,,clcladong@gmail.com,,4.165166000000,113.906349000000,9,101,77,12,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"4,000",3,0,1,1,0,0,0,9,9,0,0,0,4,5,0,5,4,3,3,3,0,0,0,0,4,5,2,2,2,2,2,2,3,0,0,0,1,0,0,0
Luar Negeri,Malaysia,Serawak,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/7BF42BAC-68A0-44B9-8697-2CAA5E8D8317,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/9LN01153,CLC LADANG LAMBIR,9LN01153,"Lambir Estate, KM 41, Miri – Bintulu Road, 98150 Miri",MIRI,SERAWAK,MALAYSIA,LUAR NEGERI,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,,01-01-1901,,01-01-1901,Silakan Upload SK,,,0,1. -,2. -,PLN,,0134398220,clcsopblambir@gmail.com,,3.825766000000,113.990328000000,6,72,63,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"10,000",6,0,0,2,0,0,0,6,6,0,0,0,0,6,0,0,6,4,0,1,0,1,0,0,3,3,1,1,1,1,1,1,6,0,0,0,0,0,0,0
Luar Negeri,Malaysia,Serawak,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/07742C08-3B71-4519-93FE-6C1D27C3C083,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/9LN01149,CLC LADANG LAVANG SPECIAL,9LN01149,Jln. Bintulu Miri KM 72 97088 Bintulu-Sarawak,MIRI,SERAWAK,MALAYSIA,LUAR NEGERI,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,,01-01-1901,,01-01-1901,Silakan Upload SK,,,"2,400",1. -,2. Lainnya (Serat Optik),Diesel,,,,,4.342794000000,113.983705000000,7,78,52,6,SD 2013,Double Shift/6 hari,,2022/2023-2,Tidak Ada,"1,300",6,0,0,2,0,0,4,3,7,0,0,0,0,7,0,0,7,1,3,2,0,0,1,0,4,3,1,1,1,1,1,1,6,0,0,0,0,0,0,0
Luar Negeri,Malaysia,Serawak,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/93934E19-D9A6-45DB-9B85-B25DC5F9C7AD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69972024,CLC Ladang Pekaka,69972024,"Ladang pekaka,km 78 bintulu Sarawak 97008",MIRI,SERAWAK,MALAYSIA,LUAR NEGERI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,No. 01603/LA/12/2017/13/01,05-12-2017,No. 79595/A1.4/LN/2017,08-12-2017,Lihat SK Operasional,2018-01-18 10,,"9,000",1. -,2. -,PLN,,0198924026,clcsdpekaka@gmail.com,,3.311729000000,113.245007000000,3,46,42,6,SD 2013,Double Shift/6 hari,,2022/2023-2,Tidak Ada,"1,300",3,1,1,2,0,0,0,3,3,0,0,0,2,1,0,3,0,0,1,2,0,0,0,0,2,1,1,1,1,1,1,1,3,0,0,0,1,0,0,0
Luar Negeri,Malaysia,Serawak,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0DDF9A83-31AB-4689-8437-16874922996C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/9LN01148,CLC LADANG PINANG,9LN01148,"Pinang Estate, KM 115, Miri – Bintulu Road",MIRI,SERAWAK,MALAYSIA,LUAR NEGERI,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan SOPB Pinang Division,AJ5737,01/clcpinang/11/2011,27-11-2011,01/clcpinang/11/2016,01-11-2016,Silakan Upload SK (link file tidak valid) => [717919-947138--],2022-09-30 23,,60,1. -,2. Lainnya,Diesel,,01125002701,clc.pinang4009@gmail.com,,3.656910000000,113.719308000000,4,40,31,6,SD 2013,Pagi/6 hari,,2022/2023-2,Tidak Ada,"1,000",6,0,0,0,0,0,0,4,4,0,0,0,1,3,0,0,4,1,1,1,1,0,0,0,1,3,1,1,1,1,1,1,6,0,0,0,0,0,0,0
Luar Negeri,Malaysia,Serawak,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/904B31A0-3DB1-4C98-9CB7-141C8FCA53D0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/9LN01143,CLC LADANG RAJAWALI,9LN01143,"Jln. Bintulu Miri KM 52 97008 Sarawak, Malaysia",MIRI,SERAWAK,MALAYSIA,LUAR NEGERI,NEGERI,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Pemerintah Daerah,,,01-01-1901,,01-01-1901,Silakan Upload SK,,,480,1. Lainnya (Wavelan),2. Lainnya (Serat Optik),PLN,,0139127604,clcrajawalisarawak@gmail.com,http,3.239035000000,113.089687000000,6,76,56,6,SD 2013,Double Shift/6 hari,,2022/2023-2,Lainnya (Wavelan),"1,200",6,1,0,2,0,0,0,6,6,0,0,0,0,6,0,3,3,2,0,2,1,1,0,0,0,6,1,1,1,1,1,1,6,0,0,0,0,0,0,0
Luar Negeri,Malaysia,Serawak,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/ECA85E36-699E-4A71-92CC-F676699BC410,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/9LN01146,"CLC LADANG SUAI 2, TELABIT",9LN01146,"Telabit Estate, KM 115, Miri – Bintulu Road, plus further 9KM",MIRI,SERAWAK,MALAYSIA,LUAR NEGERI,SWASTA,SD,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,,01-01-1901,,01-01-1901,Silakan Upload SK,,,0,1. Smartfren,2. Telkom Speedy,Diesel,,0137853545,clcladangsuai2telabit@yahoo.com,,4.368244000000,113.985355000000,2,29,20,6,SD 2013,Sehari Penuh/5 hari,,2022/2023-2,Smartfren,"2,200",3,0,0,2,0,0,0,2,2,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,3,0,0,0,0,0,0
