prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum
Jawa Tengah,Kota Salatiga,Sidomukti,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/BC625C4F-2932-4A2D-BDE1-049C8D4234EE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5665962,LKP Agape Salatiga,K5665962,Jl. Abiyoso 3/1 RT.2 RW.1,DUKUH,KEC. SIDOMUKTI,KOTA SALATIGA,PROV. JAWA TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,503.16/09/2006/2014,02-07-2014,503.16/03/2006/2015,04-06-2015,Lihat SK Operasional,2016-08-25 14,,500,,2.,,,0298313222,agape_learningcenter@yahoo.com,www.agape-bahasa.com,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Jawa Tengah,Kota Salatiga,Sidomukti,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/939C6A98-597D-4885-8842-053F5908236D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9997200,LKP AZE SPORT,K9997200,Jl. Sidomulyo Gg VII Ngawen RT.06 RW.15,MANGUNSARI,KEC. SIDOMUKTI,KOTA SALATIGA,PROV. JAWA TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,503/Pendidikan/IPPNF/003/411/III/2021,12-03-2021,503/Pendidikan/IPPNF/003/411/III/2021,12-03-2021,Lihat SK Operasional,2021-04-12 09,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,KBK Kesehatan
Jawa Tengah,Kota Salatiga,Sidomukti,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/43004B20-7BAF-4CF3-8C33-01C0FF9F07EE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5665960,LKP IMLAC,K5665960,"Jl. Bina Taruna No.2 Kel. Mangunsari  Kota Salatiga, Jawa Tengah",MANGUNSARI,KEC. SIDOMUKTI,KOTA SALATIGA,PROV. JAWA TENGAH,SWASTA,Kursus,KKNI Level 1,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,Akta No 9,17-01-2007,503.16/11/2006/2014,10-07-2014,Silakan Upload SK,,B,400,,2.,,,0298311780,imlac_salatiga@yahoo.com,,.000000000000,.000000000000,0,0,0,2,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBK Bahasa
Jawa Tengah,Kota Salatiga,Sidomukti,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D336CE18-F589-459C-8909-6E935821723D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5665911,LKP Jo Music,K5665911,"Jl. Osa Maliki No.45, Kota.Salatiga Jawa Tengah 50721",MANGUNSARI,KEC. SIDOMUKTI,KOTA SALATIGA,PROV. JAWA TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,,01-01-2015,,01-01-2015,Silakan Upload SK,,,0,,2.,,,,josalatiga@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,
Jawa Tengah,Kota Salatiga,Sidomukti,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/616D329F-7699-452C-9A33-7C2CB0BEFBB7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5667833,LKP OCEANA,K5667833,JL. JANOKO NO.13 RT 04 RW.02,DUKUH,KEC. SIDOMUKTI,KOTA SALATIGA,PROV. JAWA TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,503.16/5/206/2016,10-10-2016,503.16/5/206/2016,10-10-2016,Lihat SK Operasional,2017-05-15 13,,202,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Jawa Tengah,Kota Salatiga,Sidomukti,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C817BDED-9B1D-4E93-8AD3-0BCBBC799926,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5665958,LKP Pelangi Nusantara,K5665958,"Jl. Purbaya V No.10 RT.01 RW.07 Perumda Karangalit Kel. Dukuh Kec. Sidomukti, Ko",DUKUH,KEC. SIDOMUKTI,KOTA SALATIGA,PROV. JAWA TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AA9469,503.16/09/411/2017,25-09-2017,503.16/09/411/2017,25-09-2017,Lihat SK Operasional,2021-10-28 10,C,150,,2.,,,0298324570,pelanginusantarasalatiga@gmail.com,pelanginusantara.tk,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KBK Bahasa
Jawa Tengah,Kota Salatiga,Sidomukti,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E2BC032A-3B2A-4DF9-BAC0-D0C3CED29F7F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5665899,LPK AYURVEDA,K5665899,JL. STADION KRIDANGGO NO. 27 SALATIGA,KALICACING,KEC. SIDOMUKTI,KOTA SALATIGA,PROV. JAWA TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan AYURVEDA,AA9470,4219/III6/2008,31-03-2008,503.16/08/206/2014,20-06-2014,Lihat SK Operasional,2018-06-28 08,B,120,,2.,,,,atikayurveda@yahoo.com,Spa Ayurveda,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,KBK Kesehatan
Jawa Tengah,Kota Salatiga,Sidomukti,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/ABD54058-E4B7-4980-AB16-8BA40D30982B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5665902,LPK RATNA PURI,K5665902,JL. PURBAYA III  NO. 4 SALATIGA,DUKUH,KEC. SIDOMUKTI,KOTA SALATIGA,PROV. JAWA TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,503.16/03/206/2016,08-06-2010,503.16/03/206/2016,08-06-2016,Silakan Upload SK,,C,300,,2.,,,,ratnakennis@gmail.com,,-.000200000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,KBK Kesehatan
Jawa Tengah,Kota Salatiga,Sidomukti,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E7439B27-BCF5-42BC-92C6-057AAB8C8460,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5665901,LPK SALATIGA NEW GENERATION SOCIAL SERVICE,K5665901,JL. KENDALISODO NO.31 SALATIGA,KALICACING,KEC. SIDOMUKTI,KOTA SALATIGA,PROV. JAWA TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,,01-01-2014,,01-01-2014,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Jawa Tengah,Kota Salatiga,Sidomukti,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0F747DDB-138F-4238-8EEC-7433A6346A2C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5665896,LPPK AMIKA DHARMA NUSANTARA,K5665896,Jl. Kridanggo No. 8 Salatiga,KALICACING,KEC. SIDOMUKTI,KOTA SALATIGA,PROV. JAWA TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,503.16/006/206/2013,03-07-2010,503.16/006/206/2013,03-07-2013,Silakan Upload SK,,,0,,2.,,,328369,amika.salatiga@yahoo.co.id,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
Jawa Tengah,Kota Salatiga,Sidomukti,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3AE4A94F-0ED5-499E-9BE7-148D7E51018F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2964419,PKBM AL GHUFRON,P2964419,Jl. Simonegoro  RT.03 RW.05,KECANDRAN,KEC. SIDOMUKTI,KOTA SALATIGA,PROV. JAWA TENGAH,SWASTA,PKBM,Paket B dan Paket C,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,420/1033,28-02-2001,421.9/7461/401,31-12-2018,Lihat SK Operasional,2022-10-05 10,,150 m2,1. -,2. Lainnya,PLN,,,pkbm.alghufronsl3@gmail.com,http,-7.332900000000,110.472500000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Tengah,Kota Salatiga,Sidomukti,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5FAAF0B7-B7D4-4BD0-980A-59936559F6BA,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9934611,PKBM Destiny Institute,P9934611,Jl. Aliwijayan No. 3-4 Pengilon RT.02 RW III Mangunsari,MANGUNSARI,KEC. SIDOMUKTI,KOTA SALATIGA,PROV. JAWA TENGAH,SWASTA,PKBM,"Paket A, Paket B,  dan Paket C","Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AX6858,421.9/0165/101,13-07-2014,421.9/0165/101,13-07-2015,Lihat SK Operasional,2016-04-19 09,A,766 m2,1. -,2. Lainnya (Serat Optik),PLN,,321307,info@destinyinstitute.sch.id,http,-7.331295400000,110.496041200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa Tengah,Kota Salatiga,Sidomukti,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8105E1FF-3446-4C47-8D8F-8A821423C416,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9996669,PKBM Jungle School,P9996669,Jl Setiyaki No.37 Warak,DUKUH,KEC. SIDOMUKTI,KOTA SALATIGA,PROV. JAWA TENGAH,SWASTA,PKBM,"Paket A, Paket B,  dan PAUD","Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,503/Pendidikan/IPPNF/003/411/VIII/2020,13-08-2020,503/Pendidikan/IPPNF/003/411/VIII/2020,13-08-2020,Lihat SK Operasional,2020-08-31 22,B,3.300 m2,1. -,2. Telkom Speedy,PLN,,,jungleschool.salatiga@gmail.com,http,-7.334438400000,110.484788800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
