prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat
Jawa Timur,Kab. Pasuruan,Kraton,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A7171A1F-C081-4565-B00D-B058574C31A9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/70036067,PPS.  BANAT 1 NURUL HUDA,70036067,"KALIMAS UTARA, RT 005, RW 002",BENDUNGAN,KEC. KRATON,KAB. PASURUAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,9139/KK.13.09.3/PP.00.7/9/2022,26-09-2022,9139/KK.13.09.3/PP.00.7/9/2022,26-09-2022,Lihat SK Operasional,2022-12-14 09,,500,,2.,,,,,,.000000000000,.000000000000,0,0,22,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Jawa Timur,Kab. Pasuruan,Kraton,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/50CC31A2-0025-481D-AA89-49587E785CEC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69931322,PPS. ANNURIYAH BANAT VII,69931322,Sidogiri,SLAMBRIT,KEC. KRATON,KAB. PASURUAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,873/kk.13 09.3/PP.00.7/12/2019,16-07-2021,873/kk.13 09.3/PP.00.7/12/2019,30-12-2019,Lihat SK Operasional,2022-06-06 14,,0,,2.,,,,,,.000000000000,.000000000000,0,4,202,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Jawa Timur,Kab. Pasuruan,Kraton,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8291EE1E-4ED5-4663-9CD6-FEA843B23BB0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69931327,PPS. BANAT 1 SYAIKHONA KHOLIL,69931327,Sidogiri,SIDOGIRI,KEC. KRATON,KAB. PASURUAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,,,Nomor,09-01-2019,Nomor,09-01-2019,Lihat SK Operasional,2022-06-06 14,A,0,,2.,,,,,,.000000000000,.000000000000,0,66,"1,632",0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Jawa Timur,Kab. Pasuruan,Kraton,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/4D931748-2C81-47B6-B1C9-098BC3FD77C4,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69931328,PPS. BANAT II NURUL HUDA,69931328,Kramat-Bendungan,SLAMBRIT,KEC. KRATON,KAB. PASURUAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,2415/Kk.13.09.1/PP.00.7/9/2020,15-09-2020,2415/Kk.13.09.1/PP.00.7/9/2020,15-09-2020,Lihat SK Operasional,2022-06-04 20,B,0,,2.,,,,,,.000000000000,.000000000000,0,153,91,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Jawa Timur,Kab. Pasuruan,Kraton,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/AE1EFEAA-E7CA-4E57-8653-90B8451E4A89,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69931321,PPS. DARUL KAROMAH GUNUNG JATI,69931321,Kramat Bendungan,GERONGAN,KEC. KRATON,KAB. PASURUAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,,,1181/Kk.13.09.3/PP.00.7/12/2019,09-01-2019,1181/Kk.13.09.3/PP.00.7/12/2019,09-01-2019,Lihat SK Operasional,2022-06-04 20,A,0,,2.,,,,,,-7.612800000000,112.859200000000,0,70,136,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Jawa Timur,Kab. Pasuruan,Kraton,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C14031A3-981F-4540-9985-EAE2D333ECAD,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69931326,PPS. DARUL KHOIROT SUNAN BONANG,69931326,Bejawan Gerongan,SLAMBRIT,KEC. KRATON,KAB. PASURUAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,AO0906,171/Kw.13.3.2/PP.00.8/1/2019,09-01-2019,171/Kw.13.3.2/PP.00.8/1/2019,09-01-2019,Lihat SK Operasional,2022-06-03 19,B,0,,2.,,,,,,.000000000000,.000000000000,0,50,47,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Jawa Timur,Kab. Pasuruan,Kraton,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/28141510-1AEF-4CEB-8DF6-E7D106F7008F,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69931324,PPS. MIFTAHUL FALAH,69931324,Selotambak,SELOTAMBAK,KEC. KRATON,KAB. PASURUAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,,,177/Kw.13.3.2/PP.00.8/1/2019,09-01-2019,177/Kw.13.3.2/PP.00.8/1/2019,09-01-2019,Silakan Upload SK (link file tidak valid) => [409848-413909--],2022-06-04 19,,0,,2.,,,,,,.000000000000,.000000000000,0,9,21,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Jawa Timur,Kab. Pasuruan,Kraton,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/EC57E151-152F-4FF3-9AAD-4982C81154DB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69931323,PPS. MIFTAHUL HUDA,69931323,Kebotohan,KEBOTOHAN,KEC. KRATON,KAB. PASURUAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,,,178/Kw.13.3.2/PP.00.8/1/2019,09-01-2019,178/Kw.13.3.2/PP.00.8/1/2019,09-01-2019,Lihat SK Operasional,2022-06-03 19,,0,,2.,,,,,,.000000000000,.000000000000,0,5,67,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Jawa Timur,Kab. Pasuruan,Kraton,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/53CE2C14-3988-4EE8-9963-434C545CE046,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69931325,PPS. NURUL HUDA,69931325,Bendungan,SLAMBRIT,KEC. KRATON,KAB. PASURUAN,PROV. JAWA TIMUR,SWASTA,Pondok Pesantren,Kementerian Agama,,,866/KK.13.09.3/PP.00.7/12/2019,30-12-2019,866/KK.13.09.3/PP.00.7/12/2019,30-12-2019,Lihat SK Operasional,2022-05-31 00,B,0,,2.,,,,,,.000000000000,.000000000000,0,11,113,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Jawa Timur,Kab. Pasuruan,Kraton,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D7314A6F-1E23-4397-A9C1-0B25FAAD3F61,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69992231,SPM Madrasah Ibtidaiyah Miftahul Ulum PP Sidogiri,69992231,RT.03/RW.02,SIDOGIRI,KEC. KRATON,KAB. PASURUAN,PROV. JAWA TIMUR,NEGERI,Pondok Pesantren,Kementerian Agama,,,4218 Tahun 2019,01-08-2019,4218 Tahun 2019,01-08-2019,Lihat SK Operasional,2019-11-12 20,,0,,2.,,,,,,.000000000000,.000000000000,0,499,54,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
