prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,kurikulum,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat
Jawa Timur,Kota Surabaya,Tegal Sari,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C812BDD1-396C-4F64-A695-9F483A4040D5,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K0560408,LKP Caraka Mulia,K0560408,Jl. Dr. Wahidin No.36,DR. SUTOMO,KEC. TEGAL SARI,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,446/I04.10C/14-1996,13-08-1996,188/5051/436.7.1/2017,02-06-2017,Lihat SK Operasional,2017-09-20 10,,0,,2.,,0315676551,0315630402,carakamulia@yahoo.co.id,carakamulia.or.id,-7.282700000000,112.738600000000,0,0,0,0,KBK Bahasa,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Jawa Timur,Kota Surabaya,Tegal Sari,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D0A2C7F2-7AB0-43EE-94E2-C1DA0C827F19,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K0560420,LKP Eltim,K0560420,Jl. H.Misbakh No.5,DR. SUTOMO,KEC. TEGAL SARI,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,,,,,Silakan Upload SK,,B,0,,2.,,0315661645,0315617726,eltim89@yahoo.com,www.eltimedu.com,-7.278900000000,112.739400000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Jawa Timur,Kota Surabaya,Tegal Sari,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/771AB275-D31B-43F6-9F76-265F01822C20,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K0560400,LKP Institut Pembangunan,K0560400,Jl.Urip sumoharjo 25-27,KEPUTRAN,KEC. TEGAL SARI,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,AHU-0030695.AH.01.04. Tahun 2016,04-08-2016,188/7130/436.7.1/2017,30-08-2017,Lihat SK Operasional,2017-09-18 09,A,0,,2.,,0315474305,0315474304,ip_surabaya@yahoo.co.id,www.ipsurabaya.ac.id,-7.274800000000,112.742100000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Jawa Timur,Kota Surabaya,Tegal Sari,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A961A05B-0717-4F09-8F8B-39B6A25F816A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998233,LKP JAKARTA INTERSTUDI CENTER,K9998233,"Pakuwon Tower Lt. 20-06, Jl. Embong Malang 21-31",KEDUNGDORO,KEC. TEGAL SARI,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,188/23/A/IP-SP/436.7.15/2022,19-07-2022,188/29/A/IO-SP/436.7.15/2022,11-08-2022,Lihat SK Operasional,2022-09-08 08,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Jawa Timur,Kota Surabaya,Tegal Sari,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C4241B49-A09D-4F5F-9CDC-4BB8A24396C7,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K0560413,LKP KELT,K0560413,Jl.Darmokali no.34,DR. SUTOMO,KEC. TEGAL SARI,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,,,,,Silakan Upload SK,,A,0,,2.,,0315678045,0315661308,darmokali@k-elt.com,,-7.291600000000,112.741700000000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Jawa Timur,Kota Surabaya,Tegal Sari,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/10903131-D5F9-49FD-84BB-F25CBC09CE24,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K0560416,LKP Mental Aritmatika,K0560416,Jl. Bintoro ruko Permata Bintoro Kav.15,DR. SUTOMO,KEC. TEGAL SARI,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,,,,,Silakan Upload SK,,,0,,2.,,0315682662,0315618090,Aritmatikabintorosurabaya@gmail.com,,-7.286300000000,112.736900000000,0,0,0,0,KBK Umum,,,2022/2023-2,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jawa Timur,Kota Surabaya,Tegal Sari,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/937FA07D-05E5-43BE-A8C4-03348CE07D99,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5668281,LKP MULTI TERAMPIL INDONESIA,K5668281,Jl.Keputran No.67,KEPUTRAN,KEC. TEGAL SARI,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,188/9070/436.6.4/2016,23-09-2016,188/9578/436.7.1/2017,13-10-2017,Lihat SK Operasional,2017-10-25 15,,412,,2.,,,5476868,info@mtindonesia.co.id,http,-7.277235900000,112.743311900000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Jawa Timur,Kota Surabaya,Tegal Sari,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/3750C7A7-9AF8-43B7-917C-8A06B0F40263,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K0560418,LKP Natasa,K0560418,Jl. Ketampon I Kav.103-105,KEPUTRAN,KEC. TEGAL SARI,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN NATASA,AN2303,77/I04.10C/MS/Krt/2001,16-02-2001,188/9185/436.7.1/2018,18-09-2018,Lihat SK Operasional,2018-12-20 08,,0,,2.,,,"031-5682881, 5612555",upi_thaib@yahoo.com,www.natasagroup.com,-7.296642000000,112.739823300000,0,0,0,0,,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Jawa Timur,Kota Surabaya,Tegal Sari,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/82C7B5B8-ECCE-40A9-B38A-025E425DAE3B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K0560241,LKP Rever Academy,K0560241,Jl. Tumapel No.8,KEPUTRAN,KEC. TEGAL SARI,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,Kursus,KKNI Level 2,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,421.9/10368/436.6.4/2012,13-08-2012,188/8860/436.7.1/2018,07-09-2018,Silakan Upload SK,,,0,,2.,,,0315677399,lelly_tantowi.yahya@yahoo.com,http,-7.283100000000,112.741400000000,0,0,0,1,KBK Kesehatan,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jawa Timur,Kota Surabaya,Tegal Sari,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/77E3ACA4-264E-47E0-BBF9-51D43BBC05DB,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K0560410,LKP Ruth Candra,K0560410,Jl.Tegalsari 70,TEGALSARI,KEC. TEGAL SARI,KOTA SURABAYA,PROV. JAWA TIMUR,SWASTA,Kursus,KKNI Level 2 dan KKNI Level 3,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,AN2305,KP30/139/402.4.9/03,19-05-2003,188//0497/436.7.1/2017,19-01-2017,Lihat SK Operasional,2019-03-21 08,Terakreditasi,0,,2.,,0315345824,0315345824,ruthchandra64@yahoo.com,www.idapurnamasaritjandra.com,-7.267100000000,112.735700000000,0,0,0,2,KBK Kesehatan,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
