prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,program_/_layanan,kurikulum,akses_internet_sekolah_kita
Jawa Barat,Kab. Tasikmalaya,Manonjaya,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C47C0722-B46E-4B34-85C0-CFD00CF9225E,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69958618,Ibtida ul Ulum,69958618,Kp.Sukawangi Rt 013 Rw 003 Desa Pasirpanjang,KALIMANGGIS,KEC. MANONJAYA,KAB. TASIKMALAYA,PROV. JAWA BARAT,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Barat,Kab. Tasikmalaya,Manonjaya,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/37831654-98AB-4D80-A55C-71D2C94FAB91,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9996563,LKP AL-FATTAH,K9996563,Jl. Cihaur No. 18 RT 03 RW 02,PASIRPANJANG,KEC. MANONJAYA,KAB. TASIKMALAYA,PROV. JAWA BARAT,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN AL-FATTAH MANONJAYA TASIKMALAYA,AX2476,503/0638/Kep.03/DPMPTSP/2020,21-07-2020,503/0638/Kep.03/DPMPTSP/2020,21-07-2020,Lihat SK Operasional,2021-01-06 11,,0,,2.,,,,,,-7.359500000000,108.313200000000,0,0,0,1,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KKNI Level 3,KBK Seni Pertunjukan,
Jawa Barat,Kab. Tasikmalaya,Manonjaya,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/80EF18CB-5EBE-4120-BA14-E9E5B8660CED,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5660226,LKP Al-Itishaam,K5660226,Jl. Banjar No. 37 Kp. Ranca Desa Pasirbatang,PASIRBATANG,KEC. MANONJAYA,KAB. TASIKMALAYA,PROV. JAWA BARAT,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Yayasan Al-Itishaam,AA3029,421.9/Kep.3395.a-Disdik/2015,16-12-2015,421.9/Kep.3395.a-Disdik/2015,16-12-2015,Silakan Upload SK,,,0,,2.,,,,yayanalisofyana@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,
Jawa Barat,Kab. Tasikmalaya,Manonjaya,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/CDB2E9A6-595F-4F3E-85DB-F5569675A159,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5660222,LKP Berlian,K5660222,Jl.tangsi No.2 B RT/RW 026/. Pasa004,MANONJAYA,KEC. MANONJAYA,KAB. TASIKMALAYA,PROV. JAWA BARAT,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,,21-04-2013,421.9 / 2045 -Disdik / 2015,04-02-2015,Lihat SK Operasional,2016-09-22 09,,0,,2.,,,,lkpberlian2016@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Barat,Kab. Tasikmalaya,Manonjaya,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/E7511FEE-C623-4EAE-9064-7918FD310CBC,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9981047,LKP ERNA SALON,K9981047,KP. KALAPADUA,MARGALUYU,KEC. MANONJAYA,KAB. TASIKMALAYA,PROV. JAWA BARAT,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,503/3110/Kep.04/DPMPTSP/2018,26-12-2018,503/3110/Kep.04/DPMPTSP/2018,26-12-2018,Lihat SK Operasional,2019-01-31 13,,493,,2.,,,,herwatikusniati372@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,KBK Pariwisata,
Jawa Barat,Kab. Tasikmalaya,Manonjaya,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/07D2C24E-3902-499C-9B1B-76C82321F761,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5660166,LKP Pelita,K5660166,Jl. Patrol Kulon Rt.02 Rw.01,MARGALUYU,KEC. MANONJAYA,KAB. TASIKMALAYA,PROV. JAWA BARAT,SWASTA,Kursus,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,217/III.02.14.07/L.87.,01-10-1987,421.1/235/PAUDDIKMAS/Disdikbud/2023,26-12-2018,Lihat SK Operasional,2023-01-09 08,,0,,2.,,,,lkppelita1986@gmail.com,,-7.348900000000,108.300300000000,0,0,0,1,,,2022/2023-2,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KKNI Level 3,KBK Teknologi Informasi dan Komunikasi,
Jawa Barat,Kab. Tasikmalaya,Manonjaya,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5A025743-003A-405B-9A24-2A831164C035,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69937105,PAKET PP. AL ABROR,69937105,GIMBAL,MARGALUYU,KEC. MANONJAYA,KAB. TASIKMALAYA,PROV. JAWA BARAT,SWASTA,Pondok Pesantren,Kementerian Agama,,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,
Jawa Barat,Kab. Tasikmalaya,Manonjaya,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/1A888A5C-02E3-4C4B-9F9A-F09B54DA7E29,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69937104,PAKET PP. AL-HIKMAH,69937104,CIKURUBUK,CIHAUR,KEC. MANONJAYA,KAB. TASIKMALAYA,PROV. JAWA BARAT,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Barat,Kab. Tasikmalaya,Manonjaya,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6A25959D-9FDF-4944-9846-D5ED11861204,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/69937103,PAKET PP. MIFTAHUL HUDA,69937103,PASIRPANJANG,PASIRBATANG,KEC. MANONJAYA,KAB. TASIKMALAYA,PROV. JAWA BARAT,SWASTA,Pondok Pesantren,Kementerian Agama,Lainnya,,,,,,Silakan Upload SK,,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Jawa Barat,Kab. Tasikmalaya,Manonjaya,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A3124D6D-57F6-4675-BD36-7A109C95FED2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P2961171,PKBM AL FATTAH,P2961171,Jl. Cihaur No. 18 Dusun Pasirpanjang Rt.03 Rw.02,KALIMANGGIS,KEC. MANONJAYA,KAB. TASIKMALAYA,PROV. JAWA BARAT,SWASTA,PKBM,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",YAYASAN AL-FATTAH MANONJAYA TASIKMALAYA,AX2476,03,01-01-2000,421.1/222/PAUDDIKMAS/Disdikbud/2023,02-01-2023,Lihat SK Operasional,2023-01-09 08,B,"1,548",1. Telkomsel Flash,2. Telkom Speedy,PLN,,,pkbmalfattah@gmail.com,http,-7.359400000000,108.313400000000,9,0,0,18,Siang/6 hari,,2022/2023-2,"5,500",18,0,2,0,0,0,19,3,9,0,0,0,2,7,0,7,2,4,5,0,0,0,0,0,1,8,18,0,0,0,2,0,0,0,"Paket A, Paket B,  dan Paket C",2013,Telkomsel Flash
