prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat,kurikulum,akses_internet_sekolah_kita
Kalimantan Tengah,Kab. Barito Timur,Dusun Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/906D31D9-A492-4BAB-B8B7-985951765452,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998424,LKP Abisetya,K9998424,"Jl. Pramuka, Perumnas Pondok Karet RT. 09",TAMIANG LAYANG,KEC. DUSUN TIMUR,KAB. BARITO TIMUR,PROV. KALIMANTAN TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,800/140/DST/XII/2022,20-12-2022,421.1/2875/III.2/XII/2022,26-12-2022,Lihat SK Operasional,2023-01-16 15,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Kalimantan Tengah,Kab. Barito Timur,Dusun Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/412EB5C0-6F7E-4F25-A7D4-F377421A7310,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998438,LKP Affeto,K9998438,Desa Jaweten RT. 03,JAWETEN,KEC. DUSUN TIMUR,KAB. BARITO TIMUR,PROV. KALIMANTAN TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,800/243/DST/XII/2022,20-12-2022,421.1/2861/III.2/XII/2022,26-12-2022,Lihat SK Operasional,2023-01-19 14,,350,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Kalimantan Tengah,Kab. Barito Timur,Dusun Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/49106FA3-31EB-4F74-9E5E-B5D58284AC4C,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998410,LKP Berilmu Academy,K9998410,"Jl. A. Yani Gg. Pelita No. 47, RT. 01",TAMIANG LAYANG,KEC. DUSUN TIMUR,KAB. BARITO TIMUR,PROV. KALIMANTAN TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,800/235/DST/XII/2022,20-12-2022,421.1/2876/III.2/XII/2022,23-12-2022,Lihat SK Operasional,2023-01-11 14,,63,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Kalimantan Tengah,Kab. Barito Timur,Dusun Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/87B91788-8323-492D-BB12-AEC9406B1F27,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998422,LKP Brilliant,K9998422,"Jl. A. Yani Km. 5,5 RT. 23",TAMIANG LAYANG,KEC. DUSUN TIMUR,KAB. BARITO TIMUR,PROV. KALIMANTAN TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,800/249/DST/XII/2022,20-12-2022,421.1/2860/III.2/XII/2022,26-12-2023,Lihat SK Operasional,2023-01-16 15,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Kalimantan Tengah,Kab. Barito Timur,Dusun Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A7718698-AA72-4848-988F-9FB376AAC047,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998423,LKP Cemara,K9998423,"Jl. A.Yani Km. 5,5 RT. 23",TAMIANG LAYANG,KEC. DUSUN TIMUR,KAB. BARITO TIMUR,PROV. KALIMANTAN TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,800/324/DST/XII/2022,13-12-2022,421.1/2872/III.2/XII/2022,26-12-2022,Lihat SK Operasional,2023-01-16 15,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Kalimantan Tengah,Kab. Barito Timur,Dusun Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D8D31EE5-2401-49AF-9BA2-40F7D3E86CA2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998411,LKP Hijau Muda Academy,K9998411,Komplek Mekar Indah RT. 22 KM. 4,TAMIANG LAYANG,KEC. DUSUN TIMUR,KAB. BARITO TIMUR,PROV. KALIMANTAN TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,800/237/DST/XII/2022,20-12-2022,421.2/2864/III.2/XI/2022,27-12-2022,Lihat SK Operasional,2023-01-11 14,,408,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Kalimantan Tengah,Kab. Barito Timur,Dusun Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/8DC5BAD3-F8F9-4A27-8AC4-24C45CB82168,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998435,LKP Kreasi,K9998435,"Jl. A. Yani Km. 5,5 RT. 23",TAMIANG LAYANG,KEC. DUSUN TIMUR,KAB. BARITO TIMUR,PROV. KALIMANTAN TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,800/247/DST/XII/2022,20-12-2022,421.1/2873/III.2/XII/2022,26-12-2022,Lihat SK Operasional,2023-01-19 14,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Kalimantan Tengah,Kab. Barito Timur,Dusun Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/159C48BE-C6B0-4247-9F88-8695D3DDCBA8,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998437,LKP Nice,K9998437,"Jl. A. Yani Km. 5,5 RT. 23",TAMIANG LAYANG,KEC. DUSUN TIMUR,KAB. BARITO TIMUR,PROV. KALIMANTAN TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,800/246/DST/XII/2022,13-12-2022,421.1/2874/III.2/XII/2022,26-12-2022,Lihat SK Operasional,2023-01-19 14,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Kalimantan Tengah,Kab. Barito Timur,Dusun Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0AB6A7CB-E765-456A-B255-8806017AD075,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998465,LKP Nusantara,K9998465,"Jl. A. Yani Km. 5,5 No. 2 Simpang Badung",TAMIANG LAYANG,KEC. DUSUN TIMUR,KAB. BARITO TIMUR,PROV. KALIMANTAN TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,500/10/DST/I/2023,17-01-2023,421.1/0234/III.2/I/2023,25-01-2023,Lihat SK Operasional,2023-01-27 11,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Kalimantan Tengah,Kab. Barito Timur,Dusun Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5DD30E60-DB89-4739-B942-D296EE7A3593,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998431,LKP One Live Education,K9998431,"Desa magantis RT. 02, RW. 02",MAGANTIS,KEC. DUSUN TIMUR,KAB. BARITO TIMUR,PROV. KALIMANTAN TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,800/244/DST/XII/2022,20-12-2022,421.1/2853/III.3/XII/2022,26-12-2022,Lihat SK Operasional,2023-01-16 15,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Kalimantan Tengah,Kab. Barito Timur,Dusun Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D40F9493-1A4D-4838-A6C0-31CBD7E6F4D0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998429,LKP Pion,K9998429,"Jl. A.Yani Km. 5,5 RT. 23",TAMIANG LAYANG,KEC. DUSUN TIMUR,KAB. BARITO TIMUR,PROV. KALIMANTAN TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,800/248/DST/XII/2022,20-12-2022,421.1/2863/III.2/XII/2022,28-12-2022,Lihat SK Operasional,2023-01-16 15,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Kalimantan Tengah,Kab. Barito Timur,Dusun Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/D16493F4-2346-4CF6-AA1F-5831F0A5CCF2,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998432,LKP Santana,K9998432,Jl. A. Yani RT.18,TAMIANG LAYANG,KEC. DUSUN TIMUR,KAB. BARITO TIMUR,PROV. KALIMANTAN TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,800/238/DST/XII/2022,20-12-2022,421.1/2857/III.2/XI/2022,21-12-2022,Lihat SK Operasional,2023-01-16 15,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
Kalimantan Tengah,Kab. Barito Timur,Dusun Timur,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/30F9E085-A9E1-4A6A-B68D-F37C9305FD5A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9998463,LKP Satu Hati RSY,K9998463,Desa Jaweten RT. 01,JAWETEN,KEC. DUSUN TIMUR,KAB. BARITO TIMUR,PROV. KALIMANTAN TENGAH,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",Lainnya,,800/242/DST/XII/2022,20-12-2022,421.1/2867/III.2/XI/2022,27-12-2022,Lihat SK Operasional,2023-01-27 11,,0,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
