prov_name,kab_name,kec_name,link_sekolah_kita,link_referensi,nama,npsn,alamat,desa/kelurahan,kecamatan/kota_(ln),kab.-kota/negara_(ln),propinsi/luar_negeri_(ln),status_sekolah,bentuk_pendidikan,program_/_layanan,kementerian_pembina,naungan,npyp,no._sk._pendirian,tanggal_sk._pendirian,nomor_sk_operasional,tanggal_sk_operasional,file_sk_operasional,tanggal_upload_sk_op.,akreditasi,luas_tanah,akses_internet,akses_internet_2,sumber_listrik,fax,telepon,email,website,lintang,bujur,guru,siswa_laki_laki,siswa_perempuan,rombongan_belajar,penyelenggaraan,manajemen_berbasis_sekolah,semester_data,daya_listrik,ruang_kelas,laboratorium,perpustakaan,sanitasi_siswa,guru_pns,guru_gtt,guru_gty,guru_honor,guru_gol_i,guru_gol_ii,guru_gol_iii,guru_gol_iv,guru_sertifikasi,guru_belum_sertifikasi,guru_kurang_dari_s1,guru_s1_atau_lebih,guru_data_kosong,guru_kurang_dari_30_tahun,guru_31_35_tahun,guru_36_40,guru_41_45_tahun,guru_46_50_tahun,guru_51_55_tahun,guru_lebih_dari_55_tahun,guru_laki_laki,guru_perempuan,ruang_kelas_baik,ruang_kelas_rusak_ringan,ruang_kelas_rusak_sedang,ruang_kelas_rusak_berat,perpustakaan_baik,perpustakaan_rusak_ringan,perpustakaan_rusak_sedang,perpustakaan_rusak_berat
Sulawesi Selatan,Kab. Sidenreng Rappang,Panca Rijang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/B18C239C-F24F-4BCC-9E6A-0C2AF70DD86B,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9997255,LKP AL ASR,K9997255,Jl. Cempaka,LALEBATA,KEC. PANCA RIJANG,KAB. SIDENRENG RAPPANG,PROV. SULAWESI SELATAN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,"14,-",07-05-2019,069/1361/PAUD-NF.2/Disdikbud,12-04-2021,Lihat SK Operasional,2021-04-30 17,,75,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Sulawesi Selatan,Kab. Sidenreng Rappang,Panca Rijang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/16CF2E92-F5BB-422B-8ABD-0551701FE20D,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5668146,LKP ASH - SAM,K5668146,Jl. Andi Makkasau,RAPPANG,KEC. PANCA RIJANG,KAB. SIDENRENG RAPPANG,PROV. SULAWESI SELATAN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,168,26-09-2008,069/2306/PAUD.NF.2/Disdikbud,28-08-2017,Lihat SK Operasional,2017-09-19 16,B,100,,2.,,,,lkp.ashsamsidrap@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Sulawesi Selatan,Kab. Sidenreng Rappang,Panca Rijang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A4A852E2-4A84-439E-BDFA-16D40800CBDE,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9996982,LKP DINKA ART,K9996982,Jl. RS. Arifin Nu mang Rappang,RAPPANG,KEC. PANCA RIJANG,KAB. SIDENRENG RAPPANG,PROV. SULAWESI SELATAN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,17,11-12-2019,069/902/PAUD-NF.2/Disdikbud,25-02-2020,Lihat SK Operasional,2021-02-10 11,,150,,2.,,,,,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Sulawesi Selatan,Kab. Sidenreng Rappang,Panca Rijang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/6EACB8A6-CABD-4114-8A6E-1BB7638966C0,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K9997543,LKP MASTER COURSE,K9997543,Jl. Raya Pasar Baru Rappang No. 112 A-B,RAPPANG,KEC. PANCA RIJANG,KAB. SIDENRENG RAPPANG,PROV. SULAWESI SELATAN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,102,28-06-2013,069/1326/PAUD-NF.2/Disdikbud,08-04-2021,Lihat SK Operasional,2021-10-14 09,,100,,2.,,,,,,-3.840100000000,119.818600000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Sulawesi Selatan,Kab. Sidenreng Rappang,Panca Rijang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/C7955763-F306-4DD9-9EF9-4F26113D8A7A,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5669015,LKP MELATI,K5669015,Jl. A. Noni,RAPPANG,KEC. PANCA RIJANG,KAB. SIDENRENG RAPPANG,PROV. SULAWESI SELATAN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,15,22-03-2016,069/1421/PAUD-NF.2/Disdikbud,26-03-2018,Lihat SK Operasional,2018-04-11 10,,125,,2.,,,,lkpmelatisidrap@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Sulawesi Selatan,Kab. Sidenreng Rappang,Panca Rijang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/5868FA10-6FFF-4519-A8A4-3A8863B1B060,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/K5668148,LKP SINAR HARAPAN,K5668148,Jl. Harapan,RAPPANG,KEC. PANCA RIJANG,KAB. SIDENRENG RAPPANG,PROV. SULAWESI SELATAN,SWASTA,Kursus,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,5,10-03-2011,069/2308/PAUD.NF.2/Disdikbud,28-08-2017,Lihat SK Operasional,2017-09-19 16,B,176,,2.,,,,lkpsinarharapan42@gmail.com,,.000000000000,.000000000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Sulawesi Selatan,Kab. Sidenreng Rappang,Panca Rijang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/0D908DC7-177A-4DC5-BB5E-3BAFC9039040,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9954414,PKBM AMANAT RAKYAT,P9954414,Jl. Kuburan Walabatue,KADIDI,KEC. PANCA RIJANG,KAB. SIDENRENG RAPPANG,PROV. SULAWESI SELATAN,SWASTA,PKBM,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,38,31-10-2008,069/685/Disdik,17-04-2010,Lihat SK Operasional,2016-12-30 14,,600,,2.,,,,tasmiarta@yahoo.com,,-3.839800000000,119.822900000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Sulawesi Selatan,Kab. Sidenreng Rappang,Panca Rijang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/A1D76FA7-8006-4319-B2A6-A21D2F6F9CE9,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9984362,PKBM ARKHAB LEARNING CENTER,P9984362,Jl. A. Noni,RAPPANG,KEC. PANCA RIJANG,KAB. SIDENRENG RAPPANG,PROV. SULAWESI SELATAN,SWASTA,PKBM,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,33,29-01-2019,069/1453/PAUD-NF.2/Disdikbud,22-03-2019,Lihat SK Operasional,2019-05-14 08,,119,,2.,,,,,,-3.829544300000,119.900845000000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Sulawesi Selatan,Kab. Sidenreng Rappang,Panca Rijang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/F058037A-67F8-464C-AB37-721C43A6CC45,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9945693,PKBM AULIA,P9945693,Jl. Poros Cipotakari,CIPOTAKARI,KEC. PANCA RIJANG,KAB. SIDENRENG RAPPANG,PROV. SULAWESI SELATAN,SWASTA,PKBM,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,23,30-11-2010,069/2330/PLS.3/Disdik,24-06-2016,Lihat SK Operasional,2016-07-25 10,,450,,2.,,,,pkbm.aulia@gmail.com,,-3.837315200000,119.888595100000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
Sulawesi Selatan,Kab. Sidenreng Rappang,Panca Rijang,https://sekolah.data.kemdikbud.go.id/index.php/Chome/profil/35FC55BE-A11C-4837-8B76-989959B7C059,https://referensi.data.kemdikbud.go.id/pendidikan/npsn/P9959772,PKBM CAHAYA SAVIRA,P9959772,Jl. H. Andi Pina,KADIDI,KEC. PANCA RIJANG,KAB. SIDENRENG RAPPANG,PROV. SULAWESI SELATAN,SWASTA,PKBM,,"Kementerian Pendidikan, Kebudayaan, Riset dan Teknologi",,,8,27-02-2015,069/1358/PLS.3/Disdik,25-04-2016,Lihat SK Operasional,2017-03-17 02,,220,,2.,,,,,,-3.845882800000,119.837922100000,0,0,0,0,,,2022/2023-2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0
